iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,8,CONTINUE,1.000000000000000e+00,8.262234447828183e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064688215180647e+00,1.508950316548445e+01,9.537637697335228e-01,1.554376658026450e-01,7.716830577012865e-01,3.346670865860403e+00,6.252176895913469e-01,5.963099805287265e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,3,0,0,2.747393451667079e-03,NaN,1.620825003310955e-03,NaN,1.921586901867979e-03,NaN,5.671756127320823e-01,1.236807531234234e-01,8.494612400238070e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,5.665124195743407e-03,1.196602332267362e-03,2.802443369254985e-03,6.356012081236322e-16,2.747393451667079e-03,7.945015101545403e-16,1.620825003310955e-03,1.853836857027261e-16,1.921586901867979e-03,2.747393451667079e-03,1.620825003310955e-03,1.921586901867979e-03,1.000000000594259e+00,1.351910084264463e+00,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,6.185167165919603e-02,6.215232314601371e-02,9.378476768539863e-01,9.366653394368747e-01,9.355406730746901e-01,7.347364580639808e-01,7.335118939475448e-01,7.310345470168893e-01,5.325182684471500e-01,5.312073751440509e-01,5.173251689367256e-01,5.156653713391267e-01,7.160261964840342e-04,2.388269355685370e-03,2.636889464963972e-06,4.445233482031951e-01,4.026070360059355e-01,1.361131613008393e-01,6.127340333934118e-06,6.879176202563320e-04,1.036148662952146e-02,2.593990458284928e-03,false
1,3.162000000000000e+00,0,6,CONTINUE,1.000000000000000e+00,8.258102866873043e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064636783647331e+00,1.508779829205697e+01,9.538109960786152e-01,1.554634676703438e-01,7.715580252329036e-01,3.346447785461721e+00,6.249241966080347e-01,5.960595704403380e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,2,0,0,1.894304322496820e-03,NaN,1.417170219818686e-03,NaN,1.629311661040300e-03,NaN,2.199393111360447e-01,4.782615080696248e-02,3.632245151803870e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.425610470267099e-03,1.532176722045562e-04,3.456023195811623e-03,1.536036252965445e-15,1.894304322496820e-03,1.297685799919083e-15,1.417170219818686e-03,4.493899166811619e-16,1.629311661040300e-03,1.894304322496820e-03,1.417170219818686e-03,1.629311661040300e-03,5.623660150184473e-01,9.083381663236988e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,3.442982879784653e-02,2.053066926624203e-02,9.794693307337580e-01,9.790618896551215e-01,9.644780320233882e-01,8.975209821834517e-01,8.969405362183747e-01,8.957688227832916e-01,7.818138661185458e-01,7.764852895363600e-01,7.721533537166514e-01,7.709774105321966e-01,5.270097437883004e-04,1.729939623287817e-03,2.504099485607474e-11,4.438804646596515e-01,3.981308267654510e-01,1.355213764377865e-01,9.983858176691401e-04,4.601910925270057e-06,1.542257161754796e-02,3.784823398851197e-03,false
1,1.000000000000000e+01,0,6,CONTINUE,1.000000000000000e+00,8.253895802143379e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064634675822862e+00,1.508771079633275e+01,9.538616900909147e-01,1.554652002865196e-01,7.714220434546145e-01,3.346250629389109e+00,6.246213960598166e-01,5.958024205125633e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,2,0,0,3.026526423068887e-04,NaN,1.591231909561230e-04,NaN,1.826353839292638e-04,NaN,7.496261298601341e-02,1.626351375958975e-02,1.316802690611455e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.115074968007277e-04,3.050644432543937e-05,3.940499989599338e-04,6.501670691431322e-15,3.026526423068887e-04,3.548773412023613e-15,1.591231909561230e-04,1.787628397847716e-15,1.826353839292638e-04,3.026526423068887e-04,1.591231909561230e-04,1.826353839292638e-04,3.162277662047591e-01,7.748759654865758e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,2.175394553685470e-02,6.584270752913346e-03,9.934157292470867e-01,9.932831893805667e-01,9.774523877043503e-01,9.651537736721626e-01,9.649406441811521e-01,9.645123952023474e-01,9.189114666590951e-01,9.165135312997692e-01,9.146584774306818e-01,9.141361646910041e-01,4.668715699095261e-04,1.532209569465618e-03,3.904743190831023e-11,4.447854782509238e-01,3.940319681695365e-01,1.347858210713591e-01,1.187118440898669e-03,5.814024483967984e-06,1.862889079042755e-02,4.575828073947475e-03,false
1,3.162000000000000e+01,0,4,CONTINUE,1.000000000000000e+00,8.243508259036003e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064634280970287e+00,1.508769083952568e+01,9.539957436047911e-01,1.548556065061696e-01,7.718152504666870e-01,3.347605526437477e+00,6.262211350112192e-01,5.974122973560644e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,2.290289598557260e-03,NaN,2.534190239966039e-03,NaN,2.747688615537980e-03,NaN,2.431000850844435e-02,5.271180841207672e-03,4.376898692978267e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.866679422417675e-05,5.271180841207672e-03,4.376898692978267e-03,8.739516611699944e-15,2.290289598557260e-03,1.599596373777808e-14,2.534190239966039e-03,5.773377640456326e-15,2.747688615537980e-03,2.290289598557260e-03,2.534190239966039e-03,2.747688615537980e-03,1.778357486130751e-01,7.275942058345887e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,8.894140575036198e-03,2.091731704343736e-03,9.979082682956563e-01,9.978659698746167e-01,9.899499924406575e-01,9.887100901871980e-01,9.886384575018532e-01,9.884973211617533e-01,9.728500008877982e-01,9.719942836290134e-01,9.713377732671341e-01,9.711514073084777e-01,4.480952416251750e-04,1.470598638726349e-03,2.026671299776996e-08,4.540701163577453e-01,3.846156299718089e-01,1.332319241672660e-01,1.265426698982214e-03,6.284341515088905e-06,1.998112637692967e-02,4.910777938687718e-03,false
1,1.000000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,8.241079550688257e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064634156696028e+00,1.508768490059362e+01,9.540381452720732e-01,1.550516832875385e-01,7.710458877933072e-01,3.346628272050889e+00,6.246282958985601e-01,5.959192209035180e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.039412017689980e-03,NaN,8.099697333345812e-04,NaN,8.864034325833658e-04,NaN,7.749299120707128e-03,1.656328743735269e-03,1.407018758290714e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.749299120707128e-03,1.656328743735269e-03,1.407018758290714e-03,3.681190330382703e-14,3.039412017689980e-03,4.044012686686610e-14,8.099697333345812e-04,1.660508156222989e-14,8.864034325833658e-04,3.039412017689980e-03,8.099697333345812e-04,8.864034325833658e-04,1.000000000594259e-01,7.119720808804006e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,3.027106381363619e-03,6.623532061930115e-04,9.993376467938070e-01,9.993242334788475e-01,9.964246657103394e-01,9.963987821242815e-01,9.963725372962617e-01,9.963329304019093e-01,9.912527764155399e-01,9.909712473212413e-01,9.907558245762578e-01,9.906945075794491e-01,4.421809050824929e-04,1.451197118618628e-03,1.097311015423899e-02,5.803061816809044e-01,2.593081378751445e-01,1.207375976423046e-01,1.292659555327322e-03,6.448870344857494e-06,2.045438660088125e-02,5.028099597153003e-03,true
1,3.162000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,8.251771132432027e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064634116679363e+00,1.508768305428019e+01,9.538957233708240e-01,1.553574334060079e-01,7.712931308022936e-01,3.346353693760855e+00,6.245913661923925e-01,5.957950330652635e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,9.636237023280536e-04,NaN,2.594872985406393e-04,NaN,2.821345498399963e-04,NaN,2.457078621250600e-03,5.301011604786956e-04,4.473436677692337e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.457078621250600e-03,5.301011604786956e-04,4.473436677692337e-04,1.092704410299211e-13,9.636237023280536e-04,1.295037461551901e-13,2.594872985406393e-04,6.144145011861779e-14,2.821345498399963e-04,9.636237023280536e-04,2.594872985406393e-04,2.821345498399963e-04,5.623660150184473e-02,7.069419961694137e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,9.782601589918109e-04,2.095678019992109e-04,9.997904321980008e-01,9.997861862965065e-01,9.988598346918619e-01,9.988531611897418e-01,9.988382090620079e-01,9.988183985867127e-01,9.972169973460606e-01,9.971268232205716e-01,9.970578821891292e-01,9.970382419915922e-01,4.403133218995615e-04,1.445071074834932e-03,3.847869090683586e-01,4.399413934157128e-01,1.462379371757660e-01,1.648039615756432e-04,1.301541472211212e-03,6.502782296637765e-06,2.060907275239291e-02,5.066454974952128e-03,false
1,1.000000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,8.306731506190267e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064634103922892e+00,1.508768247299246e+01,9.532653758075950e-01,1.559733767161630e-01,7.715135995903513e-01,3.346261557160604e+00,6.245803211703153e-01,5.953907945824490e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.049379018214005e-04,NaN,8.238706951768648e-05,NaN,8.939291989651377e-05,NaN,7.775626418730368e-04,1.682481636877337e-04,1.416887255934076e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.775626418730368e-04,1.682481636877337e-04,1.416887255934076e-04,4.560438668287062e-13,3.049379018214005e-04,3.677482656668649e-13,8.238706951768648e-05,2.055110572933078e-13,8.939291989651377e-05,3.049379018214005e-04,8.238706951768648e-05,8.939291989651377e-05,3.162277662047591e-02,7.053209382947547e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,3.113864292802621e-04,6.627483889265484e-05,9.999337251611073e-01,9.999323822200262e-01,9.996391696803260e-01,9.996370101329148e-01,9.996322937109464e-01,9.996218653353265e-01,9.991183367385220e-01,9.990897083177787e-01,9.990678269772716e-01,9.990615915947897e-01,4.397228764601802e-04,1.443134333970692e-03,4.001337158697226e-01,4.283804003723740e-01,1.425371523094041e-01,1.773916681504236e-05,1.304378688666507e-03,6.520034702495114e-06,2.065851984503861e-02,5.078716502845811e-03,false
1,3.162000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,8.252240181520246e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064634099878365e+00,1.508768228937704e+01,9.538817030494848e-01,1.554456340247685e-01,7.713855572714240e-01,3.346236186597280e+00,6.245745031774778e-01,5.957701907722184e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,9.646233078752786e-05,NaN,2.608922799285374e-05,NaN,2.828924971655378e-05,NaN,2.459719963376550e-04,5.327325671641357e-05,4.483377191151975e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.459719963376550e-04,5.327325671641357e-05,4.483377191151975e-05,1.676768953797486e-12,9.646233078752786e-05,1.034387999453868e-12,2.608922799285374e-05,5.663868848973359e-13,2.828924971655378e-05,9.646233078752786e-05,2.608922799285374e-05,2.828924971655378e-05,1.778357486130751e-02,7.047910715629424e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,9.868256458608900e-05,2.096073468793591e-05,9.999790392653121e-01,9.999786145140511e-01,9.998858553216531e-01,9.998851689338969e-01,9.998836785580925e-01,9.998799511436562e-01,9.997210009241457e-01,9.997119354456955e-01,9.997050071027513e-01,9.997030326034783e-01,4.395362147332473e-04,1.442522069009966e-03,4.033797752549299e-01,4.258543467359850e-01,1.418051340450993e-01,1.006854275064126e-05,1.305278575011622e-03,6.525509978348537e-06,2.067420658683645e-02,5.082606465664655e-03,false
1,1.000000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,8.252959227527584e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064634098591231e+00,1.508768223302450e+01,9.538729068525919e-01,1.554592330187785e-01,7.713946033097476e-01,3.346226897684013e+00,6.245733440090521e-01,5.957635911925583e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.050379314561980e-05,NaN,8.252803461950009e-06,NaN,8.946886836641577e-06,NaN,7.778269885945363e-05,1.685132345930037e-05,1.417883374292159e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.778269885945363e-05,1.685132345930037e-05,1.417883374292159e-05,4.411045900994336e-12,3.050379314561980e-05,4.322723816448823e-12,8.252803461950009e-06,2.806709001539273e-12,8.946886836641577e-06,3.050379314561980e-05,8.252803461950009e-06,8.946886836641577e-06,1.000000000594259e-02,7.046177176516762e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,3.122387874639015e-05,6.627879330145525e-06,9.999933721206699e-01,9.999932378104489e-01,9.999639044617807e-01,9.999636871156882e-01,9.999632159720181e-01,9.999619941228669e-01,9.999117636585034e-01,9.999088959944527e-01,9.999067044266012e-01,9.999060798370858e-01,4.394771757607793e-04,1.442328432464190e-03,4.043008865470765e-01,4.251324229276213e-01,1.416012792263725e-01,8.503548109179474e-06,1.305563476576133e-03,6.527243784511178e-06,2.067917329412903e-02,5.083838128105507e-03,false
1,3.162000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,8.253186631426233e-02,1.000000000000000e-09,1.000000000000000e-02,9.585011954958314e-14,1.064634098206207e+00,1.508768220853098e+01,9.538701246926911e-01,1.554635338785073e-01,7.713974616507655e-01,3.346223962483382e+00,6.245729742387104e-01,5.957615008167636e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,9.647233825127444e-06,NaN,2.610333835750822e-06,NaN,2.829685119484782e-06,NaN,2.459984438547209e-05,5.329956423106802e-06,4.484374195411612e-06,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.459984438547209e-05,5.329956423106802e-06,4.484374195411612e-06,1.497534709783355e-11,9.647233825127444e-06,1.545835104924017e-11,2.610333835750822e-06,8.974159391032252e-12,2.829685119484782e-06,9.647233825127444e-06,2.610333835750822e-06,2.829685119484782e-06,5.623660150184473e-03,7.045618626606971e-01,8.771162286859965e+00,2.618238306282136e+00,1.000000000000000e+00,1.000000000000000e+00,9.876768204877845e-06,2.096113022487245e-06,9.999979038869775e-01,9.999978614102391e-01,9.999885842877213e-01,9.999885155206812e-01,9.999883665299053e-01,9.999879757807929e-01,9.999720930850023e-01,9.999711860543595e-01,9.999704928762949e-01,9.999702953211121e-01,4.394584811474954e-04,1.442267241104491e-03,4.045827034696204e-01,4.249110942591138e-01,1.415392544826334e-01,8.068833589875879e-06,1.305653584097641e-03,6.527792185730937e-06,2.068074423095328e-02,5.084227625554235e-03,false
