iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,7,CONTINUE,1.000000000000000e+00,1.490714818654342e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,6.080308223262632e-01,2.538641901214948e+00,9.278025644072718e-01,1.071793463368874e+00,2.702786557823302e-01,9.713305574410040e+00,2.512111927398893e+00,2.330743888318788e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,3,0,0,1,0,0,2.197454777839059e-03,NaN,1.545764477034417e-03,NaN,0.000000000000000e+00,NaN,2.289815294272836e+00,1.161693886220698e+00,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.464482934452970e-02,1.135379878270292e-02,0.000000000000000e+00,1.665334536937735e-15,2.197454777839059e-03,3.941291737419306e-15,1.545764477034417e-03,0.000000000000000e+00,0.000000000000000e+00,2.197454777839059e-03,1.545764477034417e-03,0.000000000000000e+00,1.056531837537184e+00,1.876669755312972e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,9.954796321621233e-02,2.825942912326513e-01,7.174057087673487e-01,6.916532443596616e-01,6.412972779271305e-01,6.118094684346591e-01,4.808824135393854e-01,4.656101243030742e-01,4.428748606515935e-01,4.146400978374520e-01,3.925013785830107e-01,3.781213729763298e-01,7.676420401958387e-06,1.246820547342439e-05,4.858779559698944e-04,2.429234786750359e-04,2.397096743634321e-01,2.267820000030474e-01,3.552054954452513e-01,1.163321139240802e-01,5.124445378832929e-02,9.977316415339808e-03,false
1,3.162000000000000e+00,0,6,CONTINUE,1.000000000000000e+00,1.497012218158752e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,5.982209634320491e-01,2.501237291850690e+00,9.268999086986558e-01,1.071398392094795e+00,2.711661913857342e-01,9.714350996913570e+00,2.514392371300730e+00,2.330590059391243e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,1,0,0,2.982430312812312e-04,NaN,3.064382003328148e-03,NaN,0.000000000000000e+00,NaN,1.161129348360571e+00,5.898519834705046e-01,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.576583947595292e-03,1.874999675091576e-02,0.000000000000000e+00,4.329869796038111e-15,2.982430312812312e-04,1.021405182655144e-14,3.064382003328148e-03,0.000000000000000e+00,0.000000000000000e+00,2.982430312812312e-04,3.064382003328148e-03,0.000000000000000e+00,6.064335889499061e-01,1.572849258413286e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,8.826232500423579e-02,1.122471480733590e-01,8.877528519266410e-01,8.572268780266971e-01,8.425398382549920e-01,7.995705597828778e-01,7.442005061545859e-01,7.248434052516909e-01,7.074847749259161e-01,6.833756717569713e-01,6.652671548856580e-01,6.541676738584845e-01,6.750434237986407e-06,1.067551317045246e-04,3.792373471643263e-04,7.252952620879485e-05,2.971797953262291e-01,3.267239074973524e-01,2.333668192474936e-01,1.014382942643068e-01,3.745365433798244e-02,3.272256887319666e-03,false
1,1.000000000000000e+01,0,5,CONTINUE,1.000000000000000e+00,1.500893321273777e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,3.881932976294286e-01,2.466816962857433e+00,9.264045807374651e-01,1.071708983843056e+00,2.713994649650314e-01,9.713321506583780e+00,2.512362003134571e+00,2.327463668174620e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,1,0,0,9.802663220901398e-04,NaN,5.056422851190678e-04,NaN,0.000000000000000e+00,NaN,4.543564154335311e-01,2.309127304429837e-01,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,5.616349294521879e-03,2.926529489460583e-03,0.000000000000000e+00,1.187938636348917e-14,9.802663220901398e-04,1.865174681370263e-14,5.056422851190678e-04,0.000000000000000e+00,0.000000000000000e+00,9.802663220901398e-04,5.056422851190678e-04,0.000000000000000e+00,3.456888229867385e-01,1.463653756465080e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,3.078624224254778e-01,3.895875765472501e-02,9.610412423452750e-01,9.472448673851891e-01,9.397780717094298e-01,9.021017974628983e-01,8.935825539687012e-01,8.852290437626286e-01,8.727994501656173e-01,8.631650582533374e-01,8.571436430384187e-01,7.951631034559866e-01,6.519039064861084e-06,2.712309505320270e-04,1.522763106727637e-04,2.722191664720632e-01,2.995924316083002e-01,2.667701780124170e-01,1.124258127209492e-01,4.384480648232948e-02,4.717578402510736e-03,1.160810021435272e-12,false
1,3.162000000000000e+01,0,5,CONTINUE,1.000000000000000e+00,1.501198457501907e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,1.723271485748725e-10,2.430337751953922e+00,9.263692456872399e-01,1.071775240925386e+00,2.711770364672221e-01,9.713075874140280e+00,2.511966721189165e+00,2.327008716699456e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,1,0,0,1.187153147900188e-04,NaN,6.155693576570531e-05,NaN,0.000000000000000e+00,NaN,1.554115123573160e-01,7.903743484795150e-02,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,6.654797378599541e-04,3.468290619685252e-04,0.000000000000000e+00,2.942091015256665e-14,1.187153147900188e-04,2.786659791809143e-14,6.155693576570531e-05,0.000000000000000e+00,0.000000000000000e+00,1.187153147900188e-04,6.155693576570531e-05,0.000000000000000e+00,1.955546308505329e-01,1.427383220079008e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,9.814851990666151e-01,1.284566401855158e-02,9.871543359814484e-01,9.824014545704542e-01,9.783637359453615e-01,9.667559224836235e-01,9.632854968869100e-01,9.600225753743051e-01,9.554681849793023e-01,9.518830036114132e-01,9.495503039234187e-01,5.448984408246036e-09,7.277776632612462e-06,3.129271277126814e-04,9.504762149262426e-05,2.845115586206114e-01,3.417158581592643e-01,2.244801096449166e-01,1.068869270939569e-01,3.947149444867130e-02,2.518799506741559e-03,5.724095435073191e-30,false
1,1.000000000000000e+02,0,4,CONTINUE,1.000000000000000e+00,1.504753764329066e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,8.019292622511234e-21,2.417758932567351e+00,9.256123450884907e-01,1.070643696878693e+00,2.728239400349624e-01,9.730066761381554e+00,2.543754693813898e+00,2.354530747470937e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,1.266098578145414e-05,NaN,2.686910328462244e-03,NaN,0.000000000000000e+00,NaN,5.044465631492656e-02,2.565896580324106e-02,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,7.043331916342882e-05,2.565896580324106e-02,0.000000000000000e+00,9.447997939560082e-14,1.266098578145414e-05,1.352251643993441e-13,2.686910328462244e-03,0.000000000000000e+00,0.000000000000000e+00,1.266098578145414e-05,2.686910328462244e-03,0.000000000000000e+00,1.101934411731446e-01,1.415716778380228e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,9.940878357948507e-01,4.119025108240471e-03,9.958809748917595e-01,9.943471897082350e-01,9.928176861322108e-01,9.892388141777331e-01,9.880646534123215e-01,9.869607715624319e-01,9.854475862172607e-01,9.842477103542284e-01,9.834540956528242e-01,8.019292622511234e-19,7.541178319585895e-06,3.151137360007986e-04,9.144234390792548e-05,2.864247538265599e-01,3.493353709732861e-01,2.165999608493990e-01,1.060066192034387e-01,3.896401147175981e-02,2.255186417327476e-03,6.275122014984983e-29,false
1,3.162000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,1.502258297436710e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,2.411228199082020e-31,2.413390822077888e+00,9.261248204182624e-01,1.071386799727646e+00,2.727878488396395e-01,9.717775509458482e+00,2.522557286751285e+00,2.336202914187314e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.733438929349629e-03,NaN,8.498489111853358e-04,NaN,0.000000000000000e+00,NaN,1.608842228425285e-02,8.118912066720364e-03,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.608842228425285e-02,8.118912066720364e-03,0.000000000000000e+00,2.309263891220326e-13,1.733438929349629e-03,3.507749646303182e-13,8.498489111853358e-04,0.000000000000000e+00,0.000000000000000e+00,1.733438929349629e-03,8.498489111853358e-04,0.000000000000000e+00,6.201158512203712e-02,1.412007935907107e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,9.963203357555167e-01,1.308704940791161e-03,9.986912950592088e-01,9.982033291894834e-01,9.976891095288303e-01,9.965709470357328e-01,9.961914606101969e-01,9.958345425343759e-01,9.953484130148631e-01,9.949619769750963e-01,9.947049141295614e-01,7.624303565497347e-29,7.639263480784038e-06,3.153170933917921e-04,9.188405689840519e-05,2.870776715019980e-01,3.517607542752000e-01,2.140641036659637e-01,1.057037189535360e-01,3.880278805775150e-02,2.176123131780402e-03,7.730208674434642e-28,true
1,1.000000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,1.501566858537261e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,9.851479259683839e-34,2.411971215028475e+00,9.262877127827269e-01,1.071657287015308e+00,2.716689814278136e-01,9.714554081935992e+00,2.515306750035031e+00,2.329897736436903e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.493851815228101e-04,NaN,2.706523187354648e-04,NaN,0.000000000000000e+00,NaN,5.100816036503102e-03,2.588191703508528e-03,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,5.100816036503102e-03,2.588191703508528e-03,0.000000000000000e+00,9.098277686803158e-13,5.493851815228101e-04,1.005251437646848e-12,2.706523187354648e-04,0.000000000000000e+00,0.000000000000000e+00,5.493851815228101e-04,2.706523187354648e-04,0.000000000000000e+00,3.487780992718357e-02,1.410832852565443e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,3.519330396185823e-04,4.144268252235239e-04,9.995855731747765e-01,9.994309952533861e-01,9.992651639005750e-01,9.989131289379842e-01,9.987923040872816e-01,9.986786451876191e-01,9.985241650316954e-01,9.984012658042150e-01,9.983193586041637e-01,9.851479259683839e-31,7.671770156696289e-06,3.153316107094448e-04,9.222608857874821e-05,2.872903128332979e-01,3.525295145440632e-01,2.132567351914574e-01,1.056050321807131e-01,3.875163417791642e-02,2.151541603106466e-03,4.831960262887477e-27,false
1,3.162000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,1.501346831896438e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,2.539812620025787e-33,2.411518618346535e+00,9.263396298537276e-01,1.071743782287998e+00,2.713131425261930e-01,9.713523881526083e+00,2.512993296614381e+00,2.327885280210665e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.738736602584501e-04,NaN,8.578915228507622e-05,NaN,0.000000000000000e+00,NaN,1.614531805165312e-03,8.206407685001705e-04,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.614531805165312e-03,8.206407685001705e-04,0.000000000000000e+00,3.664735181985179e-12,1.738736602584501e-04,2.544742194743321e-12,8.578915228507622e-05,0.000000000000000e+00,0.000000000000000e+00,1.738736602584501e-04,8.578915228507622e-05,0.000000000000000e+00,1.961546327342700e-02,1.410461116001976e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,1.057797407242408e-04,1.311265285599550e-04,9.998688734714400e-01,9.998199592549414e-01,9.997671846725448e-01,9.996560096990813e-01,9.996177145352915e-01,9.995816884827841e-01,9.995327564242489e-01,9.994938176958406e-01,9.994678511828907e-01,8.030887504521537e-30,7.682195821161356e-06,3.153312234768493e-04,9.235630734778768e-05,2.873582061584103e-01,3.527727394025452e-01,2.130009044100544e-01,1.055735266368322e-01,3.873544173495046e-02,2.143811930561705e-03,7.216747237852378e-26,false
1,1.000000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,1.501277099835922e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,7.412438857535661e-34,2.411373533567988e+00,9.263560919204835e-01,1.071771237198878e+00,2.712003880427339e-01,9.713196874996770e+00,2.512259480829967e+00,2.327246874551832e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.499162029731774e-05,NaN,2.714594484021227e-05,NaN,0.000000000000000e+00,NaN,5.106521745550521e-04,2.596980855803655e-04,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,5.106521745550521e-04,2.596980855803655e-04,0.000000000000000e+00,8.625766767522691e-12,5.499162029731774e-05,7.611911101434998e-12,2.714594484021227e-05,0.000000000000000e+00,0.000000000000000e+00,5.499162029731774e-05,2.714594484021227e-05,0.000000000000000e+00,1.103034500686725e-02,1.410343522142201e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,4.092511756930607e-05,4.146842111596438e-05,9.999585315788840e-01,9.999430621062647e-01,9.999263413286622e-01,9.998912040992530e-01,9.998790867619051e-01,9.998676872023790e-01,9.998522072095165e-01,9.998398876665766e-01,9.998316707421818e-01,7.412438857535661e-30,7.685574117950168e-06,3.153315956314351e-04,9.240046496602914e-05,2.873801917025509e-01,3.528505767940278e-01,2.129189707054279e-01,1.055633054764167e-01,3.873019726335171e-02,2.141340423509288e-03,7.046506265441866e-25,false
1,3.162000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,1.501255038157114e-01,1.000000000000000e-09,3.000000000000000e-02,4.394535646290641e-14,8.104466412977147e-34,2.307078915130467e+00,9.263613009762085e-01,1.071779927565202e+00,2.711647170043898e-01,9.713093366379493e+00,2.512027255388901e+00,2.327044836389756e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.739268144618222e-05,NaN,8.586997494508530e-06,NaN,0.000000000000000e+00,NaN,1.615103020041048e-04,8.215211449518729e-05,0.000000000000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.615103020041048e-04,8.215211449518729e-05,0.000000000000000e+00,2.938282950282201e-11,1.739268144618222e-05,3.136602089170992e-11,8.586997494508530e-06,0.000000000000000e+00,0.000000000000000e+00,1.739268144618222e-05,8.586997494508530e-06,0.000000000000000e+00,6.203134505880692e-03,1.410306339926367e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,7.897166744044517e-01,1.370786223264808e-05,9.999862921377674e-01,9.999816772435787e-01,9.999660288034669e-01,9.999637820205967e-01,9.999598719812030e-01,9.999544766367884e-01,9.999501915431412e-01,9.999474831603987e-01,3.763182179839566e-01,2.562632279783374e-29,1.343368877380525e-05,3.445823783473181e-04,1.751901955636701e-01,2.656619819237521e-01,3.675247596931039e-01,1.311960821564076e-01,5.312476977554675e-02,6.944194820397711e-03,3.364460249291412e-56,5.085017802118178e-24,false
