iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,p10_s2min,p10_s2max,p10_beta,p10_omm,p10_k,p10_t1,p10_t2,p10_t3,p10_t4,p10_t5,p10_t6,p10_t7,p10_t8,p10_t9,p10_t10,p10_w1,p10_w2,p10_w3,p10_w4,p10_w5,p10_w6,p10_w7,p10_w8,p10_w9,p10_w10,pn_s2min,pn_s2max,pn_beta,pn_omm,pn_k,pn_t1,pn_t2,pn_t3,pn_t4,pn_t5,pn_t6,pn_t7,pn_t8,pn_t9,pn_t10,pn_w1,pn_w2,pn_w3,pn_w4,pn_w5,pn_w6,pn_w7,pn_w8,pn_w9,pn_w10,c10_s2min,c10_s2max,c10_beta,c10_omm,c10_k,c10_t1,c10_t2,c10_t3,c10_t4,c10_t5,c10_t6,c10_t7,c10_t8,c10_t9,c10_t10,c10_w1,c10_w2,c10_w3,c10_w4,c10_w5,c10_w6,c10_w7,c10_w8,c10_w9,c10_w10,cn_s2min,cn_s2max,cn_beta,cn_omm,cn_k,cn_t1,cn_t2,cn_t3,cn_t4,cn_t5,cn_t6,cn_t7,cn_t8,cn_t9,cn_t10,cn_w1,cn_w2,cn_w3,cn_w4,cn_w5,cn_w6,cn_w7,cn_w8,cn_w9,cn_w10,chosen,grid
1,1.000000000000000e+00,0,8,CONTINUE,6.253713406442516e+00,2.051400111927779e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.245316379357023e-01,9.528541037822208e+00,7.484824464311741e-01,,,5.955832246599278e+00,8.760709942890685e+00,6.557237610528730e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,4,0,0,,,,2.935141896578817e-03,NaN,1.104595644710703e-03,NaN,,,6.956866496153350e+00,2.850399762051059e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.290728603868392e-01,5.624094053463170e-02,,2.489625755377060e-16,2.935141896578817e-03,4.426001342892551e-16,1.104595644710703e-03,,,2.935141896578817e-03,1.104595644710703e-03,,2.030178404850835e+00,3.368073485580469e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.245316379357023e-01,9.528541037822208e+00,1.659366690624573e-01,9.497992137824696e-02,10,9.050200786217530e-01,8.754508735738862e-01,8.128958146758026e-01,7.559655041735313e-01,6.838298021996968e-01,5.838143839866538e-01,4.954245684423510e-01,4.130372297213883e-01,3.470972977653528e-01,2.980148889854730e-01,2.454859399637861e-01,6.696078807485557e-02,3.219697783410836e-01,2.281292856980330e-01,2.334137010820851e-02,2.665452854751185e-02,1.455021293755200e-02,1.392138897495086e-02,2.322508167285625e-02,3.576162568116278e-02,4.991680842690691e-01,7.193187698076702e+00,1.845285982930752e-01,1.220526169850525e-01,3,8.779473830149475e-01,7.298140798062507e-01,3.329633878328208e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.377234902933832e-01,3.834251183496963e-01,7.885139135692019e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.249828522584144e-01,9.461771865014226e+00,1.864970250827337e-01,9.558610270829493e-02,10,9.044138972917051e-01,8.748386464339709e-01,8.002199899426488e-01,7.592492746489796e-01,6.500405042335126e-01,5.327794959379384e-01,4.773746446867133e-01,4.137949563239336e-01,3.695535405800784e-01,2.982371693700533e-01,3.372986019883836e-02,9.492461895198814e-02,1.114362685279997e-01,2.032421989451143e-01,4.466938931814109e-02,1.387923509235757e-01,8.528301545177078e-02,1.293326606398959e-01,1.499680899069393e-01,8.621547135737236e-03,6.486991885658151e-01,5.372164086643699e+00,2.262391268382120e-01,1.569325564129835e-01,3,8.430674435870165e-01,6.234425407431143e-01,3.934612166153313e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.298550763507329e-01,3.064278197486558e-01,3.637171039006121e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+00,0,6,CONTINUE,6.253713406442516e+00,2.026032217673664e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244795187452321e-01,9.449579998448931e+00,7.529402199593417e-01,,,5.953672203819176e+00,8.729346992042249e+00,6.572676444289709e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,8.137728001068211e-04,NaN,4.332192932995749e-04,NaN,,,2.679895526118615e+00,1.279987880597919e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.970654456619826e-02,2.056149682605142e-02,,1.217150369295452e-15,8.137728001068211e-04,9.405252853646671e-16,4.332192932995749e-04,,,8.137728001068211e-04,4.332192932995749e-04,,1.211144642514699e+00,3.037745093820049e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244795187452321e-01,9.449579998448931e+00,5.832802614476938e-02,3.238386857998488e-02,10,9.676161314200151e-01,9.472915851915626e-01,9.253853694396578e-01,8.981394260236067e-01,8.257714014973671e-01,7.702220955465513e-01,7.028302019206646e-01,6.552666226470690e-01,6.249282271385120e-01,5.730517502873338e-01,2.037013011774400e-01,9.921565563613247e-02,3.197147183449838e-01,1.472154089485244e-01,3.474875375639690e-02,2.458042289458990e-02,2.418375683876035e-02,1.245264677223872e-02,4.529251338845508e-02,8.889482224247830e-02,5.101508594712713e-01,4.420941902722983e+00,1.046999994496223e-01,6.676004930441026e-02,2,9.332399506955897e-01,6.173123335083746e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.036254288259487e-01,1.963745711740510e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244822339151387e-01,8.874546666896581e+00,7.001759595109955e-02,3.441000334277300e-02,10,9.655899966572270e-01,9.512438298966068e-01,9.149588339714937e-01,8.699259148893331e-01,8.080055945065576e-01,7.683093696505398e-01,7.017920431614925e-01,6.536817805080984e-01,6.259013948820393e-01,5.730533152636166e-01,3.352314821197267e-02,5.513785555970297e-02,1.967993510690225e-01,4.045168649752947e-02,5.045129517997177e-02,1.756420463172575e-01,1.657574701940722e-01,2.508013974069969e-01,1.137372217887579e-02,2.006202738459843e-02,6.597448753752391e-01,3.012542090981304e+00,9.750277828101937e-02,9.500593609345676e-02,2,9.049940639065432e-01,6.759678261596219e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.309723971176655e-01,5.690276028823346e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,1.000000000000000e+01,0,4,CONTINUE,6.253713406442516e+00,2.057687859952017e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244792505755097e-01,9.393791252718845e+00,7.467781931582959e-01,,,5.946819138776630e+00,8.732793646978832e+00,6.521459860915098e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.421822069283567e-03,NaN,4.032834126069805e-04,NaN,,,9.447249046392342e-01,4.764562401179304e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.640664992627640e-02,2.552981735750873e-02,,3.236513481990178e-15,1.421822069283567e-03,3.374826023955570e-15,4.032834126069805e-04,,,1.421822069283567e-03,4.032834126069805e-04,,7.090601080725667e-01,2.925514771755324e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792505755097e-01,9.393791252718845e+00,2.139443296396937e-02,1.053319978689882e-02,10,9.894668002131012e-01,9.801693251876461e-01,9.718670048156589e-01,9.607971942880240e-01,9.349853213199274e-01,9.117791022733240e-01,8.812013226984958e-01,8.564121715486991e-01,8.404463863313340e-01,8.093346879018183e-01,1.777731530760870e-01,1.740264329495679e-01,2.722078209088840e-01,5.961870705711303e-02,3.553601603158674e-02,2.547929088485864e-02,3.053603159475535e-02,1.682729114545614e-02,6.534064484915603e-02,1.426546115025347e-01,1.473676827975391e+00,1.473676827975391e+00,6.802202547337582e-02,6.354544860945477e-02,1,9.364545513905452e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792633164735e-01,8.609635153947904e+00,1.519012174147802e-02,1.148153719787814e-02,10,9.885184628021219e-01,9.825569757552283e-01,9.708100940793897e-01,9.508321875226140e-01,9.240183172746761e-01,9.109466728415604e-01,8.811222120277529e-01,8.563723229190605e-01,8.404542451748310e-01,8.093346925335740e-01,3.263198644045058e-02,4.293466581152916e-02,1.595244693374686e-01,3.410762679853752e-02,7.840209723188236e-02,1.425685409912951e-01,1.765244083072293e-01,2.998522193815363e-01,1.023286498256501e-02,2.322112071750621e-02,9.392592135768733e-01,9.392592135768733e-01,5.093959395448638e-02,9.622238484258872e-02,1,9.037776151574113e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+01,0,4,CONTINUE,6.253713406442516e+00,2.016237114643693e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244792486708515e-01,9.373468748978761e+00,7.544206297495539e-01,,,5.950460677502567e+00,8.712916167907592e+00,6.573203702347915e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.699171595609363e-04,NaN,4.570940192733142e-05,NaN,,,3.134622096716326e-01,1.637534947080877e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,8.130155601018384e-03,2.955725089258722e-03,,9.515902887218985e-15,1.699171595609363e-04,8.616871364443935e-15,4.570940192733142e-05,,,1.699171595609363e-04,4.570940192733142e-05,,4.064616332828965e-01,2.889123449220259e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792486708515e-01,9.373468748978761e+00,7.380878874120010e-03,3.362598229241343e-03,10,9.966374017707587e-01,9.934282386883158e-01,9.905150766365762e-01,9.861240256969303e-01,9.781562788560849e-01,9.701646024185595e-01,9.590842624429760e-01,9.496336623081786e-01,9.433609807614141e-01,9.306616521020517e-01,1.657103942903619e-01,1.918871430064101e-01,2.489552274786575e-01,3.607122686849844e-02,3.422414687541607e-02,2.545369979765405e-02,3.278803062790202e-02,1.876915270518473e-02,7.477299182700585e-02,1.713679865229096e-01,1.254414357543374e+00,1.254414357543374e+00,2.561574265562777e-02,2.459142455604357e-02,1,9.754085754439564e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792493336573e-01,8.515766041342657e+00,4.301660163301770e-03,3.700023930863661e-03,10,9.962999760691363e-01,9.942260497777142e-01,9.905103160139792e-01,9.836239580273172e-01,9.743841796010477e-01,9.699083809482785e-01,9.590709518979887e-01,9.496294707599349e-01,9.433613180005700e-01,9.306616522028133e-01,2.999184968228142e-02,3.741841633722939e-02,1.381030117356397e-01,3.131814565774706e-02,8.045151971716012e-02,1.321715503687296e-01,1.821216102384414e-01,3.185292090747808e-01,1.326979596996647e-02,3.662489121802431e-02,8.725255255690527e-01,8.725255255690527e-01,1.773135924727694e-02,3.497817364946965e-02,1,9.650218263505304e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,1.000000000000000e+02,0,3,CONTINUE,6.253713406442516e+00,2.014653078552041e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244792485338567e-01,9.366777866027437e+00,7.539756756777563e-01,,,5.965443723312176e+00,8.708875090554194e+00,6.566279980793779e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,1.798665753162556e-05,NaN,9.998172621738445e-04,NaN,,,1.008598169899937e-01,5.314583595851530e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,8.692414289775726e-04,5.314583595851530e-02,,2.926001825277872e-14,1.798665753162556e-05,3.806361154887594e-14,9.998172621738445e-04,,,1.798665753162556e-05,9.998172621738445e-04,,2.302050264080060e-01,2.877517757948237e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792485338567e-01,9.366777866027437e+00,2.387590325323878e-03,1.066464423374103e-03,10,9.989335355766259e-01,9.978937430624697e-01,9.969436216356432e-01,9.954275756849943e-01,9.929501491029536e-01,9.903565580599526e-01,9.866886075620966e-01,9.835055468561058e-01,9.813691606527573e-01,9.769839410426508e-01,1.613371817841162e-01,1.950858341446360e-01,2.401636941837068e-01,3.105686086636565e-02,3.352484083206475e-02,2.537426191489454e-02,3.349449633346287e-02,1.943726349014012e-02,7.814495729064637e-02,1.823806091599674e-01,1.186159044304878e+00,1.186159044304878e+00,8.582212020430989e-03,8.360092286733734e-03,1,9.916399077132663e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792487891242e-01,8.486907059164865e+00,1.328982579956383e-03,1.176898832759843e-03,10,9.988231011672402e-01,9.981449206015074e-01,9.969722179531200e-01,9.947392545656287e-01,9.917379098571610e-01,9.902783606051948e-01,9.866852832418257e-01,9.835046521237081e-01,9.813692167514264e-01,9.769839410561734e-01,2.922834949988989e-02,3.605915978814529e-02,1.320518692973935e-01,3.037795563725203e-02,8.033786745191412e-02,1.296670368703148e-01,1.835040037623836e-01,3.250125998127248e-01,1.392174931388182e-02,3.983940856610048e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+02,0,2,CONTINUE,6.253713406442516e+00,2.021822551237678e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244792485072990e-01,9.364632864941273e+00,7.527076754679586e-01,,,5.951477773108855e+00,8.718255931751038e+00,6.562298156523066e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.109774061337701e-04,NaN,3.169996586102343e-04,NaN,,,3.208252805324658e-02,1.681673581431977e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.208252805324658e-02,1.681673581431977e-02,,6.904562094912379e-14,7.109774061337701e-04,9.427382860361134e-14,3.169996586102343e-04,,,7.109774061337701e-04,3.169996586102343e-04,,1.297714501252141e-01,2.873838584509406e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792485072990e-01,9.364632864941273e+00,7.599881113857660e-04,3.375986774721840e-04,10,9.996624013225278e-01,9.993311091634228e-01,9.990277652058038e-01,9.985343174848986e-01,9.977556124970174e-01,9.969287066398868e-01,9.957514072448813e-01,9.947239925253056e-01,9.940318664815884e-01,9.926046627896722e-01,1.598914967698212e-01,1.958293043957164e-01,2.372455590110999e-01,2.971079038292825e-02,3.326910991940498e-02,2.534004368197308e-02,3.371472759545729e-02,1.965325001095033e-02,7.925192534173420e-02,1.860937928909140e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792487242423e-01,8.474443829527878e+00,4.182835059464395e-04,3.730481460382240e-04,10,9.996269518539618e-01,9.994112804267875e-01,9.990399602395705e-01,9.983271833577599e-01,9.973711654209385e-01,9.969043916673503e-01,9.957504378829722e-01,9.947237439902937e-01,9.940318827180650e-01,9.926046627934239e-01,2.935187753271310e-02,3.601296546485786e-02,1.310112780801388e-01,3.030780542542218e-02,8.093740562795700e-02,1.299337850576525e-01,1.836549494559780e-01,3.283011559284037e-01,1.308103568466613e-02,3.740774174221094e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,coarse
1,1.000000000000000e+03,0,2,CONTINUE,6.253713406442516e+00,2.013940055048002e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244792484999410e-01,9.363951327204061e+00,7.546161485802456e-01,,,5.951105433996509e+00,8.712606406102198e+00,6.574673490268415e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.252163560433309e-04,NaN,1.008566813713361e-04,NaN,,,1.016336844051457e-02,5.358723900612657e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.016336844051457e-02,5.358723900612657e-03,,3.265282490718980e-13,2.252163560433309e-04,3.406499596065645e-13,1.008566813713361e-04,,,2.252163560433309e-04,1.008566813713361e-04,,7.302932076795250e-02,2.872673950183406e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792484999410e-01,9.363951327204061e+00,2.407809221496273e-04,1.067811209114478e-04,10,9.998932188790886e-01,9.997882206769952e-01,9.996920183388877e-01,9.995345531803149e-01,9.992888229302259e-01,9.990266886603366e-01,9.986526690338584e-01,9.983256819911550e-01,9.981051431612367e-01,9.976497091138391e-01,1.594277033619035e-01,1.960373267725760e-01,2.363094049966241e-01,2.930788842143448e-02,3.318455594828541e-02,2.532823850529555e-02,3.378396148536824e-02,1.972200423736131e-02,7.960615919336497e-02,1.872927570777861e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792486797436e-01,8.473944485342331e+00,1.319487996041973e-04,1.179948732088487e-04,10,9.998820051267912e-01,9.998133094350696e-01,9.996960952058935e-01,9.994703924109181e-01,9.991670050074171e-01,9.990190194645532e-01,9.986523696066004e-01,9.983256065714409e-01,9.981051476159296e-01,9.976497091148323e-01,2.904057539242870e-02,3.566822929390625e-02,1.299204003185362e-01,3.005316912835308e-02,8.042041935626998e-02,1.290627858385409e-01,1.839776507003469e-01,3.282402899887950e-01,1.380760331604304e-02,3.980887666677983e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+03,0,2,CONTINUE,6.253713406442516e+00,2.011386335549151e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244792484975631e-01,9.363735525362413e+00,7.552316164068198e-01,,,5.950982043224387e+00,8.710801528314082e+00,6.578672718427640e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.126663590176755e-05,NaN,3.195909304323936e-05,NaN,,,3.216120535646533e-03,1.698905357866472e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.216120535646533e-03,1.698905357866472e-03,,9.006082857534549e-13,7.126663590176755e-05,5.930150236766192e-13,3.195909304323936e-05,,,7.126663590176755e-05,3.195909304323936e-05,,4.107935417971081e-02,2.872305624461487e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792484975631e-01,9.363735525362413e+00,7.619499435174089e-05,3.377336455112623e-05,10,9.999662266354489e-01,9.999329960624517e-01,9.999025430885151e-01,9.998525989890447e-01,9.997749355645487e-01,9.996919675053128e-01,9.995735050732427e-01,9.994698803935514e-01,9.993999636230133e-01,9.992555111071797e-01,1.592804006058385e-01,1.961003780447194e-01,2.360121195232970e-01,2.918274365030506e-02,3.315744852108723e-02,2.532440535826451e-02,3.380580562941784e-02,1.974378552310501e-02,7.971857163022138e-02,1.876743415137443e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792486665118e-01,8.473791586501267e+00,4.169821174792105e-05,3.732021592917079e-05,10,9.999626797840708e-01,9.999409041474664e-01,9.999038543012453e-01,9.998324423709510e-01,9.997363847651104e-01,9.996895440569891e-01,9.995734110795469e-01,9.994698568510986e-01,9.993999649698392e-01,9.992555111074758e-01,2.894156365851683e-02,3.555967556518111e-02,1.295723997537596e-01,2.997236865061937e-02,8.025535634108175e-02,1.287848893644925e-01,1.840742728258419e-01,3.282124649139120e-01,1.404116104419721e-02,4.058584788239826e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,1.000000000000000e+04,0,2,CONTINUE,6.253713406442516e+00,2.010572389532314e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244792484970057e-01,9.363667239372026e+00,7.554275026867153e-01,,,5.950942447126332e+00,8.710228827763014e+00,6.579946411186850e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.253858833754817e-05,NaN,1.011174182582175e-05,NaN,,,1.017127608575709e-03,5.376135106956381e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.017127608575709e-03,5.376135106956381e-04,,2.846430619885182e-12,2.253858833754817e-05,2.215186009609329e-12,1.011174182582175e-05,,,2.253858833754817e-05,1.011174182582175e-05,,2.310141267896000e-02,2.872189120120370e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792484970057e-01,9.363667239372026e+00,2.409750889032475e-05,1.067946238342277e-05,10,9.999893205376166e-01,9.999788106007512e-01,9.999691785263420e-01,9.999533716764534e-01,9.999288195304354e-01,9.999025783654562e-01,9.998651028484428e-01,9.998323153571773e-01,9.998101906170068e-01,9.997644727095024e-01,1.592337449494677e-01,1.961200477049555e-01,2.359179646569641e-01,2.914338562919839e-02,3.314883737903292e-02,2.532318286066012e-02,3.381270981342525e-02,1.975067876803645e-02,7.975416690926866e-02,1.877952813289916e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792486631196e-01,8.473743722463192e+00,1.318183891606079e-05,1.180102008901951e-05,10,9.999881989799110e-01,9.999813084922462e-01,9.999695953138313e-01,9.999470116471708e-01,9.999166272584278e-01,9.999018122706601e-01,9.998650731976169e-01,9.998323079437756e-01,9.998101910368487e-01,9.997644727095946e-01,2.891019069718234e-02,3.552538575113018e-02,1.294620267324762e-01,2.994678428769469e-02,8.020299014278774e-02,1.286967457864475e-01,1.841042872975537e-01,3.282028009158548e-01,1.411541220123015e-02,4.083337618764259e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+04,0,2,CONTINUE,6.253713406442516e+00,2.010314412120670e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940736e-13,4.244792484961781e-01,9.363645645250122e+00,7.554895600554685e-01,,,5.950929870766428e+00,8.710047569756020e+00,6.580350006537178e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.128361266102542e-06,NaN,3.198522405721922e-06,NaN,,,3.216912754350656e-04,1.700652616009837e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.216912754350656e-04,1.700652616009837e-04,,9.840121316840060e-12,7.128361266102542e-06,8.230633591005578e-12,3.198522405721922e-06,,,7.128361266102542e-06,3.198522405721922e-06,,1.299177114525613e-02,2.872152283456241e+00,7.083615610137737e-01,1.127775443194126e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792484961781e-01,9.363645645250122e+00,7.621435105136924e-06,3.377471535226384e-06,10,9.999966225284648e-01,9.999932984598636e-01,9.999902519786867e-01,9.999852515213028e-01,9.999774872725747e-01,9.999691876925230e-01,9.999573340824859e-01,9.999469627189349e-01,9.999399639404993e-01,9.999255011935372e-01,1.592189869907621e-01,1.961262395968881e-01,2.358881823277798e-01,2.913096388468823e-02,3.314611097585009e-02,2.532279532810101e-02,3.381489226196217e-02,1.975285866501503e-02,7.976542534848602e-02,1.878335446204686e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792486606619e-01,8.473728639031959e+00,4.168515886128046e-06,3.732174673309885e-06,10,9.999962678253267e-01,9.999940881671638e-01,9.999903840080239e-01,9.999832414771500e-01,9.999736311485437e-01,9.999689454308157e-01,9.999573247122381e-01,9.999469603774708e-01,9.999399640726787e-01,9.999255011935660e-01,2.890026567386979e-02,3.551454852380734e-02,1.294270990066604e-01,2.993869230818560e-02,8.018641735540620e-02,1.286688520363443e-01,1.841137224354276e-01,3.281996589204115e-01,1.413892655117064e-02,4.091181718871688e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
