iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,p10_s2min,p10_s2max,p10_beta,p10_omm,p10_k,p10_t1,p10_t2,p10_t3,p10_t4,p10_t5,p10_t6,p10_t7,p10_t8,p10_t9,p10_t10,p10_w1,p10_w2,p10_w3,p10_w4,p10_w5,p10_w6,p10_w7,p10_w8,p10_w9,p10_w10,pn_s2min,pn_s2max,pn_beta,pn_omm,pn_k,pn_t1,pn_t2,pn_t3,pn_t4,pn_t5,pn_t6,pn_t7,pn_t8,pn_t9,pn_t10,pn_w1,pn_w2,pn_w3,pn_w4,pn_w5,pn_w6,pn_w7,pn_w8,pn_w9,pn_w10,c10_s2min,c10_s2max,c10_beta,c10_omm,c10_k,c10_t1,c10_t2,c10_t3,c10_t4,c10_t5,c10_t6,c10_t7,c10_t8,c10_t9,c10_t10,c10_w1,c10_w2,c10_w3,c10_w4,c10_w5,c10_w6,c10_w7,c10_w8,c10_w9,c10_w10,cn_s2min,cn_s2max,cn_beta,cn_omm,cn_k,cn_t1,cn_t2,cn_t3,cn_t4,cn_t5,cn_t6,cn_t7,cn_t8,cn_t9,cn_t10,cn_w1,cn_w2,cn_w3,cn_w4,cn_w5,cn_w6,cn_w7,cn_w8,cn_w9,cn_w10,chosen,grid
1,1.000000000000000e+00,0,5,CONTINUE,1.000000000000000e+00,1.460911765922351e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,6.080308223262632e-01,2.538641901214948e+00,9.293742089748792e-01,,,9.774821956526914e+00,2.496275127746772e+00,2.319973722233322e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,2.197454777839059e-03,NaN,1.057037787206738e-02,NaN,,,2.289815294272836e+00,1.174704108990167e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.464482934452970e-02,7.166446293005374e-02,,1.665334536937735e-15,2.197454777839059e-03,5.107025913275720e-15,1.057037787206738e-02,,,2.197454777839059e-03,1.057037787206738e-02,,1.056531837537184e+00,1.876669755312972e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,6.080308223262632e-01,2.538641901214948e+00,9.954796321621233e-02,2.825942912326513e-01,10,7.174057087673487e-01,6.916532443596616e-01,6.412972779271305e-01,6.118094684346591e-01,4.808824135393854e-01,4.656101243030742e-01,4.428748606515935e-01,4.146400978374520e-01,3.925013785830107e-01,3.781213729763298e-01,7.676420401958387e-06,1.246820547342439e-05,4.858779559698944e-04,2.429234786750359e-04,2.397096743634321e-01,2.267820000030474e-01,3.552054954452513e-01,1.163321139240802e-01,5.124445378832929e-02,9.977316415339808e-03,7.192632120277462e-01,8.944947009245832e-01,7.248748644563141e-02,5.278452346749575e-01,2,4.721547653250425e-01,4.183554949561373e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.025492799845086e-01,3.974507200154920e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.098918835684765e-01,2.541571211293224e+00,1.357148085444550e-01,2.823605513878245e-01,10,7.176394486121755e-01,6.997544690254014e-01,6.418220528608002e-01,6.140624326660427e-01,4.889668470110119e-01,4.752350136182437e-01,4.463741390714565e-01,4.185154501813994e-01,3.946030207615142e-01,3.788402747994442e-01,1.159882825723986e-04,1.751522103675998e-04,1.035209295186322e-03,7.373450709468920e-04,3.528448042155444e-02,3.369071770104891e-01,4.068139186578745e-01,1.419913008228612e-01,6.405425853703343e-02,1.288516969111373e-02,8.177198410282028e-01,8.177198410282028e-01,4.091797725113912e-02,5.501397836062265e-01,1,4.498602163937734e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+00,0,4,CONTINUE,1.000000000000000e+00,1.478197409133829e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,5.982209634320491e-01,2.501237291850690e+00,9.272043130587070e-01,,,9.768472456060575e+00,2.487728891820181e+00,2.306632958216429e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,5.908067541259276e-03,NaN,2.980397912097255e-03,NaN,,,1.161129348360571e+00,5.951072148484274e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.566682311734412e-02,1.870072266875720e-02,,4.884981308350689e-15,5.908067541259276e-03,6.272760089132134e-15,2.980397912097255e-03,,,5.908067541259276e-03,2.980397912097255e-03,,6.064335889499061e-01,1.572849258413286e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,5.982209634320491e-01,2.501237291850690e+00,8.826232500423579e-02,1.122471480733590e-01,10,8.877528519266410e-01,8.572268780266971e-01,8.425398382549920e-01,7.995705597828778e-01,7.442005061545859e-01,7.248434052516909e-01,7.074847749259161e-01,6.833756717569713e-01,6.652671548856580e-01,6.541676738584845e-01,6.750434237986407e-06,1.067551317045246e-04,3.792373471643263e-04,7.252952620879485e-05,2.971797953262291e-01,3.267239074973524e-01,2.333668192474936e-01,1.014382942643068e-01,3.745365433798244e-02,3.272256887319666e-03,8.129916565411310e-01,8.129916565411310e-01,2.606347749142390e-02,2.800587302662743e-01,1,7.199412697337257e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.993514486916175e-01,2.514868656828284e+00,5.625014892193594e-02,1.117066978000069e-01,10,8.882933021999931e-01,8.758956567205712e-01,8.469627102138870e-01,8.254506306268411e-01,7.443409942988252e-01,7.255957262786785e-01,7.083932609981469e-01,6.840279419921402e-01,6.657954677535736e-01,6.545946674858534e-01,1.202339410483578e-04,1.379732479649403e-04,1.385556016882825e-03,3.590798233348632e-04,2.833291413647991e-01,3.154488163945173e-01,2.508605373024271e-01,1.057419405368775e-01,3.884935130349900e-02,3.767370068649284e-03,8.126219728420025e-01,8.126219728420025e-01,2.666146717366191e-02,2.801504436246389e-01,1,7.198495563753611e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,1.000000000000000e+01,0,4,CONTINUE,1.000000000000000e+00,1.478973352952768e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,3.881932976294286e-01,2.466816962857433e+00,9.271210013397644e-01,,,9.767355497629493e+00,2.483981155322334e+00,2.302951096031547e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,9.802663220901398e-04,NaN,5.110908709412554e-04,NaN,,,4.543564154335311e-01,2.334380936253068e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.616349294521879e-03,2.957572875132731e-03,,1.187938636348917e-14,9.802663220901398e-04,1.854072451124011e-14,5.110908709412554e-04,,,9.802663220901398e-04,5.110908709412554e-04,,3.456888229867385e-01,1.463653756465080e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,3.881932976294286e-01,2.466816962857433e+00,3.078624224254778e-01,3.895875765472501e-02,10,9.610412423452750e-01,9.472448673851891e-01,9.397780717094298e-01,9.021017974628983e-01,8.935825539687012e-01,8.852290437626286e-01,8.727994501656173e-01,8.631650582533374e-01,8.571436430384187e-01,7.951631034559866e-01,6.519039064861084e-06,2.712309505320270e-04,1.522763106727637e-04,2.722191664720632e-01,2.995924316083002e-01,2.667701780124170e-01,1.124258127209492e-01,4.384480648232948e-02,4.717578402510736e-03,1.160810021435272e-12,8.078785370681301e-01,8.078785370681301e-01,1.166048476353525e-02,1.101468929124995e-01,1,8.898531070875005e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.266509249286643e-01,2.476301539152612e+00,3.136487685694785e-01,3.881533216522925e-02,10,9.611846678347707e-01,9.502658899864639e-01,9.429007169645324e-01,9.024360793081573e-01,8.953734500026204e-01,8.866476012260698e-01,8.738799626228638e-01,8.639903950925004e-01,8.577055164729205e-01,8.101209069108819e-01,1.247088715058417e-04,3.852629093141092e-04,9.574794646570639e-04,2.233510936434930e-01,2.564695747350097e-01,3.299858390545067e-01,1.283153099688695e-01,5.299414575885950e-02,7.416585547007283e-03,4.677696763898193e-11,8.045347016924569e-01,8.045347016924569e-01,1.194877823235099e-02,1.105540780391200e-01,1,8.894459219608800e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+01,0,3,CONTINUE,1.000000000000000e+00,1.490201117271584e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,1.723271485748725e-10,2.430337751953922e+00,9.247285848871263e-01,,,9.819946159720143e+00,2.582628061909325e+00,2.388229992979193e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,1.187153147900188e-04,NaN,8.404053434014847e-03,NaN,,,1.554115123573160e-01,7.990295039479303e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.654797378599541e-04,7.990295039479303e-02,,2.942091015256665e-14,1.187153147900188e-04,3.247402347028583e-14,8.404053434014847e-03,,,1.187153147900188e-04,8.404053434014847e-03,,1.955546308505329e-01,1.427383220079008e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,1.723271485748725e-10,2.430337751953922e+00,9.814851990666151e-01,1.284566401855158e-02,10,9.871543359814484e-01,9.824014545704542e-01,9.783637359453615e-01,9.667559224836235e-01,9.632854968869100e-01,9.600225753743051e-01,9.554681849793023e-01,9.518830036114132e-01,9.495503039234187e-01,5.448984408246036e-09,7.277776632612462e-06,3.129271277126814e-04,9.504762149262426e-05,2.845115586206114e-01,3.417158581592643e-01,2.244801096449166e-01,1.068869270939569e-01,3.947149444867130e-02,2.518799506741559e-03,5.724095435073191e-30,8.056442449254854e-01,8.056442449254854e-01,4.200399438815305e-03,3.777223722706013e-02,1,9.622277627729399e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.202911508498517e-11,2.466511680821577e+00,9.835437185643973e-01,1.265965416685466e-02,10,9.873403458331453e-01,9.831013042417369e-01,9.806299115812066e-01,9.667778037188264e-01,9.633882422085811e-01,9.601517798794875e-01,9.555459575145783e-01,9.519387687246520e-01,9.496011360929826e-01,1.961360615140296e-09,1.187625636493380e-04,5.889788409611245e-04,6.469409998881093e-04,2.616743942237905e-01,3.304435164541587e-01,2.421441165987973e-01,1.172773392626163e-01,4.406043141161234e-02,3.045519644526531e-03,2.811237431705293e-29,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,1.000000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,1.480821171950510e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,8.019292622511234e-21,2.417758932567351e+00,9.263874549439826e-01,,,9.786435368574278e+00,2.514425858895686e+00,2.329332572067712e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.441306238583299e-03,NaN,2.659861749980785e-03,NaN,,,5.044465631492656e-02,2.532394714134757e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.044465631492656e-02,2.532394714134757e-02,,1.038613639536834e-13,5.441306238583299e-03,8.165690346118026e-14,2.659861749980785e-03,,,5.441306238583299e-03,2.659861749980785e-03,,1.101934411731446e-01,1.415716778380228e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,8.019292622511234e-21,2.417758932567351e+00,9.940878357948507e-01,4.119025108240471e-03,10,9.958809748917595e-01,9.943471897082350e-01,9.928176861322108e-01,9.892388141777331e-01,9.880646534123215e-01,9.869607715624319e-01,9.854475862172607e-01,9.842477103542284e-01,9.834540956528242e-01,8.019292622511234e-19,7.541178319585895e-06,3.151137360007986e-04,9.144234390792548e-05,2.864247538265599e-01,3.493353709732861e-01,2.165999608493990e-01,1.060066192034387e-01,3.896401147175981e-02,2.255186417327476e-03,6.275122014984983e-29,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.682912864877982e-21,2.463523427374047e+00,9.945198976560378e-01,4.042815964195756e-03,10,9.959571840358042e-01,9.945472626817871e-01,9.937203263961113e-01,9.892452187611745e-01,9.880932795474724e-01,9.869990116839378e-01,9.854704911080506e-01,9.842639797203323e-01,9.834695928709583e-01,3.682912864877982e-19,1.190943058963496e-04,6.620119436207444e-04,5.754502413617739e-04,2.653713493356148e-01,3.401880842049214e-01,2.320114327991561e-01,1.154560543664501e-01,4.294561759294787e-02,2.670905210030244e-03,2.310121981071734e-28,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,coarse
1,3.162000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,1.479787416520802e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,2.411228199082020e-31,2.413390822077888e+00,9.268571056079630e-01,,,9.773420897286481e+00,2.493480439729905e+00,2.311100063258130e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.733438929349629e-03,NaN,8.597619965026171e-04,NaN,,,1.608842228425285e-02,8.210871927490553e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.608842228425285e-02,8.210871927490553e-03,,2.309263891220326e-13,1.733438929349629e-03,3.431144257604046e-13,8.597619965026171e-04,,,1.733438929349629e-03,8.597619965026171e-04,,6.201158512203712e-02,1.412007935907107e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,2.411228199082020e-31,2.413390822077888e+00,9.963203357555167e-01,1.308704940791161e-03,10,9.986912950592088e-01,9.982033291894834e-01,9.976891095288303e-01,9.965709470357328e-01,9.961914606101969e-01,9.958345425343759e-01,9.953484130148631e-01,9.949619769750963e-01,9.947049141295614e-01,7.624303565497347e-29,7.639263480784038e-06,3.153170933917921e-04,9.188405689840519e-05,2.870776715019980e-01,3.517607542752000e-01,2.140641036659637e-01,1.057037189535360e-01,3.880278805775150e-02,2.176123131780402e-03,7.730208674434642e-28,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.060522231479925e-31,2.462557225514485e+00,9.931696003331711e-01,1.282609390275691e-03,10,9.987173906097243e-01,9.982636437268254e-01,9.979948991365277e-01,9.965728447725798e-01,9.961996168695144e-01,9.958455062320305e-01,9.953548812001186e-01,9.949665475602565e-01,9.947092414887615e-01,3.353371295939523e-29,1.167078715270851e-04,6.725364599482209e-04,5.327313770003330e-04,2.654744955656708e-01,3.433522735808925e-01,2.287669474083449e-01,1.155237497795476e-01,4.298735582112166e-02,2.573202135947630e-03,2.949921853533704e-27,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,1.000000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,1.479450501647918e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,9.851479259683839e-34,2.411971215028475e+00,9.270094906758228e-01,,,9.769185063843562e+00,2.486658351589590e+00,2.305155891991847e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.493851815228101e-04,NaN,2.737395935021869e-04,NaN,,,5.100816036503102e-03,2.616841301996073e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.100816036503102e-03,2.616841301996073e-03,,9.098277686803158e-13,5.493851815228101e-04,9.641176745844859e-13,2.737395935021869e-04,,,5.493851815228101e-04,2.737395935021869e-04,,3.487780992718357e-02,1.410832852565443e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,9.851479259683839e-34,2.411971215028475e+00,3.519330396185823e-04,4.144268252235239e-04,10,9.995855731747765e-01,9.994309952533861e-01,9.992651639005750e-01,9.989131289379842e-01,9.987923040872816e-01,9.986786451876191e-01,9.985241650316954e-01,9.984012658042150e-01,9.983193586041637e-01,9.851479259683839e-31,7.671770156696289e-06,3.153316107094448e-04,9.222608857874821e-05,2.872903128332979e-01,3.525295145440632e-01,2.132567351914574e-01,1.056050321807131e-01,3.875163417791642e-02,2.151541603106466e-03,4.831960262887477e-27,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.125863397911619e-33,2.462238739748302e+00,2.779498980216131e-04,4.059695813740660e-04,10,9.995940304186259e-01,9.994497599779001e-01,9.993639687189206e-01,9.989137181739572e-01,9.987948027832446e-01,9.986820076985896e-01,9.985261383361808e-01,9.984026576607290e-01,9.983206725185617e-01,1.125863397911620e-30,1.159693845636193e-04,6.758838951592000e-04,5.194150579020362e-04,2.654934394572341e-01,3.443276426398357e-01,2.277715578342084e-01,1.155486766047419e-01,4.300386535014349e-02,2.543549776212150e-03,2.856690815946469e-26,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,1.479342967573691e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,2.539812620025787e-33,2.411518618346535e+00,9.270580610444339e-01,,,9.767833636021502e+00,2.484481286843431e+00,2.303258404482251e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.738736602584501e-04,NaN,8.676076651570330e-05,NaN,,,1.614531805165312e-03,8.296582635611144e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.614531805165312e-03,8.296582635611144e-04,,3.664735181985179e-12,1.738736602584501e-04,2.851441305296021e-12,8.676076651570330e-05,,,1.738736602584501e-04,8.676076651570330e-05,,1.961546327342700e-02,1.410461116001976e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,2.539812620025787e-33,2.411518618346535e+00,1.057797407242408e-04,1.311265285599550e-04,10,9.998688734714400e-01,9.998199592549414e-01,9.997671846725448e-01,9.996560096990813e-01,9.996177145352915e-01,9.995816884827841e-01,9.995327564242489e-01,9.994938176958406e-01,9.994678511828907e-01,8.030887504521537e-30,7.682195821161356e-06,3.153312234768493e-04,9.235630734778768e-05,2.873582061584103e-01,3.527727394025452e-01,2.130009044100544e-01,1.055735266368322e-01,3.873544173495046e-02,2.143811930561705e-03,7.216747237852378e-26,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.147134780413639e-33,2.462136723455152e+00,8.623534756384724e-05,1.284310958098445e-04,10,9.998715689041902e-01,9.998258627146970e-01,9.997986461692830e-01,9.996561950275208e-01,9.996184970207135e-01,9.995827417544475e-01,9.995333734752547e-01,9.994942526692243e-01,9.994682613714538e-01,9.951240175667926e-30,1.157374961898087e-04,6.769412221069793e-04,5.152271904676156e-04,2.654981562664278e-01,3.446335964469215e-01,2.274597550860564e-01,1.155568855250496e-01,4.300940600083986e-02,2.534294765942026e-03,2.842288664708956e-25,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,1.000000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,1.479308855053586e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,7.412438857535661e-34,2.411373533567988e+00,9.270734621432706e-01,,,9.767404981436073e+00,2.483790701110979e+00,2.302656444518217e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.499162029731774e-05,NaN,2.745269293125130e-05,NaN,,,5.106521745550521e-04,2.625450980027971e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.106521745550521e-04,2.625450980027971e-04,,8.625766767522691e-12,5.499162029731774e-05,9.720280136349402e-12,2.745269293125130e-05,,,5.499162029731774e-05,2.745269293125130e-05,,1.103034500686725e-02,1.410343522142201e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,7.412438857535661e-34,2.411373533567988e+00,4.092511756930607e-05,4.146842111596438e-05,10,9.999585315788840e-01,9.999430621062647e-01,9.999263413286622e-01,9.998912040992530e-01,9.998790867619051e-01,9.998676872023790e-01,9.998522072095165e-01,9.998398876665766e-01,9.998316707421818e-01,7.412438857535661e-30,7.685574117950168e-06,3.153315956314351e-04,9.240046496602914e-05,2.873801917025509e-01,3.528505767940278e-01,2.129189707054279e-01,1.055633054764167e-01,3.873019726335171e-02,2.141340423509288e-03,7.046506265441866e-25,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.366047253502379e-34,2.462103950383380e+00,3.346177609399937e-05,4.061401980304247e-05,10,9.999593859801970e-01,9.999449256364780e-01,9.999363111413156e-01,9.998912625994596e-01,9.998793334138779e-01,9.998680192360734e-01,9.998524016208866e-01,9.998400246850537e-01,9.998317999095949e-01,6.366047253502379e-30,1.156645651872616e-04,6.772848342458191e-04,5.138961310045800e-04,2.655000020904033e-01,3.447312123529950e-01,2.273603050960901e-01,1.155592546945294e-01,4.301104085242945e-02,2.531339383115431e-03,2.932340438814619e-24,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
1,3.162000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,1.479298059371640e-01,1.000000000000000e-09,1.000000000000000e-01,4.394535646290641e-14,8.104466412977147e-34,2.307078915130467e+00,9.270783355033337e-01,,,9.767269329323746e+00,2.483572153207243e+00,2.302465937897802e+00,1.023276169837169e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.739268144618222e-05,NaN,8.683960617372755e-06,NaN,,,1.615103020041048e-04,8.305206572050303e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.615103020041048e-04,8.305206572050303e-05,,2.938282950282201e-11,1.739268144618222e-05,2.434502599513166e-11,8.683960617372755e-06,,,1.739268144618222e-05,8.683960617372755e-06,,6.203134505880692e-03,1.410306339926367e+00,7.251809002398945e+00,1.752318993389763e+01,1.000000000000000e+00,1.000000000000000e+00,8.104466412977147e-34,2.307078915130467e+00,7.897166744044517e-01,1.370786223264808e-05,10,9.999862921377674e-01,9.999816772435787e-01,9.999660288034669e-01,9.999637820205967e-01,9.999598719812030e-01,9.999544766367884e-01,9.999501915431412e-01,9.999474831603987e-01,3.763182179839566e-01,2.562632279783374e-29,1.343368877380525e-05,3.445823783473181e-04,1.751901955636701e-01,2.656619819237521e-01,3.675247596931039e-01,1.311960821564076e-01,5.312476977554675e-02,6.944194820397711e-03,3.364460249291412e-56,5.085017802118178e-24,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.162159208437514e-33,2.429382782733726e+00,9.278664429536974e-01,1.301776812523414e-05,10,9.999869822318748e-01,9.999817580496982e-01,9.999696722467853e-01,9.999651412882818e-01,9.999604313230777e-01,9.999549986592743e-01,9.999505277109354e-01,9.999476595789035e-01,1.390315016367483e-01,3.674747417079421e-29,1.369137823839897e-04,1.069289740238670e-03,4.083373716289271e-03,3.404433383132207e-01,4.256266253056455e-01,1.534730399032863e-01,6.520678042533215e-02,9.960638813602710e-03,1.599323544983489e-55,2.105826321573730e-23,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse
