iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,p10_s2min,p10_s2max,p10_beta,p10_omm,p10_k,p10_t1,p10_t2,p10_t3,p10_t4,p10_t5,p10_t6,p10_t7,p10_t8,p10_t9,p10_t10,p10_w1,p10_w2,p10_w3,p10_w4,p10_w5,p10_w6,p10_w7,p10_w8,p10_w9,p10_w10,pn_s2min,pn_s2max,pn_beta,pn_omm,pn_k,pn_t1,pn_t2,pn_t3,pn_t4,pn_t5,pn_t6,pn_t7,pn_t8,pn_t9,pn_t10,pn_w1,pn_w2,pn_w3,pn_w4,pn_w5,pn_w6,pn_w7,pn_w8,pn_w9,pn_w10,c10_s2min,c10_s2max,c10_beta,c10_omm,c10_k,c10_t1,c10_t2,c10_t3,c10_t4,c10_t5,c10_t6,c10_t7,c10_t8,c10_t9,c10_t10,c10_w1,c10_w2,c10_w3,c10_w4,c10_w5,c10_w6,c10_w7,c10_w8,c10_w9,c10_w10,cn_s2min,cn_s2max,cn_beta,cn_omm,cn_k,cn_t1,cn_t2,cn_t3,cn_t4,cn_t5,cn_t6,cn_t7,cn_t8,cn_t9,cn_t10,cn_w1,cn_w2,cn_w3,cn_w4,cn_w5,cn_w6,cn_w7,cn_w8,cn_w9,cn_w10,chosen,grid,edge
1,1.000000000000000e+00,0,8,CONTINUE,6.253713406442516e+00,2.051400111927785e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.245316379357020e-01,9.528541037822183e+00,7.484824464311732e-01,,,5.955832246599277e+00,8.760709942890685e+00,6.557237610528722e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,4,0,0,,,,2.935141896578781e-03,NaN,1.104595644710703e-03,NaN,,,6.956866496153349e+00,2.850399762051057e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.290728603868391e-01,5.624094053463302e-02,,2.766250839307844e-16,2.935141896578781e-03,3.596126091100197e-16,1.104595644710703e-03,,,2.935141896578781e-03,1.104595644710703e-03,,2.030178404850835e+00,3.368073485580469e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.245316379357020e-01,9.528541037822183e+00,1.659366690624571e-01,9.497992137824718e-02,10,9.050200786217528e-01,8.754508735738868e-01,8.128958146758034e-01,7.559655041735318e-01,6.838298021996959e-01,5.838143839866535e-01,4.954245684423513e-01,4.130372297213885e-01,3.470972977653525e-01,2.980148889854728e-01,2.454859399637861e-01,6.696078807485219e-02,3.219697783410804e-01,2.281292856980401e-01,2.334137010820769e-02,2.665452854751185e-02,1.455021293755212e-02,1.392138897495075e-02,2.322508167285677e-02,3.576162568116231e-02,4.991680842690697e-01,7.193187698076657e+00,1.845285982930751e-01,1.220526169850532e-01,3,8.779473830149468e-01,7.298140798062503e-01,3.329633878328211e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.377234902933824e-01,3.834251183496974e-01,7.885139135692025e-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.249828522584146e-01,9.461771865014201e+00,1.864970250827341e-01,9.558610270829515e-02,10,9.044138972917048e-01,8.748386464339702e-01,8.002199899426485e-01,7.592492746489792e-01,6.500405042335131e-01,5.327794959379387e-01,4.773746446867125e-01,4.137949563239334e-01,3.695535405800776e-01,2.982371693700534e-01,3.372986019884196e-02,9.492461895198452e-02,1.114362685280011e-01,2.032421989451136e-01,4.466938931814161e-02,1.387923509235753e-01,8.528301545176968e-02,1.293326606398959e-01,1.499680899069389e-01,8.621547135737338e-03,6.486991885658144e-01,5.372164086643740e+00,2.262391268382121e-01,1.569325564129825e-01,3,8.430674435870175e-01,6.234425407431150e-01,3.934612166153310e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.298550763507339e-01,3.064278197486545e-01,3.637171039006109e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
1,3.162000000000000e+00,0,6,CONTINUE,6.253713406442516e+00,2.026032217673678e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244795187452319e-01,9.449579998448797e+00,7.529402199593394e-01,,,5.953672203819178e+00,8.729346992042260e+00,6.572676444289696e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,8.137728001067986e-04,NaN,4.332192932995929e-04,NaN,,,2.679895526118617e+00,1.279987880597921e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.970654456619793e-02,2.056149682605151e-02,,1.161825352509294e-15,8.137728001067986e-04,8.298752517923532e-16,4.332192932995929e-04,,,8.137728001067986e-04,4.332192932995929e-04,,1.211144642514699e+00,3.037745093820049e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244795187452319e-01,9.449579998448797e+00,5.832802614476940e-02,3.238386857998532e-02,10,9.676161314200147e-01,9.472915851915629e-01,9.253853694396575e-01,8.981394260236076e-01,8.257714014973671e-01,7.702220955465502e-01,7.028302019206650e-01,6.552666226470696e-01,6.249282271385120e-01,5.730517502873337e-01,2.037013011774253e-01,9.921565563613495e-02,3.197147183449802e-01,1.472154089485390e-01,3.474875375639774e-02,2.458042289458958e-02,2.418375683876059e-02,1.245264677223861e-02,4.529251338845507e-02,8.889482224247895e-02,5.101508594712725e-01,4.420941902722975e+00,1.046999994496224e-01,6.676004930441037e-02,2,9.332399506955896e-01,6.173123335083751e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.036254288259485e-01,1.963745711740523e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244822339151377e-01,8.874546666896700e+00,7.001759595109930e-02,3.441000334277255e-02,10,9.655899966572274e-01,9.512438298966062e-01,9.149588339714937e-01,8.699259148893329e-01,8.080055945065577e-01,7.683093696505392e-01,7.017920431614926e-01,6.536817805080990e-01,6.259013948820391e-01,5.730533152636160e-01,3.352314821196831e-02,5.513785555970962e-02,1.967993510690204e-01,4.045168649753237e-02,5.045129517997226e-02,1.756420463172562e-01,1.657574701940780e-01,2.508013974069887e-01,1.137372217887606e-02,2.006202738459881e-02,6.597448753752401e-01,3.012542090981312e+00,9.750277828101946e-02,9.500593609345653e-02,2,9.049940639065435e-01,6.759678261596223e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.309723971176681e-01,5.690276028823319e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
1,1.000000000000000e+01,0,4,CONTINUE,6.253713406442516e+00,2.057687859952020e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244792505755097e-01,9.393791252719247e+00,7.467781931582952e-01,,,5.946819138776642e+00,8.732793646978855e+00,6.521459860915111e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.421822069283576e-03,NaN,4.032834126070523e-04,NaN,,,9.447249046392353e-01,4.764562401179344e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.640664992627490e-02,2.552981735751081e-02,,2.378975721804746e-15,1.421822069283576e-03,3.153525956810942e-15,4.032834126070523e-04,,,1.421822069283576e-03,4.032834126070523e-04,,7.090601080725663e-01,2.925514771755324e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792505755097e-01,9.393791252719247e+00,2.139443296396918e-02,1.053319978689837e-02,10,9.894668002131016e-01,9.801693251876465e-01,9.718670048156592e-01,9.607971942880238e-01,9.349853213199281e-01,9.117791022733238e-01,8.812013226984954e-01,8.564121715486989e-01,8.404463863313348e-01,8.093346879018183e-01,1.777731530760865e-01,1.740264329495659e-01,2.722078209088948e-01,5.961870705710072e-02,3.553601603159318e-02,2.547929088485608e-02,3.053603159475601e-02,1.682729114545618e-02,6.534064484915852e-02,1.426546115025331e-01,1.473676827975396e+00,1.473676827975396e+00,6.802202547337576e-02,6.354544860945455e-02,1,9.364545513905455e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792633164695e-01,8.609635153947735e+00,1.519012174147844e-02,1.148153719787837e-02,10,9.885184628021216e-01,9.825569757552287e-01,9.708100940793890e-01,9.508321875226128e-01,9.240183172746765e-01,9.109466728415599e-01,8.811222120277529e-01,8.563723229190611e-01,8.404542451748310e-01,8.093346925335726e-01,3.263198644045474e-02,4.293466581152553e-02,1.595244693374699e-01,3.410762679854601e-02,7.840209723187323e-02,1.425685409913098e-01,1.765244083072160e-01,2.998522193815333e-01,1.023286498256508e-02,2.322112071750657e-02,9.392592135768877e-01,9.392592135768877e-01,5.093959395448657e-02,9.622238484258738e-02,1,9.037776151574126e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
1,3.162000000000000e+01,0,4,CONTINUE,6.253713406442516e+00,2.016237114643721e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244792486708537e-01,9.373468748980624e+00,7.544206297495472e-01,,,5.950460677502533e+00,8.712916167907681e+00,6.573203702347923e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.699171595609183e-04,NaN,4.570940192733142e-05,NaN,,,3.134622096716329e-01,1.637534947080856e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,8.130155601019269e-03,2.955725089262284e-03,,8.437065059888923e-15,1.699171595609183e-04,7.109264657021158e-15,4.570940192733142e-05,,,1.699171595609183e-04,4.570940192733142e-05,,4.064616332828964e-01,2.889123449220259e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792486708537e-01,9.373468748980624e+00,7.380878874119889e-03,3.362598229240676e-03,10,9.966374017707593e-01,9.934282386883166e-01,9.905150766365765e-01,9.861240256969305e-01,9.781562788560856e-01,9.701646024185597e-01,9.590842624429764e-01,9.496336623081804e-01,9.433609807614135e-01,9.306616521020520e-01,1.657103942903739e-01,1.918871430062339e-01,2.489552274787420e-01,3.607122686854568e-02,3.422414687543796e-02,2.545369979765847e-02,3.278803062790626e-02,1.876915270518006e-02,7.477299182701876e-02,1.713679865229032e-01,1.254414357543374e+00,1.254414357543374e+00,2.561574265562782e-02,2.459142455604357e-02,1,9.754085754439564e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792493336573e-01,8.515766041345222e+00,4.301660163301739e-03,3.700023930862550e-03,10,9.962999760691374e-01,9.942260497777138e-01,9.905103160139792e-01,9.836239580273171e-01,9.743841796010484e-01,9.699083809482778e-01,9.590709518979882e-01,9.496294707599346e-01,9.433613180005709e-01,9.306616522028133e-01,2.999184968226320e-02,3.741841633721464e-02,1.381030117356823e-01,3.131814565775977e-02,8.045151971715106e-02,1.321715503687503e-01,1.821216102384450e-01,3.185292090747422e-01,1.326979596996981e-02,3.662489121802037e-02,8.725255255690929e-01,8.725255255690929e-01,1.773135924727655e-02,3.497817364946809e-02,1,9.650218263505319e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
1,1.000000000000000e+02,0,3,CONTINUE,6.253713406442516e+00,2.014653078552308e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244792485338567e-01,9.366777866021581e+00,7.539756756777247e-01,,,5.965443723312332e+00,8.708875090554134e+00,6.566279980793460e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,1.798665753157166e-05,NaN,9.998172621739163e-04,NaN,,,1.008598169899951e-01,5.314583595851676e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,8.692414289782897e-04,5.314583595851676e-02,,2.583678283913526e-14,1.798665753157166e-05,2.982018404773855e-14,9.998172621739163e-04,,,1.798665753157166e-05,9.998172621739163e-04,,2.302050264080084e-01,2.877517757948237e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792485338567e-01,9.366777866021581e+00,2.387590325324574e-03,1.066464423374769e-03,10,9.989335355766252e-01,9.978937430624686e-01,9.969436216356421e-01,9.954275756849952e-01,9.929501491029532e-01,9.903565580599530e-01,9.866886075620960e-01,9.835055468561062e-01,9.813691606527579e-01,9.769839410426508e-01,1.613371817837807e-01,1.950858341446146e-01,2.401636941839693e-01,3.105686086641312e-02,3.352484083211050e-02,2.537426191488851e-02,3.349449633347888e-02,1.943726349015350e-02,7.814495729059087e-02,1.823806091600009e-01,1.186159044304782e+00,1.186159044304782e+00,8.582212020431003e-03,8.360092286734400e-03,1,9.916399077132656e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792487891200e-01,8.486907059171278e+00,1.328982579956207e-03,1.176898832758955e-03,10,9.988231011672410e-01,9.981449206015083e-01,9.969722179531202e-01,9.947392545656294e-01,9.917379098571615e-01,9.902783606051953e-01,9.866852832418270e-01,9.835046521237085e-01,9.813692167514295e-01,9.769839410561731e-01,2.922834949984261e-02,3.605915978813571e-02,1.320518692974203e-01,3.037795563725922e-02,8.033786745190762e-02,1.296670368702669e-01,1.835040037623783e-01,3.250125998127755e-01,1.392174931387549e-02,3.983940856613766e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
1,3.162000000000000e+02,0,2,CONTINUE,6.253713406442516e+00,2.021822551237532e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244792485072733e-01,9.364632864941273e+00,7.527076754680605e-01,,,5.951477773109073e+00,8.718255931752141e+00,6.562298156524784e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.109774061338060e-04,NaN,3.169996586103780e-04,NaN,,,3.208252805324852e-02,1.681673581432502e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.208252805324852e-02,1.681673581432502e-02,,1.045919442342296e-13,7.109774061338060e-04,1.061272134500454e-13,3.169996586103780e-04,,,7.109774061338060e-04,3.169996586103780e-04,,1.297714501252167e-01,2.873838584509406e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792485072733e-01,9.364632864941273e+00,7.599881113859679e-04,3.375986774721840e-04,10,9.996624013225278e-01,9.993311091634222e-01,9.990277652058029e-01,9.985343174848977e-01,9.977556124970178e-01,9.969287066398863e-01,9.957514072448806e-01,9.947239925253056e-01,9.940318664815877e-01,9.926046627896717e-01,1.598914967682191e-01,1.958293043962739e-01,2.372455590122221e-01,2.971079038273875e-02,3.326910991946176e-02,2.534004368201188e-02,3.371472759547965e-02,1.965325001090044e-02,7.925192534170419e-02,1.860937928909876e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792487241909e-01,8.474443829527878e+00,4.182835059458943e-04,3.730481460382240e-04,10,9.996269518539618e-01,9.994112804267875e-01,9.990399602395712e-01,9.983271833577599e-01,9.973711654209370e-01,9.969043916673506e-01,9.957504378829716e-01,9.947237439902937e-01,9.940318827180645e-01,9.926046627934230e-01,2.935187753266556e-02,3.601296546483383e-02,1.310112780801506e-01,3.030780542548993e-02,8.093740562824808e-02,1.299337850573280e-01,1.836549494562210e-01,3.283011559281601e-01,1.308103568464529e-02,3.740774174225724e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,coarse,coarse
1,1.000000000000000e+03,0,2,CONTINUE,6.253713406442516e+00,2.013940055045401e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244792485001018e-01,9.363951327204061e+00,7.546161485806704e-01,,,5.951105433997234e+00,8.712606406102944e+00,6.574673490272681e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.252163560434028e-04,NaN,1.008566813714799e-04,NaN,,,1.016336844051642e-02,5.358723900614886e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.016336844051642e-02,5.358723900614886e-03,,3.436928355298030e-13,2.252163560434028e-04,2.838588298755744e-13,1.008566813714799e-04,,,2.252163560434028e-04,1.008566813714799e-04,,7.302932076796127e-02,2.872673950183406e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792485001018e-01,9.363951327204061e+00,2.407809221496881e-04,1.067811209114478e-04,10,9.998932188790886e-01,9.997882206769950e-01,9.996920183388879e-01,9.995345531803156e-01,9.992888229302264e-01,9.990266886603375e-01,9.986526690338597e-01,9.983256819911555e-01,9.981051431612380e-01,9.976497091138400e-01,1.594277033613395e-01,1.960373267784032e-01,2.363094049912244e-01,2.930788842181737e-02,3.318455594819975e-02,2.532823850509424e-02,3.378396148537664e-02,1.972200423728217e-02,7.960615919373723e-02,1.872927570775252e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792486798642e-01,8.473944485326383e+00,1.319487996042386e-04,1.179948732090708e-04,10,9.998820051267909e-01,9.998133094350707e-01,9.996960952058929e-01,9.994703924109172e-01,9.991670050074162e-01,9.990190194645527e-01,9.986523696066004e-01,9.983256065714415e-01,9.981051476159305e-01,9.976497091148330e-01,2.904057539138556e-02,3.566822929469645e-02,1.299204003200664e-01,3.005316912798781e-02,8.042041935637895e-02,1.290627858386511e-01,1.839776506997696e-01,3.282402899883092e-01,1.380760331576556e-02,3.980887666699018e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
1,3.162000000000000e+03,0,2,CONTINUE,6.253713406442516e+00,2.011386335554524e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244792484978165e-01,9.363735524931462e+00,7.552316164057129e-01,,,5.950982043223441e+00,8.710801528319321e+00,6.578672718421956e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.126663590178552e-05,NaN,3.195909304338310e-05,NaN,,,3.216120535644882e-03,1.698905357865949e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.216120535644882e-03,1.698905357865949e-03,,1.114660775699096e-12,7.126663590178552e-05,7.514520404979757e-13,3.195909304338310e-05,,,7.126663590178552e-05,3.195909304338310e-05,,4.107935417970068e-02,2.872305624461487e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792484978165e-01,9.363735524931462e+00,7.619499435135470e-05,3.377336455268054e-05,10,9.999662266354473e-01,9.999329960624508e-01,9.999025430885140e-01,9.998525989890433e-01,9.997749355645484e-01,9.996919675053116e-01,9.995735050732423e-01,9.994698803935512e-01,9.993999636230149e-01,9.992555111071801e-01,1.592804006156456e-01,1.961003780535110e-01,2.360121195058928e-01,2.918274365059061e-02,3.315744851945459e-02,2.532440535835903e-02,3.380580562959738e-02,1.974378552308821e-02,7.971857163051654e-02,1.876743415133444e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792486661318e-01,8.473791586450849e+00,4.169821174822736e-05,3.732021592939283e-05,10,9.999626797840706e-01,9.999409041474662e-01,9.999038543012446e-01,9.998324423709506e-01,9.997363847651086e-01,9.996895440569877e-01,9.995734110795473e-01,9.994698568510986e-01,9.993999649698385e-01,9.992555111074751e-01,2.894156365621307e-02,3.555967556618832e-02,1.295723997543209e-01,2.997236865025223e-02,8.025535634133189e-02,1.287848893668940e-01,1.840742728261461e-01,3.282124649126400e-01,1.404116104423369e-02,4.058584788177911e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
1,1.000000000000000e+04,0,2,CONTINUE,6.253713406442516e+00,2.010572389565672e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244792484978063e-01,9.363667239372026e+00,7.554275026800192e-01,,,5.950942447136481e+00,8.710228827761858e+00,6.579946411127652e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.253858833761105e-05,NaN,1.011174182571395e-05,NaN,,,1.017127608576871e-03,5.376135106941063e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.017127608576871e-03,5.376135106941063e-04,,2.343623036078391e-12,2.253858833761105e-05,3.024134573802317e-12,1.011174182571395e-05,,,2.253858833761105e-05,1.011174182571395e-05,,2.310141267894193e-02,2.872189120120370e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792484978063e-01,9.363667239372026e+00,2.409750888986783e-05,1.067946238342277e-05,10,9.999893205376166e-01,9.999788106007501e-01,9.999691785263420e-01,9.999533716764532e-01,9.999288195304339e-01,9.999025783654557e-01,9.998651028484437e-01,9.998323153571782e-01,9.998101906170073e-01,9.997644727095029e-01,1.592337449537377e-01,1.961200477333548e-01,2.359179646225525e-01,2.914338563749206e-02,3.314883737730683e-02,2.532318286030622e-02,3.381270981233468e-02,1.975067876370688e-02,7.975416690944759e-02,1.877952813297616e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792486639201e-01,8.473743722144309e+00,1.318183891662951e-05,1.180102008946360e-05,10,9.999881989799105e-01,9.999813084922455e-01,9.999695953138313e-01,9.999470116471719e-01,9.999166272584282e-01,9.999018122706603e-01,9.998650731976158e-01,9.998323079437756e-01,9.998101910368484e-01,9.997644727095950e-01,2.891019069634516e-02,3.552538575174414e-02,1.294620267429400e-01,2.994678427915159e-02,8.020299013866794e-02,1.286967457807267e-01,1.841042873036562e-01,3.282028009137681e-01,1.411541220285813e-02,4.083337619014221e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
1,3.162000000000000e+04,0,2,CONTINUE,6.253713406442516e+00,2.010314412228118e+00,1.000000000000000e-09,1.000000000000000e-01,3.407425039940737e-13,4.244792484936476e-01,9.363645645865716e+00,7.554895600379943e-01,,,5.950929870781065e+00,8.710047569960389e+00,6.580350006539375e+00,3.094758138346185e+00,3.094758138346185e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.128361266075592e-06,NaN,3.198522405757855e-06,NaN,,,3.216912754349980e-04,1.700652615989883e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.216912754349980e-04,1.700652615989883e-04,,7.590813603127868e-12,7.128361266075592e-06,8.371172964896611e-12,3.198522405757855e-06,,,7.128361266075592e-06,3.198522405757855e-06,,1.299177114529883e-02,2.872152283456241e+00,7.083615610137737e-01,1.127775443194125e+00,3.094758138346185e+00,1.000000000000000e+00,4.244792484936476e-01,9.363645645865716e+00,7.621435104846403e-06,3.377471535004339e-06,10,9.999966225284650e-01,9.999932984598652e-01,9.999902519786878e-01,9.999852515213044e-01,9.999774872725750e-01,9.999691876925236e-01,9.999573340824854e-01,9.999469627189351e-01,9.999399639404987e-01,9.999255011935367e-01,1.592189869012259e-01,1.961262395045516e-01,2.358881825036181e-01,2.913096387921377e-02,3.314611098707407e-02,2.532279532596457e-02,3.381489226442501e-02,1.975285866670914e-02,7.976542533655132e-02,1.878335446306672e-01,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.244792486644577e-01,8.473728638527817e+00,4.168515886303671e-06,3.732174673531929e-06,10,9.999962678253265e-01,9.999940881671634e-01,9.999903840080245e-01,9.999832414771520e-01,9.999736311485452e-01,9.999689454308168e-01,9.999573247122385e-01,9.999469603774703e-01,9.999399640726803e-01,9.999255011935667e-01,2.890026568042543e-02,3.551454853817541e-02,1.294270989900750e-01,2.993869230291968e-02,8.018641735293078e-02,1.286688520307031e-01,1.841137224306950e-01,3.281996589512648e-01,1.413892655081601e-02,4.091181717199554e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,coarse,coarse
