iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,2.079587309668764e+05,0,15,CONTINUE,9.999999725533446e-01,3.272816684628402e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,6.960772563266990e-01,1.134106212896280e+01,5.723991050654236e+00,7,0,0,REACHED,7,0,0,REACHED,1,0,0,REACHED,7.353774411708335e+00,1.068131700198424e-01,1.924353711686886e-14,9.939421900568752e-01,8.345934669810787e-02,1.941581749892930e-14,6.462048806675120e-01,6.462048806675120e-01,NaN,false
1,3.162000000000000e+00,2.079587309668764e+05,0,11,CONTINUE,9.999999725533446e-01,3.219108623779824e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.017603970014632e-01,1.134106212896280e+01,5.723991050654236e+00,5,0,0,REACHED,5,0,0,REACHED,1,0,0,REACHED,4.041193909715367e+00,7.951723381247390e-02,3.850420485917541e-14,5.935076679806340e-01,5.789955779943409e-02,4.594511405415213e-14,2.856311957121079e-01,2.856311957121079e-01,NaN,false
1,1.000000000000000e+01,2.079587309668764e+05,0,7,CONTINUE,9.999999725533446e-01,3.159179783832630e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.069476765390924e-01,1.134106212896280e+01,5.723991050654236e+00,4,0,0,REACHED,2,0,0,REACHED,1,0,0,REACHED,1.695324278978786e+00,8.897024664195757e-02,9.740098921695321e-14,2.595279745740366e-01,2.344798764877925e-02,1.542853634445325e-13,1.237636441781874e-01,1.237636441781874e-01,NaN,false
1,3.162000000000000e+01,2.079587309668764e+05,0,6,CONTINUE,9.999999725533446e-01,3.128552779276126e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.109461137127626e-01,1.134106212896280e+01,5.723991050654236e+00,2,0,0,REACHED,3,0,0,REACHED,1,0,0,REACHED,6.006410417855785e-01,3.277573116607718e-02,3.151491464747982e-13,9.896928027423413e-02,9.992880432251086e-02,4.343171718408477e-13,4.868480169641888e-02,4.868480169641888e-02,NaN,false
1,1.000000000000000e+02,2.079587309668764e+05,0,4,CONTINUE,9.999999725533446e-01,3.119455611425517e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.109531251731526e-01,1.134106212896280e+01,5.723991050654236e+00,2,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,1.976135185472098e-01,1.090921880290246e-02,1.152672506990729e-12,3.441148155545177e-02,2.277694795427944e-02,1.810334872278839e-12,1.728310265966479e-02,1.728310265966479e-02,NaN,false
1,3.162000000000000e+02,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.118367468213798e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.105946257929977e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,6.331695051750680e-02,6.173637750100582e-02,4.332597461849283e-12,1.118130580411314e-02,7.289905755002080e-03,5.283274885259145e-12,5.726224533134514e-03,5.726224533134514e-03,NaN,true
1,1.000000000000000e+03,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.127463171973847e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.099281604479895e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.010473709239731e-02,1.960510769265792e-02,1.453697186224694e-11,3.610518798814855e-03,2.324046704398517e-03,1.451686988193422e-11,1.839980933581989e-03,1.839980933581989e-03,NaN,false
1,3.162000000000000e+03,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.130328706528149e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.097196617207644e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,6.366687003448819e-03,6.208707167621031e-03,4.086069330690469e-11,1.150091882257624e-03,7.372857612172142e-04,5.170983121320809e-11,5.849590570440410e-04,5.849590570440410e-04,NaN,false
1,1.000000000000000e+04,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.131233709017199e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.096539676745203e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.013993742861402e-03,1.964044128407728e-03,1.236008627204208e-10,3.645090665376747e-04,2.333730667514852e-04,1.265139354140170e-10,1.852735509914525e-04,1.852735509914525e-04,NaN,false
1,3.162000000000000e+04,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.131519706771549e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.096332228686821e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,6.370214549189145e-04,6.212249911512618e-04,3.741219128364700e-10,1.153638268097281e-04,7.383031090763680e-05,5.065440236229404e-10,5.862486089392310e-05,5.862486089392310e-05,NaN,false
