iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,2.079587309668764e+05,0,10,CONTINUE,9.999999725533446e-01,3.198870899703657e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.039197200537289e-01,1.134106212896280e+01,5.723991050654236e+00,4,0,0,REACHED,3,0,0,REACHED,3,0,0,REACHED,7.353774411708335e+00,1.068268013493182e-01,1.826082247318053e-14,9.942728597988950e-01,8.964658312869697e-02,1.842615596174380e-14,6.462048806675120e-01,7.894213366187108e-02,5.152741071260652e-15,false
1,3.162000000000000e+00,2.079587309668764e+05,0,7,CONTINUE,9.999999725533446e-01,3.214674141873909e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.012483345771077e-01,1.134106212896280e+01,5.723991050654236e+00,3,0,0,REACHED,2,0,0,REACHED,2,0,0,REACHED,4.041193909715367e+00,7.959129577853309e-02,3.744700436813762e-14,5.945279857107557e-01,1.110499263946925e-01,4.436338259425725e-14,2.856311957121079e-01,1.008978011197453e-01,1.198317723843453e-14,false
1,1.000000000000000e+01,2.079587309668764e+05,0,6,CONTINUE,9.999999725533446e-01,3.175681836665356e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.057255775071134e-01,1.134106212896280e+01,5.723991050654236e+00,2,0,0,REACHED,2,1,1,REACHED,1,0,0,REACHED,1.695324278978786e+00,9.928051588007854e-02,9.520629967439405e-14,2.680194045050684e-01,1.443673152384599e-01,1.470565104983621e-13,1.237636441781874e-01,1.237636441781874e-01,3.844153647162793e-14,false
1,3.162000000000000e+01,2.079587309668764e+05,0,4,CONTINUE,9.999999725533446e-01,3.120713751238058e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.111531486584718e-01,1.134106212896280e+01,5.723991050654236e+00,2,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,6.006410417855785e-01,3.289208974102849e-02,3.142204283322926e-13,9.933766480791772e-02,6.936413779549823e-02,3.731818642295217e-13,4.868480169641888e-02,4.868480169641889e-02,1.150157732897504e-13,false
1,1.000000000000000e+02,2.079587309668764e+05,0,4,CONTINUE,9.999999725533446e-01,3.125333828639216e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.103795897190560e-01,1.134106212896280e+01,5.723991050654236e+00,2,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,1.976135185472098e-01,1.092673774853326e-02,1.153066517575675e-12,3.445969354444058e-02,2.279770126843714e-02,1.735351720040274e-12,1.728310265966479e-02,1.728310265966480e-02,3.829822196943885e-13,false
1,3.162000000000000e+02,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.120388176502521e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.103974687439656e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,6.331695051750680e-02,6.173548063511913e-02,4.332372867599981e-12,1.118673309912455e-02,7.292193978235388e-03,5.808115577924863e-12,5.726224533134514e-03,5.726224533134521e-03,1.377440392650235e-12,true
1,1.000000000000000e+03,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.128124277564434e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.098636630882944e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.010473709239731e-02,1.960501530591510e-02,1.453755487112040e-11,3.611079908456083e-03,2.324268684403786e-03,1.342171642809471e-11,1.839980933581989e-03,1.839980933581995e-03,3.918082693363753e-12,false
1,3.162000000000000e+03,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.130540114280033e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.096990373974069e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,6.366687003448819e-03,6.208697838236624e-03,4.086126889453375e-11,1.150148619394386e-03,7.373076971020993e-04,4.778263774116402e-11,5.849590570440410e-04,5.849590570440469e-04,1.489948991391264e-11,false
1,1.000000000000000e+04,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.131300792907210e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.096474232253415e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.013993742861402e-03,1.964043192783035e-03,1.235995155538568e-10,3.645147590881472e-04,2.333752509872023e-04,1.350182732194525e-10,1.852735509914525e-04,1.852735509914578e-04,3.971288337740911e-11,false
1,3.162000000000000e+04,2.079587309668764e+05,0,3,CONTINUE,9.999999725533446e-01,3.131540946203401e-01,0.000000000000000e+00,1.000000000000000e-01,5.315564964005724e-14,4.753055978398937e+01,7.096311508363615e-01,1.134106212896280e+01,5.723991050654236e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,6.370214549189145e-04,6.212248974821036e-04,3.741226824552032e-10,1.153643967960874e-04,7.383052908097264e-05,4.947170464749208e-10,5.862486089392310e-05,5.862486089392882e-05,1.595447353735508e-10,false
