iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,chosen
1,1.000000e+00,0,11,CONTINUE,1.614379e+07,2.011900e+06,1.000000e-09,1.000000e-01,4.176479e-10,6.703637e-12,8.909249e-01,,,4.346798e+03,7.909226e+03,7.046526e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,6,0,0,5,0,0,,,,1.858965e-06,NaN,1.619883e-06,NaN,,,6.895625e+03,1.072611e+03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+00,0,11,CONTINUE,1.614379e+07,2.011901e+06,1.000000e-09,1.000000e-01,4.176479e-10,6.703503e-12,8.909249e-01,,,4.346874e+03,7.909226e+03,7.046526e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,6,0,0,5,0,0,,,,1.860478e-06,NaN,1.242726e-06,NaN,,,2.482888e+03,6.919913e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+01,0,9,CONTINUE,1.614379e+07,2.011881e+06,1.000000e-09,1.000000e-01,4.176479e-10,6.703503e-12,8.909237e-01,,,4.346905e+03,7.909262e+03,7.046549e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,5,0,0,4,0,0,,,,1.999714e-06,NaN,3.400335e-06,NaN,,,9.109187e+02,3.363729e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+01,0,7,CONTINUE,1.614379e+07,2.011865e+06,1.000000e-09,1.000000e-01,4.176479e-10,4.530131e-12,8.909248e-01,,,4.346960e+03,7.909306e+03,7.046597e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,3,0,0,,,,2.072745e-06,NaN,1.932503e-06,NaN,,,3.158172e+02,1.289511e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+02,0,6,CONTINUE,1.614379e+07,2.011899e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.969002e-12,8.909250e-01,,,4.346872e+03,7.909288e+03,7.046582e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,2.013670e-06,NaN,1.410875e-06,NaN,,,1.037329e+02,4.374429e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+02,0,5,CONTINUE,1.614379e+07,2.011892e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.968990e-12,8.909251e-01,,,4.346894e+03,7.909713e+03,7.046961e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,2.352591e-06,NaN,1.695642e-06,NaN,,,3.324204e+01,1.416205e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+03,0,4,CONTINUE,1.614379e+07,2.011902e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.308757e-12,8.909245e-01,,,4.346866e+03,7.911959e+03,7.048958e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.373106e-06,NaN,1.281511e-06,NaN,,,1.055662e+01,4.511947e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+03,0,4,CONTINUE,1.614379e+07,2.011900e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.308708e-12,8.909245e-01,,,4.346830e+03,7.936442e+03,7.070771e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.933034e-06,NaN,1.251174e-06,NaN,,,3.343665e+00,1.430987e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+04,0,4,CONTINUE,1.614379e+07,2.011900e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.308707e-12,8.909239e-01,,,4.346730e+03,8.178627e+03,7.286534e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.937189e-06,NaN,1.283952e-06,NaN,,,1.059266e+00,4.547872e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+04,0,4,CONTINUE,1.614379e+07,2.011900e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.291898e-12,8.909216e-01,,,4.346405e+03,1.040162e+04,9.267031e+03,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.090293e-06,NaN,1.400302e-06,NaN,,,3.398683e-01,1.499255e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+05,0,3,CONTINUE,1.614379e+07,2.012005e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.107217e-12,8.909101e-01,,,4.345713e+03,1.991766e+04,1.774485e+04,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,2.586842e-06,NaN,1.799619e-06,NaN,,,1.216637e-01,6.341497e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+05,0,2,CONTINUE,1.614379e+07,2.011988e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.107221e-12,8.909020e-01,,,4.344770e+03,3.365252e+04,2.998109e+04,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.552814e-06,NaN,1.421508e-06,NaN,,,6.871151e-02,4.657628e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,true
1,1.000000e+06,0,2,CONTINUE,1.614379e+07,2.012132e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.107185e-12,8.908572e-01,,,4.340252e+03,1.030098e+05,9.176699e+04,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.041457e-06,NaN,1.299834e-06,NaN,,,6.064785e-02,4.414596e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+06,0,2,CONTINUE,1.614379e+07,2.012615e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.106114e-12,8.907182e-01,,,4.327048e+03,3.177883e+05,2.830598e+05,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.843939e-06,NaN,1.255358e-06,NaN,,,5.889420e-02,4.273070e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+07,0,2,CONTINUE,1.614379e+07,2.014123e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.103154e-12,8.903253e-01,,,4.293786e+03,9.435870e+05,8.400994e+05,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.678152e-06,NaN,1.224906e-06,NaN,,,5.617265e-02,3.959088e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+07,0,2,CONTINUE,1.614379e+07,2.019813e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.051928e-12,8.893944e-01,,,4.238451e+03,2.580706e+06,2.295266e+06,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.382677e-06,NaN,1.181177e-06,NaN,,,4.988002e-02,3.423293e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+08,0,2,CONTINUE,1.614379e+07,2.036759e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.051922e-12,8.878254e-01,,,4.200434e+03,6.760196e+06,6.001874e+06,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.206231e-06,NaN,1.129661e-06,NaN,,,4.017260e-02,3.110892e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+08,0,2,CONTINUE,1.614379e+07,2.074961e+06,1.000000e-09,1.000000e-01,4.176479e-10,3.051407e-12,8.851987e-01,,,4.187243e+03,1.947491e+07,1.723916e+07,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.145661e-06,NaN,1.091698e-06,NaN,,,3.304436e-02,3.059452e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+09,0,2,CONTINUE,1.614379e+07,2.150967e+06,1.000000e-09,1.000000e-01,4.176479e-10,9.407667e-13,8.783033e-01,,,4.165919e+03,5.834502e+07,5.124463e+07,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.089542e-06,NaN,1.024948e-06,NaN,,,3.035165e-02,2.871569e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+09,0,2,CONTINUE,1.614379e+07,2.307479e+06,1.000000e-09,1.000000e-01,4.176479e-10,7.913995e-13,8.593953e-01,,,4.137280e+03,1.625325e+08,1.396797e+08,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.003554e-06,NaN,8.382665e-07,NaN,,,2.813827e-02,2.369485e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+10,0,2,CONTINUE,1.614379e+07,2.565571e+06,1.000000e-09,1.000000e-01,4.176479e-10,7.914005e-13,8.212402e-01,,,4.200570e+03,3.712375e+08,3.048752e+08,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.872543e-06,NaN,1.352829e-06,NaN,,,2.360441e-02,1.411424e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+10,0,2,CONTINUE,1.614379e+07,3.484617e+06,1.000000e-09,1.000000e-01,4.176479e-10,7.914048e-13,7.522505e-01,,,4.447753e+03,6.226010e+08,4.683519e+08,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,4.131921e-06,NaN,3.833628e-06,NaN,,,1.632670e-02,5.792592e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+11,0,2,CONTINUE,1.614379e+07,4.220247e+06,1.000000e-09,1.000000e-01,4.176479e-10,7.914153e-13,7.323461e-01,,,4.943264e+03,8.541849e+08,6.255590e+08,6.924373e-08,6.040560e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.109531e-05,NaN,1.385109e-05,NaN,,,9.462762e-03,4.144420e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
