iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,chosen
1,1.000000e+00,0,5,CONTINUE,1.000000e+00,9.555080e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323879e-01,9.900000e-01,7.183631e-01,1.617746e-01,2.533833e+00,9.639748e-01,9.543351e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,2,0,0,1.090367e-02,NaN,1.257775e-02,NaN,8.680371e-03,NaN,8.223362e-01,9.560813e-02,4.337878e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+00,0,5,CONTINUE,1.000000e+00,9.597596e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323586e-01,9.900000e-01,7.207579e-01,1.579792e-01,2.527649e+00,9.743210e-01,9.645778e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,2,0,0,1.875217e-03,NaN,4.280945e-03,NaN,1.793490e-03,NaN,3.027268e-01,3.624683e-02,1.546743e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,1.000000e+01,0,4,CONTINUE,1.000000e+00,9.624212e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.214949e-01,1.567625e-01,2.523331e+00,9.752357e-01,9.654833e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,1.175395e-03,NaN,1.940454e-03,NaN,6.410366e-03,NaN,1.015579e-01,1.277595e-02,5.140349e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,9.633107e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.223503e-01,1.571860e-01,2.521747e+00,9.696302e-01,9.599339e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.605377e-03,NaN,6.216399e-04,NaN,2.043439e-03,NaN,3.278015e-02,4.159734e-03,1.655171e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,true
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,9.643353e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.227348e-01,1.560573e-01,2.521521e+00,9.729626e-01,9.632330e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.468708e-03,NaN,1.998226e-04,NaN,6.492200e-04,NaN,1.043426e-02,1.342223e-03,5.265075e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,9.646835e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.228616e-01,1.556938e-01,2.521436e+00,9.740212e-01,9.642810e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.657525e-04,NaN,6.351618e-05,NaN,2.059261e-04,NaN,3.306912e-03,4.274161e-04,1.668318e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,9.647961e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.229022e-01,1.555782e-01,2.521408e+00,9.743565e-01,9.646129e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.473980e-04,NaN,2.011577e-05,NaN,6.517492e-05,NaN,1.046351e-03,1.354500e-04,5.278454e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,9.648319e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.229151e-01,1.555415e-01,2.521399e+00,9.744625e-01,9.647179e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.662816e-05,NaN,6.364915e-06,NaN,2.061805e-05,NaN,3.309848e-04,4.286715e-05,1.669664e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,9.648433e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.229192e-01,1.555299e-01,2.521397e+00,9.744961e-01,9.647511e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.474510e-05,NaN,2.012905e-06,NaN,6.520041e-06,NaN,1.046645e-04,1.355764e-05,5.279802e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,9.648469e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.229205e-01,1.555263e-01,2.521396e+00,9.745067e-01,9.647616e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.663345e-06,NaN,6.366243e-07,NaN,2.062060e-06,NaN,3.310142e-05,4.287982e-06,1.669799e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
1,1.000000e+05,0,3,CONTINUE,1.000000e+00,9.648481e-02,1.000000e-09,1.000000e-01,8.472579e-14,9.323582e-01,9.900000e-01,7.229209e-01,1.555251e-01,2.521395e+00,9.745100e-01,9.647649e-01,1.364034e+00,1.442274e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.474563e-06,NaN,2.013038e-07,NaN,6.520296e-07,NaN,1.046674e-05,1.355890e-06,5.279937e-06,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,false
