iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,4.650408328427438e+05,0,9,CONTINUE,1.000000000000000e+00,2.807293246145855e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.194556929555947e-01,3.500000000000000e+00,2.000169843425989e+00,5,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,3,0,0,REACHED_FORCE,3.014430317809484e+00,8.489082255777144e-03,1.839102100769972e-15,5.048903006770463e-03,3.172225076179895e-02,2.083132132319678e-15,1.166599717440810e+00,6.478468129238511e-02,3.658198672225716e-16,false
1,3.162000000000000e+00,4.650408328427438e+05,0,6,CONTINUE,1.000000000000000e+00,2.940099025729597e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,6.985773002350454e-01,3.500000000000000e+00,2.000169843425989e+00,3,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,2,0,0,REACHED_FORCE,2.045284543427640e+00,3.141148522982283e-02,3.936705545263258e-15,1.240235543933093e-02,4.613427903137897e-02,4.512246323919327e-15,4.930949600720989e-01,9.057900997325957e-02,6.790683148694287e-16,false
1,1.000000000000000e+01,4.650408328427438e+05,0,6,CONTINUE,1.000000000000000e+00,2.830777805423407e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.155849355905167e-01,3.500000000000000e+00,2.000169843425989e+00,3,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,2,0,0,REACHED_FORCE,1.139955310603597e+00,2.712218317877604e-03,9.614867413621765e-15,1.524668982355520e-03,1.223807369124007e-02,8.105773127724876e-15,2.097681455571846e-01,2.392845341360424e-02,2.439854221469488e-15,false
1,3.162000000000000e+01,4.650408328427438e+05,0,4,CONTINUE,1.000000000000000e+00,2.852717455910497e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.109884002137874e-01,3.500000000000000e+00,2.000169843425989e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,4.833549270173497e-01,6.748330922494654e-03,2.724891265933918e-14,1.582134743127686e-03,2.145067840889598e-02,4.278619524123030e-14,8.109469114156206e-02,4.054734557078103e-02,7.447653421464879e-15,false
1,1.000000000000000e+02,4.650408328427438e+05,0,4,CONTINUE,1.000000000000000e+00,2.824346890462577e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.164521268953905e-01,3.500000000000000e+00,2.000169843425989e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.715896064118425e-01,1.716516943754331e-03,9.482992422249115e-14,2.013143955868882e-04,7.338262374782548e-03,1.136331204302558e-13,2.799349825557189e-02,1.399674912778595e-02,2.099777686723019e-14,false
1,3.162000000000000e+02,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.687995997859512e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.287480914796902e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.646555006116242e-02,2.779940780306897e-02,2.361548853055614e-13,2.340270014852621e-04,2.121613361142729e-03,2.377246831521068e-13,9.132912789679372e-03,4.566456394839686e-03,7.364622168359098e-14,true
1,1.000000000000000e+03,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.766884087506076e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.227542681882309e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.808653956547599e-02,8.891693429611281e-03,9.786862520369411e-13,2.416329831426131e-05,7.340099571855955e-04,8.437230260954653e-13,2.917497988269447e-03,1.458748994134724e-03,2.041936513531689e-13,false
1,3.162000000000000e+03,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.792361199802551e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.208440426361982e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.743587570543438e-03,2.822360033255207e-03,3.969549834070184e-12,2.773476655285334e-06,2.385625909943545e-04,3.371210641290635e-12,9.256983651843804e-04,4.628491825921902e-04,6.490492144930514e-13,false
1,1.000000000000000e+04,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.800473037746580e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.202383432555268e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.818497658675876e-03,8.934668021159478e-04,9.156332063331353e-12,3.940630579894887e-07,7.607995038848674e-05,6.665866357371208e-12,2.930100208574214e-04,1.465050104287107e-04,2.406516812098958e-12,false
1,3.162000000000000e+04,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.803053168896074e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.200464341666195e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.753478746939375e-04,2.826676338821868e-04,2.992692456547700e-11,7.902787546400472e-08,2.412458000852943e-05,4.245420461021898e-11,9.269651613360259e-05,4.634825806680130e-05,6.492578360950746e-12,false
