iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,4.650408328427438e+05,0,13,CONTINUE,1.000000000000000e+00,2.858657631869022e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.145285955251005e-01,3.500000000000000e+00,2.000169843425989e+00,4,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,8,0,0,REACHED_FORCE,3.014430317809484e+00,7.420763895821773e-02,1.314288321051255e-15,1.588723918868748e-02,7.943619594343889e-03,1.384350777114126e-15,1.166599717440810e+00,2.901088391788885e-16,4.164955862364536e-16,false
1,3.162000000000000e+00,4.650408328427438e+05,0,12,CONTINUE,1.000000000000000e+00,2.832649031292351e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.171090531284764e-01,3.500000000000000e+00,2.000169843425989e+00,3,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,8,0,0,REACHED_FORCE,2.045284543427640e+00,3.310216307343420e-02,3.445186814082375e-15,3.936306323217968e-03,1.968153161609142e-03,4.649970260458305e-15,4.930949600720989e-01,2.417684301395710e-16,6.459658574571531e-16,false
1,1.000000000000000e+01,4.650408328427438e+05,0,10,CONTINUE,1.000000000000000e+00,2.717281499971071e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.288703937117591e-01,3.500000000000000e+00,2.000169843425989e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,7,0,0,REACHED_FORCE,1.139955310603597e+00,5.905561689683664e-02,9.737745654052691e-15,4.904853202965607e-03,2.452426601482884e-03,9.970567345511297e-15,2.097681455571846e-01,4.972577094663231e-14,2.420751737800454e-15,false
1,3.162000000000000e+01,4.650408328427438e+05,0,9,CONTINUE,1.000000000000000e+00,2.796330569754711e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.207690643180777e-01,3.500000000000000e+00,2.000169843425989e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,6,0,0,REACHED_FORCE,4.833549270173497e-01,6.449980067372353e-03,2.746960638876153e-14,2.293197730436554e-04,1.146598865223455e-04,2.652527527909668e-14,8.109469114156206e-02,3.561912135992261e-14,7.697797058642879e-15,false
1,1.000000000000000e+02,4.650408328427438e+05,0,7,CONTINUE,1.000000000000000e+00,2.437550744894513e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.502767033196923e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5,0,0,REACHED_FORCE,1.715896064118425e-01,8.579480320592110e-02,9.335041109781929e-14,2.296400485075099e-03,1.148200242538006e-03,1.113655698587265e-13,2.799349825557189e-02,6.353282254493078e-14,2.111649596595461e-14,false
1,3.162000000000000e+02,4.650408328427438e+05,0,7,CONTINUE,1.000000000000000e+00,2.681510837753402e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.298802578881741e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5,0,0,REACHED_FORCE,5.646555006116242e-02,2.823277503058118e-02,2.360980813713873e-13,2.187785471615621e-04,1.093892735807238e-04,3.268789457226481e-13,9.132912789679372e-03,6.154528997513616e-16,7.388702398003510e-14,false
1,1.000000000000000e+03,4.650408328427438e+05,0,7,CONTINUE,1.000000000000000e+00,2.764707196036922e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.231311965321595e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,4,1,1,REACHED_FORCE,1.808653956547599e-02,9.043269782738164e-03,9.724489234410492e-13,2.241249879128234e-05,1.120624939544891e-05,1.097906724378903e-12,2.917497988269447e-03,1.961833315152722e-14,2.042821696224500e-13,false
1,3.162000000000000e+03,4.650408328427438e+05,0,7,CONTINUE,1.000000000000000e+00,2.791661240790111e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.209651507636269e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,4,1,1,REACHED_FORCE,5.743587570543438e-03,2.871793785271285e-03,3.924750216263985e-12,2.593859253247514e-06,1.296929626588753e-06,2.365676866195293e-12,9.256983651843804e-04,2.332541980949955e-16,6.492728869905036e-13,false
1,1.000000000000000e+04,4.650408328427438e+05,0,7,CONTINUE,1.000000000000000e+00,2.800249905924846e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.202768452693931e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,4,1,1,REACHED_FORCE,1.818497658675876e-03,9.092488293378926e-04,9.023541580836551e-12,3.754271066532931e-07,1.877135532664882e-07,9.312708837761143e-12,2.930100208574214e-04,3.040470972244059e-16,2.406514118973513e-12,false
1,3.162000000000000e+04,4.650408328427438e+05,0,6,CONTINUE,1.000000000000000e+00,2.802980604212838e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.200586768720101e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,3,1,1,REACHED_FORCE,5.753478746939375e-04,2.876739373469688e-04,2.999184325428077e-11,7.669955662008672e-08,3.834977851039719e-08,2.867115792480265e-11,9.269651613360259e-05,1.010822997321131e-14,6.492632221757366e-12,false
