iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,4.650408328427438e+05,0,10,CONTINUE,1.000000000000000e+00,2.803079550091296e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.201683589696278e-01,3.500000000000000e+00,2.000169843425989e+00,5,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,4,0,0,REACHED_FORCE,3.014430317809484e+00,2.328157292986980e-03,1.363667223744694e-15,6.010130841615189e-04,6.359946970641536e-03,1.726130447654562e-15,1.166599717440810e+00,1.239050528032585e-02,3.216492706443278e-16,false
1,3.162000000000000e+00,4.650408328427438e+05,0,7,CONTINUE,1.000000000000000e+00,2.832153229778362e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.171915796222933e-01,3.500000000000000e+00,2.000169843425989e+00,3,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,3,0,0,REACHED_FORCE,2.045284543427640e+00,3.259457725709547e-02,4.356887021253158e-15,4.037742946378577e-03,2.264774183946582e-03,3.730725721309807e-15,4.930949600720989e-01,5.584863596541049e-03,6.428192677279770e-16,false
1,1.000000000000000e+01,4.650408328427438e+05,0,6,CONTINUE,1.000000000000000e+00,2.830777805423407e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.155849355905167e-01,3.500000000000000e+00,2.000169843425989e+00,3,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,2,0,0,REACHED_FORCE,1.139955310603597e+00,2.712218317877604e-03,9.614867413621765e-15,1.524668982355520e-03,1.223807369124007e-02,8.105773127724876e-15,2.097681455571846e-01,2.392845341360424e-02,2.439854221469488e-15,false
1,3.162000000000000e+01,4.650408328427438e+05,0,4,CONTINUE,1.000000000000000e+00,2.852717455910497e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.109884002137874e-01,3.500000000000000e+00,2.000169843425989e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,4.833549270173497e-01,6.748330922494654e-03,2.724891265933918e-14,1.582134743127686e-03,2.145067840889598e-02,4.278619524123030e-14,8.109469114156206e-02,4.054734557078103e-02,7.447653421464879e-15,false
1,1.000000000000000e+02,4.650408328427438e+05,0,4,CONTINUE,1.000000000000000e+00,2.824346890462577e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.164521268953905e-01,3.500000000000000e+00,2.000169843425989e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.715896064118425e-01,1.716516943754331e-03,9.482992422249115e-14,2.013143955868882e-04,7.338262374782548e-03,1.136331204302558e-13,2.799349825557189e-02,1.399674912778595e-02,2.099777686723019e-14,false
1,3.162000000000000e+02,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.687995997859512e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.287480914796902e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.646555006116242e-02,2.779940780306897e-02,2.361548853055614e-13,2.340270014852621e-04,2.121613361142729e-03,2.377246831521068e-13,9.132912789679372e-03,4.566456394839686e-03,7.364622168359098e-14,true
1,1.000000000000000e+03,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.766884087506076e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.227542681882309e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.808653956547599e-02,8.891693429611281e-03,9.786862520369411e-13,2.416329831426131e-05,7.340099571855955e-04,8.437230260954653e-13,2.917497988269447e-03,1.458748994134724e-03,2.041936513531689e-13,false
1,3.162000000000000e+03,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.792361199802551e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.208440426361982e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.743587570543438e-03,2.822360033255207e-03,3.969549834070184e-12,2.773476655285334e-06,2.385625909943545e-04,3.371210641290635e-12,9.256983651843804e-04,4.628491825921902e-04,6.490492144930514e-13,false
1,1.000000000000000e+04,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.800473037746580e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.202383432555268e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.818497658675876e-03,8.934668021159478e-04,9.156332063331353e-12,3.940630579894887e-07,7.607995038848674e-05,6.665866357371208e-12,2.930100208574214e-04,1.465050104287107e-04,2.406516812098958e-12,false
1,3.162000000000000e+04,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.803053168896074e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.200464341666195e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.753478746939375e-04,2.826676338821868e-04,2.992692456547700e-11,7.902787546400472e-08,2.412458000852943e-05,4.245420461021898e-11,9.269651613360259e-05,4.634825806680130e-05,6.492578360950746e-12,false
1,1.000000000000000e+05,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.803914269462490e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199846100491728e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.819488057269171e-04,8.938989319726674e-05,8.548335919932357e-11,2.388794268538158e-08,7.633340055937261e-06,6.409996830003143e-11,2.931368802680965e-05,1.465684401340483e-05,2.170199895652606e-11,false
1,3.162000000000000e+05,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804171872955710e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199654283593990e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.754469780418160e-05,2.827108726765918e-05,2.841014526387798e-10,7.087557809544455e-09,2.414730854563242e-06,4.260295273823162e-10,9.270921070491099e-06,4.635460535245549e-06,6.459249902068862e-11,false
1,1.000000000000000e+06,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804262076120360e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199591435839207e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.819587157991517e-05,8.939421690271140e-06,1.411656802132424e-09,2.261715025983584e-09,7.635780152893555e-07,1.088607701264330e-09,2.931495746588251e-06,1.465747873294125e-06,1.864307485525784e-10,false
1,3.162000000000000e+06,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804243856653292e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199583237278676e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.754568899371891e-06,2.827151971972998e-06,4.613090245438624e-09,6.033163389857634e-10,2.415310862581577e-07,5.064821102322752e-09,9.271048038948896e-07,4.635524019474448e-07,6.572197335954876e-10,false
1,1.000000000000000e+07,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804284706031976e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199568978311940e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.819597074598017e-06,8.939464955109131e-07,1.665037192903733e-08,2.154913600959513e-10,7.636365233909383e-08,1.428821472980568e-08,2.931508447307293e-07,1.465754223653646e-07,1.912100149265806e-09,false
1,3.162000000000000e+07,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804311861223558e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199560973184697e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.754578783592121e-07,2.827156281339253e-07,3.362892149626210e-08,7.412316732035723e-11,2.414831069212981e-08,3.183542857016841e-08,9.271060694617764e-08,4.635530347308882e-08,7.906519499125860e-09,false
1,1.000000000000000e+08,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804232378791689e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199580424258663e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.819598053909039e-07,8.939469227097604e-08,6.936913880045948e-08,1.723957738378257e-11,7.637945496192131e-09,6.707650034483374e-08,2.931509717228794e-08,1.465754858614397e-08,2.346943449957668e-08,false
1,3.162000000000000e+08,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804326809499327e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199556375811395e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.754580155093365e-08,2.827156874040546e-08,2.218202045473883e-07,7.735144192359529e-12,2.414716598160508e-09,2.534184847152979e-07,9.271062653170413e-09,4.635531326585206e-09,8.800508944301163e-08,false
1,1.000000000000000e+09,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804233537163588e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199579117504773e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.819598422160204e-08,8.939470327707473e-09,1.354149263205095e-06,1.717089074283598e-12,7.637981850188177e-10,8.708984605693376e-07,2.931509947126874e-09,1.465754973563437e-09,1.471215379836099e-07,false
1,3.162000000000000e+09,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804291142071508e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199568565559651e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.754575652609070e-09,2.827155029527298e-09,2.556572115350754e-06,7.005717538412576e-13,2.414970892121280e-10,3.308640726798106e-06,9.271057852162939e-10,4.635528926081470e-10,5.981808506168730e-07,false
1,1.000000000000000e+10,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804278381559926e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199568446507575e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.819596917821036e-09,8.939466798074691e-10,7.695309274483185e-06,2.058714173741947e-13,7.636751432074449e-11,1.191993335919705e-05,2.931508471733706e-10,1.465754235866853e-10,2.201404663132294e-06,false
1,3.162000000000000e+10,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804201804514984e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199614359253321e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.754547655473721e-10,2.827145442299480e-10,2.424855587889549e-05,5.764835059860887e-14,2.415350657034218e-11,2.870652482716799e-05,9.271037027216154e-11,4.635518513608077e-11,6.549209117716873e-06,false
1,1.000000000000000e+11,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.804591965548562e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.199370362654983e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.819607455865714e-10,8.939487588495304e-11,1.811971950227599e-04,2.568853121813006e-14,7.636054902240507e-12,1.176169713420967e-04,2.931529240652303e-11,1.465764620326151e-11,2.009959349578119e-05,false
1,3.162000000000000e+11,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.803478678885113e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.200179502332815e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.754182778466585e-11,2.826973772317280e-11,3.649280047875646e-04,4.930815309656656e-15,2.414572134433948e-12,2.556238545681419e-04,9.270632121511764e-12,4.635316060755882e-12,7.093963268135710e-05,false
1,1.000000000000000e+12,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.802490397651187e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.200850596658529e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.819642586823755e-11,8.939517910075389e-12,9.567618628230135e-04,2.961924388412496e-15,7.635339790535453e-13,1.467658829842283e-03,2.931542134074679e-12,1.465771067037339e-12,2.195710020295575e-04,false
1,3.162000000000000e+12,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.795399864685880e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.206447506601943e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.752231297355474e-12,2.825972216511446e-12,4.322793548901391e-03,4.437768497716630e-15,2.420540373027198e-13,5.741594059860474e-03,9.267683617627744e-13,4.633841808813872e-13,6.114850113028103e-04,false
1,1.000000000000000e+13,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.782626046125710e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.215775292293394e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.816578457825228e-12,8.925965961255641e-13,6.952130042995595e-03,3.667518879515203e-15,7.699672825793276e-14,9.049417960947095e-03,2.928340959505127e-13,1.464170479752564e-13,2.579698082568349e-03,false
1,3.162000000000000e+13,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,2.739262284737960e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.246308815295434e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.722311444594463e-13,2.816941359860294e-13,3.318314278587373e-02,3.041990827861220e-15,2.415889689689026e-14,3.239555436003753e-02,9.232018280788392e-14,4.616009140394196e-14,6.493764608565049e-03,false
1,1.000000000000000e+14,4.650408328427438e+05,0,4,CONTINUE,1.000000000000000e+00,2.892523634204749e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.141025696664846e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,1,1,REACHED_FORCE,1,0,0,REACHED_FORCE,1.860758298807187e-13,9.144605872072101e-14,9.258675716040135e-02,5.605801790696639e-15,6.716161108959833e-15,1.137224780546369e-01,2.994571293049727e-14,1.497285646524864e-14,2.424582331350870e-02,false
1,3.162000000000000e+14,4.650408328427438e+05,0,5,CONTINUE,1.000000000000000e+00,2.847972424185443e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.169640508300108e-01,3.500000000000000e+00,2.000169843425989e+00,1,1,1,REACHED_FORCE,1,1,1,REACHED_FORCE,1,0,0,REACHED_FORCE,5.654513114737567e-14,2.755120832372465e-14,2.720410872893962e-01,2.297517963276138e-15,2.927390968173784e-15,2.311358685341832e-01,9.097310677898623e-15,4.548655338949312e-15,6.281167176552280e-02,false
1,1.000000000000000e+15,4.650408328427438e+05,0,6,CONTINUE,1.000000000000000e+00,2.845864380844599e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.173579229511362e-01,3.500000000000000e+00,2.000169843425989e+00,1,1,1,REACHED_FORCE,1,1,1,REACHED_FORCE,1,1,1,REACHED_FORCE,1.950109192006304e-14,1.001387934820463e-14,8.242210049938901e-01,2.254873622441467e-15,1.354062519626272e-15,6.645154474488242e-01,3.322447903165658e-15,1.661223951582829e-15,2.055100624159322e-01,false
1,3.162000000000000e+15,4.650408328427438e+05,1,6,CONTINUE,1.000000000000000e+00,9.895870289786082e-01,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,1.715468548631255e-02,3.500000000000000e+00,2.000169843425989e+00,1,1,1,REFINE_STALLED,1,1,1,REFINE_STALLED,1,1,1,REFINE_STALLED,8.490121625428575e-15,4.134742426117571e-15,3.504690697234588e+00,1.172691956538381e-14,6.037204569296916e-15,1.056260990263714e+01,1.832567660234892e-15,9.162838301174459e-16,1.791920934226414e+00,false
1,1.000000000000000e+16,4.650408328427438e+05,1,10,CONTINUE,1.000000000000000e+00,9.678131178870428e-01,4.529709940470638e-14,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,7.910418244906499e-02,3.500000000000000e+00,2.000169843425989e+00,1,3,3,REFINE_STALLED,1,2,2,REFINE_STALLED,1,2,2,REFINE_STALLED,8.221194601169315e-13,6.042570947570753e-13,1.222051304652927e+03,8.199410672986464e-13,5.467046609942636e-13,1.236481236498564e+03,1.175253670581732e-13,5.876268352908661e-14,1.039085575966997e+02,false
1,3.162000000000000e+16,4.650408328427438e+05,1,10,CONTINUE,1.000000000000000e+00,9.754153391113182e-01,4.529709940470638e-14,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,6.996691235636143e-02,3.500000000000000e+00,2.000169843425989e+00,1,3,3,REFINE_STALLED,1,2,2,REFINE_STALLED,1,2,2,REFINE_STALLED,8.219050269445610e-13,8.658131612109979e-13,3.877983619030599e+03,8.212793311633989e-13,1.164944444620655e-12,3.896853966376158e+03,1.174979068414145e-13,5.874895342070723e-14,3.290571465185249e+02,false
1,1.000000000000000e+17,4.650408328427438e+05,1,11,CONTINUE,1.000000000000000e+00,9.771370340035148e-01,4.529709940470638e-14,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,6.717058269284834e-02,3.500000000000000e+00,2.000169843425989e+00,1,3,3,REFINE_STALLED,1,3,3,REFINE_STALLED,1,2,2,REFINE_STALLED,8.219592529298931e-13,2.572439484307497e-12,1.227349285228061e+04,8.217617341946190e-13,2.362936549028123e-12,1.229303620420078e+04,1.175426775334824e-13,5.877133876674118e-14,1.041127691267081e+03,false
