iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,7.269914469404012e+05,0,4,CONTINUE,1.000000000000000e+00,6.787261475480862e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.443428583180291e-01,1.103143684135383e+01,1.373434715490797e+01,2,0,0,REACHED_FORCE,2,0,0,REACHED_FORCE,,,,,4.698456680428589e-01,1.791089864169315e-04,5.161250508282985e-15,1.064639964422732e-01,8.077742302692315e-05,6.236511030841940e-15,,,,false
1,3.162000000000000e+00,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,6.807371151207638e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.438932250632781e-01,1.103143684135383e+01,1.373434715490797e+01,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.757298789155826e-01,3.456602004869858e-05,9.677344703030596e-15,3.981919647170803e-02,1.514929618534655e-02,9.247240494007014e-15,,,,false
1,1.000000000000000e+01,7.269914469404012e+05,0,2,CONTINUE,1.000000000000000e+00,6.771412003415554e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.443739291691224e-01,1.103143684135383e+01,1.373434715490797e+01,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,5.897235989116423e-02,2.234394879170143e-02,2.924708621360358e-14,1.180021849180756e-02,4.494114029628626e-03,3.537607119218962e-14,,,,true
1,3.162000000000000e+01,7.269914469404012e+05,0,2,CONTINUE,1.000000000000000e+00,6.818951978900965e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.439668443921744e-01,1.103143684135383e+01,1.373434715490797e+01,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.901899449199259e-02,7.206026413281386e-03,8.741868048404305e-14,4.147222660684618e-03,1.578429670758830e-03,1.344075653198694e-13,,,,false
1,1.000000000000000e+02,7.269914469404012e+05,0,2,CONTINUE,1.000000000000000e+00,6.785391327401490e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.443476893868039e-01,1.103143684135383e+01,1.373434715490797e+01,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,6.051640333526464e-03,2.292875056469690e-03,1.906436906497027e-13,1.354827850872336e-03,5.155486401404730e-04,2.755892719318602e-13,,,,false
1,3.162000000000000e+02,7.269914469404012e+05,0,2,CONTINUE,1.000000000000000e+00,6.788591561178066e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.443243180048220e-01,1.103143684135383e+01,1.373434715490797e+01,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.917679257462874e-03,7.265791441009029e-04,7.565533036724808e-13,4.328826624093247e-04,1.647139680045484e-04,1.001067546502387e-12,,,,false
1,1.000000000000000e+03,7.269914469404012e+05,0,2,CONTINUE,1.000000000000000e+00,6.786299491787408e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.443514120396826e-01,1.103143684135383e+01,1.373434715490797e+01,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,6.067526645987643e-04,2.298891880068155e-04,1.757405798070356e-12,1.373207248036445e-04,5.225025274935291e-05,2.537829885343646e-12,,,,false
1,3.162000000000000e+03,7.269914469404012e+05,0,2,CONTINUE,1.000000000000000e+00,6.841750609394473e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.437740265219039e-01,1.103143684135383e+01,1.373434715490797e+01,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.919271652261740e-04,7.271822513388315e-05,9.526324362637191e-12,4.347281836580192e-05,1.654122258987201e-05,8.464235781479583e-12,,,,false
1,1.000000000000000e+04,7.269914469404012e+05,0,2,CONTINUE,1.000000000000000e+00,6.827541773301747e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.439225541224444e-01,1.103143684135383e+01,1.373434715490797e+01,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,6.069119865933855e-05,2.299495299684651e-05,2.535636353877626e-11,1.375054549723808e-05,5.232014594902523e-06,3.037675491860402e-11,,,,false
1,3.162000000000000e+04,7.269914469404012e+05,0,2,CONTINUE,1.000000000000000e+00,6.823448229688260e-02,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.439653539551293e-01,1.103143684135383e+01,1.373434715490797e+01,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.919431037177401e-05,7.272426171489599e-06,7.862907086843713e-11,4.349130177467510e-06,1.654821585539423e-06,8.346989374099755e-11,,,,false
