iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,6.047205412831992e+05,0,6,CONTINUE,9.999999999999999e-01,1.228005905365551e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.811463296516786e-01,2.388027920198440e+00,1.058491300907336e+00,2,0,0,REACHED,2,0,0,REACHED,2,0,0,REACHED,3.620217332230371e+00,4.503623082921635e-02,1.779118518467256e-15,8.532812553092539e-01,3.078962924466549e-02,2.453527764872749e-15,1.005109201172620e+00,3.042222289126604e-02,6.709204649813786e-16,false
1,3.162000000000000e+00,6.047205412831992e+05,0,6,CONTINUE,9.999999999999999e-01,1.239967216756281e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.799678140380933e-01,2.388027920198440e+00,1.058491300907336e+00,2,0,0,REACHED,2,0,0,REACHED,2,0,0,REACHED,1.739590470711589e+00,6.585746333963888e-03,1.807500964420374e-15,4.103561056077838e-01,5.555334867057909e-03,2.362253716860639e-15,4.827690727293782e-01,4.452774759888105e-03,5.002534047740315e-16,false
1,1.000000000000000e+01,6.047205412831992e+05,0,4,CONTINUE,9.999999999999999e-01,1.226016493339759e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.754757703855434e-01,2.388027920198440e+00,1.058491300907336e+00,2,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,6.581922532736316e-01,8.831053916921594e-02,6.555591692729663e-15,1.525904591684783e-01,2.800994148676977e-01,1.058973428974942e-14,1.826423594970934e-01,1.826423594970934e-01,3.828772045134365e-15,false
1,3.162000000000000e+01,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.229468557499976e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.784257383533945e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.219528548167921e-01,1.930107554941649e-01,8.431625470199351e-15,4.747397081796516e-02,8.909885664836650e-02,1.686161672498439e-14,6.158860588824017e-02,6.158860588824017e-02,1.049826430992390e-14,true
1,1.000000000000000e+02,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.238683484032365e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.792355039078611e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.168414965816051e-02,6.227329099451986e-02,6.414055430278205e-14,1.641345768476303e-02,2.990818910392376e-02,9.716482162334406e-14,1.989118298499403e-02,1.989118298499403e-02,4.505977834295541e-14,false
1,3.162000000000000e+02,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.241783444433499e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.795098540944658e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.282502610145355e-02,1.982199227878480e-02,2.590158522483509e-13,5.336116915802614e-03,9.638046153915452e-03,3.191704268393282e-13,6.333563897723025e-03,6.333563897723025e-03,9.418541304970855e-14,false
1,1.000000000000000e+03,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.242783409040679e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.795984908248742e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.232865161856444e-03,6.280597685408795e-03,6.155987362556860e-13,1.701972330671987e-03,3.065685001262557e-03,6.890237143928758e-13,2.006998560328231e-03,2.006998560328231e-03,2.012726945149449e-13,false
1,3.162000000000000e+03,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243101551073551e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796267029286335e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.288997138304271e-03,1.987565581476385e-03,1.460484426890972e-12,5.397324905253967e-04,9.713592935059535e-04,2.436009206799048e-12,6.351581649566227e-04,6.351581649566227e-04,1.087103451792845e-12,false
1,1.000000000000000e+04,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243202372240196e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796356446639412e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.239373986320141e-04,6.285975398625331e-04,8.647628301356734e-12,1.708110232310452e-04,3.073259616090508e-04,1.301535596668769e-11,2.008804306216774e-04,2.008804306216774e-04,4.154804430120953e-12,false
1,3.162000000000000e+04,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243234269214740e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796384736892446e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.289648624615284e-04,1.988103837360436e-04,2.518604756450230e-11,5.403469646046968e-05,9.721175619712783e-05,2.363049952617376e-11,6.353389072187998e-05,6.353389072187998e-05,7.012577395324114e-12,false
1,1.000000000000000e+05,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243244359585462e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796393686476144e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.240025513123390e-05,6.286513683466613e-05,7.403520610101187e-11,1.708724780851685e-05,3.074017964754895e-05,9.742874954040370e-11,2.008985059769394e-05,2.008985059769394e-05,1.369872320612899e-11,false
1,3.162000000000000e+05,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243247550324524e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796396516118510e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.289713793796740e-05,1.988157679327741e-05,3.977867758711942e-10,5.404084359029764e-06,9.721934168679819e-06,4.359307637908222e-10,6.353569871463598e-06,6.353569871460030e-06,1.089613287174749e-10,false
1,1.000000000000000e+06,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243248559885798e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796397410768737e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.240090673013164e-06,6.286567518021160e-06,6.549589155011065e-10,1.708786242417414e-06,3.074093807503801e-06,1.094003624628478e-09,2.009003137034642e-06,2.009003137034642e-06,1.672444922154678e-10,false
1,3.162000000000000e+06,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243248875807198e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796397696281298e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.289720309306690e-06,1.988163061692145e-06,4.455931204113601e-09,5.404145844963497e-07,9.722010036146322e-07,4.826723959657695e-09,6.353587950424087e-07,6.353587950424087e-07,4.943548883205906e-10,false
1,1.000000000000000e+07,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243248983861782e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796397780123062e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.240097197080683e-07,6.286572908195352e-07,8.346563277839565e-09,1.708792381831759e-07,3.074101390942473e-07,1.072092780822712e-08,2.009004946114238e-07,2.009004946114238e-07,1.913749729776833e-09,false
1,3.162000000000000e+07,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243249020521454e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796397803928880e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.289720966776520e-07,1.988163605949595e-07,1.225162396544574e-08,5.404151946752654e-08,9.722017601353921e-08,1.614271470226877e-08,6.353589772404046e-08,6.353589772404046e-08,4.714796653948904e-09,false
1,1.000000000000000e+08,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243249005894013e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796397830758600e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.240097810489071e-08,6.286573460106816e-08,4.143075831835468e-08,1.708793049116429e-08,3.074102175298470e-08,6.532925241391928e-08,2.009005134593492e-08,2.009005134593492e-08,1.820124831699623e-08,false
1,3.162000000000000e+08,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243248848830807e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796397961565134e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.289720860243417e-08,1.988163517367513e-08,4.620750041919470e-07,5.404153464159985e-09,9.722018745047768e-09,3.894940357460567e-07,6.353589485457917e-09,6.353589481890355e-09,1.466358476104080e-07,false
1,1.000000000000000e+09,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243249118319251e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796397699473795e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.240097899010717e-09,6.286572927160546e-09,1.329114507691337e-07,1.708793336537569e-09,3.074103013446014e-09,4.026351706252978e-07,2.009005310475751e-09,2.009005310475751e-09,1.808956186666727e-07,false
1,3.162000000000000e+09,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243248929371499e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796397752267133e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.289720328121751e-09,1.988162985747245e-09,2.044291284970265e-06,5.404156545961173e-10,9.722015658050722e-10,1.799398237258490e-06,6.353588622950041e-10,6.353588622950041e-10,4.628260062036909e-07,false
1,1.000000000000000e+10,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243251531871088e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796395682098559e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.240099654871892e-10,6.286572865359934e-10,2.191468189300481e-06,1.708788767535786e-10,3.074102060631526e-10,5.303431749547965e-06,2.009005238817841e-10,2.009005238817841e-10,9.624545862919353e-07,false
1,3.162000000000000e+10,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243246075480920e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796399310093540e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.289713235460828e-10,1.988157676623244e-10,1.935202243349383e-05,5.404223894630093e-11,9.721987656039943e-11,2.696938535041780e-05,6.353553626947389e-11,6.353553983712620e-11,1.183796214629894e-05,false
1,1.000000000000000e+11,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243263844939295e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796380419951768e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.240081999501174e-11,6.286590737120253e-11,2.134968291246121e-05,1.708830954683731e-11,3.074135647490525e-11,5.290094985137304e-05,2.009005606693939e-11,2.009005606693939e-11,9.499678468322592e-06,false
1,3.162000000000000e+11,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243158664587260e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796469058616782e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.289624387198817e-11,1.988042189231501e-11,2.480539853779375e-04,5.404817889298551e-12,9.722823804568064e-12,2.618245218137989e-04,6.353197749361831e-12,6.353197749361831e-12,1.256861631025677e-04,false
1,1.000000000000000e+12,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.243446561588853e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.796283702922260e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.241146187122487e-12,6.287476087212060e-12,9.689664348760909e-04,1.708260226793220e-12,3.073299911321375e-12,7.967522750668472e-04,2.009177907132133e-12,2.009177907132133e-12,1.881066850478300e-04,false
1,3.162000000000000e+12,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.241760420344346e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.797574616275894e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.288736985896223e-12,1.987066529070931e-12,2.928844335636509e-03,5.410979290401035e-13,9.726373780402639e-13,2.963812409830169e-03,6.352330526207094e-13,6.352330526207094e-13,4.323955402495639e-04,false
1,1.000000000000000e+13,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.240884889130860e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.797959364542131e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.232273337356349e-13,6.276834723403009e-13,7.136440877069283e-03,1.716670263117154e-13,3.080861860671379e-13,9.779506032352963e-03,2.007430677093175e-13,2.007430677093175e-13,1.733630839689402e-03,false
1,3.162000000000000e+13,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.225555047331318e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.808896950921483e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.274539328256001e-13,1.973774737703931e-13,4.523992226670200e-02,5.537781398023884e-14,9.817828770915535e-14,5.417909694116562e-02,6.334943643385882e-14,6.334943643385882e-14,6.241759151084188e-03,false
1,1.000000000000000e+14,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.224166305946146e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.807410902611549e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.108010329617973e-14,6.134972735067812e-14,1.110050876587018e-01,1.788682335908620e-14,3.038422125951202e-14,1.031395531552085e-01,1.963364381127649e-14,1.963364381127649e-14,4.674550960397921e-02,false
1,3.162000000000000e+14,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.353008225865591e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.699091707437127e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,2.310093401644214e-14,2.044962923928018e-14,8.885755510862009e-02,5.374867097632405e-15,9.835632127759316e-15,6.186990988030744e-02,6.247988865102062e-15,6.247988865102062e-15,4.238155234621464e-02,false
1,1.000000000000000e+15,6.047205412831992e+05,0,3,CONTINUE,9.999999999999999e-01,1.337363390164321e-01,0.000000000000000e+00,1.000000000000000e-01,4.784396297761732e-14,1.593737745050923e+01,8.717426182780961e-01,2.388027920198440e+00,1.058491300907336e+00,1,0,0,REACHED,1,0,0,REACHED,1,0,0,REACHED,7.107608132644595e-15,6.223366471757735e-15,8.056991862833053e-02,1.792201359813788e-15,3.567221403377954e-15,8.199801561393136e-02,1.785059958089612e-15,1.785059958089612e-15,2.295439888843824e-01,false
