iter,alpha,state,ncraig,ipm_status,mu,rho,force_tol,floor_tol,sigma2min,pstat,cstat,wstat,pbase,prefn,cbase,crefn,wbase,wrefn,pres0,pres1,cres0,cres1,wres0,wres1,chosen
1,1.000000e+00,0,8,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.714185e-01,REACHED_FORCE,REACHED_FORCE,,4,0,4,0,0,0,1.605864e-03,NaN,2.757507e-04,NaN,,,false
1,3.162000e+00,0,7,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.708303e-01,REACHED_FORCE,REACHED_FORCE,,4,0,3,0,0,0,1.492701e-04,NaN,1.095612e-03,NaN,,,false
1,1.000000e+01,0,6,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.700049e-01,REACHED_FORCE,REACHED_FORCE,,3,0,3,0,0,0,3.733514e-04,NaN,1.360384e-04,NaN,,,false
1,3.162000e+01,0,4,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.698396e-01,REACHED_FORCE,REACHED_FORCE,,2,0,2,0,0,0,5.622092e-04,NaN,2.471468e-04,NaN,,,false
1,1.000000e+02,0,4,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.697789e-01,REACHED_FORCE,REACHED_FORCE,,2,0,2,0,0,0,6.232672e-05,NaN,2.945572e-05,NaN,,,false
1,3.162000e+02,0,4,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.697583e-01,REACHED_FORCE,REACHED_FORCE,,2,0,2,0,0,0,6.447118e-06,NaN,3.122359e-06,NaN,,,false
1,1.000000e+03,0,2,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.697516e-01,REACHED_FORCE,REACHED_FORCE,,1,0,1,0,0,0,6.094067e-04,NaN,3.842976e-04,NaN,,,true
1,3.162000e+03,0,2,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.697494e-01,REACHED_FORCE,REACHED_FORCE,,1,0,1,0,0,0,1.934533e-04,NaN,1.217434e-04,NaN,,,false
1,1.000000e+04,0,2,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.697488e-01,REACHED_FORCE,REACHED_FORCE,,1,0,1,0,0,0,6.124281e-05,NaN,3.851596e-05,NaN,,,false
1,3.162000e+04,0,2,CONTINUE,8.768124e+00,1.000000e-09,1.000000e-01,2.164954e-13,1.697485e-01,REACHED_FORCE,REACHED_FORCE,,1,0,1,0,0,0,1.937568e-05,NaN,1.218295e-05,NaN,,,false
