iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,5,CONTINUE,1.000000e+00,1.149940e+00,1.000000e-09,1.000000e-01,1.417025e-13,1.944091e-02,1.739905e-01,,,2.747544e+01,1.087244e+01,1.891701e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,5.126508e-03,NaN,7.251636e-03,NaN,,,3.836444e+00,1.589305e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.135793e-02,9.172875e-02,,3.979203e-16,5.126508e-03,3.979203e-16,7.251636e-03,,,5.126508e-03,7.251636e-03,,1.000000e+00,1.469970e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,3.162000e+00,0,4,CONTINUE,1.000000e+00,1.149869e+00,1.000000e-09,1.000000e-01,1.417025e-13,9.998100e-03,1.739905e-01,,,2.746988e+01,1.088315e+01,1.893566e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.978991e-03,NaN,1.303081e-03,NaN,,,1.845074e+00,7.647900e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.339031e-02,2.210225e-02,,6.432414e-16,2.978991e-03,5.875543e-16,1.303081e-03,,,2.978991e-03,1.303081e-03,,5.623660e-01,1.147282e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,1.000000e+00,1.149940e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.859199e-03,1.740130e-01,,,2.746564e+01,1.089242e+01,1.895423e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,5.155174e-04,NaN,4.122631e-04,NaN,,,6.990851e-01,2.896902e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.126208e-02,6.832621e-03,,3.234031e-15,5.155174e-04,4.675564e-15,4.122631e-04,,,5.155174e-04,4.122631e-04,,3.162278e-01,1.048809e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,1.152505e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.755162e-01,,,2.743664e+01,1.079902e+01,1.895403e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,2.624995e-04,NaN,7.459216e-03,NaN,,,2.360096e-01,9.780054e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.785487e-03,9.780054e-02,,7.046446e-15,2.624995e-04,7.467224e-15,7.459216e-03,,,2.624995e-04,7.459216e-03,,1.778357e-01,1.015690e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,1.000000e+02,0,2,CONTINUE,1.000000e+00,1.142793e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.749926e-01,,,2.693593e+01,1.083785e+01,1.896543e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.816325e-03,NaN,2.442934e-03,NaN,,,7.629692e-02,3.208579e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.629692e-02,3.208579e-02,,2.168666e-14,5.816325e-03,2.138822e-14,2.442934e-03,,,5.816325e-03,2.442934e-03,,1.000000e-01,1.004988e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,true
1,3.162000e+02,0,2,CONTINUE,1.000000e+00,1.147674e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.743296e-01,,,2.729471e+01,1.088806e+01,1.898111e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.851982e-03,NaN,7.705363e-04,NaN,,,2.431166e-02,1.012297e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.431166e-02,1.012297e-02,,1.034593e-13,1.851982e-03,4.864576e-14,7.705363e-04,,,1.851982e-03,7.705363e-04,,5.623660e-02,1.001580e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,1.000000e+03,0,2,CONTINUE,1.000000e+00,1.149236e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.741204e-01,,,2.740979e+01,1.090510e+01,1.898801e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.868619e-04,NaN,2.434296e-04,NaN,,,7.707124e-03,3.198022e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.707124e-03,3.198022e-03,,1.797614e-13,5.868619e-04,2.066015e-13,2.434296e-04,,,5.868619e-04,2.434296e-04,,3.162278e-02,1.000500e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,1.000000e+00,1.149732e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.740543e-01,,,2.744634e+01,1.091072e+01,1.899057e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.857252e-04,NaN,7.696429e-05,NaN,,,2.439514e-03,1.011062e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.439514e-03,1.011062e-03,,3.885692e-13,1.857252e-04,8.856525e-13,7.696429e-05,,,1.857252e-04,7.696429e-05,,1.778357e-02,1.000158e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,1.000000e+04,0,2,CONTINUE,1.000000e+00,1.149889e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.740334e-01,,,2.745792e+01,1.091252e+01,1.899143e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.873901e-05,NaN,2.433393e-05,NaN,,,7.715899e-04,3.196620e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.715899e-04,3.196620e-04,,5.527535e-12,5.873901e-05,5.171161e-12,2.433393e-05,,,5.873901e-05,2.433393e-05,,1.000000e-02,1.000050e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,1.000000e+00,1.149939e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.740268e-01,,,2.746158e+01,1.091309e+01,1.899171e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.857781e-05,NaN,7.695523e-06,NaN,,,2.440414e-04,1.010912e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.440414e-04,1.010912e-04,,7.526176e-12,1.857781e-05,3.785127e-12,7.695523e-06,,,1.857781e-05,7.695523e-06,,5.623660e-03,1.000016e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,1.000000e+05,0,2,CONTINUE,1.000000e+00,1.149955e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.740247e-01,,,2.746274e+01,1.091327e+01,1.899179e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.874429e-06,NaN,2.433303e-06,NaN,,,7.716807e-05,3.196466e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.716807e-05,3.196466e-05,,2.146951e-11,5.874429e-06,3.516351e-11,2.433303e-06,,,5.874429e-06,2.433303e-06,,3.162278e-03,1.000005e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,3.162000e+05,0,2,CONTINUE,1.000000e+00,1.149960e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.740241e-01,,,2.746310e+01,1.091333e+01,1.899182e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.857833e-06,NaN,7.695433e-07,NaN,,,2.440505e-05,1.010896e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.440505e-05,1.010896e-05,,1.044095e-10,1.857833e-06,1.250047e-10,7.695433e-07,,,1.857833e-06,7.695433e-07,,1.778357e-03,1.000002e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,1.000000e+06,0,2,CONTINUE,1.000000e+00,1.149961e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.740239e-01,,,2.746322e+01,1.091335e+01,1.899183e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.874482e-07,NaN,2.433294e-07,NaN,,,7.716898e-06,3.196450e-06,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.716898e-06,3.196450e-06,,2.375411e-10,5.874482e-07,4.187924e-10,2.433294e-07,,,5.874482e-07,2.433294e-07,,1.000000e-03,1.000000e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
1,3.162000e+06,0,2,CONTINUE,1.000000e+00,1.149962e+00,1.000000e-09,1.000000e-01,1.417025e-13,2.665756e-03,1.740238e-01,,,2.746326e+01,1.091335e+01,1.899183e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.857839e-07,NaN,7.695423e-08,NaN,,,2.440514e-06,1.010895e-06,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.440514e-06,1.010895e-06,,8.524245e-10,1.857839e-07,9.196904e-10,7.695423e-08,,,1.857839e-07,7.695423e-08,,5.623660e-04,1.000000e+00,8.908436e-01,3.214259e-01,1.000000e+00,1.000000e+00,false
