iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,15,CONTINUE,7.273929e+05,1.635079e+05,1.000000e-09,1.000000e-01,7.320791e-11,3.133858e-08,7.863500e-01,,,1.232583e+03,7.433669e+05,5.845466e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,8,0,0,7,0,0,,,,2.597355e-05,NaN,2.371889e-05,NaN,,,1.147235e+03,4.649828e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.615819e-01,2.083360e-01,,5.358982e-14,2.597355e-05,3.848098e-14,2.371889e-05,,,2.597355e-05,2.371889e-05,,4.412616e-01,3.335561e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,3.162000e+00,0,15,CONTINUE,7.273929e+05,1.635080e+05,1.000000e-09,1.000000e-01,7.320791e-11,3.436464e-09,7.863500e-01,,,1.232580e+03,7.433730e+05,5.845514e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,8,0,0,7,0,0,,,,3.395637e-05,NaN,2.346550e-05,NaN,,,3.880500e+02,1.839028e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.914239e-01,2.082691e-01,,4.465819e-14,3.395637e-05,5.830881e-14,2.346550e-05,,,3.395637e-05,2.346550e-05,,3.152695e-01,3.031640e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,1.000000e+01,0,12,CONTINUE,7.273929e+05,1.625198e+05,1.000000e-09,1.000000e-01,7.320791e-11,3.436443e-09,7.878675e-01,,,1.234077e+03,7.433962e+05,5.856977e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,7,0,0,5,0,0,,,,2.699285e-05,NaN,5.440805e-04,NaN,,,1.289655e+02,6.400473e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.645616e-01,4.718125e+00,,9.320498e-14,2.699285e-05,4.066832e-14,5.440805e-04,,,2.699285e-05,5.440805e-04,,2.022463e-01,2.918603e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,3.162000e+01,0,9,CONTINUE,7.273929e+05,1.635735e+05,1.000000e-09,1.000000e-01,7.320791e-11,3.304347e-09,7.862767e-01,,,1.235453e+03,7.434741e+05,5.845764e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,5,0,0,4,0,0,,,,4.475656e-05,NaN,2.678293e-04,NaN,,,4.170502e+01,2.192410e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.633899e-01,3.229669e+00,,5.905817e-14,4.475656e-05,4.479996e-14,2.678293e-04,,,4.475656e-05,2.678293e-04,,1.162490e-01,2.876432e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,1.000000e+02,0,8,CONTINUE,7.273929e+05,1.635702e+05,1.000000e-09,1.000000e-01,7.320791e-11,2.147234e-09,7.862803e-01,,,1.232816e+03,7.435080e+05,5.846057e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,4,0,0,,,,6.196632e-05,NaN,2.362283e-05,NaN,,,1.331944e+01,9.669066e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.755744e-01,2.112315e-01,,7.090626e-14,6.196632e-05,5.828855e-14,2.362283e-05,,,6.196632e-05,2.362283e-05,,6.589769e-02,2.861506e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,3.162000e+02,0,7,CONTINUE,7.273929e+05,1.636006e+05,1.000000e-09,1.000000e-01,7.320791e-11,2.147057e-09,7.862046e-01,,,1.233895e+03,7.437706e+05,5.847558e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,3,0,0,,,,2.634006e-05,NaN,7.667146e-05,NaN,,,4.312114e+00,7.286591e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.616443e-01,9.252751e-01,,4.706831e-14,2.634006e-05,1.181569e-13,7.667146e-05,,,2.634006e-05,7.667146e-05,,3.715859e-02,2.856545e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,1.000000e+03,0,6,CONTINUE,7.273929e+05,1.632358e+05,1.000000e-09,1.000000e-01,7.320791e-11,7.764474e-10,7.866911e-01,,,1.232249e+03,7.446531e+05,5.858120e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,8.569642e-05,NaN,2.335272e-05,NaN,,,1.618785e+00,6.988446e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.875652e-01,2.099926e-01,,6.550070e-13,8.569642e-05,3.547136e-13,2.335272e-05,,,8.569642e-05,2.335272e-05,,2.091319e-02,2.854947e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,3.162000e+03,0,6,CONTINUE,7.273929e+05,1.635060e+05,1.000000e-09,1.000000e-01,7.320791e-11,7.321009e-10,7.863991e-01,,,1.232354e+03,7.468401e+05,5.873144e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,2.680806e-05,NaN,2.337728e-05,NaN,,,1.008914e+00,6.964574e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.631209e-01,2.076439e-01,,4.226021e-13,2.680806e-05,6.443336e-13,2.337728e-05,,,2.680806e-05,2.337728e-05,,1.176444e-02,2.854438e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,1.000000e+04,0,6,CONTINUE,7.273929e+05,1.634985e+05,1.000000e-09,1.000000e-01,7.320791e-11,7.304021e-10,7.865093e-01,,,1.231773e+03,7.544114e+05,5.933516e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,2.583859e-05,NaN,2.341304e-05,NaN,,,9.214949e-01,6.931148e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.609811e-01,2.115217e-01,,2.388737e-12,2.583859e-05,1.851401e-12,2.341304e-05,,,2.583859e-05,2.341304e-05,,6.616509e-03,2.854277e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
1,3.162000e+04,0,6,CONTINUE,7.273929e+05,1.619366e+05,1.000000e-09,1.000000e-01,7.320791e-11,5.714497e-10,7.894396e-01,,,1.215023e+03,8.053116e+05,6.357448e+05,1.341077e-06,2.706676e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,2.625831e-05,NaN,4.502791e-05,NaN,,,8.981769e-01,6.835857e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.624080e-01,4.688300e-01,,9.446391e-12,2.625831e-05,9.651758e-12,4.502791e-05,,,2.625831e-05,4.502791e-05,,3.722047e-03,2.854226e+00,3.635374e-01,1.718976e+00,2.706398e+00,1.000000e+00,false
