iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,7,CONTINUE,1.000000e+00,1.072729e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713423e-01,9.900000e-01,9.339953e-01,1.035122e-01,2.117831e+00,1.011940e+00,1.001821e+00,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,2,0,0,2.312877e-03,NaN,2.834656e-03,NaN,9.255597e-03,NaN,8.365157e-01,1.283844e-01,5.406047e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.497284e-02,2.193490e-02,7.777232e-02,9.614045e-16,2.312877e-03,6.929041e-16,2.834656e-03,5.543233e-16,9.255597e-03,2.312877e-03,2.834656e-03,9.255597e-03,1.336045e+00,2.802464e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+00,0,5,CONTINUE,1.000000e+00,1.060082e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713324e-01,9.900000e-01,9.329173e-01,1.069492e-01,2.135022e+00,1.022309e+00,1.012086e+00,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,2,0,0,2.900752e-03,NaN,7.361707e-03,NaN,1.293779e-03,NaN,3.224318e-01,4.856987e-02,1.933069e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.775433e-02,4.856987e-02,1.246833e-02,2.771616e-15,2.900752e-03,1.906298e-15,7.361707e-03,1.534133e-15,1.293779e-03,2.900752e-03,7.361707e-03,1.293779e-03,7.701350e-01,2.622574e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,1.000000e+00,1.068856e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713321e-01,9.900000e-01,9.335771e-01,1.044345e-01,2.123105e+00,1.012953e+00,1.002824e+00,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,2.928540e-04,NaN,2.582115e-03,NaN,7.242648e-03,NaN,1.112671e-01,1.717503e-02,6.436091e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.401503e-03,1.717503e-02,6.436091e-02,6.207988e-15,2.928540e-04,8.834528e-15,2.582115e-03,3.174367e-15,7.242648e-03,2.928540e-04,2.582115e-03,7.242648e-03,4.383878e-01,2.562591e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,1.070998e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713321e-01,9.900000e-01,9.335680e-01,1.047337e-01,2.118991e+00,1.004923e+00,9.948738e-01,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.089091e-03,NaN,7.841463e-04,NaN,2.325981e-03,NaN,3.632255e-02,5.253859e-03,2.073134e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.632255e-02,5.253859e-03,2.073134e-02,1.613600e-14,4.089091e-03,2.158396e-14,7.841463e-04,8.349495e-15,2.325981e-03,4.089091e-03,7.841463e-04,2.325981e-03,2.477210e-01,2.543271e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,true
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,1.073179e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713321e-01,9.900000e-01,9.342134e-01,1.036747e-01,2.117312e+00,1.005864e+00,9.958055e-01,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.307039e-03,NaN,2.621736e-04,NaN,7.391199e-04,NaN,1.160671e-02,1.759127e-03,6.595011e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.160671e-02,1.759127e-03,6.595011e-03,5.266937e-14,1.307039e-03,6.832468e-14,2.621736e-04,5.673152e-14,7.391199e-04,1.307039e-03,2.621736e-04,7.391199e-04,1.395278e-01,2.537123e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,1.073926e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713321e-01,9.900000e-01,9.344275e-01,1.033223e-01,2.116730e+00,1.006123e+00,9.960618e-01,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.147879e-04,NaN,8.437095e-05,NaN,2.341184e-04,NaN,3.683116e-03,5.668056e-04,2.089755e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.683116e-03,5.668056e-04,2.089755e-03,2.278788e-13,4.147879e-04,2.901536e-13,8.437095e-05,1.204787e-13,2.341184e-04,4.147879e-04,8.437095e-05,2.341184e-04,7.850784e-02,2.535175e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,1.074169e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713321e-01,9.900000e-01,9.344963e-01,1.032090e-01,2.116541e+00,1.006201e+00,9.961388e-01,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.312996e-04,NaN,2.682493e-05,NaN,7.406508e-05,NaN,1.165854e-03,1.802935e-04,6.611876e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.165854e-03,1.802935e-04,6.611876e-04,7.274281e-13,1.312996e-04,5.859630e-13,2.682493e-05,4.551189e-13,7.406508e-05,1.312996e-04,2.682493e-05,7.406508e-05,4.415383e-02,2.534559e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,1.074246e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713321e-01,9.900000e-01,9.345181e-01,1.031730e-01,2.116480e+00,1.006225e+00,9.961628e-01,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.153863e-05,NaN,8.498252e-06,NaN,2.342718e-05,NaN,3.688331e-04,5.712645e-05,2.091450e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.688331e-04,5.712645e-05,2.091450e-04,2.631659e-12,4.153863e-05,1.936602e-12,8.498252e-06,1.347710e-12,2.342718e-05,4.153863e-05,8.498252e-06,2.342718e-05,2.483196e-02,2.534364e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,1.074271e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713321e-01,9.900000e-01,9.345250e-01,1.031616e-01,2.116461e+00,1.006233e+00,9.961703e-01,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.313595e-05,NaN,2.688620e-06,NaN,7.408044e-06,NaN,1.166376e-04,1.807417e-05,6.613573e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.166376e-04,1.807417e-05,6.613573e-05,5.779745e-12,1.313595e-05,8.239704e-12,2.688620e-06,3.477872e-12,7.408044e-06,1.313595e-05,2.688620e-06,7.408044e-06,1.396367e-02,2.534302e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,1.074278e-01,1.000000e-09,1.000000e-01,8.351561e-14,7.713321e-01,9.900000e-01,9.345272e-01,1.031580e-01,2.116455e+00,1.006235e+00,9.961727e-01,1.306835e+00,1.424260e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.154462e-06,NaN,8.504383e-07,NaN,2.342872e-06,NaN,3.688854e-05,5.717137e-06,2.091620e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.688854e-05,5.717137e-06,2.091620e-05,1.990251e-11,4.154462e-06,2.317383e-11,8.504383e-07,1.481937e-11,2.342872e-06,4.154462e-06,8.504383e-07,2.342872e-06,7.852734e-03,2.534283e+00,1.540185e+00,1.038159e+00,1.000000e+00,1.000000e+00,false
