iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,8,CONTINUE,3.249338e+00,1.586930e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.044254e-01,6.194032e-01,,,7.319075e+00,9.246429e+00,5.727268e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,4,0,0,,,,3.342486e-03,NaN,1.890245e-03,NaN,,,6.300660e+00,3.089500e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.017037e-01,5.028322e-02,,5.927045e-16,3.342486e-03,5.186164e-16,1.890245e-03,,,3.342486e-03,1.890245e-03,,2.074724e+00,3.390944e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
1,3.162000e+00,0,6,CONTINUE,3.249338e+00,1.580688e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042865e-01,6.214474e-01,,,7.319795e+00,9.256300e+00,5.752303e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,1.428779e-03,NaN,7.008906e-04,NaN,,,2.506446e+00,1.413816e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.779409e-02,2.605933e-02,,9.631448e-16,1.428779e-03,1.481761e-15,7.008906e-04,,,1.428779e-03,7.008906e-04,,1.238284e+00,3.045781e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,3.249338e+00,1.571167e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042856e-01,6.235052e-01,,,7.317369e+00,9.250012e+00,5.767431e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.044957e-03,NaN,1.375861e-03,NaN,,,8.819116e-01,5.401243e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.937500e-02,3.445562e-02,,4.741636e-15,1.044957e-03,3.797013e-15,1.375861e-03,,,1.044957e-03,1.375861e-03,,7.256599e-01,2.928156e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
1,3.162000e+01,0,4,CONTINUE,3.249338e+00,1.576476e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042856e-01,6.223869e-01,,,7.318769e+00,9.259614e+00,5.763063e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.246917e-04,NaN,1.586467e-04,NaN,,,2.905821e-01,1.856433e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.595368e-03,4.017599e-03,,1.778113e-14,1.246917e-04,1.061311e-14,1.586467e-04,,,1.246917e-04,1.586467e-04,,4.162811e-01,2.889969e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
1,1.000000e+02,0,2,CONTINUE,3.249338e+00,1.558602e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042856e-01,6.249197e-01,,,7.311106e+00,9.227733e+00,5.766592e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.531160e-03,NaN,2.501854e-03,NaN,,,9.317701e-02,5.962792e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.317701e-02,5.962792e-02,,4.480476e-14,2.531160e-03,4.291551e-14,2.501854e-03,,,2.531160e-03,2.501854e-03,,2.358434e-01,2.877786e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,true
1,3.162000e+02,0,2,CONTINUE,3.249338e+00,1.571185e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042856e-01,6.231108e-01,,,7.316448e+00,9.250082e+00,5.763826e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,8.065312e-04,NaN,8.037962e-04,NaN,,,2.960191e-02,1.918898e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.960191e-02,1.918898e-02,,1.396375e-13,8.065312e-04,1.283946e-13,8.037962e-04,,,8.065312e-04,8.037962e-04,,1.329654e-01,2.873924e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
1,1.000000e+03,0,2,CONTINUE,3.249338e+00,1.575227e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042856e-01,6.225250e-01,,,7.318158e+00,9.257402e+00,5.762964e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.556371e-04,NaN,2.554387e-04,NaN,,,9.373698e-03,6.101579e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.373698e-03,6.101579e-03,,5.175607e-13,2.556371e-04,3.245613e-13,2.554387e-04,,,2.556371e-04,2.554387e-04,,7.482962e-02,2.872701e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,3.249338e+00,1.576511e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042856e-01,6.223384e-01,,,7.318701e+00,9.259743e+00,5.762694e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,8.090808e-05,NaN,8.091239e-05,NaN,,,2.965846e-03,1.933089e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.965846e-03,1.933089e-03,,1.240475e-12,8.090808e-05,1.241086e-12,8.091239e-05,,,8.090808e-05,8.091239e-05,,4.209255e-02,2.872314e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
1,1.000000e+04,0,2,CONTINUE,3.249338e+00,1.576918e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042856e-01,6.222793e-01,,,7.318873e+00,9.260486e+00,5.762608e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.558929e-05,NaN,2.559737e-05,NaN,,,9.379369e-04,6.115868e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.379369e-04,6.115868e-04,,3.425684e-12,2.558929e-05,3.195344e-12,2.559737e-05,,,2.558929e-05,2.559737e-05,,2.367129e-02,2.872192e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,3.249338e+00,1.577046e+00,1.000000e-09,1.000000e-01,2.772503e-13,4.042856e-01,6.222606e-01,,,7.318927e+00,9.260721e+00,5.762581e+00,3.249338e+00,3.249338e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,8.093369e-06,NaN,8.096598e-06,NaN,,,2.966414e-04,1.934521e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.966414e-04,1.934521e-04,,1.145555e-11,8.093369e-06,1.128835e-11,8.096598e-06,,,8.093369e-06,8.096598e-06,,1.331227e-02,2.872153e+00,1.380480e+00,1.339004e+00,3.249338e+00,1.000000e+00,false
