iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,7,CONTINUE,1.000000e+00,4.450516e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.775871e-01,2.332617e+00,1.000000e-02,4.370835e+00,2.479434e+00,1.432089e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,2,0,0,9.383445e-03,NaN,3.194708e-02,NaN,9.399868e-03,NaN,1.410189e+00,4.194150e-01,5.840256e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.023224e-02,7.017287e-02,5.086734e-02,3.178713e-15,9.383445e-03,2.717146e-15,3.194708e-02,2.177201e-16,9.399868e-03,9.383445e-03,3.194708e-02,9.399868e-03,1.208182e+00,2.605893e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+00,0,6,CONTINUE,1.000000e+00,4.453112e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.775012e-01,2.343248e+00,1.000000e-02,4.376551e+00,2.521987e+00,1.456451e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,2,0,0,9.588704e-03,NaN,5.620454e-03,NaN,1.489252e-03,NaN,5.081770e-01,1.593632e-01,2.009033e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.060855e-02,1.530616e-02,7.401630e-03,6.270338e-15,9.588704e-03,6.618690e-15,5.620454e-03,5.225281e-16,1.489252e-03,9.588704e-03,5.620454e-03,1.489252e-03,7.053794e-01,2.471222e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,1.000000e+00,4.436953e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.790973e-01,2.350299e+00,1.000000e-02,4.398789e+00,2.498967e+00,1.447145e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,1.055214e-02,NaN,3.588657e-02,NaN,1.304744e-02,NaN,1.703354e-01,5.155453e-02,6.555124e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,5.461892e-03,5.155453e-02,6.555124e-02,2.859971e-14,1.055214e-02,1.947288e-14,3.588657e-02,1.541458e-15,1.304744e-02,1.055214e-02,3.588657e-02,1.304744e-02,4.001346e-01,2.427072e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,4.439044e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.781106e-01,2.331908e+00,1.000000e-02,4.382046e+00,2.501625e+00,1.446216e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.518832e-02,NaN,1.127475e-02,NaN,4.180824e-03,NaN,5.505402e-02,1.713174e-02,2.095169e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,5.505402e-02,1.713174e-02,2.095169e-02,8.185206e-14,1.518832e-02,7.643933e-14,1.127475e-02,6.984459e-15,4.180824e-03,1.518832e-02,1.127475e-02,4.180824e-03,2.256994e-01,2.412945e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,true
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,4.445541e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.779942e-01,2.341104e+00,1.000000e-02,4.378590e+00,2.514932e+00,1.453616e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.824074e-03,NaN,3.616354e-03,NaN,1.327625e-03,NaN,1.753584e-02,5.344789e-03,6.647656e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.753584e-02,5.344789e-03,6.647656e-03,2.567355e-13,4.824074e-03,2.355731e-13,3.616354e-03,1.490947e-14,1.327625e-03,4.824074e-03,3.616354e-03,1.327625e-03,1.270387e-01,2.408460e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,4.447417e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.779789e-01,2.344048e+00,1.000000e-02,4.377487e+00,2.519072e+00,1.455970e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.527818e-03,NaN,1.148929e-03,NaN,4.204402e-04,NaN,5.558908e-03,1.682739e-03,2.104653e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,5.558908e-03,1.682739e-03,2.104653e-03,6.267551e-13,1.527818e-03,8.322665e-13,1.148929e-03,5.223540e-14,4.204402e-04,1.527818e-03,1.148929e-03,4.204402e-04,7.146451e-02,2.407040e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,4.447992e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.779762e-01,2.344983e+00,1.000000e-02,4.377136e+00,2.520374e+00,1.456716e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.833148e-04,NaN,3.638189e-04,NaN,1.330005e-04,NaN,1.759048e-03,5.313131e-04,6.657214e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.759048e-03,5.313131e-04,6.657214e-04,2.339846e-12,4.833148e-04,2.271534e-12,3.638189e-04,2.248439e-13,1.330005e-04,4.833148e-04,3.638189e-04,1.330005e-04,4.018966e-02,2.406591e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,4.448172e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.779756e-01,2.345279e+00,1.000000e-02,4.377026e+00,2.520785e+00,1.456952e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.528729e-04,NaN,1.151126e-04,NaN,4.206790e-05,NaN,5.564410e-04,1.679535e-04,2.105611e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,5.564410e-04,1.679535e-04,2.105611e-04,8.048144e-12,1.528729e-04,6.050057e-12,1.151126e-04,5.752599e-13,4.206790e-05,1.528729e-04,1.151126e-04,4.206790e-05,2.260200e-02,2.406449e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,4.448229e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.779754e-01,2.345372e+00,1.000000e-02,4.376990e+00,2.520915e+00,1.457027e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.834059e-05,NaN,3.640389e-05,NaN,1.330244e-05,NaN,1.759599e-04,5.309917e-05,6.658173e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.759599e-04,5.309917e-05,6.658173e-05,2.169923e-11,4.834059e-05,2.000886e-11,3.640389e-05,1.836747e-12,1.330244e-05,4.834059e-05,3.640389e-05,1.330244e-05,1.270961e-02,2.406404e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,4.448247e-01,1.000000e-09,1.000000e-01,1.814168e-13,1.007054e+00,5.779754e-01,2.345402e+00,1.000000e-02,4.376979e+00,2.520956e+00,1.457050e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.528820e-05,NaN,1.151346e-05,NaN,4.207029e-06,NaN,5.564962e-05,1.679213e-05,2.105707e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,5.564962e-05,1.679213e-05,2.105707e-05,6.000561e-11,1.528820e-05,5.792554e-11,1.151346e-05,5.378704e-12,4.207029e-06,1.528820e-05,1.151346e-05,4.207029e-06,7.147474e-03,2.406390e+00,6.355296e+00,2.228872e+00,1.000000e+00,1.000000e+00,false
