iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,7,CONTINUE,1.000000e+00,3.640642e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469312e+00,6.487709e-01,1.167123e+00,2.894423e-01,5.959483e+00,2.756114e+00,1.788087e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,2,0,0,3.507592e-03,NaN,7.790085e-03,NaN,1.791032e-03,NaN,1.814919e+00,5.785633e-01,1.473050e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.890538e-02,8.119524e-02,1.757534e-02,1.337414e-14,3.507592e-03,1.137554e-14,7.790085e-03,7.109714e-16,1.791032e-03,3.507592e-03,7.790085e-03,1.791032e-03,1.234412e+00,3.169374e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+00,0,5,CONTINUE,1.000000e+00,3.660003e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.466131e-01,1.168960e+00,2.894335e-01,5.963175e+00,2.769575e+00,1.790843e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,1,0,0,3.027241e-03,NaN,1.328979e-03,NaN,4.479546e-03,NaN,6.668448e-01,2.148332e-01,5.111185e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.374927e-02,1.110132e-02,5.111185e-02,4.429971e-14,3.027241e-03,3.893988e-14,1.328979e-03,1.931232e-15,4.479546e-03,3.027241e-03,1.328979e-03,4.479546e-03,7.108873e-01,3.059606e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,1.000000e+00,3.581388e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.554820e-01,1.170239e+00,2.809273e-01,5.948088e+00,2.755776e+00,1.806362e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,3.894737e-04,NaN,7.980960e-03,NaN,1.458584e-03,NaN,2.235696e-01,7.209776e-02,1.679090e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.828939e-03,7.209776e-02,1.679090e-02,1.434764e-13,3.894737e-04,1.697518e-13,7.980960e-03,1.063576e-14,1.458584e-03,3.894737e-04,7.980960e-03,1.458584e-03,4.035699e-01,3.024059e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,3.635122e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.486255e-01,1.166270e+00,2.878677e-01,5.954104e+00,2.748098e+00,1.782487e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,9.956327e-03,NaN,2.522167e-03,NaN,4.658817e-04,NaN,7.213610e-02,2.317016e-02,5.382241e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.213610e-02,2.317016e-02,5.382241e-03,4.788981e-13,9.956327e-03,2.507772e-13,2.522167e-03,4.097958e-14,4.658817e-04,9.956327e-03,2.522167e-03,4.658817e-04,2.277028e-01,3.012733e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,true
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,3.645744e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.479978e-01,1.167149e+00,2.892616e-01,5.960152e+00,2.765092e+00,1.791773e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.164389e-03,NaN,8.110351e-04,NaN,1.477855e-04,NaN,2.295839e-02,7.399780e-03,1.709415e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.295839e-02,7.399780e-03,1.709415e-03,1.366490e-12,3.164389e-03,1.288975e-12,8.110351e-04,9.731495e-14,1.477855e-04,3.164389e-03,8.110351e-04,1.477855e-04,1.281786e-01,3.009141e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,3.649123e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.477998e-01,1.167429e+00,2.897056e-01,5.962089e+00,2.770543e+00,1.794757e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.002391e-03,NaN,2.578752e-04,NaN,4.678581e-05,NaN,7.275804e-03,2.347767e-03,5.413788e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.275804e-03,2.347767e-03,5.413788e-04,4.400894e-12,1.002391e-03,4.821712e-12,2.578752e-04,2.804354e-13,4.678581e-05,1.002391e-03,2.578752e-04,4.678581e-05,7.210803e-02,3.008005e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,3.650194e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.477372e-01,1.167518e+00,2.898464e-01,5.962705e+00,2.772275e+00,1.795706e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.171199e-04,NaN,8.167916e-05,NaN,1.479847e-05,NaN,2.302124e-03,7.431255e-04,1.712610e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.302124e-03,7.431255e-04,1.712610e-04,1.080419e-11,3.171199e-04,1.746364e-11,8.167916e-05,1.644746e-12,1.479847e-05,3.171199e-04,8.167916e-05,1.479847e-05,4.055196e-02,3.007646e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,3.650533e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.477174e-01,1.167546e+00,2.898909e-01,5.962899e+00,2.772824e+00,1.796006e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.003073e-04,NaN,2.584542e-05,NaN,4.680579e-06,NaN,7.282113e-04,2.350939e-04,5.416997e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.282113e-04,2.350939e-04,5.416997e-05,3.664891e-11,1.003073e-04,3.877430e-11,2.584542e-05,4.293968e-12,4.680579e-06,1.003073e-04,2.584542e-05,4.680579e-06,2.280583e-02,3.007532e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,3.650640e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.477111e-01,1.167555e+00,2.899050e-01,5.962961e+00,2.772997e+00,1.796101e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.171882e-05,NaN,8.173715e-06,NaN,1.480047e-06,NaN,2.302756e-04,7.434434e-05,1.712932e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.302756e-04,7.434434e-05,1.712932e-05,1.474141e-10,3.171882e-05,9.928698e-11,8.173715e-06,8.065117e-12,1.480047e-06,3.171882e-05,8.173715e-06,1.480047e-06,1.282424e-02,3.007496e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,3.650674e-01,1.000000e-09,1.000000e-01,2.295904e-13,1.469310e+00,6.477092e-01,1.167558e+00,2.899095e-01,5.962981e+00,2.773052e+00,1.796131e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.003142e-05,NaN,2.585122e-06,NaN,4.680779e-07,NaN,7.282745e-05,2.351257e-05,5.417318e-06,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.282745e-05,2.351257e-05,5.417318e-06,5.028586e-10,1.003142e-05,2.886261e-10,2.585122e-06,3.032983e-11,4.680779e-07,1.003142e-05,2.585122e-06,4.680779e-07,7.211939e-03,3.007485e+00,5.308599e+00,7.553574e+00,1.000000e+00,1.000000e+00,false
