iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,4,CONTINUE,4.261226e+03,2.455997e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614548e-01,,,1.003790e+04,6.084190e+00,4.024417e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,3.253073e-08,NaN,2.949478e-08,NaN,,,4.543984e+00,4.929089e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.750081e-03,1.955061e-03,,5.556555e-13,3.253073e-08,8.959012e-13,2.949478e-08,,,3.253073e-08,2.949478e-08,,5.656846e-02,2.872876e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
1,3.162000e+00,0,4,CONTINUE,4.261226e+03,2.455997e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614548e-01,,,1.003790e+04,6.084190e+00,4.024417e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,3.257768e-09,NaN,2.951549e-09,NaN,,,1.437557e+00,1.559373e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.752137e-04,1.957150e-04,,3.026493e-12,3.257768e-09,1.999478e-12,2.951549e-09,,,3.257768e-09,2.951549e-09,,3.181681e-02,2.872665e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,4.261226e+03,2.455997e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614548e-01,,,1.003790e+04,6.084190e+00,4.024417e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,3.258503e-10,NaN,2.951521e-10,NaN,,,4.546053e-01,4.931258e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.752383e-05,1.957359e-05,,5.610392e-12,3.258503e-10,6.488315e-12,2.951521e-10,,,3.258503e-10,2.951521e-10,,1.789195e-02,2.872598e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
1,3.162000e+01,0,4,CONTINUE,4.261226e+03,2.455997e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614548e-01,,,1.003790e+04,6.084190e+00,4.024417e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,3.259471e-11,NaN,2.952193e-11,NaN,,,1.437764e-01,1.559590e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.752862e-06,1.957879e-06,,2.042850e-11,3.259471e-11,2.194470e-11,2.952193e-11,,,3.259471e-11,2.952193e-11,,1.006197e-02,2.872577e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
1,1.000000e+02,0,2,CONTINUE,4.261226e+03,2.456000e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614539e-01,,,1.003790e+04,6.084167e+00,4.024396e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.715543e-07,NaN,9.431261e-07,NaN,,,4.546260e-02,4.931466e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.546260e-02,4.931466e-02,,5.908208e-11,5.715543e-07,9.212467e-11,9.431261e-07,,,5.715543e-07,9.431261e-07,,5.658039e-03,2.872570e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,true
1,3.162000e+02,0,2,CONTINUE,4.261226e+03,2.455998e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614545e-01,,,1.003790e+04,6.084183e+00,4.024410e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.807579e-07,NaN,2.982702e-07,NaN,,,1.437785e-02,1.559611e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.437785e-02,1.559611e-02,,1.568186e-10,1.807579e-07,2.104305e-10,2.982702e-07,,,1.807579e-07,2.982702e-07,,3.181893e-03,2.872568e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
1,1.000000e+03,0,2,CONTINUE,4.261226e+03,2.455997e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614547e-01,,,1.003790e+04,6.084188e+00,4.024415e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.715571e-08,NaN,9.431319e-08,NaN,,,4.546281e-03,4.931496e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.546281e-03,4.931496e-03,,5.500128e-10,5.715571e-08,5.030305e-10,9.431319e-08,,,5.715571e-08,9.431319e-08,,1.789232e-03,2.872568e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,4.261226e+03,2.455997e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614548e-01,,,1.003790e+04,6.084190e+00,4.024416e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.807582e-08,NaN,2.982708e-08,NaN,,,1.437787e-03,1.559614e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.437787e-03,1.559614e-03,,2.186191e-09,1.807582e-08,2.329544e-09,2.982708e-08,,,1.807582e-08,2.982708e-08,,1.006204e-03,2.872567e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
1,1.000000e+04,0,2,CONTINUE,4.261226e+03,2.455997e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614548e-01,,,1.003790e+04,6.084190e+00,4.024417e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.740251e-09,NaN,9.431325e-09,NaN,,,4.546283e-04,4.931499e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.546283e-04,4.931499e-04,,7.740251e-09,5.715574e-09,7.822523e-09,9.431325e-09,,,7.740251e-09,9.431325e-09,,5.658051e-04,2.872567e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,4.261226e+03,2.455997e+03,1.000000e-09,1.000000e-01,3.082101e-10,5.811482e+02,6.614548e-01,,,1.003790e+04,6.084190e+00,4.024417e+00,1.773872e-03,1.773876e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.693599e-08,NaN,2.314299e-08,NaN,,,1.437787e-04,1.559614e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.437787e-04,1.559614e-04,,2.693599e-08,1.807582e-09,2.314299e-08,2.982709e-09,,,2.693599e-08,2.314299e-08,,3.181896e-04,2.872567e+00,1.035277e+00,8.823210e-01,1.773872e-03,0.000000e+00,false
