iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,7,CONTINUE,1.000000e+00,3.407354e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030884e+00,6.822644e-01,2.217573e+00,3.123574e-01,5.755243e+00,1.570071e+00,1.071203e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,2,0,0,8.900355e-03,NaN,2.297307e-02,NaN,1.021010e-02,NaN,1.098310e+00,5.087213e-01,4.485914e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.084883e-02,9.187710e-02,4.523297e-02,3.119337e-15,8.900355e-03,3.661193e-15,2.297307e-02,4.749091e-16,1.021010e-02,8.900355e-03,2.297307e-02,1.021010e-02,1.248142e+00,3.041651e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+00,0,6,CONTINUE,1.000000e+00,3.398487e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.826812e-01,2.219718e+00,3.092438e-01,5.761444e+00,1.594407e+00,1.088471e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,2,0,0,5.012797e-03,NaN,3.595373e-03,NaN,1.640158e-03,NaN,3.922823e-01,1.924823e-01,1.572931e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.159288e-02,1.371701e-02,7.497229e-03,6.175910e-15,5.012797e-03,7.464650e-15,3.595373e-03,1.422635e-15,1.640158e-03,5.012797e-03,3.595373e-03,1.640158e-03,7.325959e-01,2.927097e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,1.000000e+00,3.390872e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.830085e-01,2.225497e+00,3.051905e-01,5.772962e+00,1.581700e+00,1.080314e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,1.270453e-02,NaN,2.002648e-02,NaN,1.410069e-02,NaN,1.302280e-01,6.612077e-02,5.177148e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.600229e-03,6.612077e-02,5.177148e-02,2.808449e-14,1.270453e-02,3.146534e-14,2.002648e-02,4.468748e-15,1.410069e-02,1.270453e-02,2.002648e-02,1.410069e-02,4.201142e-01,2.889921e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,3.398148e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.823734e-01,2.219374e+00,3.098998e-01,5.766077e+00,1.588545e+00,1.083981e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,8.408786e-03,NaN,6.464772e-03,NaN,4.514566e-03,NaN,4.188933e-02,2.132250e-02,1.660180e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.188933e-02,2.132250e-02,1.660180e-02,7.494776e-14,8.408786e-03,8.465515e-14,6.464772e-03,1.057980e-14,4.514566e-03,8.408786e-03,6.464772e-03,4.514566e-03,2.380207e-01,2.878067e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,true
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,3.395598e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.828235e-01,2.220443e+00,3.097206e-01,5.764416e+00,1.597724e+00,1.090964e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.675394e-03,NaN,2.059678e-03,NaN,1.433170e-03,NaN,1.331906e-02,6.790953e-03,5.273346e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.331906e-02,6.790953e-03,5.273346e-03,2.204750e-13,2.675394e-03,1.756536e-13,2.059678e-03,3.307208e-14,1.433170e-03,2.675394e-03,2.059678e-03,1.433170e-03,1.341800e-01,2.874307e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,3.394744e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.829710e-01,2.220788e+00,3.096610e-01,5.763886e+00,1.600677e+00,1.093216e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,8.477849e-04,NaN,6.529520e-04,NaN,4.538192e-04,NaN,4.219699e-03,2.152655e-03,1.670143e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.219699e-03,2.152655e-03,1.670143e-03,7.463232e-13,8.477849e-04,7.159913e-13,6.529520e-04,1.194511e-13,4.538192e-04,8.477849e-04,6.529520e-04,4.538192e-04,7.551967e-02,2.873118e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,3.394469e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.830182e-01,2.220898e+00,3.096419e-01,5.763718e+00,1.601617e+00,1.093933e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.682380e-04,NaN,2.066207e-04,NaN,1.435549e-04,NaN,1.335020e-03,6.811709e-04,5.283423e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.335020e-03,6.811709e-04,5.283423e-04,4.401372e-12,2.682380e-04,3.965871e-12,2.066207e-04,5.067991e-13,1.435549e-04,2.682380e-04,2.066207e-04,1.435549e-04,4.247697e-02,2.872741e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,3.394382e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.830332e-01,2.220932e+00,3.096358e-01,5.763664e+00,1.601914e+00,1.094161e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,8.484863e-05,NaN,6.536067e-05,NaN,4.540577e-05,NaN,4.222826e-04,2.154743e-04,1.671155e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.222826e-04,2.154743e-04,1.671155e-04,7.069212e-12,8.484863e-05,9.078604e-12,6.536067e-05,1.487005e-12,4.540577e-05,8.484863e-05,6.536067e-05,4.540577e-05,2.388957e-02,2.872622e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,3.394354e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.830380e-01,2.220943e+00,3.096339e-01,5.763648e+00,1.602008e+00,1.094233e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.683082e-05,NaN,2.066862e-05,NaN,1.435788e-05,NaN,1.335333e-04,6.813800e-05,5.284436e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.335333e-04,6.813800e-05,5.284436e-05,2.143458e-11,2.683082e-05,3.313509e-11,2.066862e-05,4.621522e-12,1.435788e-05,2.683082e-05,2.066862e-05,1.435788e-05,1.343385e-02,2.872585e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,3.394345e-01,1.000000e-09,1.000000e-01,2.415746e-13,1.030882e+00,6.830395e-01,2.220947e+00,3.096333e-01,5.763642e+00,1.602038e+00,1.094255e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,8.485566e-06,NaN,6.536722e-06,NaN,4.540816e-06,NaN,4.223139e-05,2.154952e-05,1.671256e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.223139e-05,2.154952e-05,1.671256e-05,5.304795e-11,8.485566e-06,8.340647e-11,6.536722e-06,1.214726e-11,4.540816e-06,8.485566e-06,6.536722e-06,4.540816e-06,7.554803e-03,2.872573e+00,8.685592e+00,1.811938e+00,1.000000e+00,1.000000e+00,false
