iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,7,CONTINUE,2.957608e+00,1.019612e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.486940e-01,7.713073e-01,,,4.814275e+00,3.105096e+00,2.394983e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,3,0,0,,,,1.365458e-03,NaN,3.677959e-03,NaN,,,2.387122e+00,1.460100e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.681459e-02,8.368697e-02,,2.431873e-16,1.365458e-03,3.850465e-16,3.677959e-03,,,1.365458e-03,3.677959e-03,,2.004622e+00,3.348022e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
1,3.162000e+00,0,5,CONTINUE,2.957608e+00,1.013732e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485533e-01,7.741409e-01,,,4.813218e+00,3.100325e+00,2.400089e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,7.598293e-04,NaN,3.781764e-03,NaN,,,9.582136e-01,6.158731e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.753678e-02,8.951497e-02,,7.650266e-16,7.598293e-04,9.930147e-16,3.781764e-03,,,7.598293e-04,3.781764e-03,,1.211907e+00,3.031007e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,2.957608e+00,1.018542e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485528e-01,7.726354e-01,,,4.807236e+00,3.109139e+00,2.402231e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,9.305444e-04,NaN,5.417537e-04,NaN,,,3.389001e-01,2.258165e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.756205e-02,1.246850e-02,,2.837185e-15,9.305444e-04,2.492670e-15,5.417537e-04,,,9.305444e-04,5.417537e-04,,7.096372e-01,2.923594e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,2.957608e+00,1.006412e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485528e-01,7.781047e-01,,,4.799420e+00,3.098413e+00,2.410890e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,1.161349e-04,NaN,4.038865e-03,NaN,,,1.120294e-01,7.591263e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.144575e-03,7.591263e-02,,1.605036e-14,1.161349e-04,8.754742e-15,4.038865e-03,,,1.161349e-04,4.038865e-03,,4.065823e-01,2.888802e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
1,1.000000e+02,0,2,CONTINUE,2.957608e+00,1.020275e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485528e-01,7.732199e-01,,,4.799189e+00,3.104550e+00,2.400500e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.788507e-03,NaN,1.308861e-03,NaN,,,3.597266e-02,2.451068e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.597266e-02,2.451068e-02,,4.604346e-14,1.788507e-03,2.627942e-14,1.308861e-03,,,1.788507e-03,1.308861e-03,,2.302331e-01,2.877711e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,true
1,3.162000e+02,0,2,CONTINUE,2.957608e+00,1.018355e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485528e-01,7.730214e-01,,,4.805138e+00,3.109616e+00,2.403800e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.682041e-04,NaN,4.142026e-04,NaN,,,1.143388e-02,7.803480e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.143388e-02,7.803480e-03,,1.473715e-13,5.682041e-04,8.235942e-14,4.142026e-04,,,5.682041e-04,4.142026e-04,,1.297808e-01,2.874195e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
1,1.000000e+03,0,2,CONTINUE,2.957608e+00,1.017744e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485528e-01,7.729586e-01,,,4.807039e+00,3.111218e+00,2.404843e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.799272e-04,NaN,1.309937e-04,NaN,,,3.621210e-03,2.472775e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.621210e-03,2.472775e-03,,2.822594e-13,1.799272e-04,3.424077e-13,1.309937e-04,,,1.799272e-04,1.309937e-04,,7.303347e-02,2.873082e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,2.957608e+00,1.017551e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485528e-01,7.729387e-01,,,4.807642e+00,3.111725e+00,2.405173e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.692917e-05,NaN,4.142964e-05,NaN,,,1.145812e-03,7.825645e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.145812e-03,7.825645e-04,,9.677637e-13,5.692917e-05,1.029736e-12,4.142964e-05,,,5.692917e-05,4.142964e-05,,4.108150e-02,2.872730e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
1,1.000000e+04,0,2,CONTINUE,2.957608e+00,1.017489e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485528e-01,7.729324e-01,,,4.807832e+00,3.111885e+00,2.405277e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.800363e-05,NaN,1.310027e-05,NaN,,,3.623642e-04,2.475006e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.623642e-04,2.475006e-04,,4.111425e-12,1.800363e-05,2.819189e-12,1.310027e-05,,,1.800363e-05,1.310027e-05,,2.310258e-02,2.872619e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,2.957608e+00,1.017470e+00,1.000000e-09,1.000000e-01,1.752607e-13,3.485528e-01,7.729305e-01,,,4.807893e+00,3.111936e+00,2.405310e+00,2.957608e+00,2.957608e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.694009e-06,NaN,4.143052e-06,NaN,,,1.146055e-04,7.827881e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.146055e-04,7.827881e-05,,1.250623e-11,5.694009e-06,1.011645e-11,4.143052e-06,,,5.694009e-06,4.143052e-06,,1.299242e-02,2.872584e+00,1.221832e+00,8.667511e-01,2.957608e+00,1.000000e+00,false
