iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,5,CONTINUE,4.772239e+01,2.928496e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704035e+00,6.200810e-01,,,1.025093e+02,7.071209e+00,4.384723e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,2,0,0,3,0,0,,,,1.315285e-04,NaN,1.121213e-05,NaN,,,4.188560e+00,6.286779e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,8.634566e-02,8.122765e-03,,7.280478e-15,1.315285e-04,6.688569e-15,1.121213e-05,,,1.315285e-04,1.121213e-05,,5.795439e-01,2.906116e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,3.162000e+00,0,4,CONTINUE,4.772239e+01,2.927947e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201353e-01,,,1.025113e+02,7.070023e+00,4.384370e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.462288e-05,NaN,4.419661e-05,NaN,,,1.356370e+00,2.063086e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.417040e-03,2.875248e-02,,3.571183e-14,1.462288e-05,2.321269e-14,4.419661e-05,,,1.462288e-05,4.419661e-05,,3.302207e-01,2.883220e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,4.772239e+01,2.927796e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201673e-01,,,1.025113e+02,7.071122e+00,4.385279e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.514261e-06,NaN,4.569450e-06,NaN,,,4.322144e-01,6.605617e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.697156e-04,2.965367e-03,,8.316318e-14,1.514261e-06,6.076930e-14,4.569450e-06,,,1.514261e-06,4.569450e-06,,1.865597e-01,2.875940e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,3.162000e+01,0,4,CONTINUE,4.772239e+01,2.927781e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201706e-01,,,1.025113e+02,7.071235e+00,4.385372e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.531704e-07,NaN,4.619321e-07,NaN,,,1.370286e-01,2.097532e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.792034e-05,2.995513e-04,,2.299048e-13,1.531704e-07,1.735477e-13,4.619321e-07,,,1.531704e-07,4.619321e-07,,1.050770e-01,2.873634e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,1.000000e+02,0,2,CONTINUE,4.772239e+01,2.928071e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201092e-01,,,1.025079e+02,7.067181e+00,4.382424e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.100018e-05,NaN,1.388352e-04,NaN,,,4.336246e-02,6.640524e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.336246e-02,6.640524e-02,,5.109948e-13,7.100018e-05,8.693167e-13,1.388352e-04,,,7.100018e-05,1.388352e-04,,5.911579e-02,2.872905e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,true
1,3.162000e+02,0,2,CONTINUE,4.772239e+01,2.927872e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201514e-01,,,1.025102e+02,7.069961e+00,4.384446e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.245956e-05,NaN,4.392752e-05,NaN,,,1.371702e-02,2.101052e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.371702e-02,2.101052e-02,,2.018426e-12,2.245956e-05,2.168764e-12,4.392752e-05,,,2.245956e-05,4.392752e-05,,3.324994e-02,2.872674e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,1.000000e+03,0,2,CONTINUE,4.772239e+01,2.927809e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201648e-01,,,1.025110e+02,7.070840e+00,4.385086e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.102250e-06,NaN,1.389190e-05,NaN,,,4.337664e-03,6.644479e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.337664e-03,6.644479e-03,,7.463358e-12,7.102250e-06,7.466416e-12,1.389190e-05,,,7.102250e-06,1.389190e-05,,1.869793e-02,2.872601e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,4.772239e+01,2.927788e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201690e-01,,,1.025112e+02,7.071119e+00,4.385289e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.246180e-06,NaN,4.393591e-06,NaN,,,1.371844e-03,2.101448e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.371844e-03,2.101448e-03,,2.127596e-11,2.246180e-06,1.990309e-11,4.393591e-06,,,2.246180e-06,4.393591e-06,,1.051524e-02,2.872578e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,1.000000e+04,0,2,CONTINUE,4.772239e+01,2.927782e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201704e-01,,,1.025113e+02,7.071207e+00,4.385353e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.102473e-07,NaN,1.389274e-06,NaN,,,4.337806e-04,6.644875e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.337806e-04,6.644875e-04,,1.285194e-10,7.102473e-07,7.411290e-11,1.389274e-06,,,7.102473e-07,1.389274e-06,,5.912926e-03,2.872571e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,4.772239e+01,2.927780e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201708e-01,,,1.025113e+02,7.071235e+00,4.385373e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.246202e-07,NaN,4.393675e-07,NaN,,,1.371859e-04,2.101488e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.371859e-04,2.101488e-04,,1.642051e-10,2.246202e-07,1.234955e-10,4.393675e-07,,,2.246202e-07,4.393675e-07,,3.325234e-03,2.872568e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,1.000000e+05,0,2,CONTINUE,4.772239e+01,2.927780e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201709e-01,,,1.025113e+02,7.071243e+00,4.385379e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.102496e-08,NaN,1.389282e-07,NaN,,,4.337820e-05,6.644914e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.337820e-05,6.644914e-05,,6.111511e-10,7.102496e-08,7.421336e-10,1.389282e-07,,,7.102496e-08,1.389282e-07,,1.869835e-03,2.872568e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,3.162000e+05,0,2,CONTINUE,4.772239e+01,2.927779e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201710e-01,,,1.025113e+02,7.071246e+00,4.385381e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.246204e-08,NaN,4.393684e-08,NaN,,,1.371860e-05,2.101492e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.371860e-05,2.101492e-05,,2.849693e-09,2.246204e-08,2.080689e-09,4.393684e-08,,,2.246204e-08,4.393684e-08,,1.051532e-03,2.872567e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
1,1.000000e+06,0,2,CONTINUE,4.772239e+01,2.927779e+01,1.000000e-09,1.000000e-01,2.977113e-12,6.704034e+00,6.201710e-01,,,1.025113e+02,7.071247e+00,4.385382e+00,1.938686e-01,1.938686e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.102498e-09,NaN,1.389283e-08,NaN,,,4.337822e-06,6.644918e-06,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.337822e-06,6.644918e-06,,6.853859e-09,7.102498e-09,1.072557e-08,1.389283e-08,,,7.102498e-09,1.389283e-08,,5.912940e-04,2.872567e+00,1.068437e+00,8.436066e-01,1.938686e-01,1.000000e+00,false
