iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,4,CONTINUE,4.768168e+03,2.923923e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202048e-01,,,1.030090e+04,7.245429e+00,4.493650e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.561097e-08,NaN,4.701825e-08,NaN,,,4.418747e+00,6.705754e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.011348e-03,3.039610e-03,,1.332525e-12,1.561097e-08,9.590500e-13,4.701825e-08,,,1.561097e-08,4.701825e-08,,5.914102e-02,2.872905e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
1,3.162000e+00,0,4,CONTINUE,4.768168e+03,2.923923e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202049e-01,,,1.030090e+04,7.245431e+00,4.493651e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.563151e-09,NaN,4.707679e-09,NaN,,,1.397803e+00,2.121603e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.012522e-04,3.043197e-04,,2.145432e-12,1.563151e-09,1.924868e-12,4.707679e-09,,,1.563151e-09,4.707679e-09,,3.326413e-02,2.872674e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,4.768168e+03,2.923923e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202049e-01,,,1.030090e+04,7.245431e+00,4.493651e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.563440e-10,NaN,4.708444e-10,NaN,,,4.420204e-01,6.709383e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.012660e-05,3.043629e-05,,7.323342e-12,1.563440e-10,9.059479e-12,4.708444e-10,,,1.563440e-10,4.708444e-10,,1.870591e-02,2.872601e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
1,3.162000e+01,0,4,CONTINUE,4.768168e+03,2.923923e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202049e-01,,,1.030090e+04,7.245431e+00,4.493651e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.284582e-11,NaN,4.709782e-11,NaN,,,1.397949e-01,2.121967e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.012939e-06,3.044472e-06,,2.284582e-11,1.563892e-11,3.067249e-11,4.709782e-11,,,2.284582e-11,4.709782e-11,,1.051973e-02,2.872578e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
1,1.000000e+02,0,2,CONTINUE,4.768168e+03,2.923926e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202042e-01,,,1.030090e+04,7.245389e+00,4.493621e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.156190e-07,NaN,1.399596e-06,NaN,,,4.420350e-02,6.709742e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.420350e-02,6.709742e-02,,8.472499e-11,7.156190e-07,7.458236e-11,1.399596e-06,,,7.156190e-07,1.399596e-06,,5.915450e-03,2.872571e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,true
1,3.162000e+02,0,2,CONTINUE,4.768168e+03,2.923924e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202047e-01,,,1.030090e+04,7.245417e+00,4.493642e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.263190e-07,NaN,4.426320e-07,NaN,,,1.397964e-02,2.122003e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.397964e-02,2.122003e-02,,2.498886e-10,2.263190e-07,1.954400e-10,4.426320e-07,,,2.263190e-07,4.426320e-07,,3.326654e-03,2.872568e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
1,1.000000e+03,0,2,CONTINUE,4.768168e+03,2.923924e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202048e-01,,,1.030090e+04,7.245426e+00,4.493648e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.156212e-08,NaN,1.399604e-07,NaN,,,4.420365e-03,6.709782e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.420365e-03,6.709782e-03,,8.516198e-10,7.156212e-08,8.739800e-10,1.399604e-07,,,7.156212e-08,1.399604e-07,,1.870634e-03,2.872568e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,4.768168e+03,2.923923e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202049e-01,,,1.030090e+04,7.245429e+00,4.493650e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.263192e-08,NaN,4.426328e-08,NaN,,,1.397965e-03,2.122007e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.397965e-03,2.122007e-03,,2.583844e-09,2.263192e-08,1.881635e-09,4.426328e-08,,,2.263192e-08,4.426328e-08,,1.051981e-03,2.872567e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
1,1.000000e+04,0,2,CONTINUE,4.768168e+03,2.923923e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202049e-01,,,1.030090e+04,7.245430e+00,4.493651e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.756424e-09,NaN,1.399605e-08,NaN,,,4.420366e-04,6.709786e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.420366e-04,6.709786e-04,,7.756424e-09,7.156215e-09,8.930682e-09,1.399605e-08,,,7.756424e-09,1.399605e-08,,5.915464e-04,2.872567e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,4.768168e+03,2.923923e+03,1.000000e-09,1.000000e-01,3.016421e-10,6.698314e+02,6.202049e-01,,,1.030090e+04,7.245430e+00,4.493651e+00,1.940341e-03,1.940342e-03,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.800533e-08,NaN,1.751814e-08,NaN,,,1.397965e-04,2.122007e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.397965e-04,2.122007e-04,,2.800533e-08,2.263192e-09,1.751814e-08,4.426329e-09,,,2.800533e-08,1.751814e-08,,3.326656e-04,2.872567e+00,1.086326e+00,8.436066e-01,1.940341e-03,0.000000e+00,false
