iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,7,CONTINUE,1.000000e+00,3.097517e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,6.997868e-01,1.243739e+00,2.773518e-01,5.159695e+00,2.140972e+00,1.498224e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,2,0,0,5.752418e-03,NaN,1.337715e-02,NaN,2.641272e-03,NaN,1.624273e+00,4.163339e-01,1.379072e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.007651e-02,9.586051e-02,1.848143e-02,7.383962e-15,5.752418e-03,7.878368e-15,1.337715e-02,2.012536e-15,2.641272e-03,5.752418e-03,1.337715e-02,2.641272e-03,1.237086e+00,2.693387e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+00,0,5,CONTINUE,1.000000e+00,3.067858e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,7.024525e-01,1.251672e+00,2.707274e-01,5.168211e+00,2.171492e+00,1.525370e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,1,0,0,4.087631e-03,NaN,3.247480e-03,NaN,5.707215e-03,NaN,5.822848e-01,1.612879e-01,4.882440e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.397914e-02,2.035761e-02,4.882440e-02,2.386928e-14,4.087631e-03,2.342741e-14,3.247480e-03,3.767177e-15,5.707215e-03,4.087631e-03,3.247480e-03,5.707215e-03,7.160437e-01,2.556824e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,1.000000e+00,3.100640e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,6.996360e-01,1.247146e+00,2.754220e-01,5.164150e+00,2.159756e+00,1.511043e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,6.936912e-04,NaN,8.963792e-03,NaN,1.873611e-03,NaN,1.936427e-01,5.515895e-02,1.617150e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.613396e-03,5.515895e-02,1.617150e-02,9.440260e-14,6.936912e-04,7.573756e-14,8.963792e-03,1.718774e-14,1.873611e-03,6.936912e-04,8.963792e-03,1.873611e-03,4.080641e-01,2.511827e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,3.065248e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,7.024044e-01,1.247124e+00,2.719894e-01,5.164051e+00,2.160771e+00,1.517735e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,7.543813e-03,NaN,3.007585e-03,NaN,6.001229e-04,NaN,6.234731e-02,1.819690e-02,5.198356e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.234731e-02,1.819690e-02,5.198356e-03,1.901273e-13,7.543813e-03,2.152774e-13,3.007585e-03,4.521202e-14,6.001229e-04,7.543813e-03,3.007585e-03,6.001229e-04,2.306576e-01,2.497402e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,true
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,3.073684e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,7.017344e-01,1.246463e+00,2.735679e-01,5.166774e+00,2.173042e+00,1.524899e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.397348e-03,NaN,9.565155e-04,NaN,1.905412e-04,NaN,1.983133e-02,5.798511e-03,1.652530e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.983133e-02,5.798511e-03,1.652530e-03,6.268228e-13,2.397348e-03,6.724443e-13,9.565155e-04,1.819550e-13,1.905412e-04,2.397348e-03,9.565155e-04,1.905412e-04,1.299288e-01,2.492819e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,3.076403e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,7.015185e-01,1.246249e+00,2.740751e-01,5.167641e+00,2.176976e+00,1.527189e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,7.593823e-04,NaN,3.030199e-04,NaN,6.033872e-05,NaN,6.283701e-03,1.838229e-03,5.235165e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.283701e-03,1.838229e-03,5.235165e-04,2.907329e-12,7.593823e-04,2.141421e-12,3.030199e-04,6.388173e-13,6.033872e-05,7.593823e-04,3.030199e-04,6.033872e-05,7.310888e-02,2.491368e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,3.077268e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,7.014498e-01,1.246181e+00,2.742362e-01,5.167916e+00,2.178225e+00,1.527916e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.402377e-04,NaN,9.586534e-05,NaN,1.908703e-05,NaN,1.988107e-03,5.816882e-04,1.656258e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.988107e-03,5.816882e-04,1.656258e-04,5.932295e-12,2.402377e-04,5.285845e-12,9.586534e-05,1.883406e-12,1.908703e-05,2.402377e-04,9.586534e-05,1.908703e-05,4.111775e-02,2.490909e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,3.077542e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,7.014281e-01,1.246159e+00,2.742873e-01,5.168002e+00,2.178621e+00,1.528146e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,7.598862e-05,NaN,3.032295e-05,NaN,6.037172e-06,NaN,6.288702e-04,1.840061e-04,5.238909e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.288702e-04,1.840061e-04,5.238909e-05,2.132619e-11,7.598862e-05,2.203473e-11,3.032295e-05,4.579607e-12,6.037172e-06,7.598862e-05,3.032295e-05,6.037172e-06,2.312455e-02,2.490763e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,3.077629e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,7.014212e-01,1.246152e+00,2.743034e-01,5.168030e+00,2.178746e+00,1.528219e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.402881e-05,NaN,9.588615e-06,NaN,1.909033e-06,NaN,1.988608e-04,5.818711e-05,1.656633e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.988608e-04,5.818711e-05,1.656633e-05,1.194381e-10,2.402881e-05,7.565089e-11,9.588615e-06,1.261469e-11,1.909033e-06,2.402881e-05,9.588615e-06,1.909033e-06,1.300355e-02,2.490718e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,3.077656e-01,1.000000e-09,1.000000e-01,1.969146e-13,7.632767e-01,7.014190e-01,1.246150e+00,2.743085e-01,5.168039e+00,2.178786e+00,1.528242e+00,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,7.599367e-06,NaN,3.032502e-06,NaN,6.037502e-07,NaN,6.289203e-05,1.840243e-05,5.239284e-06,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.289203e-05,1.840243e-05,5.239284e-06,2.251257e-10,7.599367e-06,1.868543e-10,3.032502e-06,5.587490e-11,6.037502e-07,7.599367e-06,3.032502e-06,6.037502e-07,7.312798e-03,2.490703e+00,4.426781e+00,7.053300e+00,1.000000e+00,1.000000e+00,false
