iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,6,CONTINUE,2.901422e+00,6.854267e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479925e-01,8.019701e-01,,,5.226519e+00,2.721972e+00,2.182940e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,5.108058e-03,NaN,3.289560e-03,NaN,,,2.324993e+00,1.090651e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.216155e-01,6.867166e-02,,3.921563e-16,5.108058e-03,2.889573e-16,3.289560e-03,,,5.108058e-03,3.289560e-03,,1.986281e+00,3.339621e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,3.162000e+00,0,4,CONTINUE,2.901422e+00,6.617479e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479555e-01,8.109282e-01,,,5.220766e+00,2.712615e+00,2.199736e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,4.166972e-03,NaN,3.162057e-03,NaN,,,8.868351e-01,4.773908e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.253557e-02,7.017048e-02,,1.351907e-15,4.166972e-03,9.494310e-16,3.162057e-03,,,4.166972e-03,3.162057e-03,,1.195355e+00,3.028074e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,2.901422e+00,6.780186e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479533e-01,8.044623e-01,,,5.225057e+00,2.737187e+00,2.201964e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,6.803081e-04,NaN,4.775282e-04,NaN,,,3.062425e-01,1.845776e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.510415e-02,9.925732e-03,,2.951492e-15,6.803081e-04,3.147570e-15,4.775282e-04,,,6.803081e-04,4.775282e-04,,7.031345e-01,2.922633e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,2.901422e+00,6.648993e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479533e-01,8.098557e-01,,,5.222148e+00,2.727760e+00,2.209092e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,8.196686e-05,NaN,3.204257e-03,NaN,,,1.003126e-01,6.287602e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.841902e-03,6.287602e-02,,9.287912e-15,8.196686e-05,1.465426e-14,3.204257e-03,,,8.196686e-05,3.204257e-03,,4.026766e-01,2.888495e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,1.000000e+02,0,2,CONTINUE,2.901422e+00,6.704974e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479532e-01,8.075830e-01,,,5.221357e+00,2.731584e+00,2.205981e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.858743e-03,NaN,1.032976e-03,NaN,,,3.211004e-02,2.021271e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.211004e-02,2.021271e-02,,3.925691e-14,1.858743e-03,2.509800e-14,1.032976e-03,,,1.858743e-03,1.032976e-03,,2.279772e-01,2.877613e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,true
1,3.162000e+02,0,2,CONTINUE,2.901422e+00,6.767218e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479532e-01,8.050212e-01,,,5.224093e+00,2.738353e+00,2.204432e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.888869e-04,NaN,3.294266e-04,NaN,,,1.019582e-02,6.477244e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.019582e-02,6.477244e-03,,1.092362e-13,5.888869e-04,9.605765e-14,3.294266e-04,,,5.888869e-04,3.294266e-04,,1.285003e-01,2.874164e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,1.000000e+03,0,2,CONTINUE,2.901422e+00,6.787050e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479532e-01,8.042048e-01,,,5.224966e+00,2.740542e+00,2.203957e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.863111e-04,NaN,1.044431e-04,NaN,,,3.228059e-03,2.056785e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.228059e-03,2.056785e-03,,4.548187e-13,1.863111e-04,3.310289e-13,1.044431e-04,,,1.863111e-04,1.044431e-04,,7.231123e-02,2.873072e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,2.901422e+00,6.793335e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479532e-01,8.039460e-01,,,5.225243e+00,2.741240e+00,2.203809e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.893240e-05,NaN,3.305868e-05,NaN,,,1.021308e-03,6.513440e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.021308e-03,6.513440e-04,,8.816499e-13,5.893240e-05,1.026397e-12,3.305868e-05,,,5.893240e-05,3.305868e-05,,4.067494e-02,2.872727e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,1.000000e+04,0,2,CONTINUE,2.901422e+00,6.795325e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479532e-01,8.038641e-01,,,5.225330e+00,2.741461e+00,2.203762e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.863548e-05,NaN,1.045596e-05,NaN,,,3.229792e-04,2.060426e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.229792e-04,2.060426e-04,,2.805300e-12,1.863548e-05,3.174402e-12,1.045596e-05,,,1.863548e-05,1.045596e-05,,2.287390e-02,2.872618e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,2.901422e+00,6.795954e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479532e-01,8.038382e-01,,,5.225358e+00,2.741531e+00,2.203747e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.893678e-06,NaN,3.307034e-06,NaN,,,1.021481e-04,6.517088e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.021481e-04,6.517088e-05,,1.024775e-11,5.893678e-06,1.080234e-11,3.307034e-06,,,5.893678e-06,3.307034e-06,,1.286381e-02,2.872583e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
1,1.000000e+05,0,2,CONTINUE,2.901422e+00,6.796153e-01,1.000000e-09,1.000000e-01,1.618377e-13,4.479532e-01,8.038301e-01,,,5.225367e+00,2.741553e+00,2.203743e+00,2.901422e+00,2.901422e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.863591e-06,NaN,1.045712e-06,NaN,,,3.229965e-05,2.060791e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.229965e-05,2.060791e-05,,4.382353e-11,1.863591e-06,3.068429e-11,1.045712e-06,,,1.863591e-06,1.045712e-06,,7.233587e-03,2.872572e+00,1.353020e+00,8.523069e-01,2.901422e+00,1.000000e+00,false
