iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,6,CONTINUE,1.000000e+00,1.483437e-01,1.000000e-09,1.000000e-01,4.394536e-14,9.847842e-14,9.286136e-01,1.070299e+00,2.711978e-01,9.719555e+00,2.525129e+00,2.344869e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,1,0,0,2.197455e-03,NaN,1.046235e-02,NaN,0.000000e+00,NaN,2.289815e+00,1.161694e+00,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.464483e-02,7.091790e-02,0.000000e+00,1.665335e-15,2.197455e-03,4.385381e-15,1.046235e-02,0.000000e+00,0.000000e+00,2.197455e-03,1.046235e-02,0.000000e+00,1.056532e+00,1.876670e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
1,3.162000e+00,0,5,CONTINUE,1.000000e+00,1.499922e-01,1.000000e-09,1.000000e-01,4.394536e-14,6.548563e-20,9.264917e-01,1.071282e+00,2.728952e-01,9.715195e+00,2.515698e+00,2.330773e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,1,0,0,5.908068e-03,NaN,2.948038e-03,NaN,0.000000e+00,NaN,1.161129e+00,5.887412e-01,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,3.566682e-02,1.850738e-02,0.000000e+00,4.884981e-15,5.908068e-03,6.883383e-15,2.948038e-03,0.000000e+00,0.000000e+00,5.908068e-03,2.948038e-03,0.000000e+00,6.064336e-01,1.572849e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
1,1.000000e+01,0,5,CONTINUE,1.000000e+00,1.500893e-01,1.000000e-09,1.000000e-01,4.394536e-14,6.335840e-28,9.264046e-01,1.071709e+00,2.713995e-01,9.713322e+00,2.512362e+00,2.327464e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,1,0,0,9.802663e-04,NaN,5.056423e-04,NaN,0.000000e+00,NaN,4.543564e-01,2.309127e-01,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,5.616349e-03,2.926529e-03,0.000000e+00,1.187939e-14,9.802663e-04,1.865175e-14,5.056423e-04,0.000000e+00,0.000000e+00,9.802663e-04,5.056423e-04,0.000000e+00,3.456888e-01,1.463654e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
1,3.162000e+01,0,4,CONTINUE,1.000000e+00,1.512074e-01,1.000000e-09,1.000000e-01,4.394536e-14,1.448378e-33,9.240429e-01,1.068281e+00,2.763208e-01,9.765575e+00,2.610000e+00,2.411752e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,1.187153e-04,NaN,8.310322e-03,NaN,0.000000e+00,NaN,1.554115e-01,7.903743e-02,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,6.654797e-04,7.903743e-02,0.000000e+00,2.942091e-14,1.187153e-04,3.075318e-14,8.310322e-03,0.000000e+00,0.000000e+00,1.187153e-04,8.310322e-03,0.000000e+00,1.955546e-01,1.427383e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,1.504400e-01,1.000000e-09,1.000000e-01,4.394536e-14,7.710243e-34,9.256227e-01,1.070562e+00,2.762607e-01,9.727598e+00,2.544829e+00,2.355551e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.441306e-03,NaN,2.627052e-03,NaN,0.000000e+00,NaN,5.044466e-02,2.501992e-02,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,5.044466e-02,2.501992e-02,0.000000e+00,1.038614e-13,5.441306e-03,9.847678e-14,2.627052e-03,0.000000e+00,0.000000e+00,5.441306e-03,2.627052e-03,0.000000e+00,1.101934e-01,1.415717e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,true
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,1.502258e-01,1.000000e-09,1.000000e-01,4.394536e-14,8.663119e-34,9.261248e-01,1.071387e+00,2.727878e-01,9.717776e+00,2.522557e+00,2.336203e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.733439e-03,NaN,8.498489e-04,NaN,0.000000e+00,NaN,1.608842e-02,8.118912e-03,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.608842e-02,8.118912e-03,0.000000e+00,2.309264e-13,1.733439e-03,3.507750e-13,8.498489e-04,0.000000e+00,0.000000e+00,1.733439e-03,8.498489e-04,0.000000e+00,6.201159e-02,1.412008e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,1.501567e-01,1.000000e-09,1.000000e-01,4.394536e-14,5.202246e-34,9.262877e-01,1.071657e+00,2.716690e-01,9.714554e+00,2.515307e+00,2.329898e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.493852e-04,NaN,2.706523e-04,NaN,0.000000e+00,NaN,5.100816e-03,2.588192e-03,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,5.100816e-03,2.588192e-03,0.000000e+00,9.098278e-13,5.493852e-04,1.005251e-12,2.706523e-04,0.000000e+00,0.000000e+00,5.493852e-04,2.706523e-04,0.000000e+00,3.487781e-02,1.410833e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,1.501347e-01,1.000000e-09,1.000000e-01,4.394536e-14,7.750645e-34,9.263396e-01,1.071744e+00,2.713131e-01,9.713524e+00,2.512993e+00,2.327885e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.738737e-04,NaN,8.578915e-05,NaN,0.000000e+00,NaN,1.614532e-03,8.206408e-04,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.614532e-03,8.206408e-04,0.000000e+00,3.664735e-12,1.738737e-04,2.544742e-12,8.578915e-05,0.000000e+00,0.000000e+00,1.738737e-04,8.578915e-05,0.000000e+00,1.961546e-02,1.410461e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,1.501277e-01,1.000000e-09,1.000000e-01,4.394536e-14,1.022957e-33,9.263561e-01,1.071771e+00,2.712004e-01,9.713197e+00,2.512259e+00,2.327247e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.499162e-05,NaN,2.714594e-05,NaN,0.000000e+00,NaN,5.106522e-04,2.596981e-04,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,5.106522e-04,2.596981e-04,0.000000e+00,8.625767e-12,5.499162e-05,7.611911e-12,2.714594e-05,0.000000e+00,0.000000e+00,5.499162e-05,2.714594e-05,0.000000e+00,1.103035e-02,1.410344e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,1.501255e-01,1.000000e-09,1.000000e-01,4.394536e-14,6.194313e-34,9.263613e-01,1.071780e+00,2.711647e-01,9.713093e+00,2.512027e+00,2.327045e+00,1.023276e+00,2.000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.739268e-05,NaN,8.586997e-06,NaN,0.000000e+00,NaN,1.615103e-04,8.215211e-05,0.000000e+00,solution good enough for the tolerances given,solution good enough for the tolerances given,x is a zero-residual solution,1.615103e-04,8.215211e-05,0.000000e+00,2.938283e-11,1.739268e-05,3.136602e-11,8.586997e-06,0.000000e+00,0.000000e+00,1.739268e-05,8.586997e-06,0.000000e+00,6.203135e-03,1.410306e+00,7.251809e+00,1.752319e+01,1.000000e+00,1.000000e+00,false
