iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,9,CONTINUE,1.060660e+00,2.886821e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.432511e-01,1.784001e-02,,,3.852290e+03,2.688189e+02,4.795733e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,5,0,0,4,0,0,,,,2.055279e-05,NaN,5.128608e-05,NaN,,,9.497442e+01,5.732830e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.756260e-02,1.093931e-01,,4.199213e-15,2.055279e-05,7.072358e-15,5.128608e-05,,,2.055279e-05,5.128608e-05,,1.408709e-01,1.435500e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
1,3.162000e+00,0,6,CONTINUE,1.060660e+00,2.886850e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428529e-01,1.784107e-02,,,3.852040e+03,2.688076e+02,4.795813e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,8.062322e-05,NaN,3.009901e-05,NaN,,,4.219393e+01,2.639157e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.380389e-01,5.074128e-02,,2.082476e-14,8.062322e-05,2.153660e-14,3.009901e-05,,,8.062322e-05,3.009901e-05,,8.822581e-02,1.155612e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
1,1.000000e+01,0,6,CONTINUE,1.060660e+00,2.886819e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428333e-01,1.784012e-02,,,3.852144e+03,2.688207e+02,4.795794e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,3.527091e-06,NaN,1.404573e-06,NaN,,,1.537495e+01,9.778582e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.995528e-03,2.238304e-03,,5.353091e-14,3.527091e-06,5.739815e-14,1.404573e-06,,,3.527091e-06,1.404573e-06,,5.184173e-02,1.051697e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
1,3.162000e+01,0,4,CONTINUE,1.060660e+00,2.886735e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428282e-01,1.784094e-02,,,3.851876e+03,2.688114e+02,4.795848e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.471502e-05,NaN,1.207653e-05,NaN,,,5.112701e+00,3.271744e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.069064e-02,1.554497e-02,,1.596115e-13,2.471502e-05,2.611358e-13,1.207653e-05,,,2.471502e-05,1.207653e-05,,2.960657e-02,1.016634e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
1,1.000000e+02,0,4,CONTINUE,1.060660e+00,2.886808e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428267e-01,1.784018e-02,,,3.852115e+03,2.688202e+02,4.795799e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.544606e-06,NaN,1.242230e-06,NaN,,,1.643554e+00,1.053893e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.161939e-03,1.605576e-03,,5.076092e-13,2.544606e-06,5.162877e-13,1.242230e-06,,,2.544606e-06,1.242230e-06,,1.673251e-02,1.005289e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
1,3.162000e+02,0,4,CONTINUE,1.060660e+00,2.886815e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428262e-01,1.784010e-02,,,3.852139e+03,2.688211e+02,4.795794e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.569007e-07,NaN,1.253735e-07,NaN,,,5.225393e-01,3.352870e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.193014e-04,1.622627e-04,,1.526400e-12,2.569007e-07,1.491328e-12,1.253735e-07,,,2.569007e-07,1.253735e-07,,9.425000e-03,1.001676e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
1,1.000000e+03,0,4,CONTINUE,1.060660e+00,2.886816e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428260e-01,1.784009e-02,,,3.852141e+03,2.688211e+02,4.795794e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.576202e-08,NaN,1.257113e-08,NaN,,,1.655047e-01,1.062182e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.202206e-05,1.627699e-05,,5.545758e-12,2.576202e-08,6.521304e-12,1.257113e-08,,,2.576202e-08,1.257113e-08,,5.302552e-03,1.000530e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,1.060660e+00,2.886300e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428260e-01,1.784415e-02,,,3.850538e+03,2.687650e+02,4.795882e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,3.427246e-05,NaN,2.501713e-05,NaN,,,5.236962e-02,3.361611e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.236962e-02,3.361611e-02,,1.377161e-11,3.427246e-05,1.265875e-11,2.501713e-05,,,3.427246e-05,2.501713e-05,,2.982459e-03,1.000168e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,true
1,1.000000e+04,0,2,CONTINUE,1.060660e+00,2.886653e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428260e-01,1.784137e-02,,,3.851634e+03,2.688034e+02,4.795822e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.083898e-05,NaN,7.911444e-06,NaN,,,1.656206e-02,1.063057e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.656206e-02,1.063057e-02,,4.119469e-11,1.083898e-05,5.520172e-11,7.911444e-06,,,1.083898e-05,7.911444e-06,,1.677172e-03,1.000053e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,1.060660e+00,2.886764e+00,1.000000e-09,1.000000e-01,1.694255e-12,9.428260e-01,1.784050e-02,,,3.851981e+03,2.688155e+02,4.795803e+00,8.357687e-02,1.060660e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,3.428091e-06,NaN,2.502140e-06,NaN,,,5.238122e-03,3.362094e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.238122e-03,3.362094e-03,,1.032922e-10,3.428091e-06,1.137106e-10,2.502140e-06,,,3.428091e-06,2.502140e-06,,9.432000e-04,1.000017e+00,9.969223e-01,0.000000e+00,1.060660e+00,1.000000e+00,false
