iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,5,CONTINUE,1.000000000000000e+00,1.149939792443591e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.533052750126246e-02,1.392858367630851e+01,1.739905141048479e-01,,,2.747543518427213e+01,1.087243650865056e+01,1.891700817712429e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,5.126507931642882e-03,NaN,7.251635725772733e-03,NaN,,,3.836443905573636e+00,1.589304777884657e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.135793390697401e-02,9.172875301962212e-02,,3.979203415479231e-16,5.126507931642882e-03,3.979203415479231e-16,7.251635725772733e-03,,,5.126507931642882e-03,7.251635725772733e-03,,1.000000000000000e+00,1.469970134453080e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,4.392346025115652e-01,6.698559097652301e-02,9.330144090234770e-01,9.055226279541673e-01,7.965397107681803e-01,6.925503187991903e-01,5.000156199422409e-01,4.530756697661706e-01,3.426396425077773e-01,2.042639629196525e-01,9.828337116028098e-02,2.470474332115433e-02,2.128298917562632e-03,6.006385504095115e-04,2.738119587723034e-04,2.113586472605614e-04,9.884442759725197e-01,1.433283565645749e-03,6.738881718568629e-03,1.216932066401064e-04,3.976902151933961e-05,7.988441101205409e-06,false
1,3.162000000000000e+00,0,4,CONTINUE,1.000000000000000e+00,1.149869296449507e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,1.022209184360725e-02,1.320649000863946e+01,1.739905324197114e-01,,,2.746987513745016e+01,1.088315252750443e+01,1.893565502665423e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.978991380927326e-03,NaN,1.303081142581390e-03,NaN,,,1.845073512975345e+00,7.647900239035107e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.339031233321280e-02,2.210225054966505e-02,,6.432414136573959e-16,2.978991380927326e-03,5.875542543168552e-16,1.303081142581390e-03,,,2.978991380927326e-03,1.303081142581390e-03,,5.623660146842564e-01,1.147281802554130e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,3.469207952019105e-01,2.338693229593147e-02,9.766130677040685e-01,9.298081612862261e-01,8.342648069556572e-01,7.596945482412777e-01,6.245496353696115e-01,5.030232335015421e-01,3.571787721580556e-01,2.208038340727642e-01,7.326062865671271e-02,3.131023696469205e-02,1.255403497965466e-03,2.445126074793814e-04,3.121444655653548e-04,9.879231664952516e-01,9.752912173193471e-03,2.853379407804824e-04,1.253041426226539e-04,7.397199657912506e-05,2.513477245162711e-05,2.111908109840967e-06,false
1,1.000000000000000e+01,0,4,CONTINUE,1.000000000000000e+00,1.149940373800896e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.711036600715974e-03,1.190604950964896e+01,1.740130200886588e-01,,,2.746563702623486e+01,1.089242192118753e+01,1.895423234585753e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,5.155174286442492e-04,NaN,4.122631463879990e-04,NaN,,,6.990850839266486e-01,2.896901894469492e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.126207688642286e-02,6.832620839672555e-03,,3.234030769493836e-15,5.155174286442492e-04,4.675564013188097e-15,4.122631463879990e-04,,,5.155174286442492e-04,4.122631463879990e-04,,3.162277660168379e-01,1.048808848170152e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,1.502931943962437e-01,8.329134401755756e-03,9.916708655982442e-01,9.317916593723006e-01,9.090361570604715e-01,8.383039430318628e-01,7.262244733409261e-01,6.144294467814652e-01,4.664999866855412e-01,1.966211471819552e-01,8.407264458034658e-02,2.639479349483146e-02,1.015711650940779e-03,1.589374560559121e-03,9.844017819810560e-01,1.207613442233603e-02,3.365961343762241e-04,2.187524353457724e-04,2.200221575881363e-04,1.318830945235031e-04,9.615797561187316e-06,1.277657133904703e-07,false
1,3.162000000000000e+01,0,3,CONTINUE,1.000000000000000e+00,1.152505386315130e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179686365e-03,1.067086836452368e+01,1.755162466879874e-01,,,2.743664204042004e+01,1.079901854660092e+01,1.895403203213358e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,2.624995320937622e-04,NaN,7.459215757296573e-03,NaN,,,2.360096148840926e-01,9.780054368581945e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.785487097078359e-03,9.780054368581945e-02,,7.046446413677501e-15,2.624995320937622e-04,7.467223909360245e-15,7.459215757296573e-03,,,2.624995320937622e-04,7.459215757296573e-03,,1.778357485073947e-01,1.015689693482801e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,5.956621938826991e-02,2.954970466657492e-03,9.970450295333425e-01,9.693435654685063e-01,9.433426562292031e-01,9.027056067254752e-01,8.434601259568862e-01,8.151727250035002e-01,7.342011633744514e-01,4.362512056076611e-01,2.248430865920616e-01,7.773853517677842e-02,9.639706169352286e-04,9.831246201574273e-01,1.385645495628995e-02,5.397688417650939e-04,3.292638465921972e-04,7.936402552248551e-05,4.753906665425987e-04,5.697871829355616e-04,6.040346513023135e-05,9.762408592601653e-07,false
1,1.000000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,1.142792617685755e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179196494e-03,1.006364641287941e+01,1.749925884560311e-01,,,2.693593377320213e+01,1.083784619509377e+01,1.896542758967806e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.816324706544413e-03,NaN,2.442934478892967e-03,NaN,,,7.629692279179758e-02,3.208578803952111e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.629692279179758e-02,3.208578803952111e-02,,2.168665861436181e-14,5.816324706544413e-03,2.138821835820087e-14,2.442934478892967e-03,,,5.816324706544413e-03,2.442934478892967e-03,,1.000000000000000e-01,1.004987562112089e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,1.154728393385776e-02,9.926892001306253e-04,9.990073107998694e-01,9.900976563587615e-01,9.811833420369975e-01,9.642909072220889e-01,9.421306487961838e-01,9.278930500272017e-01,8.972833961154175e-01,7.099188257760038e-01,4.784427827476272e-01,2.104695638760992e-01,9.531033118262985e-04,9.815075791342280e-01,1.419187563085749e-02,5.054087660430796e-04,4.189078464166569e-04,3.205597956470027e-05,6.790365498712864e-04,1.443530152652273e-03,2.616567063979725e-04,6.845922143004823e-06,true
1,3.162000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,1.147673809963749e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179196598e-03,9.763265167639858e+00,1.743296248578552e-01,,,2.729471411710256e+01,1.088805540658113e+01,1.898110614460831e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.851982330898466e-03,NaN,7.705363315586687e-04,NaN,,,2.431165722028063e-02,1.012296820224041e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.431165722028063e-02,1.012296820224041e-02,,1.034592888024600e-13,1.851982330898466e-03,4.864576175423360e-14,7.705363315586687e-04,,,1.851982330898466e-03,7.705363315586687e-04,,5.623660146842564e-02,1.001580029425866e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,3.116357809687370e-03,3.238190497509841e-04,9.996761809502490e-01,9.968468217383101e-01,9.939543802490376e-01,9.882358154354350e-01,9.808605607863993e-01,9.757938360786161e-01,9.650614683464622e-01,8.855625368451366e-01,7.436300944361044e-01,4.573805240605762e-01,9.541319939914313e-04,9.801538942913107e-01,1.427184507936682e-02,5.040458234243714e-04,4.446472286733772e-04,3.056610851564020e-05,7.737415181519490e-04,2.212626609962244e-03,6.226542478339399e-04,3.184709876915244e-05,false
1,1.000000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,1.149236102824207e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179196279e-03,9.650835386850725e+00,1.741204211800933e-01,,,2.740979328347425e+01,1.090510428738440e+01,1.898801351532212e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.868619334275817e-04,NaN,2.434296043952315e-04,NaN,,,7.707123828484165e-03,3.198021883948885e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.707123828484165e-03,3.198021883948885e-03,,1.797614255238820e-13,5.868619334275817e-04,2.066014848327490e-13,2.434296043952315e-04,,,5.868619334275817e-04,2.434296043952315e-04,,3.162277660168379e-02,1.000499875062461e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,9.475132973328531e-04,1.036072373719055e-04,9.998963927626281e-01,9.990007925324098e-01,9.980786509015108e-01,9.962326236637675e-01,9.938614547371063e-01,9.922017895296454e-01,9.886820371772879e-01,9.607429155352735e-01,9.017039790244907e-01,7.272049882435849e-01,9.550576120028159e-04,9.793776758461752e-01,1.428989691767867e-02,5.038949340144854e-04,4.532166938303058e-04,3.052685555589119e-05,8.079154454641958e-04,2.590909398392813e-03,9.108129534893391e-04,8.009334339631871e-05,false
1,3.162000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,1.149732113411070e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179199448e-03,8.084379427651500e+00,1.740543250429974e-01,,,2.744634168868240e+01,1.091071516713762e+01,1.899057164152534e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.857251961306309e-04,NaN,7.696429134984994e-05,NaN,,,2.439514123865841e-03,1.011062015015963e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.439514123865841e-03,1.011062015015963e-03,,3.885692135215469e-13,1.857251961306309e-04,8.856525476842798e-13,7.696429134984994e-05,,,1.857251961306309e-04,7.696429134984994e-05,,1.778357485073947e-02,1.000158115267017e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,4.772051015497877e-03,3.911780317589209e-05,9.999608821968241e-01,9.996836873616405e-01,9.993830971690495e-01,9.987180932958292e-01,9.980183442107649e-01,9.974336156269815e-01,9.963927058125727e-01,9.872422896803409e-01,9.666734856378116e-01,8.939455760613041e-01,1.048269923416726e-03,9.794625926367624e-01,1.387889428337064e-02,4.390789144208039e-04,4.364828475356525e-04,1.863406566039632e-05,8.191118638408239e-04,2.731112656206163e-03,1.044997155441646e-03,1.208256533440900e-04,false
1,1.000000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,1.149889213382525e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179194857e-03,5.241650605126878e+00,1.740334249705201e-01,,,2.745791767929314e+01,1.091251821083468e+01,1.899142919284732e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.873900563542029e-05,NaN,2.433393328170692e-05,NaN,,,7.715899023317891e-04,3.196619981451205e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.715899023317891e-04,3.196619981451205e-04,,5.527534569397382e-12,5.873900563542029e-05,5.171161363575362e-12,2.433393328170692e-05,,,5.873900563542029e-05,2.433393328170692e-05,,1.000000000000000e-02,1.000049998750062e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,4.548737559144421e-03,1.907759592800762e-05,9.999809224040720e-01,9.998998705205168e-01,9.997979118492666e-01,9.995077626547429e-01,9.993322168371231e-01,9.988567804706577e-01,9.988063217303101e-01,9.959305109040852e-01,9.892164125369237e-01,9.638435228845403e-01,1.437294119806428e-03,9.803121076895887e-01,1.268372505086252e-02,4.281471837815001e-04,3.032279717121170e-04,8.217607158677692e-04,1.821626289256546e-06,2.777841887585732e-03,1.093693057767629e-03,1.403806967389722e-04,false
1,3.162000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,1.149938907315255e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179176534e-03,4.100934752610607e+00,1.740268173945866e-01,,,2.746157935334462e+01,1.091309123156899e+01,1.899170534966720e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.857780574170511e-05,NaN,7.695523255557703e-06,NaN,,,2.440413767714595e-04,1.010911759257607e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.440413767714595e-04,1.010911759257607e-04,,7.526175716290740e-12,1.857780574170511e-05,3.785127216582888e-12,7.695523255557703e-06,,,1.857780574170511e-05,7.695523255557703e-06,,5.623660146842564e-03,1.000015812651704e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,3.880965414031808e-03,7.711731950688083e-06,9.999922882680493e-01,9.999683103241815e-01,9.999348324987252e-01,9.998334371419617e-01,9.997825003994276e-01,9.996381043083803e-01,9.987094104977279e-01,9.983346021033672e-01,9.965642986071254e-01,9.882754624365223e-01,1.846233020545770e-03,9.806536653249549e-01,1.194177089655162e-02,4.598695469054794e-04,2.240492287973681e-04,8.241813534765508e-04,2.792866255167089e-03,1.555571716254472e-16,1.109802976276389e-03,1.475613973253848e-04,false
