iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,10,CONTINUE,9.999999725533446e-01,3.198870899703656e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.964961198773437e-02,2.528975289978075e+07,7.039197200537290e-01,1.845822789602713e+00,1.897551532451550e-01,1.702960884732290e+01,2.086598359503406e+01,1.468797733086207e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,4,0,0,3,0,0,3,0,0,3.318110059317591e-02,NaN,2.329152559068950e-02,NaN,2.165541708764162e-02,NaN,7.353774411708335e+00,9.942728597988946e-01,6.462048806675120e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.349093950484666e-02,3.850881712603836e-02,7.894213366187115e-02,2.725158366465753e-15,3.318110059317591e-02,2.424623957297790e-15,2.329152559068950e-02,4.320182131789477e-16,2.165541708764162e-02,3.318110059317591e-02,2.329152559068950e-02,2.165541708764162e-02,7.493986683238814e-02,4.395086559822461e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,2.902317122213272e-01,3.954170546549562e-08,9.999999604582945e-01,9.695858564390292e-01,4.871694899053107e-01,4.693323346531872e-01,4.108376386242010e-01,3.160647628265373e-01,2.701663830094101e-01,1.857275671835883e-01,1.014753760167469e-01,6.511441803667296e-02,5.094576013003078e-03,5.566675372477493e-11,3.557930169038448e-01,7.945135952286375e-02,2.420649945390880e-03,5.557647559478345e-01,8.423590558682089e-04,4.155122400209793e-04,1.014750746818884e-04,1.162952408241761e-04,false
1,3.162000000000000e+00,0,7,CONTINUE,9.999999725533446e-01,3.214674141873913e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.706717270417063e-02,2.123444835189164e+07,7.012483345771072e-01,1.849441428256549e+00,1.891547038722652e-01,1.713002625232341e+01,2.105099336293296e+01,1.476197403695048e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,2,0,0,2,0,0,2.499037742735754e-02,NaN,1.971631301764518e-02,NaN,1.912829335788450e-02,NaN,4.041193909715367e+00,5.945279857107554e-01,2.856311957121079e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,5.923365408929691e-02,4.761261507431822e-02,1.008978011197453e-01,4.107303591962170e-15,2.499037742735754e-02,4.556539922333032e-15,1.971631301764518e-02,9.319305930123768e-16,1.912829335788450e-02,2.499037742735754e-02,1.971631301764518e-02,1.912829335788450e-02,5.210541047711602e-02,3.914502674319066e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,2.371043718023956e-01,1.489351286743101e-08,9.999999851064871e-01,7.500981823024169e-01,7.349674440234628e-01,6.572860511637638e-01,5.935933563831323e-01,4.586187388960558e-01,3.873941190598550e-01,2.738871129227181e-01,2.064046081833212e-01,1.749626918745855e-01,1.687273997192767e-03,2.872789065992662e-01,5.794764850537869e-02,2.173711468757967e-03,6.494352085677136e-01,6.740529830700608e-04,2.912746906180710e-04,1.603083820899516e-04,1.516400076706372e-04,1.999747982415401e-04,false
1,1.000000000000000e+01,0,6,CONTINUE,9.999999725533446e-01,3.160973989131462e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.559422371305020e-02,2.620265684064473e+04,7.067727634224640e-01,1.847531359958819e+00,1.933126605655712e-01,1.708809431403710e+01,2.089169535887434e+01,1.476568126137189e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,2,0,0,1.343770268177718e-02,NaN,4.304426691317654e-03,NaN,7.882875349801057e-03,NaN,1.695324278978786e+00,2.596520922062382e-01,1.237636441781874e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,8.079234796593043e-02,2.339047660399029e-02,3.030765491138810e-02,1.162066382116126e-14,1.343770268177718e-02,1.458061469478948e-14,4.304426691317654e-03,2.999082958155304e-15,7.882875349801057e-03,1.343770268177718e-02,4.304426691317654e-03,7.882875349801057e-03,3.222193993625212e-02,3.222351673961153e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,1.812545610553961e-01,3.816392321165374e-06,9.999961836076788e-01,9.042652873181569e-01,8.909343416299370e-01,8.220619867076283e-01,7.253224665087079e-01,6.582631457864657e-01,5.549312077067733e-01,4.851827752421262e-01,4.212927414309545e-01,3.961142015841995e-01,9.588776015462415e-04,2.676581988006487e-01,2.017489031839072e-02,7.083657521768736e-01,1.079975625799511e-03,3.948134961068983e-04,2.646838983133490e-04,2.835884243335747e-04,4.682025321997919e-04,3.510171257872673e-04,false
1,3.162000000000000e+01,0,4,CONTINUE,9.999999725533446e-01,3.120713751238050e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.507233126554533e-02,3.927238437035910e+02,7.111531486584726e-01,1.863636541295951e+00,1.824731658764859e-01,1.708242130740671e+01,2.090443902140843e+01,1.486625763101364e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,9.547678297404889e-03,NaN,2.061643958646639e-02,NaN,9.740368148657339e-03,NaN,6.006410417855785e-01,9.933766480791796e-02,4.868480169641888e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.192018638394804e-02,9.933766480791796e-02,4.868480169641888e-02,4.077250151045373e-14,8.264372639916790e-03,5.139138396772178e-14,2.061643958646639e-02,9.286434979121022e-15,9.740368148657339e-03,9.547678297404889e-03,2.061643958646639e-02,9.740368148657339e-03,1.883195223542766e-02,2.369484327775226e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,6.799062240808514e-02,8.052224837762356e-05,9.999194777516224e-01,9.674204055194764e-01,9.447362497089803e-01,9.357990898313241e-01,8.797886975356002e-01,8.170910890333273e-01,7.640042815880573e-01,7.146822927233014e-01,6.887539311179854e-01,6.729447232363119e-01,7.763060508651450e-04,2.594765323572053e-01,1.699840613487081e-02,7.184965382932035e-01,1.324949479116459e-03,3.834624643113915e-04,5.560559626134361e-04,4.928989154492510e-04,9.173327002179294e-04,5.775176421476685e-04,false
1,1.000000000000000e+02,0,4,CONTINUE,9.999999725533446e-01,3.125333828639307e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.498909349270998e-02,8.896568214422699e+01,7.103795897190471e-01,1.858120469057097e+00,1.878406768589744e-01,1.708092026604302e+01,2.090789421502900e+01,1.485254131436155e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,3.805997172595119e-03,NaN,7.698324815176733e-03,NaN,3.858626945343872e-03,NaN,1.976135185472098e-01,3.445969354444064e-02,1.728310265966479e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.562423406119931e-03,3.445969354444064e-02,1.728310265966479e-02,1.722062164532432e-13,2.698376975982050e-03,1.900379247305423e-13,6.794118639629474e-03,3.018179415404518e-14,3.858626945343872e-03,3.805997172595119e-03,7.698324815176733e-03,3.858626945343872e-03,1.075329609508783e-02,1.623183312098365e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,4.176163051024812e-02,1.123902594395432e-04,9.998876097405605e-01,9.894442111373829e-01,9.788301903702835e-01,9.658582386956790e-01,9.490368670482894e-01,9.245010865697865e-01,9.068595349877446e-01,8.852720815868971e-01,8.740747825744297e-01,8.666472745003626e-01,7.505085647945022e-04,2.524282760747065e-01,7.402608227103724e-01,1.932443965475031e-03,6.697590442446888e-04,4.693465650741773e-04,6.163249088851397e-04,7.806369826729319e-04,1.270592082311695e-03,8.212891014634283e-04,false
1,3.162000000000000e+02,0,3,CONTINUE,9.999999725533446e-01,3.120388176502521e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.495915685445060e-02,6.038707395548278e+01,7.103974687439656e-01,1.851424964202491e+00,1.939984553946253e-01,1.707748025605654e+01,2.081810721403070e+01,1.478913066888790e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.392082491721900e-03,NaN,2.651176321302406e-03,NaN,1.328051105149623e-03,NaN,6.331695051750680e-02,1.118673309912455e-02,5.726224533134514e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.331695051750680e-02,1.118673309912455e-02,5.726224533134514e-03,4.130657620007930e-13,4.392082491721900e-03,5.956920699219067e-13,2.178459540412020e-03,1.419398969966195e-13,1.328051105149623e-03,4.392082491721900e-03,2.651176321302406e-03,1.328051105149623e-03,6.081678998411174e-03,1.163201668952080e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,1.426284354849031e-02,5.236865307112204e-05,9.999476313469289e-01,9.966357975356822e-01,9.932044366491254e-01,9.878395452311914e-01,9.807815209178364e-01,9.722896453985506e-01,9.666483682728650e-01,9.600616523708204e-01,9.562596745935668e-01,9.535749287177032e-01,7.497188272752309e-04,2.497921337542726e-01,7.426791171889607e-01,1.843004124771265e-03,5.336083365656053e-04,6.495460108942289e-04,4.878063223514371e-04,9.238523725890793e-04,1.401876357941097e-03,9.393367043782951e-04,true
1,1.000000000000000e+03,0,3,CONTINUE,9.999999725533446e-01,3.128124277564434e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.494751588368930e-02,5.361224285129757e+01,7.098636630882944e-01,1.853190477821690e+00,1.922125652820665e-01,1.707699659352138e+01,2.087817177477413e+01,1.482065549462780e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.398622380594447e-03,NaN,8.681459126766361e-04,NaN,4.320612133901858e-04,NaN,2.010473709239731e-02,3.611079908456083e-03,1.839980933581989e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.010473709239731e-02,3.611079908456083e-03,1.839980933581989e-03,1.740194407218899e-12,1.398622380594447e-03,1.379528071683245e-12,6.917369174297254e-04,3.081448169667899e-13,4.320612133901858e-04,1.398622380594447e-03,8.681459126766361e-04,4.320612133901858e-04,3.426414711251119e-03,1.001377780181184e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,4.438501483421739e-03,1.865210807661111e-05,9.999813478919234e-01,9.989336201114810e-01,9.978410454818192e-01,9.960536012356874e-01,9.936443270049288e-01,9.908580950099978e-01,9.888956644162805e-01,9.869245087282167e-01,9.857177223199020e-01,9.848364265643654e-01,7.506028824261475e-04,2.489354151982333e-01,7.433733916975105e-01,1.830795945275446e-03,5.317192504363728e-04,7.298127342908104e-04,4.593403250450934e-04,9.760098324609488e-04,1.431970915151947e-03,9.809412191694265e-04,false
1,3.162000000000000e+03,0,3,CONTINUE,9.999999725533446e-01,3.130540114280033e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.494354217490304e-02,5.162282825904848e+01,7.096990373974069e-01,1.853747936403197e+00,1.916492690705309e-01,1.707677726960469e+01,2.089730836147069e+01,1.483079962833253e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.433258291394788e-04,NaN,2.776919439065227e-04,NaN,1.379036919252444e-04,NaN,6.366687003448819e-03,1.150148619394386e-03,5.849590570440410e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.366687003448819e-03,1.150148619394386e-03,5.849590570440410e-04,4.195834454712851e-12,4.433258291394788e-04,4.040954360004817e-12,2.190637439616120e-04,1.133578224580413e-12,1.379036919252444e-04,4.433258291394788e-04,2.776919439065227e-04,1.379036919252444e-04,1.928101643448248e-03,1.000436419881620e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,1.390984855875383e-03,6.126235382319933e-06,9.999938737646177e-01,9.996624881913957e-01,9.993161933558041e-01,9.987423878936711e-01,9.979635826620611e-01,9.970729315883833e-01,9.964284834776004e-01,9.958166478811157e-01,9.954356544973003e-01,9.951538995588026e-01,7.510470935518829e-04,2.486627922863697e-01,7.435880347042457e-01,1.827236725623592e-03,5.326637593933202e-04,7.528958366898850e-04,4.585739193467195e-04,9.934700605685881e-04,1.438819140903860e-03,9.944664733086018e-04,false
1,1.000000000000000e+04,0,3,CONTINUE,9.999999725533446e-01,3.131300792907210e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.494225403137510e-02,5.100707122441659e+01,7.096474232253415e-01,1.853924148518378e+00,1.914712681896132e-01,1.707670100050112e+01,2.090337601386991e+01,1.483402692495320e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.402806425883171e-04,NaN,8.812487938084433e-05,NaN,4.373296660905776e-05,NaN,2.013993742861402e-03,3.645147590881472e-04,1.852735509914525e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.013993742861402e-03,3.645147590881472e-04,1.852735509914525e-04,1.911238557290026e-11,1.402806425883171e-04,1.630679668518093e-11,6.929800820181570e-05,3.242919672693674e-12,4.373296660905776e-05,1.402806425883171e-04,8.812487938084433e-05,4.373296660905776e-05,1.084419409877038e-03,1.000138065317238e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,4.383962560136417e-04,1.960508642206982e-06,9.999980394913578e-01,9.998932523884624e-01,9.997836776105460e-01,9.996014032381227e-01,9.993534867591293e-01,9.990709369711785e-01,9.988646364429874e-01,9.986722906837574e-01,9.985519242766356e-01,9.984625379072539e-01,7.512065623084595e-04,2.485764097250376e-01,7.436554488311007e-01,1.826133800406840e-03,5.330719673010386e-04,7.598879752343962e-04,4.592806072661472e-04,9.991332757144644e-04,1.440648448005962e-03,9.987788076245960e-04,false
1,3.162000000000000e+04,0,3,CONTINUE,9.999999725533446e-01,3.131540946203401e-01,1.000000000000000e-09,1.000000000000000e-01,5.315564964005724e-14,6.494184356435413e-02,5.081367775511939e+01,7.096311508363615e-01,1.853979851226340e+00,1.914150055724961e-01,1.707667605941719e+01,2.090529597991993e+01,1.483504924480534e+01,1.000000000000000e-08,2.761949089581158e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.437465051520945e-05,NaN,2.790201521715252e-05,NaN,1.384362540622971e-05,NaN,6.370214549189145e-04,1.153643967960874e-04,5.862486089392310e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,6.370214549189145e-04,1.153643967960874e-04,5.862486089392310e-05,4.496285277748265e-11,4.437465051520945e-05,4.280140930674665e-11,2.191889121691727e-05,1.722246241858047e-11,1.384362540622971e-05,4.437465051520945e-05,2.790201521715252e-05,1.384362540622971e-05,6.098792937716709e-04,1.000043670868505e+00,1.134106212896280e+01,5.723991050654236e+00,1.000000000000000e+00,1.000000000000000e+00,1.384970228170399e-04,6.223823025841568e-07,9.999993776176974e-01,9.999662378379083e-01,9.999315765690835e-01,9.998738480144252e-01,9.997952780997906e-01,9.997058283039908e-01,9.996403280121597e-01,9.995796075091544e-01,9.995415525300060e-01,9.995132543501741e-01,7.512589705473812e-04,2.485490826863937e-01,7.436767161848998e-01,1.825787175777717e-03,5.332109075423996e-04,7.620670676043364e-04,4.596004433530310e-04,1.000940136086394e-03,1.441190802924247e-03,1.000145624869667e-03,false
