iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,3,CONTINUE,1.000000000000000e+00,7.271918335382277e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713942439e+00,2.764998028264219e+01,9.721918452616347e-01,,,2.562630277491043e+00,3.565346259133662e-01,3.466200558663822e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,1.168008751236016e-03,NaN,3.234331604498575e-02,NaN,,,3.176973438764789e-01,5.428696535928251e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.961016150446018e-03,5.428696535928251e-02,,3.255069192348989e-15,1.168008751236016e-03,3.063594533975519e-15,3.234331604498575e-02,,,1.168008751236016e-03,3.234331604498575e-02,,1.000000000442464e+00,1.294820222343921e+00,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,1.064636313625461e-01,3.490403798308572e-02,9.650959620169143e-01,9.648978338466981e-01,9.646027830417123e-01,7.739557888087171e-01,7.732115398288462e-01,7.731051472745670e-01,6.402333701540953e-01,5.876030286728812e-01,5.862232284661514e-01,5.846028413878841e-01,1.740219871263154e-04,1.492084495182365e-06,1.257246775435271e-04,3.732077484486649e-01,5.372016878005315e-01,8.895893132656861e-02,2.234935496067417e-37,1.430000952237745e-04,6.204585715800643e-06,1.811889941309215e-04,false
1,3.162000000000000e+00,0,3,CONTINUE,1.000000000000000e+00,7.263876402708215e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713942447e+00,2.764998028264359e+01,9.725963139980243e-01,,,2.556391668122430e+00,3.466046767197885e-01,3.371064309921430e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,2.218704613614619e-04,NaN,1.210909124363280e-02,NaN,,,1.188901607526032e-01,2.031402446667026e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.086084389741777e-04,2.031402446667026e-02,,9.382258260300028e-15,2.218704613614619e-04,5.169815776083689e-15,1.210909124363280e-02,,,2.218704613614619e-04,1.210909124363280e-02,,5.623660149330831e-01,9.072690150911775e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,1.534044531674427e-02,1.130847699847770e-02,9.886915230015223e-01,9.886257533920361e-01,9.885277759960976e-01,9.154435145632656e-01,9.151140196884847e-01,9.150668850124829e-01,8.185081830923210e-01,8.183591524031087e-01,8.175116417198988e-01,8.165135044348227e-01,1.304356646709833e-04,1.118680844785028e-06,9.430025581061408e-05,3.729005798769298e-01,5.374062837076786e-01,8.900813756010285e-02,7.379981393844008e-29,1.980923806212491e-04,8.617598235331419e-06,2.524342751054886e-04,false
1,1.000000000000000e+01,0,2,CONTINUE,1.000000000000000e+00,7.249297727668273e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713942409e+00,2.764998028263639e+01,9.728338419846890e-01,,,2.554343718072346e+00,3.413179835345901e-01,3.320456852604221e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.314472432725356e-02,NaN,3.461826418383218e-03,NaN,,,3.990719592379771e-02,5.784041164557577e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.990719592379771e-02,5.784041164557577e-03,,2.776382546415314e-14,2.314472432725356e-02,1.991336447084087e-14,3.461826418383218e-03,,,2.314472432725356e-02,3.461826418383218e-03,,3.162277661567574e-01,7.741415086770355e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,5.063636080545418e-03,3.603606164094164e-03,9.963963938359058e-01,9.963752711332222e-01,9.963438009605943e-01,9.716224576153809e-01,9.715050634855825e-01,9.714882655090037e-01,9.344196959901522e-01,9.343045335914012e-01,9.340700805513672e-01,9.336577343605047e-01,1.175579927283614e-04,1.008326954074191e-06,8.500935025102214e-05,3.727676159682283e-01,5.374716887390827e-01,8.902506251185044e-02,2.291801424399447e-04,2.815141810987498e-27,9.983214601884385e-06,2.928937538621149e-04,true
1,3.162000000000000e+01,0,2,CONTINUE,1.000000000000000e+00,7.267506507954380e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713942493e+00,2.764998028263753e+01,9.726959408409456e-01,,,2.553258221252845e+00,3.409345389907393e-01,3.316256421687712e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.465025062336927e-03,NaN,1.248432487979123e-03,NaN,,,1.287141609935011e-02,2.091670939092737e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.287141609935011e-02,2.091670939092737e-03,,8.290852707571249e-14,7.465025062336927e-03,5.954861875414916e-14,1.248432487979123e-03,,,7.465025062336927e-03,1.248432487979123e-03,,1.778357485860806e-01,7.269951763219035e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,1.442066311417226e-03,1.142475390858988e-03,9.988575246091410e-01,9.988508112990870e-01,9.988408089501614e-01,9.908478664324817e-01,9.908092529532777e-01,9.908037272168767e-01,9.782862161470902e-01,9.782713264230188e-01,9.781649930593140e-01,9.780219411446606e-01,1.135850030288317e-04,9.742777494023606e-07,8.214229658360923e-05,3.727203279238397e-01,5.374914963075967e-01,8.903042982430348e-02,2.415187880320160e-04,7.150404897641412e-26,1.052596087347809e-05,3.089996179921526e-04,false
1,1.000000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,7.221193677699418e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713942470e+00,2.764998028271319e+01,9.732707222810765e-01,,,2.552868248798802e+00,3.407534778523231e-01,3.316453835091193e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.375362412556647e-03,NaN,4.108500469035548e-04,NaN,,,4.095658331633958e-03,6.888941910961918e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.095658331633958e-03,6.888941910961918e-04,,2.008569166337700e-13,2.375362412556647e-03,2.200043824711170e-13,4.108500469035548e-04,,,2.375362412556647e-03,4.108500469035548e-04,,1.000000000442464e-01,7.114336141668733e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,3.754272964148624e-04,3.615331572108804e-04,9.996384668427891e-01,9.996363407638047e-01,9.996331730228630e-01,9.970878705934403e-01,9.970755064154317e-01,9.970737370005794e-01,9.930467744117926e-01,9.930306210050931e-01,9.929911228178997e-01,9.929445035801149e-01,1.123385397475549e-04,9.635950388911991e-07,8.124273909123589e-05,3.727047611500976e-01,5.374976102777473e-01,8.903211972123806e-02,1.984313138525325e-27,2.457385463770811e-04,1.071167045835771e-05,3.145137602037097e-04,false
1,3.162000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,7.253242952471757e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713941940e+00,2.764998028236974e+01,9.729006670686866e-01,,,2.552738172861024e+00,3.406903170348308e-01,3.314578367070292e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.527259763842054e-04,NaN,1.315664568606323e-04,NaN,,,1.297867530972938e-03,2.206574660612763e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.297867530972938e-03,2.206574660612763e-04,,6.096553122611283e-13,7.527259763842054e-04,6.253562342477528e-13,1.315664568606323e-04,,,7.527259763842054e-04,1.315664568606323e-04,,5.623660149330831e-02,7.064421267594363e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,3.693776029796562e-04,1.143651325015149e-04,9.998856348674985e-01,9.998849621497296e-01,9.998839598335655e-01,9.990771854937911e-01,9.990732596024123e-01,9.990726977698529e-01,9.978934947573244e-01,9.977853418675110e-01,9.977727300975300e-01,9.977578436955656e-01,1.119454600684362e-04,9.602261516652239e-07,8.095905186012615e-05,3.726997750943365e-01,5.374995261006704e-01,8.903265230832316e-02,1.762249135605006e-31,2.471070953219741e-04,1.077190970608554e-05,3.163027535617913e-04,false
1,1.000000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,7.267175496075340e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713942562e+00,2.764998028245171e+01,9.727387888172935e-01,,,2.552696352334947e+00,3.406697376867720e-01,3.313826680241357e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.381628095537991e-04,NaN,4.176536311550905e-05,NaN,,,4.106457110204393e-04,7.005229200325395e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.106457110204393e-04,7.005229200325395e-05,,2.478160765998635e-12,2.381628095537991e-04,1.579761668910314e-12,4.176536311550905e-05,,,2.381628095537991e-04,4.176536311550905e-05,,3.162277661567573e-02,7.048560552038394e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,1.956180287517474e-05,3.616508311043987e-05,9.999638349168896e-01,9.999636221701593e-01,9.999633051877036e-01,9.997080218088966e-01,9.997067788705626e-01,9.997066009936676e-01,9.992986630055245e-01,9.992946630235743e-01,9.992917666986668e-01,9.992899415244828e-01,1.118212383808705e-04,9.591615087829168e-07,8.086940037983018e-05,3.726981853577936e-01,5.375001344599614e-01,8.903282253709398e-02,2.475434694087317e-04,1.079111855227824e-05,3.393996960856990e-24,3.168732569199538e-04,false
1,3.162000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,7.267376944252610e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713949218e+00,2.764998028405139e+01,9.727369370463700e-01,,,2.552687817136442e+00,3.406621929210383e-01,3.313746981095104e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.533540357052004e-05,NaN,1.322513452883811e-05,NaN,,,1.298949982036152e-04,2.218281281435256e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.298949982036152e-04,2.218281281435256e-05,,4.382471980851980e-12,7.533540357052004e-05,4.788302519274550e-12,1.322513452883811e-05,,,7.533540357052004e-05,1.322513452883811e-05,,1.778357485860806e-02,7.043538369789033e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,1.347736752608182e-05,1.143769051514809e-05,9.999885623094849e-01,9.999884950238169e-01,9.999883947713514e-01,9.999076418428779e-01,9.999072485994187e-01,9.999071923222954e-01,9.997786732584959e-01,9.997780918811935e-01,9.997768256471861e-01,9.997753310008461e-01,1.117819738185804e-04,9.588250079123862e-07,8.084106094841322e-05,3.726976827190870e-01,5.375003272795034e-01,8.903287503128507e-02,1.670914114170506e-24,2.476817952627688e-04,1.079720770133229e-05,3.170541073862238e-04,false
1,1.000000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,7.270605772858001e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713935036e+00,2.764998028217373e+01,9.726990445998542e-01,,,2.552683616241126e+00,3.406601077107638e-01,3.313597613035434e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.382256482480472e-05,NaN,4.183431289384032e-06,NaN,,,4.107540126969484e-05,7.017015029717264e-06,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.107540126969484e-05,7.017015029717264e-06,,1.464704546693696e-11,2.382256482480472e-05,1.437433768474854e-11,4.183431289384032e-06,,,2.382256482480472e-05,4.183431289384032e-06,,1.000000000442464e-02,7.041949202292046e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,2.083646486380283e-06,3.616626027103109e-06,9.999963833739729e-01,9.999963620979090e-01,9.999963303975808e-01,9.999707945062587e-01,9.999706701469370e-01,9.999706523498532e-01,9.999298220039695e-01,9.999295997897042e-01,9.999294214988925e-01,9.999289487469579e-01,1.117695515619252e-04,9.587184863309209e-07,8.083210321043572e-05,3.726975305395654e-01,5.375003639136482e-01,8.903290910270123e-02,2.477255815411274e-04,3.352176531341317e-21,1.079913520594058e-05,3.171113540793989e-04,false
1,3.162000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,7.271644106357415e-02,1.000000000000000e-09,1.000000000000000e-01,1.147922361073409e-13,1.407334713968413e+00,2.764998029230124e+01,9.726868576184390e-01,,,2.552682287518066e+00,3.406594478331400e-01,3.313549678308494e-01,1.000000000884928e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.534168992684442e-06,NaN,1.323197683866795e-06,NaN,,,1.299058326742252e-05,2.219450818919177e-06,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.299058326742252e-05,2.219450818919177e-06,,5.204032297535028e-11,7.534168992684442e-06,7.878243966242259e-11,1.323197683866795e-06,,,7.534168992684442e-06,1.323197683866795e-06,,5.623660149330831e-03,7.041446673713820e-01,7.219534126698710e+00,8.370926127959926e+00,1.000000000000000e+00,1.000000000000000e+00,3.214874565231313e-07,1.143780825163532e-06,9.999988562191748e-01,9.999988494904682e-01,9.999988394650138e-01,9.999907634165197e-01,9.999907240856230e-01,9.999907184569717e-01,9.999778047553443e-01,9.999776780812069e-01,9.999775412594524e-01,9.999775285563118e-01,1.117656306707845e-04,9.586848245580224e-07,8.082926590536123e-05,3.726974792175852e-01,5.375003880230148e-01,8.903291054701931e-02,2.477394279011808e-04,1.079974463498720e-05,4.128013647536451e-20,3.171294584447276e-04,false
