iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,6,CONTINUE,1.000000000000000e+00,3.304441203404171e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,4.041623399702384e-10,5.683651956664481e+07,6.762583791724818e-01,1.797610656056623e+00,1.000000000000012e-02,2.601228985625136e+00,1.560352506474756e+00,1.055201456966338e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,1,0,0,2,0,0,4.101160427417064e-03,NaN,9.444953738824549e-03,NaN,4.643270821714954e-03,NaN,1.009892269104641e+00,6.806370626068844e-02,5.404878013214733e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.766119755577982e-02,6.806370626068844e-02,2.696903427023896e-02,1.087466003515898e-15,4.101160427417064e-03,1.268710337435214e-15,9.444953738824549e-03,1.812443339193163e-16,4.643270821714954e-03,4.101160427417064e-03,9.444953738824549e-03,4.643270821714954e-03,1.293723163232331e-01,2.620196585196076e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,4.778470562984618e-02,1.759432122216964e-08,9.999999824056788e-01,9.999995396590825e-01,9.999945260672666e-01,9.040827064623157e-01,8.350338300168327e-01,6.621673378316695e-01,6.239001085487530e-01,6.112755957458842e-01,6.080613353807334e-08,4.041623398068911e-10,2.735794337291985e-01,9.004645447577749e-04,2.488649865770785e-05,3.364845395228798e-01,1.471686627017054e-03,3.436918028733926e-01,6.442235636541671e-29,4.384716197421028e-02,2.344130911831111e-08,7.885768917794546e-10,false
1,3.162000000000000e+00,0,5,CONTINUE,1.000000000000000e+00,3.280527357243983e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,4.041619205268950e-10,5.356466297749681e+07,6.792455046311170e-01,1.808974180997871e+00,1.000000000000001e-02,2.553294559607159e+00,1.553873468555819e+00,1.055461568282101e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,2,0,0,4.311594182988115e-03,NaN,3.347190301464885e-03,NaN,7.670170929716915e-04,NaN,3.675363906783970e-01,2.491469798991573e-02,1.724212144715366e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.521936986092276e-02,2.491469798991573e-02,4.384002685942559e-03,4.349864014063591e-15,4.311594182988115e-03,4.466378228726009e-15,3.347190301464885e-03,6.214091448662273e-16,7.670170929716915e-04,4.311594182988115e-03,3.347190301464885e-03,7.670170929716915e-04,9.358292820582152e-02,2.216414759613936e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,9.154368111232623e-01,5.904182254212742e-09,9.999999940958177e-01,9.999990171460226e-01,9.999976941726210e-01,9.675365791820052e-01,9.411957248288807e-01,8.610660229808638e-01,8.325602536813654e-01,3.433881191524713e-04,1.922689689272457e-07,1.277959991072860e-09,2.072360983802760e-01,4.819851371574967e-05,4.390876870985052e-06,2.910108949679549e-01,1.411863678903671e-03,4.388663084921987e-01,6.142206215345403e-02,7.123450362821847e-27,1.769828363736464e-07,5.953789046147968e-09,false
1,1.000000000000000e+01,0,4,CONTINUE,1.000000000000000e+00,3.307252366772478e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,1.228658008235792e-10,5.319825813258938e+07,6.760459288807599e-01,1.802872722017998e+00,1.000000000000001e-02,2.527824071036415e+00,1.555185898122934e+00,1.051377095078777e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,6.490867947189176e-03,NaN,1.768580393250488e-02,NaN,1.488944113574833e-02,NaN,1.233945931505793e-01,9.198453818604799e-03,5.475483652820507e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.830303146811875e-03,9.198453818604799e-03,5.475483652820507e-02,2.045471768517998e-14,6.490867947189176e-03,2.431263279289114e-14,1.768580393250488e-02,1.553522862165568e-15,1.488944113574833e-02,6.490867947189176e-03,1.768580393250488e-02,1.488944113574833e-02,6.055660608539658e-02,1.990912441089606e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,7.551891579279595e-02,1.879760791467788e-09,9.999999981202392e-01,9.999995491874138e-01,9.998703534225488e-01,9.895020272235122e-01,9.806270967102322e-01,9.514573792733109e-01,9.402098625809244e-01,6.080612544777405e-07,5.652385334928526e-09,1.228658006726191e-09,1.838382229012942e-01,3.046146180692594e-05,8.981567801106779e-16,2.699852271819148e-01,1.359479978172860e-03,4.753025851948232e-01,6.948240031851373e-02,1.570141086557358e-06,3.376737538183921e-08,1.905501076729418e-08,false
1,3.162000000000000e+01,0,3,CONTINUE,1.000000000000000e+00,3.273349627932662e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,1.222035540368008e-10,5.319681400475816e+07,6.786973062261860e-01,1.784358798762469e+00,9.999999999999898e-03,2.518151319191921e+00,1.537008241699782e+00,1.043163353289089e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,6.475028043115871e-03,NaN,5.436890916419218e-03,NaN,4.714111109053246e-03,NaN,3.985849034278922e-02,2.719575383263598e-03,1.734454391593971e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,3.985849034278922e-02,2.719575383263598e-03,1.734454391593971e-02,5.411437969876729e-14,6.475028043115871e-03,5.446392234275454e-14,5.436890916419218e-03,7.146205165961613e-15,4.714111109053246e-03,6.475028043115871e-03,5.436890916419218e-03,4.714111109053246e-03,3.610892346735332e-02,1.892756812907628e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,6.178643338733074e-02,5.945008929586493e-10,9.999999994054991e-01,9.999998573330429e-01,9.966559546828690e-01,9.957486360047429e-01,9.937909665420822e-01,9.841210947919438e-01,9.802850685611895e-01,1.922687159009694e-06,1.786087955834652e-08,3.864076363712555e-09,1.762230642010263e-01,2.916077286846840e-05,2.625572379321340e-01,3.079503645488335e-21,1.338387786265068e-03,4.874335513485485e-01,7.240304338197964e-02,1.504832305021396e-05,3.241790951296849e-07,1.820750327279206e-07,true
1,1.000000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,3.287277097354541e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,1.130512638947550e-10,5.319737847941564e+07,6.780031466861369e-01,1.794372816725226e+00,1.000000000000001e-02,2.519388838532334e+00,1.544464575876707e+00,1.047151842389677e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.076913679903224e-03,NaN,1.737616386700151e-03,NaN,1.496064813893761e-03,NaN,1.269185110254064e-02,9.347298538079140e-04,5.487389181328817e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.269185110254064e-02,9.347298538079140e-04,5.487389181328817e-03,1.673920883983400e-13,2.076913679903224e-03,1.415647708148374e-13,1.737616386700151e-03,1.931546758625856e-14,1.496064813893761e-03,2.076913679903224e-03,1.737616386700151e-03,1.496064813893761e-03,2.072742671519369e-02,1.857074575659610e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,9.227240146167051e-01,1.879791877712478e-10,9.999999998120208e-01,9.999999548883342e-01,9.989401894462413e-01,9.980283324385348e-01,9.949239747140998e-01,9.936809511382522e-01,6.080579268443099e-06,5.813489897076784e-08,4.571726862114558e-08,1.130512626166962e-08,1.737713741515516e-01,2.875467354163784e-05,2.600925549713493e-01,1.331046113085951e-03,4.912625014538163e-01,7.336036118004682e-02,1.484144710771080e-04,2.580420529831374e-06,7.339750164452057e-07,1.678589985820163e-06,false
1,3.162000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,3.291758342174952e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,4.732611975927901e-11,5.319192673834472e+07,6.777809743272740e-01,1.797553243640498e+00,9.999999999999898e-03,2.519718877935003e+00,1.547836953449833e+00,1.049094438408987e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,6.849087180791538e-04,NaN,5.545239674182935e-04,NaN,4.786260890549753e-04,NaN,4.025546086034703e-03,3.103136166440038e-04,1.735953235846124e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.025546086034703e-03,3.103136166440038e-04,1.735953235846124e-03,3.701786060063521e-13,6.849087180791538e-04,2.992602873484939e-13,5.545239674182935e-04,1.216149480598612e-13,4.786260890549753e-04,6.849087180791538e-04,5.545239674182935e-04,4.786260890549753e-04,1.173547043533869e-02,1.845204080092065e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,1.721415879523276e-04,5.945555159314608e-11,9.999999999405444e-01,9.999999857302593e-01,9.996645859926081e-01,9.993756074674947e-01,9.983890879108525e-01,9.979928938927528e-01,1.922653889037564e-05,1.798324487321662e-07,5.195291169847253e-08,1.496451884394720e-08,1.727646424624433e-01,2.857597019516925e-05,2.589608803065884e-01,1.326909949155560e-03,4.918244035064393e-01,7.356970751436441e-02,1.475248429530182e-03,3.097712957496659e-05,1.396060199976972e-05,4.694129710146923e-06,false
1,1.000000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,3.293192595374557e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,4.732609480006076e-11,5.114994976867411e+07,6.777095533391769e-01,1.798564572355198e+00,1.000000000000012e-02,2.519843960814296e+00,1.558942588905446e+00,1.056510285608530e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,2.437683806958680e-04,NaN,1.813792332919681e-04,NaN,1.568316290466593e-04,NaN,1.282472749258480e-03,1.185495941470461e-04,5.496759970853415e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.282472749258480e-03,1.185495941470461e-04,5.496759970853415e-04,1.103881561759447e-12,2.437683806958680e-04,9.404768487073322e-13,1.813792332919681e-04,2.791421662834499e-13,1.568316290466593e-04,2.437683806958680e-04,1.813792332919681e-04,1.568316290466593e-04,6.613424108474097e-03,1.841385410003958e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,6.461032667734121e-03,1.955036132983423e-11,9.999999999804496e-01,9.999582928844570e-01,9.998939177602479e-01,9.998024827493242e-01,9.994900678859288e-01,9.993644808247830e-01,6.080246525618793e-05,5.687298503940670e-07,1.643039261036677e-07,4.732609256030161e-08,1.702173164991905e-01,1.937141318100009e-12,2.552174984138170e-01,1.308246039372544e-03,4.855617118404829e-01,7.267231533714526e-02,1.453390648955283e-02,3.052067612411095e-04,1.375489997784456e-04,4.624961748221169e-05,false
1,3.162000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,3.293676175209396e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,4.523918884756702e-11,5.116713274868847e+07,6.776840870112678e-01,1.798897522688104e+00,1.000000000000001e-02,2.519971622244333e+00,1.659195303607655e+00,1.124410254498738e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.041991280834334e-04,NaN,6.317960703325069e-05,NaN,5.508780901935346e-05,NaN,4.322105202303777e-04,7.537692538461462e-05,1.761541971414752e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.322105202303777e-04,7.537692538461462e-05,1.761541971414752e-04,4.110932197862527e-12,1.041991280834334e-04,4.583798665058022e-12,6.317960703325069e-05,4.975933727516314e-13,5.508780901935346e-05,1.041991280834334e-04,6.317960703325069e-05,5.508780901935346e-05,3.721878383721896e-03,1.840171429125025e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,9.523258004563238e-01,6.180833622693171e-12,9.999999999938192e-01,9.999664484709724e-01,9.999375256390828e-01,9.998386748985811e-01,9.997989261704209e-01,1.922321252756446e-04,2.793628569895355e-06,1.798099680146696e-06,5.153475513693595e-07,1.430462946737616e-07,1.498944774966047e-01,2.247787978480449e-01,1.152361215018142e-03,4.278871308391850e-01,6.405136685288458e-02,1.279304162609857e-01,7.463643557291252e-08,2.688240043833977e-03,1.228281961693456e-03,3.888528453135800e-04,false
1,1.000000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,3.293921855680567e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,2.729021533849844e-11,5.128216382784917e+07,6.776669955775180e-01,1.799044138877558e+00,1.000000000000001e-02,2.520293605287433e+00,2.442988490738347e+00,1.655532670749111e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,6.003256804140840e-05,NaN,2.575851541892062e-05,NaN,2.290520873597451e-05,NaN,2.022186247698681e-04,6.950328143420488e-05,6.254136321708737e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.022186247698681e-04,6.950328143420488e-05,6.254136321708737e-05,8.670884286986307e-12,6.003256804140840e-05,1.285327853650845e-11,2.575851541892062e-05,2.207038146183217e-12,2.290520873597451e-05,6.003256804140840e-05,2.575851541892062e-05,2.290520873597451e-05,2.093614364963904e-03,1.839786801915916e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,2.611817719286777e-03,1.949995720451625e-12,9.999999999980500e-01,9.999893907631198e-01,9.999802447631391e-01,9.999489833750850e-01,9.999364117120392e-01,6.076921099554796e-04,5.687772104540302e-06,1.835043702961491e-06,1.212755078565774e-06,2.729020789094193e-07,6.846328382278555e-02,1.026708991153634e-01,5.263781302290375e-04,1.954776641477799e-01,2.926307302434390e-02,5.839305092179921e-01,1.226881958885575e-02,3.178554637101065e-03,3.211269498772426e-03,1.009548816777645e-03,false
1,3.162000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,3.294291185135576e-01,1.000000000000000e-09,1.000000000000000e-01,1.312609481480193e-13,2.770346874187132e-11,6.234031209348565e+03,6.776331367869689e-01,1.799220795174503e+00,1.000000000000001e-02,2.521292140983533e+00,6.162093952665213e+00,4.175639054320541e+00,6.924372672919488e-08,1.000011160317235e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,4.602100288479312e-05,NaN,1.387704349000880e-05,NaN,1.272053592574408e-05,NaN,1.619916170061697e-04,6.868609063774161e-05,3.461066531686357e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.619916170061697e-04,6.868609063774161e-05,3.461066531686357e-05,4.538044827562476e-11,4.602100288479312e-05,3.905882715285293e-11,1.387704349000880e-05,6.193092997975334e-12,1.272053592574408e-05,4.602100288479312e-05,1.387704349000880e-05,1.272053592574408e-05,1.177965578690207e-03,1.839665125689462e+00,3.910755406434367e+00,9.897101537533796e-01,1.000000000000000e+00,1.000000000000000e+00,1.003697870329539e-02,5.073050202142326e-09,9.999999949269498e-01,9.999966258922408e-01,9.999838691301430e-01,9.999798983510282e-01,9.999676267836858e-01,1.919001209118487e-03,1.798452242964909e-05,5.821987176009760e-06,3.873237284637125e-06,8.759829142712329e-07,1.072543069271064e-02,1.602136544053493e-02,3.044697524651535e-02,4.591909590032068e-03,1.426806424044769e-08,9.075654636693190e-01,1.911823631463133e-02,4.832316461496676e-03,5.100366548570731e-03,1.597921768123758e-03,false
