iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,11,CONTINUE,1.614387054963390e+07,2.011914530980224e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,7.401691451117643e-15,5.684167376759461e+07,8.909218906259403e-01,,,4.346250635928311e+03,7.909510014461405e+03,7.046755616008763e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,6,0,0,5,0,0,,,,9.258530639456895e-08,NaN,1.384273729455727e-06,NaN,,,6.895669280564701e+03,1.072598630223984e+03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.357051330042526e-03,4.354682756997651e-02,,2.762941000119941e-16,9.258530639456895e-08,1.841960666746627e-16,1.384273729455727e-06,,,9.258530639456895e-08,1.384273729455727e-06,,1.787708123762732e-01,3.764923246567419e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,4.310298498303334e-01,1.759272583168325e-08,9.999999824072742e-01,9.999995404910603e-01,9.999945255509595e-01,6.349985660305097e-01,6.094526985273053e-01,4.559279400388422e-01,2.951060927587320e-01,2.449777739287285e-01,2.065369499931033e-01,7.401691451117587e-15,8.469136243720151e-01,2.796802729534565e-03,7.883047323394013e-05,4.565744746537568e-31,7.204563739261735e-02,2.592252067274766e-02,7.775279514045345e-31,5.878296241396385e-03,4.636428811845546e-02,7.598415347103557e-17,false
1,3.162000000000000e+00,0,11,CONTINUE,1.614387054963390e+07,2.011914543028865e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,7.401685867078990e-15,5.684078679328691e+07,8.909218910669247e-01,,,4.346327244629881e+03,7.909509987036407e+03,7.046755595063204e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,6,0,0,5,0,0,,,,1.856779959473694e-09,NaN,4.448476950706848e-09,NaN,,,2.482928328236064e+03,6.920017116755037e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.020252678744476e-05,1.447675372835546e-04,,5.525882000239882e-16,1.856779959473694e-09,4.144411500179911e-16,4.448476950706848e-09,,,1.856779959473694e-09,4.448476950706848e-09,,1.487821304224471e-01,2.936764244649259e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,1.335010759689235e-01,5.563883798131997e-09,9.999999944361162e-01,9.999998546464379e-01,9.999982686614282e-01,8.314889923399496e-01,7.260071412936677e-01,7.151213183498144e-01,5.064059092805356e-01,4.522174590865783e-01,4.514725121362158e-01,2.340413071170322e-14,6.533418327317547e-01,2.156679429702239e-03,6.081216449537358e-05,1.034526067301043e-01,5.070693388040211e-02,3.394406319259504e-30,1.937743912669424e-02,9.711842189458755e-27,1.709036959368459e-01,5.860673089192157e-16,false
1,1.000000000000000e+01,0,9,CONTINUE,1.614387054963390e+07,2.011891679325238e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,7.401685847038480e-15,5.506452340000019e+07,8.909208864511484e-01,,,4.346363740556257e+03,7.909542027350439e+03,7.046776194429665e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,5,0,0,4,0,0,,,,6.115448712787159e-07,NaN,2.186515521006224e-06,NaN,,,9.109476416109992e+02,3.363913869618584e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.134750860545288e-02,8.516527416686229e-02,,1.381470500059970e-15,6.115448712787159e-07,1.980107716752624e-15,2.186515521006224e-06,,,6.115448712787159e-07,2.186515521006224e-06,,1.137573155009897e-01,2.419948155460856e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,8.795783319102591e-01,1.816051309333488e-09,9.999999981839487e-01,9.999999163221973e-01,9.999994428881941e-01,9.397775130701441e-01,8.933892630777395e-01,7.644089383947564e-01,7.225019907894247e-01,7.224520722544067e-01,1.153389822421027e-04,7.401685847037931e-14,4.863559312510080e-01,5.441917661438473e-04,4.191502962387291e-05,9.816208952283922e-02,5.703379750953150e-02,3.279560382712239e-02,5.126090158470547e-23,3.250664710937266e-01,6.443056952752244e-34,4.354006088255383e-15,false
1,3.162000000000000e+01,0,7,CONTINUE,1.614387054963390e+07,2.011878855528327e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,3.830674643798527e-15,5.329103987623011e+07,8.909217577338178e-01,,,4.346418595764355e+03,7.909582636380717e+03,7.046819265345193e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,3,0,0,,,,1.989471006100806e-07,NaN,1.821722088901323e-06,NaN,,,3.158316501522704e+02,1.289609043782764e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.112998738575876e-03,8.021191078437014e-02,,6.492911350281861e-15,1.989471006100806e-07,4.858171258544229e-15,1.821722088901323e-06,,,1.989471006100806e-07,1.821722088901323e-06,,7.836286320481649e-02,2.097581053321777e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,9.752334690591468e-01,5.934497337989342e-10,9.999999994065503e-01,9.999998646884937e-01,9.999993725388522e-01,9.801363852740832e-01,9.636327951518018e-01,9.111865972164859e-01,8.916668198137897e-01,8.916649967524017e-01,4.079546977417360e-13,1.211259322368947e-13,4.050875535273671e-01,7.473092258813436e-05,5.663739065973325e-08,8.884203978588058e-02,5.521102084110505e-02,3.877310361009211e-02,1.265306771483204e-20,4.120114946755401e-01,1.425919273082313e-14,2.196215163991904e-14,false
1,1.000000000000000e+02,0,6,CONTINUE,1.614387054963390e+07,2.011912667248830e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,3.312006270385775e-17,5.319379696829651e+07,8.909219037528363e-01,,,4.346334278680816e+03,7.909513367390191e+03,7.046758707033776e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,2.302091856009778e-07,NaN,6.710609595148404e-08,NaN,,,1.037383789194397e+02,4.374798261935015e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.609936803279486e-03,2.944403916918153e-03,,1.551851861734033e-14,2.302091856009778e-07,1.022288170044378e-14,6.710609595148404e-08,,,2.302091856009778e-07,6.710609595148404e-08,,4.863269584182864e-02,1.936361408417367e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,3.282531962691453e-03,1.879918443137285e-10,9.999999998120082e-01,9.999999547054162e-01,9.998747487238878e-01,9.936326388137804e-01,9.882074335259716e-01,9.701014446926947e-01,9.630241800167210e-01,9.630038139233777e-01,1.006719030149711e-12,3.312006270385765e-15,3.754158193316943e-01,6.277899771296070e-05,2.182211898991574e-19,8.461615972962606e-02,5.380900756121747e-02,4.072924297834892e-02,4.114410776356715e-22,4.453669914010650e-01,2.465487450717905e-13,8.918651523171061e-14,false
1,3.162000000000000e+02,0,5,CONTINUE,1.614387054963390e+07,2.011909087145698e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,3.311982186307462e-17,5.319292001824832e+07,8.909217882553767e-01,,,4.346354464780174e+03,7.909525295749622e+03,7.046768420740392e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,8.692275458305871e-09,NaN,6.650278812110100e-07,NaN,,,3.324381636767421e+01,1.416307199414793e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.180468660767778e-04,2.644305918409060e-02,,3.955610531838382e-14,8.692275458305871e-09,4.821332045209297e-14,6.650278812110100e-07,,,8.692275458305871e-09,6.650278812110100e-07,,2.839662650544506e-02,1.872319279103970e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,1.905537812595548e-03,5.945444137012146e-11,9.999999999405456e-01,9.999999856745427e-01,9.998291662451321e-01,9.979774814510982e-01,9.962402200978833e-01,9.903470820833770e-01,9.880004869211075e-01,9.879961015338221e-01,3.183245569111981e-12,1.047248767310409e-14,3.656335254843580e-01,6.113717374972389e-05,8.292852447518163e-22,8.313358921818417e-02,5.326235011520174e-02,4.134093757274698e-02,3.162564186020404e-21,4.565684604324909e-01,2.400821994263024e-12,8.684730703373756e-13,false
1,1.000000000000000e+03,0,4,CONTINUE,1.614387054963390e+07,2.011916561198861e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,3.311982040901780e-17,5.319002748654572e+07,8.909215803082804e-01,,,4.346332841178726e+03,7.909515550719550e+03,7.046758093919982e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,5.130307142363398e-07,NaN,6.714837513097664e-08,NaN,,,1.055703446910643e+01,4.512135903123771e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.898665106437216e-02,2.665157709303796e-03,,2.354946712435563e-13,5.130307142363398e-07,2.507368957608846e-13,6.714837513097664e-08,,,5.130307142363398e-07,6.714837513097664e-08,,1.617215151296646e-02,1.850133394874943e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,9.998814715936984e-01,1.880051669900240e-11,9.999999999811995e-01,9.999999954703045e-01,9.993595939544384e-01,9.988080932772644e-01,9.969274665901942e-01,9.961750341801647e-01,9.961729538934411e-01,4.984741226947281e-05,1.006719025803016e-11,3.311982040901670e-14,3.624996692758903e-01,6.061051933692532e-05,8.264949818600516e-02,5.307840818899841e-02,4.153308525860357e-02,2.552794601763206e-20,4.601787285387465e-01,1.463056509649913e-43,2.380662419172471e-11,8.611805862627129e-12,false
1,3.162000000000000e+03,0,4,CONTINUE,1.614387054963390e+07,2.011914744803514e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,2.423716149045071e-17,5.318874849476536e+07,8.909218599461425e-01,,,4.346328025270398e+03,7.909510572036009e+03,7.046755870101998e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,5.271433196287591e-08,NaN,7.027559975764514e-09,NaN,,,3.343311354495991e+00,1.430422252286959e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.904897650891004e-03,2.708708591878199e-04,,3.823449853999312e-13,5.271433196287591e-08,3.667804177659222e-13,7.027559975764514e-09,,,5.271433196287591e-08,7.027559975764514e-09,,9.132116894265132e-03,1.842893080592701e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,4.501187403359160e-01,5.945910430682488e-12,9.999999999940541e-01,9.999999985673489e-01,9.997973793214401e-01,9.996227454551401e-01,9.990262486204158e-01,9.987870279164291e-01,9.987865000966981e-01,3.183247309765872e-11,1.599648573151944e-13,7.663790463279928e-14,3.615048371575311e-01,6.044688761058788e-05,8.249490719641976e-02,5.301912363029662e-02,4.159368229100437e-02,2.560628582372663e-19,4.613270025139002e-01,2.373708216197040e-10,2.904406812135109e-11,5.682297182370631e-11,false
1,1.000000000000000e+04,0,4,CONTINUE,1.614387054963390e+07,2.011914563227990e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,2.119341324611897e-17,5.322774645268922e+07,8.909218879514031e-01,,,4.346327541415298e+03,7.909510314862324e+03,7.046755862488239e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,6.946908106930389e-09,NaN,1.697725897531315e-09,NaN,,,1.057615997457458e+00,4.526429821863852e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.997757622930795e-04,5.188393113897069e-05,,1.939538533067530e-12,6.946908106930389e-09,1.136996270566024e-12,1.697725897531315e-09,,,6.946908106930389e-09,1.697725897531315e-09,,5.141867430579672e-03,1.840579268285013e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,5.315716862773819e-05,1.878719402270690e-12,9.999999999981213e-01,9.999999995468150e-01,9.999359224633662e-01,9.998806813326776e-01,9.996918946614691e-01,9.996391666532604e-01,9.996159726680426e-01,1.006719579347877e-10,4.613125323288728e-13,2.119341324611448e-13,3.611898389544175e-01,6.034741022290915e-05,8.244585886357483e-02,5.300025948179554e-02,4.161283159630765e-02,1.732610506244762e-22,4.616908604635517e-01,2.372056193028834e-09,4.114337822262986e-10,4.466389201966756e-10,false
1,3.162000000000000e+04,0,4,CONTINUE,1.614387054963390e+07,2.011914545144367e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,2.119340821826876e-17,-9.999999999993994e-01,8.909218907440344e-01,,,4.346327492673229e+03,7.909512711340117e+03,7.046758019651112e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.366264876078593e-09,NaN,1.276130945426414e-09,NaN,,,3.345230663398714e-01,1.431851982041608e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.305835137733297e-05,4.454514096462786e-05,,2.287669099082643e-12,2.366264876078593e-09,4.586574158232439e-12,1.276130945426414e-09,,,2.366264876078593e-09,1.276130945426414e-09,,2.892811198756234e-03,1.839845273879698e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,8.205910821591668e-03,6.006306563222097e-13,9.999999999993994e-01,9.999999997729139e-01,9.999797342365180e-01,9.999622617322725e-01,9.999025394499278e-01,9.998785173324022e-01,9.998220469710593e-01,3.183247310901050e-10,1.458669983275867e-12,6.701355678612092e-13,3.611266179701767e-01,2.389255269277675e-05,8.243033344230118e-02,5.299428223928271e-02,4.161888324200867e-02,4.618059582668334e-01,2.239411356088643e-25,2.370985232949130e-08,4.112482690027893e-09,4.464370665300041e-09,false
1,1.000000000000000e+05,0,3,CONTINUE,1.614387054963390e+07,2.011956586670348e+06,1.000000000000000e-09,1.000000000000000e-01,4.176474827178842e-10,2.119340508761645e-17,-9.999999999998039e-01,8.909187222853454e-01,,,4.346420697965965e+03,7.909588563817761e+03,7.046800537079301e+03,6.924719577852201e-08,6.040470683889143e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,1.908428010020694e-09,NaN,1.093773525775715e-06,NaN,,,1.057808260661649e-01,4.527861398732948e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.013899792238330e-05,4.527861398732948e-02,,2.326663406397668e-11,1.908428010020694e-09,2.125673263343943e-11,1.093773525775715e-06,,,1.908428010020694e-09,1.093773525775715e-06,,1.626889444233640e-03,1.839612881188299e+00,4.196202527922796e-01,1.153594756737505e+00,6.040459522319212e+00,1.000000000000000e+00,9.999746837024552e-01,1.960653861488026e-13,9.999999999998039e-01,9.999999994741777e-01,9.999935918767806e-01,9.999880668518042e-01,9.999691809201718e-01,9.999615839892672e-01,1.207730259869876e-05,1.006719577636110e-09,4.613124287744211e-12,2.119340508757153e-12,3.611184362981996e-01,4.430828272306335e-07,8.242539812952601e-02,5.299237573903524e-02,4.162078558068957e-02,4.618422382742456e-01,6.107612914326250e-42,2.371193940536531e-07,4.112845640346993e-08,4.464762609252649e-08,false
