iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,6,CONTINUE,1.000000000000000e+00,1.221545770234098e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313474470016945e-01,1.783267802381487e+01,9.900000000000000e-01,9.197735839194909e-01,1.390537524551063e-01,2.186837912613124e+00,6.408655363761379e-01,6.344568810123764e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,2,0,0,7.401321466269744e-03,NaN,1.388870493391874e-03,NaN,6.571631611981307e-03,NaN,6.056071483250685e-01,1.299751791939650e-01,3.760293897763676e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.580115039454595e-02,1.583478103958473e-02,5.275868093581985e-02,1.617720915089399e-15,7.401321466269744e-03,1.855621049661370e-15,1.388870493391874e-03,5.471703095155321e-16,6.571631611981307e-03,7.401321466269744e-03,1.388870493391874e-03,6.571631611981307e-03,1.409059208284635e+00,3.411838599354186e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,7.644529662760521e-02,5.309919272954433e-02,9.469008072704557e-01,9.244512938393187e-01,8.997782272637050e-01,8.532070728925526e-01,8.037782419448735e-01,7.680403797047860e-01,6.914555930641583e-01,6.113406978147353e-01,5.480867223514991e-01,4.822267730477795e-01,4.178640205567490e-02,1.013290538584936e-01,1.796483430443123e-01,1.904386692514849e-01,6.963404192189795e-02,2.784317063359961e-01,1.309208357334089e-02,1.127886621259153e-01,2.625552728028591e-03,1.022548510485589e-02,false
1,3.162000000000000e+00,0,5,CONTINUE,1.000000000000000e+00,1.209816236982657e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313470152164017e-01,1.726761870682201e+01,9.900000000000000e-01,9.154698822823049e-01,1.398389552016746e-01,2.205391156359330e+00,6.530127939493655e-01,6.464826660098718e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,2,0,0,1.230499665936604e-03,NaN,5.506795107517792e-03,NaN,1.136667032795511e-03,NaN,2.222395942394517e-01,5.056120450769286e-02,1.354710451232062e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.255681896148392e-02,5.056120450769286e-02,1.005443770568651e-02,3.235441830178799e-15,1.230499665936604e-03,6.470883660357597e-15,5.506795107517792e-03,1.570140888175005e-15,1.136667032795511e-03,1.230499665936604e-03,5.506795107517792e-03,1.136667032795511e-03,8.178611997382617e-01,3.269955662503593e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,6.542211806706005e-02,1.798554346624937e-02,9.820144565337506e-01,9.710892949812638e-01,9.562421904092466e-01,9.401440526466398e-01,9.136184197687505e-01,8.779431324840902e-01,8.328858972604359e-01,8.301847756374430e-01,7.931094185450901e-01,7.465093875041553e-01,4.390492330411270e-02,1.670310197095564e-01,1.506574954415564e-01,1.260705874421610e-01,3.175526357648781e-01,1.686056928105807e-02,1.407564217513705e-01,1.490972679496784e-02,4.056989469836336e-03,1.819963104050179e-02,false
1,1.000000000000000e+01,0,3,CONTINUE,1.000000000000000e+00,1.217009080961205e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469846013482e-01,1.709522220800742e+01,9.900000000000000e-01,9.181960574061431e-01,1.409754673413102e-01,2.190985712701418e+00,6.388790022324233e-01,6.324902122100992e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.194236741225638e-02,NaN,1.449223266854183e-03,NaN,5.778808693621879e-03,NaN,7.454749685664412e-02,1.594664633352266e-02,4.533337437674349e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.454749685664412e-02,1.594664633352266e-02,4.533337437674349e-02,1.043192090098091e-14,1.194236741225638e-02,1.303692737454398e-14,1.449223266854183e-03,6.597268106848956e-15,5.778808693621879e-03,1.194236741225638e-02,1.449223266854183e-03,5.778808693621879e-03,4.663436429142870e-01,3.223781184958831e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,1.277672037037236e-02,5.815568928991932e-03,9.941844310710081e-01,9.904500373391373e-01,9.848285062195478e-01,9.790472764828455e-01,9.708571267495032e-01,9.574939818262547e-01,9.402310967092828e-01,9.291622498346005e-01,9.237762521726466e-01,9.030394217532390e-01,4.283547364892613e-02,1.662260481056153e-01,1.598544169221787e-01,9.746976565826555e-02,3.117981934942141e-01,1.708399138541401e-02,1.760802491165994e-01,1.540514634380827e-04,4.832865654979709e-03,2.366494455036936e-02,true
1,3.162000000000000e+01,0,3,CONTINUE,1.000000000000000e+00,1.218630560716153e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469827479888e-01,1.703684989301759e+01,9.900000000000000e-01,9.187339406042568e-01,1.374004318602593e-01,2.188582434574436e+00,6.401921417545525e-01,6.337902203370069e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.858065263923011e-03,NaN,5.052080263081195e-04,NaN,1.879366610100134e-03,NaN,2.406571467515024e-02,5.529167379867469e-03,1.463794743602657e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.406571467515024e-02,5.529167379867469e-03,1.463794743602657e-02,4.447543015822988e-14,3.858065263923011e-03,6.675477776089491e-14,5.052080263081195e-04,1.002749067220856e-14,1.879366610100134e-03,3.858065263923011e-03,5.052080263081195e-04,1.879366610100134e-03,2.635919482135395e-01,3.209043762425838e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,3.459359388522848e-03,1.852863399919857e-03,9.981471366000801e-01,9.969385053651901e-01,9.950704877010945e-01,9.931324903922406e-01,9.905848018715067e-01,9.861346997681532e-01,9.802919335440247e-01,9.761095328942906e-01,9.745658198127650e-01,9.671584056050634e-01,4.237381446599581e-02,1.646090676323127e-01,1.618322584076929e-01,9.005416641789267e-02,3.088467858212848e-01,1.723054254801450e-02,1.836923981941650e-01,1.724525823745704e-04,5.137049807760781e-03,2.605146412250713e-02,false
1,1.000000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,1.219284774866301e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469824511150e-01,1.701765668626188e+01,9.900000000000000e-01,9.189485983656646e-01,1.361856790442563e-01,2.187647450917632e+00,6.404990711288140e-01,6.340940804175258e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.228339006475146e-03,NaN,1.675712945871869e-04,NaN,5.997999500722337e-04,NaN,7.660949475814013e-03,1.803948733165647e-03,4.660759444376484e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.660949475814013e-03,1.803948733165647e-03,4.660759444376484e-03,1.185218470437557e-13,1.228339006475146e-03,1.551346777543820e-13,1.675712945871869e-04,3.967579494324038e-14,5.997999500722337e-04,1.228339006475146e-03,1.675712945871869e-04,5.997999500722337e-04,1.484729548745931e-01,3.204368483576710e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,1.049347942058950e-03,5.872798696997528e-04,9.994127201303002e-01,9.990277668640698e-01,9.984281240795503e-01,9.978028430957726e-01,9.970024638472356e-01,9.955720984278357e-01,9.936831522002197e-01,9.922974906128526e-01,9.918151584626869e-01,9.893769245704048e-01,4.221836971282388e-02,1.639842126419662e-01,1.623059594213393e-01,8.791685243933656e-02,3.077523739710225e-01,1.728107110996885e-02,1.862210338676707e-01,1.798873955740500e-04,5.242453960571627e-03,2.689778547972652e-02,false
1,3.162000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,1.219506809734174e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469823761371e-01,1.701150553863834e+01,9.900000000000000e-01,9.190214215424165e-01,1.357924940922440e-01,2.187332677083677e+00,6.405842162322547e-01,6.341783740699322e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.893205741243680e-04,NaN,5.379107455302718e-05,NaN,1.902570317864292e-04,NaN,2.428035760566152e-03,5.763207750373667e-04,1.477289247822798e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.428035760566152e-03,5.763207750373667e-04,1.477289247822798e-03,5.313737405799532e-13,3.893205741243680e-04,4.202267977079287e-13,5.379107455302718e-05,1.211476697790938e-13,1.902570317864292e-04,3.893205741243680e-04,5.379107455302718e-05,1.902570317864292e-04,8.354153907068433e-02,3.202888860483090e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,3.278362117924393e-04,1.858722913223865e-04,9.998141277086776e-01,9.996921047527401e-01,9.995015682177362e-01,9.993025206811571e-01,9.990499481731029e-01,9.985952340648372e-01,9.979935934279928e-01,9.975491430415377e-01,9.973969119314368e-01,9.966158126620820e-01,4.216831052641047e-02,1.637755404985480e-01,1.624387952034904e-01,8.726370826811301e-02,3.073883848876008e-01,1.729738464693229e-02,1.870331330076724e-01,1.822786644159204e-04,5.276821531215427e-03,2.717564276560075e-02,false
1,1.000000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,1.219578587761630e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469823535362e-01,1.700955147058887e+01,9.900000000000000e-01,9.190449670610871e-01,1.356672014074246e-01,2.187231146715457e+00,6.406099221720586e-01,6.342038229503381e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.231886417617684e-04,NaN,1.708874462605966e-05,NaN,6.021638586778273e-05,NaN,7.682693949184629e-04,1.828220892924159e-04,4.674511475736581e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.682693949184629e-04,1.828220892924159e-04,4.674511475736581e-04,1.845409186384868e-12,1.231886417617684e-04,1.725537256077416e-12,1.708874462605966e-05,4.188648194375041e-13,6.021638586778273e-05,1.231886417617684e-04,1.708874462605966e-05,6.021638586778273e-05,4.698491682371718e-02,3.202420741180681e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,1.032723416105969e-04,5.878704177986194e-05,9.999412129582201e-01,9.999026013288286e-01,9.998422640917070e-01,9.997791937357968e-01,9.996993865249924e-01,9.995553696541785e-01,9.993647023737228e-01,9.992235466335027e-01,9.991754339943739e-01,9.989274379400299e-01,4.215238706884137e-02,1.637084345783182e-01,1.624790619843512e-01,8.705945206063492e-02,3.072714012882370e-01,1.730257566871311e-02,1.872912608919582e-01,1.830365831490143e-04,5.287799003792003e-03,2.726459087200553e-02,false
1,3.162000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,1.219601438441599e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469823482424e-01,1.700893277883752e+01,9.900000000000000e-01,9.190524634114330e-01,1.356274927209062e-01,2.187198846230070e+00,6.406179262857934e-01,6.342117470229355e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.896764660433090e-05,NaN,5.412423692475143e-06,NaN,1.904948915945449e-05,NaN,2.430219765722168e-04,5.787770174396683e-05,1.478673162863433e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.430219765722168e-04,5.787770174396683e-05,1.478673162863433e-04,4.622613724854501e-12,3.896764660433090e-05,3.647913083499681e-12,5.412423692475143e-06,1.237345084884738e-12,1.904948915945449e-05,3.896764660433090e-05,5.412423692475143e-06,1.904948915945449e-05,2.642416673242644e-02,3.202272719640055e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,3.262191882116741e-05,1.859315092822555e-05,9.999814068490718e-01,9.999691929096721e-01,9.999501019680497e-01,9.999301424161324e-01,9.999049085977922e-01,9.998593388104177e-01,9.997989962724615e-01,9.997542930055552e-01,9.997390791497781e-01,9.996605473720412e-01,4.214734341975195e-02,1.636871068466739e-01,1.624916170143479e-01,8.699510545144415e-02,3.072342259298369e-01,1.730421999702313e-02,1.873730023784677e-01,1.832763118658971e-04,5.291280670180806e-03,2.729282198040767e-02,false
1,1.000000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,1.219608681338131e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469823483822e-01,1.700873701172074e+01,9.900000000000000e-01,9.190548395671856e-01,1.356149241467660e-01,2.187188610217613e+00,6.406204454582537e-01,6.342142410036712e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.232242592642832e-05,NaN,1.712210229505269e-06,NaN,6.024021319996119e-06,NaN,7.684880492622949e-05,1.830685853878834e-05,4.675897852333371e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.684880492622949e-05,1.830685853878834e-05,4.675897852333371e-05,1.322107397370942e-11,1.232242592642832e-05,2.119333348834399e-11,1.712210229505269e-06,6.161884096817111e-12,6.024021319996119e-06,1.232242592642832e-05,1.712210229505269e-06,6.024021319996119e-06,1.485900593983581e-02,3.202225901782176e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,1.031121036828571e-05,5.879296740340934e-06,9.999941207032597e-01,9.999902583757744e-01,9.999842209243568e-01,9.999779083920276e-01,9.999699300251226e-01,9.999555184917243e-01,9.999364338819349e-01,9.999222925121439e-01,9.999174820863332e-01,9.998926401589193e-01,4.214574730961179e-02,1.636803502198436e-01,1.624955702481643e-01,8.697477726121126e-02,3.072224492176006e-01,1.730474036841815e-02,1.873988684961759e-01,1.833521408739640e-04,5.292382945571547e-03,2.730176179252929e-02,false
1,3.162000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,1.219610972865116e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469823276077e-01,1.700867510911464e+01,9.900000000000000e-01,9.190555913479453e-01,1.356109493696341e-01,2.187185371869444e+00,6.406212406783389e-01,6.342150282715555e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,3.897121007203921e-06,NaN,5.415761543702893e-07,NaN,1.905187375449080e-06,NaN,2.430438551045376e-05,5.790238474515468e-06,1.478811910661702e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.430438551045376e-05,5.790238474515468e-06,1.478811910661702e-05,4.853392913648396e-11,3.897121007203921e-06,4.728850408948960e-11,5.415761543702893e-07,1.198650312035490e-11,1.905187375449080e-06,3.897121007203921e-06,5.415761543702893e-07,1.905187375449080e-06,8.356245723252449e-03,3.202211099035374e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,3.260593754286766e-06,1.859374374579836e-06,9.999981406256254e-01,9.999969191151987e-01,9.999950096482149e-01,9.999930131426870e-01,9.999904899966705e-01,9.999859320327991e-01,9.999798959893291e-01,9.999754230833009e-01,9.999739017788020e-01,9.999660443635063e-01,4.214524264503632e-02,1.636782128002363e-01,1.624968183662723e-01,8.696835234534599e-02,3.072187238277045e-01,1.730490490749885e-02,1.874070480087024e-01,1.833761159728174e-04,5.292731564581551e-03,2.730458941864917e-02,false
1,1.000000000000000e+05,0,3,CONTINUE,1.000000000000000e+00,1.219611698014497e-01,1.000000000000000e-09,1.000000000000000e-01,7.502092718728316e-14,9.313469822415289e-01,1.700865549192996e+01,9.900000000000000e-01,9.190558292627985e-01,1.356096920618031e-01,2.187184347332870e+00,6.406214921395472e-01,6.342152772181517e-01,1.367381675862785e+00,1.440527473174798e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.232278224153629e-06,NaN,1.712544002883709e-07,NaN,6.024259783039779e-07,NaN,7.685099268976867e-06,1.830932732258611e-06,4.676036602896411e-06,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,7.685099268976867e-06,1.830932732258611e-06,4.676036602896411e-06,1.683077732184516e-10,1.232278224153629e-06,1.905992596754831e-10,1.712544002883709e-07,3.355674662424775e-11,6.024259783039779e-07,1.232278224153629e-06,1.712544002883709e-07,6.024259783039779e-07,4.698864132069649e-03,3.202206417190297e+00,2.032059251758656e+00,1.113388154148878e+00,1.000000000000000e+00,1.000000000000000e+00,1.030961394924990e-06,5.879356028692939e-07,9.999994120643971e-01,9.999990258200017e-01,9.999984220375860e-01,9.999977907293099e-01,9.999969929162094e-01,9.999955516643626e-01,9.999936430244099e-01,9.999922286295646e-01,9.999917475950030e-01,9.999892629784383e-01,4.214508286454121e-02,1.636775367144279e-01,1.624972130292761e-01,8.696632055272567e-02,3.072175451297919e-01,1.730495693706932e-02,1.874096353438308e-01,1.833837003934407e-04,5.292841826059646e-03,2.730548390188473e-02,false
