iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,ritz_beta,omm,ritz_t1,ritz_t2,ritz_t3,ritz_t4,ritz_t5,ritz_t6,ritz_t7,ritz_t8,ritz_t9,ritz_t10,ritz_w1,ritz_w2,ritz_w3,ritz_w4,ritz_w5,ritz_w6,ritz_w7,ritz_w8,ritz_w9,ritz_w10,chosen
1,1.000000000000000e+00,0,8,CONTINUE,1.000000000000000e+00,3.531301614758768e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299747256441153e+00,2.600950849055448e+01,6.703113300702341e-01,2.548273887384879e+00,1.000000000000001e-02,4.590854154811731e+00,1.386973705061831e+00,9.297041890124365e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,0,3,0,0,2,0,0,3.061671695759759e-03,NaN,6.424982184208765e-03,NaN,3.060718314540298e-03,NaN,1.216516376008733e+00,6.906484744397201e-01,1.584368664037090e-01,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.852669533620405e-02,1.181627843586100e-02,2.586353718713170e-02,6.836939463183439e-15,3.061671695759759e-03,7.695225920388540e-15,6.424982184208765e-03,6.591866321509300e-16,3.060718314540298e-03,3.061671695759759e-03,6.424982184208765e-03,3.060718314540298e-03,1.242174042603381e+00,3.041651374932948e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,6.881870032695250e-02,3.702399843187487e-02,9.629760015681251e-01,9.514499156061580e-01,9.208826934719884e-01,8.812759538457600e-01,8.263878988717408e-01,7.626564346975930e-01,7.106316910297760e-01,6.550570366328438e-01,5.889611762896548e-01,5.651696084431926e-01,6.987408360506757e-02,1.359670032782693e-01,3.151138381243698e-01,1.292280274684665e-01,1.474178190635319e-01,1.071286076705474e-01,9.284879167574764e-03,7.250787457163570e-02,5.817628826158699e-04,1.289610416792082e-02,false
1,3.162000000000000e+00,0,5,CONTINUE,1.000000000000000e+00,3.639737222562830e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299702013169635e+00,2.438238603874397e+01,6.597923789674969e-01,2.564289332787494e+00,1.000000000000012e-02,4.598202599403476e+00,1.391166465844553e+00,9.178810320393829e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,2,0,0,1,0,0,7.396041663701794e-03,NaN,1.973231115077083e-02,NaN,8.774490636134157e-03,NaN,4.271336439391856e-01,2.746991971368454e-01,5.752856628004437e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.000441718630239e-02,2.240301166296430e-02,5.752856628004437e-02,2.427249661175495e-14,7.396041663701794e-03,2.285934758703655e-14,1.973231115077083e-02,3.103552512744937e-15,8.774490636134157e-03,7.396041663701794e-03,1.973231115077083e-02,8.774490636134157e-03,7.325520734241715e-01,2.927097302978387e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,2.515163497210488e-02,1.280457200588769e-02,9.871954279941123e-01,9.800771965732606e-01,9.707768341032195e-01,9.538122032099086e-01,9.355981621470726e-01,9.093443645450975e-01,8.809400496995108e-01,8.571507000138475e-01,8.183226161530721e-01,8.042921765281319e-01,1.084003081335216e-01,1.440382347679195e-01,2.551854355199225e-01,1.028665341418792e-01,1.377395745150376e-01,1.205040669144426e-01,9.296871479504476e-03,9.990418936872728e-02,9.052433001937077e-04,2.115954185885180e-02,false
1,1.000000000000000e+01,0,4,CONTINUE,1.000000000000000e+00,3.547349816390378e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299701590719618e+00,2.406607227666368e+01,6.693290643354148e-01,2.556319347165656e+00,1.000000000000001e-02,4.603766674490426e+00,1.348628381947475e+00,9.026761730250882e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,0,1,0,0,1,0,0,2.600051312664325e-03,NaN,1.113106523554925e-02,NaN,2.938796708556875e-03,NaN,1.406527109679081e-01,9.578133856357263e-02,1.928951085509607e-02,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,2.371208328312697e-03,9.578133856357263e-02,1.928951085509607e-02,7.266047327696282e-14,2.600051312664325e-03,7.097714260687783e-14,1.113106523554925e-02,1.504812745240685e-14,2.938796708556875e-03,2.600051312664325e-03,1.113106523554925e-02,2.938796708556875e-03,4.200134426433877e-01,2.889920948163027e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,8.930400920556854e-03,4.138032811255243e-03,9.958619671887448e-01,9.930717197882827e-01,9.899000232782235e-01,9.836706852981685e-01,9.782344747882852e-01,9.693564135152841e-01,9.588289916839612e-01,9.499394198205928e-01,9.343996542079898e-01,9.285562003622588e-01,1.113543215205342e-01,1.782991145001040e-01,2.146268546945160e-01,9.859361954104087e-02,1.227951648652369e-01,1.243043487183135e-01,9.867857201585192e-03,1.130667102713522e-01,1.087804961421599e-03,2.600420372589641e-02,false
1,3.162000000000000e+01,0,3,CONTINUE,1.000000000000000e+00,3.527761954309755e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299701559494766e+00,2.398406362427626e+01,6.707529735010547e-01,2.548252580625338e+00,1.000000000000001e-02,4.591873850273693e+00,1.361301821005520e+00,9.130972442718532e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.563883264939463e-03,NaN,3.585714196223954e-03,NaN,9.481544155156280e-04,NaN,4.510645698279993e-02,3.131325789109271e-02,6.228522742730518e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.510645698279993e-02,3.131325789109271e-02,6.228522742730518e-03,3.782426333636125e-13,5.563883264939463e-03,2.353720645855312e-13,3.585714196223954e-03,3.641369589019151e-14,9.481544155156280e-04,5.563883264939463e-03,3.585714196223954e-03,9.481544155156280e-04,2.379449339852708e-01,2.878066823421353e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,2.892863039838682e-03,1.316870534638692e-03,9.986831294653613e-01,9.977523722593660e-01,9.967062877959001e-01,9.946236403393636e-01,9.929440463140780e-01,9.900930529039823e-01,9.865894758482656e-01,9.836068551113683e-01,9.782791138009613e-01,9.762450917285839e-01,1.112879485206209e-01,1.885396909355071e-01,2.022695126428177e-01,1.002560676691447e-01,1.151918371661121e-01,1.253739611114005e-01,1.008956330838481e-02,1.178781758133530e-01,1.159533288722842e-03,2.795370954393627e-02,true
1,1.000000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,3.521173566703839e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299701553449971e+00,2.395963422997002e+01,6.714953613653371e-01,2.548804670376349e+00,1.000000000000001e-02,4.591332838616756e+00,1.369761475144574e+00,9.197884767365225e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.764535929322723e-03,NaN,1.150284994609313e-03,NaN,3.017669285578414e-04,NaN,1.432751080546508e-02,1.003771002419738e-02,1.982961988407023e-03,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.432751080546508e-02,1.003771002419738e-02,1.982961988407023e-03,9.918651114124921e-13,1.764535929322723e-03,9.452227062152546e-13,1.150284994609313e-03,7.950696104436732e-14,3.017669285578414e-04,1.764535929322723e-03,1.150284994609313e-03,3.017669285578414e-04,1.341336025534500e-01,2.874307409904426e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,9.199848894259928e-04,4.171945180330150e-04,9.995828054819670e-01,9.992839231028254e-01,9.989483533779278e-01,9.982778131023672e-01,9.977502744289458e-01,9.968452240027468e-01,9.957192276958029e-01,9.947577158339210e-01,9.930282966111108e-01,9.923646727197823e-01,1.111788043693094e-01,1.914810634376896e-01,1.985564430984905e-01,1.011985935949963e-01,1.124455376271850e-01,1.256943680000621e-01,1.016390010763388e-02,1.194737585238089e-01,1.183955475561174e-03,2.862357576526327e-02,false
1,3.162000000000000e+02,0,3,CONTINUE,1.000000000000000e+00,3.519036849437842e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299701551817734e+00,2.395205133064034e+01,6.717347073248618e-01,2.548983837884362e+00,1.000000000000001e-02,4.591159947742569e+00,1.372492049830381e+00,9.219505453985105e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.585728196030755e-04,NaN,3.654528121891483e-04,NaN,9.563436618302913e-05,NaN,4.537719818983883e-03,3.188406532135573e-03,6.284961573620343e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.537719818983883e-03,3.188406532135573e-03,6.284961573620343e-04,2.817903321822014e-12,5.585728196030755e-04,1.823032970066164e-12,3.654528121891483e-04,2.507964659524277e-13,9.563436618302913e-05,5.585728196030755e-04,3.654528121891483e-04,9.563436618302913e-05,7.549287371270355e-02,2.873117756371327e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,2.914200365187326e-04,1.320194993779111e-04,9.998679805006221e-01,9.997730078808509e-01,9.996663889402161e-01,9.994531061188798e-01,9.992866009099761e-01,9.990000445769768e-01,9.986421007721249e-01,9.983361339687858e-01,9.977845987908235e-01,9.975726130397388e-01,1.111358516368426e-01,1.923765702603836e-01,1.974042165977295e-01,1.015394741458654e-01,1.115433803064538e-01,1.257937261198842e-01,1.018782822132555e-02,1.199859298778119e-01,1.191863842091567e-03,2.884115899161162e-02,false
1,1.000000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,3.518355514410028e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299701551324413e+00,2.394966679940413e+01,6.718108823605119e-01,2.549040975610482e+00,1.000000000000001e-02,4.591105108629590e+00,1.373361397850186e+00,9.226391324895993e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.766737476085879e-04,NaN,1.157237366451288e-04,NaN,3.025957107473272e-05,NaN,1.435486186533777e-03,1.009575851554602e-03,1.988685917378574e-04,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.435486186533777e-03,1.009575851554602e-03,1.988685917378574e-04,8.407296012288317e-12,1.766737476085879e-04,6.598792024837650e-12,1.157237366451288e-04,6.716149878377929e-13,3.025957107473272e-05,1.766737476085879e-04,1.157237366451288e-04,3.025957107473272e-05,4.246177776513282e-02,2.872741388748993e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,9.219215461430929e-05,4.175249100057954e-05,9.999582475089994e-01,9.999281724821543e-01,9.998944098525495e-01,9.998268471480237e-01,9.997742305488646e-01,9.996835894236554e-01,9.995702226523411e-01,9.994732862212328e-01,9.992984272432566e-01,9.992311841259959e-01,1.111214332883484e-01,1.926562401775718e-01,1.970420062207823e-01,1.016515675258223e-01,1.112547077990140e-01,1.258249516009327e-01,1.019543879296468e-02,1.201486991195271e-01,1.194384227546026e-03,2.891057124749189e-02,false
1,3.162000000000000e+03,0,3,CONTINUE,1.000000000000000e+00,3.518139535209616e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299701551166130e+00,2.394891424235217e+01,6.718350147837141e-01,2.549059088447760e+00,9.999999999999898e-03,4.591087755093154e+00,1.373636839476264e+00,9.228573263569902e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.587935737833913e-05,NaN,3.661504757292128e-05,NaN,9.571758047328663e-06,NaN,4.540464465723812e-04,3.194243987997354e-04,6.290712620223672e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.540464465723812e-04,3.194243987997354e-04,6.290712620223672e-05,2.251293192712804e-11,5.587935737833913e-05,2.089949802670935e-11,3.661504757292128e-05,3.714958016010042e-12,9.571758047328663e-06,5.587935737833913e-05,3.661504757292128e-05,9.571758047328663e-06,2.388099987590412e-02,2.872622380711736e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,2.916073405809819e-05,1.320524826464720e-05,9.999867947517354e-01,9.999772788981910e-01,9.999665962956273e-01,9.999452169315188e-01,9.999285798478136e-01,9.998999109181799e-01,9.998640395313203e-01,9.998333638334500e-01,9.997780172398083e-01,9.997567298441284e-01,1.111167916092255e-01,1.927443052052050e-01,1.969277073433562e-01,1.016874356428273e-01,1.111631052592385e-01,1.258348041886349e-01,1.019784931931615e-02,1.202002407920279e-01,1.195183033968111e-03,2.893257760619946e-02,false
1,1.000000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,3.518071169031035e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299701551135217e+00,2.394867636305036e+01,6.718426522131110e-01,2.549064822034925e+00,1.000000000000012e-02,4.591082265057064e+00,1.373724014256144e+00,9.229263851466891e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,1.766958369809337e-05,NaN,1.157935638292387e-05,NaN,3.026790126285048e-06,NaN,1.435760891091633e-04,1.010160500293890e-04,1.989261751752720e-05,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,1.435760891091633e-04,1.010160500293890e-04,1.989261751752720e-05,8.546216341517872e-11,1.766958369809337e-05,6.890909590680824e-11,1.157935638292387e-05,8.186617019694527e-12,3.026790126285048e-06,1.766958369809337e-05,1.157935638292387e-05,3.026790126285048e-06,1.342902868037074e-02,2.872584739678099e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,9.221067779067461e-06,4.175578680265524e-06,9.999958244213197e-01,9.999928150626678e-01,9.999894367248962e-01,9.999826753408045e-01,9.999774150147794e-01,9.999683495829059e-01,9.999570051976224e-01,9.999473036389099e-01,9.999297983943337e-01,9.999230651787477e-01,1.111153153121915e-01,1.927721224250968e-01,1.968915790462396e-01,1.016988227264402e-01,1.111340999766254e-01,1.258379183652266e-01,1.019861214698640e-02,1.202165503043608e-01,1.195435873389441e-03,2.893954382344356e-02,false
1,3.162000000000000e+04,0,3,CONTINUE,1.000000000000000e+00,3.518049547922986e-01,1.000000000000000e-09,1.000000000000000e-01,2.375761360197958e-13,1.299701551066872e+00,2.394860114624502e+01,6.718450674375502e-01,2.549066635181412e+00,1.000000000000001e-02,4.591080529001529e+00,1.373751582417785e+00,9.229482245319179e-01,1.000000000000000e+00,1.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,0,1,0,0,1,0,0,5.588156726809412e-06,NaN,3.662203382786538e-06,NaN,9.572591535271337e-07,NaN,4.540739309730469e-05,3.194829057718538e-05,6.291288818497604e-06,solution good enough for the tolerances given,solution good enough for the tolerances given,solution good enough for the tolerances given,4.540739309730469e-05,3.194829057718538e-05,6.291288818497604e-06,2.476003946154713e-10,5.588156726809412e-06,2.101565180372327e-10,3.662203382786538e-06,4.233435461817644e-11,9.572591535271337e-07,5.588156726809412e-06,3.662203382786538e-06,9.572591535271337e-07,7.552090724494918e-03,2.872572838447258e+00,4.238929607482077e+00,5.655286595283870e+00,1.000000000000000e+00,1.000000000000000e+00,2.916258023935948e-06,1.320557785011722e-06,9.999986794422150e-01,9.999977276713224e-01,9.999966592034126e-01,9.999945207553504e-01,9.999928571800837e-01,9.999899901554813e-01,9.999864022455636e-01,9.999833338835951e-01,9.999777972878628e-01,9.999756676570114e-01,1.111148473664006e-01,1.927809138375159e-01,1.968801587777487e-01,1.017024273376908e-01,1.111249260246586e-01,1.258389027701705e-01,1.019885336001897e-02,1.202217077297807e-01,1.195515832410395e-03,2.894174696360413e-02,false
