iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,p10_s2min,p10_s2max,p10_beta,p10_omm,p10_k,p10_t1,p10_t2,p10_t3,p10_t4,p10_t5,p10_t6,p10_t7,p10_t8,p10_t9,p10_t10,p10_w1,p10_w2,p10_w3,p10_w4,p10_w5,p10_w6,p10_w7,p10_w8,p10_w9,p10_w10,pn_s2min,pn_s2max,pn_beta,pn_omm,pn_k,pn_t1,pn_t2,pn_t3,pn_t4,pn_t5,pn_t6,pn_t7,pn_t8,pn_t9,pn_t10,pn_w1,pn_w2,pn_w3,pn_w4,pn_w5,pn_w6,pn_w7,pn_w8,pn_w9,pn_w10,c10_s2min,c10_s2max,c10_beta,c10_omm,c10_k,c10_t1,c10_t2,c10_t3,c10_t4,c10_t5,c10_t6,c10_t7,c10_t8,c10_t9,c10_t10,c10_w1,c10_w2,c10_w3,c10_w4,c10_w5,c10_w6,c10_w7,c10_w8,c10_w9,c10_w10,cn_s2min,cn_s2max,cn_beta,cn_omm,cn_k,cn_t1,cn_t2,cn_t3,cn_t4,cn_t5,cn_t6,cn_t7,cn_t8,cn_t9,cn_t10,cn_w1,cn_w2,cn_w3,cn_w4,cn_w5,cn_w6,cn_w7,cn_w8,cn_w9,cn_w10,chosen
1,1.000000000000000e+00,0,5,CONTINUE,1.000000000000000e+00,1.149939792443591e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.533052750126246e-02,1.392858367630851e+01,1.739905141048479e-01,,,2.747543518427213e+01,1.087243650865056e+01,1.891700817712429e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,5.126507931642882e-03,NaN,7.251635725772733e-03,NaN,,,3.836443905573636e+00,1.589304777884657e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.135793390697401e-02,9.172875301962212e-02,,3.979203415479231e-16,5.126507931642882e-03,3.979203415479231e-16,7.251635725772733e-03,,,5.126507931642882e-03,7.251635725772733e-03,,1.000000000000000e+00,1.469970134453080e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.533052750126246e-02,1.392858367630851e+01,4.392346025115652e-01,6.698559097652301e-02,10,9.330144090234770e-01,9.055226279541673e-01,7.965397107681803e-01,6.925503187991903e-01,5.000156199422409e-01,4.530756697661706e-01,3.426396425077773e-01,2.042639629196525e-01,9.828337116028098e-02,2.470474332115433e-02,2.128298917562632e-03,6.006385504095115e-04,2.738119587723034e-04,2.113586472605614e-04,9.884442759725197e-01,1.433283565645749e-03,6.738881718568629e-03,1.216932066401064e-04,3.976902151933961e-05,7.988441101205409e-06,9.896695557098835e-01,3.251706368363674e+00,3.026408341874877e-01,2.351996853406562e-01,2,7.648003146593438e-01,4.974039799069975e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.015368790913425e-02,9.898463120908656e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.363004652713455e-02,1.391917797833534e+01,4.389912709534727e-01,6.702782160331722e-02,10,9.329721783966828e-01,9.050356438446449e-01,7.945291691014702e-01,6.861645447481743e-01,4.999921365373228e-01,3.977611004849472e-01,3.392104980453785e-01,1.879851054343607e-01,9.083600938602029e-02,2.308455736259805e-02,2.216555530880486e-03,6.169499518449453e-04,2.846485233570315e-04,2.060074842586360e-04,9.865017536145744e-01,1.429666273887146e-03,8.342864953929288e-03,2.397976622832630e-04,1.245720090265137e-04,3.718399595814338e-05,9.987723053148451e-01,9.987723053148451e-01,4.079903440446197e-02,5.003071121912912e-01,1,4.996928878087087e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+00,0,4,CONTINUE,1.000000000000000e+00,1.149869296449507e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,1.022209184360725e-02,1.320649000863946e+01,1.739905324197114e-01,,,2.746987513745016e+01,1.088315252750443e+01,1.893565502665423e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.978991380927326e-03,NaN,1.303081142581390e-03,NaN,,,1.845073512975345e+00,7.647900239035107e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.339031233321280e-02,2.210225054966505e-02,,6.432414136573959e-16,2.978991380927326e-03,5.875542543168552e-16,1.303081142581390e-03,,,2.978991380927326e-03,1.303081142581390e-03,,5.623660146842564e-01,1.147281802554130e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,1.022209184360725e-02,1.320649000863946e+01,3.469207952019105e-01,2.338693229593147e-02,10,9.766130677040685e-01,9.298081612862261e-01,8.342648069556572e-01,7.596945482412777e-01,6.245496353696115e-01,5.030232335015421e-01,3.571787721580556e-01,2.208038340727642e-01,7.326062865671271e-02,3.131023696469205e-02,1.255403497965466e-03,2.445126074793814e-04,3.121444655653548e-04,9.879231664952516e-01,9.752912173193471e-03,2.853379407804824e-04,1.253041426226539e-04,7.397199657912506e-05,2.513477245162711e-05,2.111908109840967e-06,9.934612342386694e-01,9.934612342386694e-01,2.048169386470325e-02,2.414686457616494e-01,1,7.585313542383506e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.253656037619670e-03,1.319358870324606e+01,2.614262966608674e-01,2.340926578479008e-02,10,9.765907342152099e-01,9.282993949637639e-01,8.219148917324434e-01,7.596862559810287e-01,6.240180929738339e-01,4.919710352846115e-01,3.500318055253412e-01,2.186913246112774e-01,7.220006401381451e-02,2.842824813375084e-02,1.232448326318635e-03,2.394302759538632e-04,4.208080239666850e-04,9.854238334973088e-01,1.165641793539170e-02,4.080100384756262e-04,2.613524425254755e-04,2.277813385710030e-04,1.209243459757733e-04,8.993775513451242e-06,9.906368115441477e-01,9.906368115441477e-01,2.516121491482571e-02,2.419905016935352e-01,1,7.580094983064648e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+01,0,4,CONTINUE,1.000000000000000e+00,1.149940373800896e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.711036600715974e-03,1.190604950964896e+01,1.740130200886588e-01,,,2.746563702623486e+01,1.089242192118753e+01,1.895423234585753e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,5.155174286442492e-04,NaN,4.122631463879990e-04,NaN,,,6.990850839266486e-01,2.896901894469492e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.126207688642286e-02,6.832620839672555e-03,,3.234030769493836e-15,5.155174286442492e-04,4.675564013188097e-15,4.122631463879990e-04,,,5.155174286442492e-04,4.122631463879990e-04,,3.162277660168379e-01,1.048808848170152e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.711036600715974e-03,1.190604950964896e+01,1.502931943962437e-01,8.329134401755756e-03,10,9.916708655982442e-01,9.317916593723006e-01,9.090361570604715e-01,8.383039430318628e-01,7.262244733409261e-01,6.144294467814652e-01,4.664999866855412e-01,1.966211471819552e-01,8.407264458034658e-02,2.639479349483146e-02,1.015711650940779e-03,1.589374560559121e-03,9.844017819810560e-01,1.207613442233603e-02,3.365961343762241e-04,2.187524353457724e-04,2.200221575881363e-04,1.318830945235031e-04,9.615797561187316e-06,1.277657133904703e-07,9.866817452197617e-01,9.866817452197617e-01,1.535061618109368e-02,9.202326296534669e-02,1,9.079767370346533e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.676376293724615e-03,1.186019916770160e+01,1.238732618476867e-01,8.361064778089067e-03,10,9.916389352219109e-01,9.270633581263593e-01,9.090177167108022e-01,8.380036352955682e-01,7.231897019129385e-01,6.133458885246567e-01,4.664366253429261e-01,1.966163547124404e-01,8.403828645781981e-02,2.606613507734583e-02,1.015850745184146e-03,2.787844923985866e-03,9.821719567502427e-01,1.241898442099517e-02,3.815280018167167e-04,2.967155996691618e-04,4.101965853727806e-04,4.707784528743832e-04,4.546198811069115e-05,6.825317496873452e-07,9.817402745456542e-01,9.817402745456542e-01,2.246934112354402e-02,9.244363212971929e-02,1,9.075563678702807e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+01,0,3,CONTINUE,1.000000000000000e+00,1.152505386315130e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179686365e-03,1.067086836452368e+01,1.755162466879874e-01,,,2.743664204042004e+01,1.079901854660092e+01,1.895403203213358e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,2.624995320937622e-04,NaN,7.459215757296573e-03,NaN,,,2.360096148840926e-01,9.780054368581945e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,3.785487097078359e-03,9.780054368581945e-02,,7.046446413677501e-15,2.624995320937622e-04,7.467223909360245e-15,7.459215757296573e-03,,,2.624995320937622e-04,7.459215757296573e-03,,1.778357485073947e-01,1.015689693482801e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.665756179686365e-03,1.067086836452368e+01,5.956621938826991e-02,2.954970466657492e-03,10,9.970450295333425e-01,9.693435654685063e-01,9.433426562292031e-01,9.027056067254752e-01,8.434601259568862e-01,8.151727250035002e-01,7.342011633744514e-01,4.362512056076611e-01,2.248430865920616e-01,7.773853517677842e-02,9.639706169352286e-04,9.831246201574273e-01,1.385645495628995e-02,5.397688417650939e-04,3.292638465921972e-04,7.936402552248551e-05,4.753906665425987e-04,5.697871829355616e-04,6.040346513023135e-05,9.762408592601653e-07,9.710539327473041e-01,9.710539327473041e-01,1.578456743438802e-02,3.154103966683819e-02,1,9.684589603331618e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.665756179300442e-03,1.066642445193403e+01,5.838552098109731e-02,2.956197945539363e-03,10,9.970438020544606e-01,9.693435127008858e-01,9.433296202902799e-01,9.023919592985653e-01,8.429475828876147e-01,8.143529470159417e-01,7.342005052347560e-01,4.362512055644839e-01,2.248430865830595e-01,7.773853516639904e-02,9.631279623302087e-04,9.822042450332540e-01,1.390190234973263e-02,5.468474167366746e-04,3.520061955932268e-04,7.975900678431143e-05,5.652588470215804e-04,1.177424287269785e-03,2.047097703731774e-04,4.719130904653707e-06,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,1.142792617685755e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179196494e-03,1.006364641287941e+01,1.749925884560311e-01,,,2.693593377320213e+01,1.083784619509377e+01,1.896542758967806e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.816324706544413e-03,NaN,2.442934478892967e-03,NaN,,,7.629692279179758e-02,3.208578803952111e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.629692279179758e-02,3.208578803952111e-02,,2.168665861436181e-14,5.816324706544413e-03,2.138821835820087e-14,2.442934478892967e-03,,,5.816324706544413e-03,2.442934478892967e-03,,1.000000000000000e-01,1.004987562112089e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.665756179196494e-03,1.006364641287941e+01,1.154728393385776e-02,9.926892001306253e-04,10,9.990073107998694e-01,9.900976563587615e-01,9.811833420369975e-01,9.642909072220889e-01,9.421306487961838e-01,9.278930500272017e-01,8.972833961154175e-01,7.099188257760038e-01,4.784427827476272e-01,2.104695638760992e-01,9.531033118262985e-04,9.815075791342280e-01,1.419187563085749e-02,5.054087660430796e-04,4.189078464166569e-04,3.205597956470027e-05,6.790365498712864e-04,1.443530152652273e-03,2.616567063979725e-04,6.845922143004823e-06,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.665756179196494e-03,1.001138200067758e+01,1.110684522866244e-02,9.978663620769934e-04,10,9.990021336379230e-01,9.900975676757698e-01,9.811733769276760e-01,9.641774024718858e-01,9.420766312319395e-01,9.277511599493382e-01,8.972833677639748e-01,7.099188257759993e-01,4.784427827476275e-01,2.104695638760991e-01,9.296084634405680e-04,9.790783815477486e-01,1.449752129288561e-02,5.372747825471498e-04,4.751970437043908e-04,3.665581744454169e-05,8.640497133991706e-04,2.785140786185775e-03,7.664174482815358e-04,2.975310436264357e-05,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
1,3.162000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,1.147673809963749e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179196598e-03,9.763265167639858e+00,1.743296248578552e-01,,,2.729471411710256e+01,1.088805540658113e+01,1.898110614460831e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.851982330898466e-03,NaN,7.705363315586687e-04,NaN,,,2.431165722028063e-02,1.012296820224041e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.431165722028063e-02,1.012296820224041e-02,,1.034592888024600e-13,1.851982330898466e-03,4.864576175423360e-14,7.705363315586687e-04,,,1.851982330898466e-03,7.705363315586687e-04,,5.623660146842564e-02,1.001580029425866e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.665756179196598e-03,9.763265167639858e+00,3.116357809687370e-03,3.238190497509841e-04,10,9.996761809502490e-01,9.968468217383101e-01,9.939543802490376e-01,9.882358154354350e-01,9.808605607863993e-01,9.757938360786161e-01,9.650614683464622e-01,8.855625368451366e-01,7.436300944361044e-01,4.573805240605762e-01,9.541319939914313e-04,9.801538942913107e-01,1.427184507936682e-02,5.040458234243714e-04,4.446472286733772e-04,3.056610851564020e-05,7.737415181519490e-04,2.212626609962244e-03,6.226542478339399e-04,3.184709876915244e-05,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.665756179196589e-03,9.742023986190183e+00,3.079587399693442e-03,3.245248647872900e-04,10,9.996754751352127e-01,9.968468109064035e-01,9.939532972672674e-01,9.882251550748828e-01,9.808565487440289e-01,9.757840982888432e-01,9.650614669870773e-01,8.855625368451375e-01,7.436300944361021e-01,4.573805240605754e-01,9.460860117165123e-04,9.786410610880645e-01,1.436092183237237e-02,5.144119565139310e-04,4.639813225648999e-04,3.215932429641378e-05,8.432346185729930e-04,2.955711535259792e-03,1.143987762705538e-03,9.844454793370111e-05,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,1.149236102824207e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179196279e-03,9.650835386850725e+00,1.741204211800933e-01,,,2.740979328347425e+01,1.090510428738440e+01,1.898801351532212e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.868619334275817e-04,NaN,2.434296043952315e-04,NaN,,,7.707123828484165e-03,3.198021883948885e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.707123828484165e-03,3.198021883948885e-03,,1.797614255238820e-13,5.868619334275817e-04,2.066014848327490e-13,2.434296043952315e-04,,,5.868619334275817e-04,2.434296043952315e-04,,3.162277660168379e-02,1.000499875062461e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.665756179196279e-03,9.650835386850725e+00,9.475132973328531e-04,1.036072373719055e-04,10,9.998963927626281e-01,9.990007925324098e-01,9.980786509015108e-01,9.962326236637675e-01,9.938614547371063e-01,9.922017895296454e-01,9.886820371772879e-01,9.607429155352735e-01,9.017039790244907e-01,7.272049882435849e-01,9.550576120028159e-04,9.793776758461752e-01,1.428989691767867e-02,5.038949340144854e-04,4.532166938303058e-04,3.052685555589119e-05,8.079154454641958e-04,2.590909398392813e-03,9.108129534893391e-04,8.009334339631871e-05,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.665756179196291e-03,9.643191689564622e+00,9.610410548061496e-04,1.036893533630234e-04,10,9.998963106466370e-01,9.990007913138752e-01,9.980785333990814e-01,9.962315217801684e-01,9.938610695373632e-01,9.922008894046763e-01,9.886820370659083e-01,9.607429155352719e-01,9.017039790244922e-01,7.272049882435858e-01,9.523484777215817e-04,9.786964796071651e-01,1.431533601339509e-02,5.071186959025752e-04,4.594354284416928e-04,3.104012587248880e-05,8.310531881017513e-04,2.876430367843056e-03,1.177486400949134e-03,1.532716946072775e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,1.149732113411070e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179199448e-03,8.084379427651500e+00,1.740543250429974e-01,,,2.744634168868240e+01,1.091071516713762e+01,1.899057164152534e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.857251961306309e-04,NaN,7.696429134984994e-05,NaN,,,2.439514123865841e-03,1.011062015015963e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.439514123865841e-03,1.011062015015963e-03,,3.885692135215469e-13,1.857251961306309e-04,8.856525476842798e-13,7.696429134984994e-05,,,1.857251961306309e-04,7.696429134984994e-05,,1.778357485073947e-02,1.000158115267017e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.665756179199448e-03,8.084379427651500e+00,4.772051015497877e-03,3.911780317589209e-05,10,9.999608821968241e-01,9.996836873616405e-01,9.993830971690495e-01,9.987180932958292e-01,9.980183442107649e-01,9.974336156269815e-01,9.963927058125727e-01,9.872422896803409e-01,9.666734856378116e-01,8.939455760613041e-01,1.048269923416726e-03,9.794625926367624e-01,1.387889428337064e-02,4.390789144208039e-04,4.364828475356525e-04,1.863406566039632e-05,8.191118638408239e-04,2.731112656206163e-03,1.044997155441646e-03,1.208256533440900e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.665756179199420e-03,9.573230002781838e+00,7.071133248375039e-04,3.303431413381741e-05,10,9.999669656858662e-01,9.996837751480147e-01,9.993911882639930e-01,9.988019747189719e-01,9.980492611607179e-01,9.975177449790374e-01,9.963927159728287e-01,9.872422896803391e-01,9.666734856378081e-01,8.939455760613031e-01,9.563283123060776e-04,9.788018365340683e-01,1.429269839453538e-02,5.030789237464111e-04,4.576158105707269e-04,3.045978657626848e-05,8.265834686552558e-04,2.827293011306515e-03,1.144502351634118e-03,1.596034066021296e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,1.149889213382525e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179194857e-03,5.241650605126878e+00,1.740334249705201e-01,,,2.745791767929314e+01,1.091251821083468e+01,1.899142919284732e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,5.873900563542029e-05,NaN,2.433393328170692e-05,NaN,,,7.715899023317891e-04,3.196619981451205e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.715899023317891e-04,3.196619981451205e-04,,5.527534569397382e-12,5.873900563542029e-05,5.171161363575362e-12,2.433393328170692e-05,,,5.873900563542029e-05,2.433393328170692e-05,,1.000000000000000e-02,1.000049998750062e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.665756179194857e-03,5.241650605126878e+00,4.548737559144421e-03,1.907759592800762e-05,10,9.999809224040720e-01,9.998998705205168e-01,9.997979118492666e-01,9.995077626547429e-01,9.993322168371231e-01,9.988567804706577e-01,9.988063217303101e-01,9.959305109040852e-01,9.892164125369237e-01,9.638435228845403e-01,1.437294119806428e-03,9.803121076895887e-01,1.268372505086252e-02,4.281471837815001e-04,3.032279717121170e-04,8.217607158677692e-04,1.821626289256546e-06,2.777841887585732e-03,1.093693057767629e-03,1.403806967389722e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.665756179194755e-03,7.960004330220892e+00,1.627320732994816e-03,1.256264941407181e-05,10,9.999874373505859e-01,9.998999576842068e-01,9.998046317106900e-01,9.995920327437184e-01,9.993717635907278e-01,9.991848529190592e-01,9.988565528646723e-01,9.959305109040861e-01,9.892164125369239e-01,9.638435228845390e-01,1.056887076754854e-03,9.792893638847384e-01,1.384794552325835e-02,4.359025388476655e-04,4.360378271355138e-04,1.799337079969462e-05,8.250630920253920e-04,2.808870419197798e-03,1.126889615641781e-03,1.550466516012997e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,1.149938907315255e+00,1.000000000000000e-09,1.000000000000000e-01,1.417025217481179e-13,2.665756179176534e-03,4.100934752610607e+00,1.740268173945866e-01,,,2.746157935334462e+01,1.091309123156899e+01,1.899170534966720e+00,1.000000000000000e+00,1.000000010000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.857780574170511e-05,NaN,7.695523255557703e-06,NaN,,,2.440413767714595e-04,1.010911759257607e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.440413767714595e-04,1.010911759257607e-04,,7.526175716290740e-12,1.857780574170511e-05,3.785127216582888e-12,7.695523255557703e-06,,,1.857780574170511e-05,7.695523255557703e-06,,5.623660146842564e-03,1.000015812651704e+00,8.908435548585194e-01,3.214258980044127e-01,1.000000000000000e+00,1.000000000000000e+00,2.665756179176534e-03,4.100934752610607e+00,3.880965414031808e-03,7.711731950688083e-06,10,9.999922882680493e-01,9.999683103241815e-01,9.999348324987252e-01,9.998334371419617e-01,9.997825003994276e-01,9.996381043083803e-01,9.987094104977279e-01,9.983346021033672e-01,9.965642986071254e-01,9.882754624365223e-01,1.846233020545770e-03,9.806536653249549e-01,1.194177089655162e-02,4.598695469054794e-04,2.240492287973681e-04,8.241813534765508e-04,2.792866255167089e-03,1.555571716254472e-16,1.109802976276389e-03,1.475613973253848e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.665756179176636e-03,3.952920680507684e+00,5.779447807827818e-03,8.000489507220543e-06,10,9.999919995104928e-01,9.999683067773631e-01,9.999346490163880e-01,9.998323188000142e-01,9.997818025991910e-01,9.996381036616067e-01,9.987094104977281e-01,9.965642986071247e-01,9.944676687879450e-01,9.882754624365228e-01,1.927586317034003e-03,9.806629423948192e-01,1.182993052666715e-02,4.632555632552886e-04,2.156757697199271e-04,8.249078466609419e-04,2.802741680582068e-03,1.120482390675894e-03,9.289169118760293e-25,1.524775105859569e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
