iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,p10_s2min,p10_s2max,p10_beta,p10_omm,p10_k,p10_t1,p10_t2,p10_t3,p10_t4,p10_t5,p10_t6,p10_t7,p10_t8,p10_t9,p10_t10,p10_w1,p10_w2,p10_w3,p10_w4,p10_w5,p10_w6,p10_w7,p10_w8,p10_w9,p10_w10,pn_s2min,pn_s2max,pn_beta,pn_omm,pn_k,pn_t1,pn_t2,pn_t3,pn_t4,pn_t5,pn_t6,pn_t7,pn_t8,pn_t9,pn_t10,pn_w1,pn_w2,pn_w3,pn_w4,pn_w5,pn_w6,pn_w7,pn_w8,pn_w9,pn_w10,c10_s2min,c10_s2max,c10_beta,c10_omm,c10_k,c10_t1,c10_t2,c10_t3,c10_t4,c10_t5,c10_t6,c10_t7,c10_t8,c10_t9,c10_t10,c10_w1,c10_w2,c10_w3,c10_w4,c10_w5,c10_w6,c10_w7,c10_w8,c10_w9,c10_w10,cn_s2min,cn_s2max,cn_beta,cn_omm,cn_k,cn_t1,cn_t2,cn_t3,cn_t4,cn_t5,cn_t6,cn_t7,cn_t8,cn_t9,cn_t10,cn_w1,cn_w2,cn_w3,cn_w4,cn_w5,cn_w6,cn_w7,cn_w8,cn_w9,cn_w10,chosen
1,1.000000000000000e+00,0,4,CONTINUE,1.000000000000000e+00,7.738804742394194e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.066924905533634e+00,1.507550656697519e+01,9.618495802162804e-01,,,3.386994627200461e+00,6.369916590626569e-01,6.126901598706885e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.031881666940016e-03,NaN,4.045415834754706e-04,NaN,,,5.822203319446864e-01,1.149365907845376e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.887688318257273e-03,8.545154559103916e-04,,1.796843900359263e-15,2.031881666940016e-03,2.156212680431115e-15,4.045415834754706e-04,,,2.031881666940016e-03,4.045415834754706e-04,,1.000000000594259e+00,1.351910084264463e+00,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.066924905533634e+00,1.507550656697519e+01,4.139849134060535e-02,6.220643783968560e-02,10,9.377935621603144e-01,9.370597815734064e-01,9.355122175672268e-01,7.347559574902859e-01,7.334923148626606e-01,7.310422401236243e-01,5.313088860805735e-01,5.288911361903453e-01,5.185197266344840e-01,5.161894864575052e-01,3.315662880910506e-04,2.066880771767752e-04,2.609613252169663e-05,4.645955995459274e-01,4.128134675647585e-01,1.217331668558822e-01,8.979088664235169e-05,1.598767779025877e-05,7.320489418975441e-05,1.144320770206347e-04,2.757056689414239e+00,2.757056689414239e+00,7.191427559900852e-03,2.661658001641465e-01,1,7.338341998358535e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.071342462388577e+00,1.507455016586691e+01,8.685307673784194e-02,6.221013898873662e-02,10,9.377898610112634e-01,9.367382448886689e-01,9.355041270713180e-01,7.347612004169880e-01,7.334718839326191e-01,7.310437110928311e-01,5.429812463225313e-01,5.286508483668596e-01,5.209641748353608e-01,5.172213102574812e-01,2.259612211795957e-04,2.676589664264758e-04,4.185020251485744e-05,4.692935691633532e-01,4.109891183780257e-01,1.190461797871640e-01,7.448927884375594e-09,1.119663985710551e-05,2.921221072587190e-05,9.524598182690202e-05,2.757531267589285e+00,2.757531267589285e+00,6.368989494057040e-03,2.661321832836188e-01,1,7.338678167163812e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+00,0,3,CONTINUE,1.000000000000000e+00,7.696924017551252e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065843542224244e+00,1.504404622614160e+01,9.618243043377900e-01,,,3.398843237521139e+00,6.531021119684044e-01,6.281694845055520e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,4.002184285238908e-04,NaN,1.761162961654872e-02,NaN,,,2.251042359052487e-01,4.444865711769338e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.743379325355612e-04,4.444865711769338e-02,,5.570216091113714e-15,4.002184285238908e-04,5.749900481149640e-15,1.761162961654872e-02,,,4.002184285238908e-04,1.761162961654872e-02,,5.623660150184473e-01,9.083381663236988e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065843542224244e+00,1.504404622614160e+01,1.942182937113878e-02,2.058914853370841e-02,10,9.794108514662916e-01,9.789212163189199e-01,9.760131163448570e-01,8.975301434869649e-01,8.969310100322844e-01,8.957721416540718e-01,7.817850774372996e-01,7.778964162883367e-01,7.725380019276730e-01,7.711773780879292e-01,3.387757264233470e-04,7.331873669782260e-05,1.974673591546270e-08,4.666876079690321e-01,4.106611885387365e-01,1.218058793239726e-01,1.445553170513185e-04,1.318383589619698e-05,1.531651937044962e-04,1.223056117484561e-04,2.755700724384829e+00,2.755700724384829e+00,3.258032247607472e-03,1.029492309859766e-01,1,8.970507690140234e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.071358155014021e+00,1.504078829996497e+01,1.781711083909024e-02,2.059351642681895e-02,10,9.794064835731811e-01,9.789401568035146e-01,9.765054877221891e-01,8.975324845926045e-01,8.969208715759476e-01,8.957725575015831e-01,7.815279561156037e-01,7.780471467387388e-01,7.739597648570380e-01,7.720867581026609e-01,2.543271158598642e-04,1.680051981486348e-04,4.742812828048447e-08,4.702486528287529e-01,4.088960274047603e-01,1.198947898108842e-01,4.387866731686832e-05,3.607770817292792e-05,9.476336304183091e-05,3.634304749334412e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+01,0,2,CONTINUE,1.000000000000000e+00,7.688266216331838e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065752722184525e+00,1.504105473195577e+01,9.621222500255583e-01,,,3.391973652751084e+00,6.382046879666152e-01,6.140309303632991e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.950561758337056e-02,NaN,5.088689276795400e-03,NaN,,,7.656873222156378e-02,1.276956497133812e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.656873222156378e-02,1.276956497133812e-02,,1.383569803276632e-14,2.950561758337056e-02,1.707001705341299e-14,5.088689276795400e-03,,,2.950561758337056e-02,5.088689276795400e-03,,3.162277662047591e-01,7.748759654865758e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065752722184525e+00,1.504105473195577e+01,2.186689138577563e-02,6.604559706725466e-03,10,9.933954402932745e-01,9.932294147067341e-01,9.849614773171098e-01,9.651567198633422e-01,9.649360155294493e-01,9.645130736529188e-01,9.188980667526648e-01,9.171445843050496e-01,9.148171339906459e-01,9.142185147012926e-01,3.065844761684098e-04,5.983110267633838e-05,6.336718120578527e-11,4.717542857895765e-01,4.062387321187881e-01,1.211180103674401e-01,1.728522846391798e-04,1.598857762884735e-05,1.896832204648157e-04,1.440319992507863e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.071809007248949e+00,1.503751935426635e+01,1.164506558050450e-02,6.606102206027309e-03,10,9.933938977939727e-01,9.932412762108345e-01,9.905908574247556e-01,9.651583922767265e-01,9.649334564194049e-01,9.645139075857428e-01,9.185647415492446e-01,9.172296499577570e-01,9.156441580433071e-01,9.146618609505575e-01,3.294736372888793e-04,1.958900692966703e-04,1.075925820356162e-09,4.725711376598561e-01,4.071986052307405e-01,1.190810267765486e-01,2.941214837907911e-05,3.891950111644147e-05,1.016430778413743e-04,4.538908230068662e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
1,3.162000000000000e+01,0,2,CONTINUE,1.000000000000000e+00,7.723206891415661e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065721748889760e+00,1.504077382654947e+01,9.619229942252754e-01,,,3.388743375315711e+00,6.375551007267938e-01,6.132789114747144e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,9.559546189869206e-03,NaN,1.847074491426959e-03,NaN,,,2.480947613195927e-02,4.652891391157135e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.480947613195927e-02,4.652891391157135e-03,,3.863214385772415e-14,9.559546189869206e-03,4.608904604421508e-14,1.847074491426959e-03,,,9.559546189869206e-03,1.847074491426959e-03,,1.778357486130751e-01,7.275942058345887e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065721748889760e+00,1.504077382654947e+01,1.033334278479017e-02,2.098242797968664e-03,10,9.979017572020313e-01,9.978485881936300e-01,9.918273031976234e-01,9.887109007860374e-01,9.886362967435678e-01,9.884971714816015e-01,9.728451448117600e-01,9.722165946251558e-01,9.713929205572472e-01,9.711799961782067e-01,2.951827151628539e-04,5.707897688703768e-05,6.545973954628272e-10,4.851932059895797e-01,3.950261116478584e-01,1.188681329796407e-01,1.846773081442092e-04,1.717592038160325e-05,2.052239680533951e-04,1.532098396932059e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.071300006811513e+00,1.503461788151333e+01,1.022576214662293e-02,2.099100122980868e-03,10,9.979008998770191e-01,9.978516634037354e-01,9.922789811325344e-01,9.887111092924312e-01,9.886346353923492e-01,9.884970003181608e-01,9.728006808414389e-01,9.722345048566030e-01,9.716044420732298e-01,9.713257588846093e-01,2.554183369613077e-04,1.489152351053680e-04,4.666490397537289e-10,4.902438522021967e-01,3.923085774071320e-01,1.162423128954901e-01,6.283809915351864e-05,5.484381054370512e-05,1.465364503832979e-04,5.367050963857974e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,7.735004943609225e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065710372499551e+00,1.504071703603663e+01,9.618590905476669e-01,,,3.387564144316387e+00,6.371869822101316e-01,6.128840912174496e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,3.046294213893130e-03,NaN,6.091976074253935e-04,NaN,,,7.906118912416028e-03,1.536272365192157e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.906118912416028e-03,1.536272365192157e-03,,1.920826129484052e-13,3.046294213893130e-03,1.744735427248844e-13,6.091976074253935e-04,,,3.046294213893130e-03,6.091976074253935e-04,,1.000000000594259e-01,7.119720808804006e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065710372499551e+00,1.504071703603663e+01,3.611382735806976e-03,6.644201718799536e-04,10,9.993355798281200e-01,9.993187074676766e-01,9.968662161339740e-01,9.964021436408553e-01,9.963772848537219e-01,9.963334643419931e-01,9.912511690218158e-01,9.910439775447437e-01,9.907737929949560e-01,9.907038174441288e-01,2.915436992663041e-04,5.627258193633837e-05,4.046421229534143e-08,5.106160990873615e-01,3.741080546161374e-01,1.143544907800021e-01,1.888062625978819e-04,1.759456359363032e-05,2.107459901689367e-04,1.563519547248791e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.070945875522758e+00,1.503419152598964e+01,3.842329447001236e-03,6.647083681914356e-04,10,9.993352916318086e-01,9.993196481023013e-01,9.965006546560311e-01,9.963993878260436e-01,9.963647994131076e-01,9.963278575883441e-01,9.912392497281738e-01,9.910439205786409e-01,9.908293495742317e-01,9.907488430027416e-01,2.359076136664554e-04,1.377873153490413e-04,1.714145668190025e-04,6.571779973049718e-01,2.721499884044525e-01,6.925417122222370e-02,8.008748901739024e-05,6.098895563383579e-05,1.858157031457362e-04,5.458414247196307e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+02,0,2,CONTINUE,1.000000000000000e+00,7.729050125070862e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065706524328776e+00,1.504070132076802e+01,9.619515673883918e-01,,,3.387174592496078e+00,6.370532496093728e-01,6.128143719716045e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,9.657880281817022e-04,NaN,1.952228306012493e-04,NaN,,,2.506553095203954e-03,4.924757062091454e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.506553095203954e-03,4.924757062091454e-04,,4.096354881844029e-13,9.657880281817022e-04,5.171765956209047e-13,1.952228306012493e-04,,,9.657880281817022e-04,1.952228306012493e-04,,5.623660150184473e-02,7.069419961694137e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065706524328776e+00,1.504070132076802e+01,1.173843235465030e-03,2.102222787152552e-04,10,9.997897777212847e-01,9.997844358377272e-01,9.989468968245665e-01,9.988591849470659e-01,9.988509209522535e-01,9.988373331935109e-01,9.972164814058538e-01,9.971500722511348e-01,9.970636185689181e-01,9.970412135547184e-01,2.903917821969530e-04,5.602214989369243e-05,6.992976323802798e-07,5.387696296052747e-01,3.512896735441668e-01,1.090157658155349e-01,1.901550883420550e-04,1.773190659157848e-05,2.125638376800782e-04,1.573669726864401e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.070819117846889e+00,1.503407413459136e+01,1.256923126696282e-03,2.103149275315408e-04,10,9.997896850724685e-01,9.997847304885641e-01,9.988605939189590e-01,9.988539483300636e-01,9.988386232967067e-01,9.987602102983392e-01,9.972128846736175e-01,9.971495555823592e-01,9.970801070245054e-01,9.970552985924609e-01,2.301185662922877e-04,1.345182846895682e-04,3.247993210307337e-01,5.304999436781687e-01,1.434372655842724e-01,1.712827769643680e-06,8.609215290176318e-05,6.288094270930295e-05,2.016433396879954e-04,5.465035927743173e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,7.755835333480179e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065705277880377e+00,1.504069654891072e+01,9.616518013535140e-01,,,3.387027894778071e+00,6.370194721203597e-01,6.125909228618085e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,3.056210313387986e-04,NaN,6.198307870564079e-05,NaN,,,7.931940920982186e-04,1.563765162191546e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.931940920982186e-04,1.563765162191546e-04,,1.526059524575122e-12,3.056210313387986e-04,1.766477238443191e-12,6.198307870564079e-05,,,3.056210313387986e-04,6.198307870564079e-05,,3.162277662047591e-02,7.053209382947547e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065705277880377e+00,1.504069654891072e+01,3.742203477345451e-04,6.648186238489284e-05,10,9.999335181376151e-01,9.999318284468074e-01,9.996606577107543e-01,9.996389597203397e-01,9.996362630492708e-01,9.996320323799913e-01,9.991181728249100e-01,9.990970845436149e-01,9.990696462130304e-01,9.990625339344087e-01,2.900273669887346e-04,5.594334775430305e-05,2.633211030271028e-06,5.560896299860922e-01,3.374702884949762e-01,1.055122790835788e-01,1.905861944045423e-04,1.777586975289611e-05,2.131464377150252e-04,1.576900077073192e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.070777838371398e+00,1.503404298386936e+01,4.009111146172633e-04,6.651128307866294e-05,10,9.999334887169213e-01,9.999319213928030e-01,9.996393415251535e-01,9.996371794981911e-01,9.996324083210415e-01,9.995958698275266e-01,9.991170515223540e-01,9.990968734422656e-01,9.990747546630088e-01,9.990669708178334e-01,2.283646967514279e-04,1.335297604120661e-04,3.679455037631358e-01,4.937759086931808e-01,1.370113971373891e-01,2.245061273201941e-07,8.803881938854245e-05,6.347720367842520e-05,2.070008387733798e-04,5.465545811629566e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+03,0,2,CONTINUE,1.000000000000000e+00,7.732580859483654e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065704880696793e+00,1.504069505945989e+01,9.619207703138021e-01,,,3.387010017025687e+00,6.369950710741497e-01,6.127387894537412e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,9.667825095371896e-05,NaN,1.962953771350584e-05,NaN,,,2.509142812386938e-04,4.952490259777940e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.509142812386938e-04,4.952490259777940e-05,,4.293378815518422e-12,9.667825095371896e-05,3.967611016383288e-12,1.962953771350584e-05,,,9.667825095371896e-05,1.962953771350584e-05,,1.778357486130751e-02,7.047910715629424e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065704880696793e+00,1.504069505945989e+01,1.186501137361533e-04,2.102621478361488e-05,10,9.999789737852164e-01,9.999784393525335e-01,9.998920452091656e-01,9.998857864500669e-01,9.998849220799604e-01,9.998835934403816e-01,9.997209490077786e-01,9.997142707092255e-01,9.997055829857362e-01,9.997033308968057e-01,2.899121411379653e-04,5.591847177919932e-05,4.295851579559827e-06,5.632748859924599e-01,3.317949437088401e-01,1.040004072979872e-01,1.907229541525843e-04,1.778982307250100e-05,2.133314214741870e-04,1.577923375158841e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.070764490058471e+00,1.503402692270821e+01,1.271161401246932e-04,2.103554047705458e-05,10,9.999789644595229e-01,9.999784687028925e-01,9.998859056533848e-01,9.998852169128208e-01,9.998837131030405e-01,9.998709550900329e-01,9.997205960488016e-01,9.997141992631978e-01,9.997071880416437e-01,9.997047323128783e-01,2.277606265460040e-04,1.331894517268221e-04,3.767589184455749e-01,4.862993684485887e-01,1.356731137095880e-01,1.328751616787398e-07,8.867050533397604e-05,6.366098641522021e-05,2.087229332122177e-04,5.464620178516218e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,7.732053056620111e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065704754762621e+00,1.504069458876464e+01,9.619276276377050e-01,,,3.386997454627500e+00,6.369905901306743e-01,6.127388471919413e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,3.057205475842650e-05,NaN,6.209441545834693e-06,NaN,,,7.934532424284788e-05,1.566644992602536e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,7.934532424284788e-05,1.566644992602536e-05,,1.159467432023825e-11,3.057205475842650e-05,1.678360013569573e-11,6.209441545834693e-06,,,3.057205475842650e-05,6.209441545834693e-06,,1.000000000594259e-02,7.046177176516762e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065704754762621e+00,1.504069458876464e+01,3.754711649009036e-05,6.648584914170641e-06,10,9.999933514150858e-01,9.999931824216132e-01,9.999658011568364e-01,9.999638823718999e-01,9.999636077628490e-01,9.999631887015978e-01,9.999117472347555e-01,9.999096346540229e-01,9.999068865747794e-01,9.999061741847621e-01,2.898756963821831e-04,5.591060772811615e-05,5.058090374441577e-06,5.657730562219593e-01,3.298303841964059e-01,1.034659399623693e-01,1.907662545156955e-04,1.779424160880869e-05,2.133900070676796e-04,1.578247215902009e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.070760296807441e+00,1.503402336849647e+01,4.022587958598854e-05,6.651535147672583e-06,10,9.999933484648523e-01,9.999931916994595e-01,9.999639200307643e-01,9.999637017879974e-01,9.999632267358607e-01,9.999590724556637e-01,9.999116357869774e-01,9.999096115946562e-01,9.999073930516121e-01,9.999066171373632e-01,2.275827086428698e-04,1.330892359084684e-04,3.792181204412943e-01,4.842152729773100e-01,1.352975086493805e-01,1.137124671057555e-07,8.886830371271733e-05,6.372007995669467e-05,2.092725641704294e-04,5.464513271582566e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+04,0,2,CONTINUE,1.000000000000000e+00,7.731886747638279e-02,1.000000000000000e-09,1.000000000000000e-01,9.585011954958314e-14,1.065704714926663e+00,1.504069444677731e+01,9.619297892607750e-01,,,3.386993481014188e+00,6.369891715621874e-01,6.127388595622106e-01,1.000000001188518e+00,2.000000000000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,9.668820703190306e-06,NaN,1.964028452317024e-06,NaN,,,2.509402079101333e-05,4.955269134386948e-06,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.509402079101333e-05,4.955269134386948e-06,,4.681820529898088e-11,9.668820703190306e-06,3.851858332322144e-11,1.964028452317024e-06,,,9.668820703190306e-06,1.964028452317024e-06,,5.623660150184473e-03,7.045618626606971e-01,8.771162286859965e+00,7.963810900923209e+00,1.000000000000000e+00,1.000000000000000e+00,1.065704714926663e+00,1.504069444677731e+01,1.187747378869454e-05,2.102661353919899e-06,10,9.999978973386461e-01,9.999978438929398e-01,9.999891780763323e-01,9.999885772682402e-01,9.999884902870313e-01,9.999883578663408e-01,9.999720878901226e-01,9.999714196844671e-01,9.999705504870620e-01,9.999703251618192e-01,2.898641709935605e-04,5.590812507270340e-05,5.331028327814867e-06,5.665877170533159e-01,3.291907331777952e-01,1.032906273553738e-01,1.907799491974302e-04,1.779563905291943e-05,2.134085379224315e-04,1.578349629489062e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.070758969724311e+00,1.503402224797190e+01,1.272480952333469e-05,2.103594527014252e-06,10,9.999978964054730e-01,9.999978468268360e-01,9.999885891783348e-01,9.999885201125510e-01,9.999883699183765e-01,9.999870440711961e-01,9.999720526598986e-01,9.999714123450641e-01,9.999707105590766e-01,9.999704652304693e-01,2.275264904253660e-04,1.330575739155936e-04,3.799681087156380e-01,4.835798727201708e-01,1.351827620873996e-01,1.083426213479285e-07,8.893089888346456e-05,6.373875830809112e-05,2.094466900496527e-04,5.464477225875883e-04,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
