iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,p10_s2min,p10_s2max,p10_beta,p10_omm,p10_k,p10_t1,p10_t2,p10_t3,p10_t4,p10_t5,p10_t6,p10_t7,p10_t8,p10_t9,p10_t10,p10_w1,p10_w2,p10_w3,p10_w4,p10_w5,p10_w6,p10_w7,p10_w8,p10_w9,p10_w10,pn_s2min,pn_s2max,pn_beta,pn_omm,pn_k,pn_t1,pn_t2,pn_t3,pn_t4,pn_t5,pn_t6,pn_t7,pn_t8,pn_t9,pn_t10,pn_w1,pn_w2,pn_w3,pn_w4,pn_w5,pn_w6,pn_w7,pn_w8,pn_w9,pn_w10,c10_s2min,c10_s2max,c10_beta,c10_omm,c10_k,c10_t1,c10_t2,c10_t3,c10_t4,c10_t5,c10_t6,c10_t7,c10_t8,c10_t9,c10_t10,c10_w1,c10_w2,c10_w3,c10_w4,c10_w5,c10_w6,c10_w7,c10_w8,c10_w9,c10_w10,cn_s2min,cn_s2max,cn_beta,cn_omm,cn_k,cn_t1,cn_t2,cn_t3,cn_t4,cn_t5,cn_t6,cn_t7,cn_t8,cn_t9,cn_t10,cn_w1,cn_w2,cn_w3,cn_w4,cn_w5,cn_w6,cn_w7,cn_w8,cn_w9,cn_w10,chosen
1,1.000000000000000e+00,0,11,CONTINUE,1.614378678768366e+07,2.011899723269756e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,5.596750017986673e-11,5.683997927021087e+07,8.909248957011866e-01,,,4.346798158356123e+03,7.909225874275433e+03,7.046526237115966e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,6,0,0,5,0,0,,,,1.858964666982576e-06,NaN,1.619882643629576e-06,NaN,,,6.895624771442410e+03,1.072611118298677e+03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.025101878581311e-02,6.226314043258566e-02,,2.302439809026092e-16,1.858964666982576e-06,2.762927770831310e-16,1.619882643629576e-06,,,1.858964666982576e-06,1.619882643629576e-06,,1.787714797851144e-01,3.764991657270379e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,5.596750017986673e-11,5.683997927021087e+07,5.372194133245993e-01,1.759325030104009e-08,10,9.999999824067497e-01,9.999995401158031e-01,9.999945259206110e-01,6.136137762109080e-01,6.094386546974933e-01,4.559250926323072e-01,2.449885136814140e-01,2.065569434657642e-01,1.007470596365594e-08,5.596750017673438e-11,8.469363367715671e-01,2.792469559621762e-03,7.717250044869697e-05,2.532579855060619e-28,7.204104300132132e-02,2.590421223142620e-02,5.891158238814540e-03,4.635760762069079e-02,5.583625564279187e-11,2.027537972476630e-11,2.603296240248433e-01,5.116874179181036e+07,1.529821011451398e-03,1.954318096242247e-08,5,9.999999804568190e-01,6.094386502962970e-01,4.559250267930264e-01,2.449864204269956e-01,2.065567761499446e-01,NaN,NaN,NaN,NaN,NaN,8.498059788452174e-01,7.204104934908580e-02,2.590421735022664e-02,5.891633162829455e-03,4.635712129264126e-02,NaN,NaN,NaN,NaN,NaN,3.948402933421199e-11,4.847843745783726e+05,1.568728115229517e-01,2.062768500121770e-06,10,9.999979372314999e-01,9.999945270009116e-01,9.997703299964089e-01,6.094386546974931e-01,5.858351253034400e-01,4.559250926323074e-01,2.449885136814139e-01,2.065569434657640e-01,1.006808976990594e-08,3.948402933265300e-11,7.869784671939441e-13,1.931404601253628e-11,2.310520213934662e-21,1.074181625181592e-01,3.839999985797182e-30,5.911745786901873e-02,3.380161062127555e-01,4.954482716577958e-01,8.833014341790649e-10,8.388671820241977e-10,2.603296235780590e-01,1.560417268481620e+00,1.325657164007026e-03,3.905613402588166e-01,4,6.094386597411834e-01,4.559250541990528e-01,2.449881888574758e-01,2.065567758686705e-01,NaN,NaN,NaN,NaN,NaN,NaN,1.074181558040034e-01,5.911751002830316e-02,3.380208918830133e-01,4.954434422846805e-01,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+00,0,11,CONTINUE,1.614378678768366e+07,2.011900523999854e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,3.311473898871314e-11,5.679856670356484e+07,8.909248852421618e-01,,,4.346873828109667e+03,7.909226032194904e+03,7.046526295087565e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,6,0,0,5,0,0,,,,1.860477850122469e-06,NaN,1.242725951282489e-06,NaN,,,2.482888076477119e+03,6.919912757065093e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.018293399179916e-02,4.451679563476654e-02,,4.835123598954793e-16,1.860477850122469e-06,6.446831465273057e-16,1.242725951282489e-06,,,1.860477850122469e-06,1.242725951282489e-06,,1.487841391034180e-01,2.936848076249460e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,3.311473898871314e-11,5.679856670356484e+07,5.400125361747242e-02,5.568019600943330e-09,10,9.999999944319804e-01,9.999998530863327e-01,9.999982684350850e-01,8.314807250649956e-01,7.260048579129532e-01,5.064204227079214e-01,4.555356913618028e-01,4.515027242073309e-01,3.183006152634083e-08,1.047088046713470e-10,6.534120055685866e-01,2.113526064749535e-03,5.948487552868025e-05,1.034507386813271e-01,5.067242379525008e-02,1.941962729242741e-02,2.055931147604194e-27,1.708721931350699e-01,4.313858653428038e-10,1.556761702032974e-10,2.603143722655672e-01,2.746630645936406e+06,2.110452170700881e-02,1.151430748524973e-07,5,9.999998848569251e-01,8.314538225819362e-01,7.259048690430617e-01,5.061167841673965e-01,4.514879622118723e-01,NaN,NaN,NaN,NaN,NaN,6.555870068352303e-01,1.035055919322921e-01,5.062945254897836e-02,1.953308109008263e-02,1.707448675934168e-01,NaN,NaN,NaN,NaN,NaN,3.770567614983471e-11,4.841084607150180e+05,8.522883008966417e-02,6.532737052422632e-07,10,9.999993467262948e-01,9.999982690895625e-01,8.314807250649949e-01,8.094837987824439e-01,7.260048579129539e-01,5.104923983697239e-01,5.064204227079224e-01,4.515027242073291e-01,3.182996072013970e-08,1.192253479715627e-10,1.894363074982424e-13,4.640904164820227e-12,4.804858603063380e-02,5.902653952644639e-30,3.602208036079564e-02,4.097634251252127e-28,3.470773523767911e-01,5.688519770892601e-01,2.122931891084344e-09,2.014756594099994e-09,2.603200508748720e-01,1.560287920749013e+00,1.116758536143949e-02,1.685308877830546e-01,4,8.314691122169454e-01,7.259303066876350e-01,5.063912355911124e-01,4.514933644273679e-01,NaN,NaN,NaN,NaN,NaN,NaN,4.806620754584254e-02,3.601890466387368e-02,3.473118223497134e-01,5.686030654405703e-01,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+01,0,9,CONTINUE,1.614378678768366e+07,2.011880678127577e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,3.311389140996739e-11,5.327171865911397e+07,8.909237277118464e-01,,,4.346905312876644e+03,7.909261778787318e+03,7.046548987406026e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,5,0,0,4,0,0,,,,1.999713674070235e-06,NaN,3.400334991690822e-06,NaN,,,9.109187465402790e+02,3.363729142894308e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.876519630748405e-02,9.611392045263284e-02,,1.726829856769569e-15,1.999713674070235e-06,1.197268700693568e-15,3.400334991690822e-06,,,1.999713674070235e-06,3.400334991690822e-06,,1.137595490130770e-01,2.420050784556574e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,3.311389140996739e-11,5.327171865911397e+07,1.551906593853414e-02,1.877168642749893e-09,10,9.999999981228314e-01,9.999995673683243e-01,9.999974602424783e-01,9.397741737034464e-01,8.933881697743364e-01,7.644193947258888e-01,7.224765337756720e-01,7.222440640982647e-01,1.006643212137878e-07,3.311389139900209e-10,4.868892326025729e-01,8.697147557920523e-05,2.238811279648077e-08,9.816461616362443e-02,5.699696838521309e-02,3.286704048018724e-02,3.249951441431793e-01,7.079261561049676e-24,3.204947234271095e-09,1.156583710714013e-09,2.605656591580606e-01,2.067462702367757e+02,1.515319116289374e-01,4.834508250283198e-04,4,9.995165491749717e-01,9.208671240908745e-01,7.784173193552698e-01,7.226580028904994e-01,NaN,NaN,NaN,NaN,NaN,NaN,4.995063507582995e-01,1.378522739311435e-01,3.229234630771805e-02,3.303490290028387e-01,NaN,NaN,NaN,NaN,NaN,NaN,3.770557582570368e-11,4.829901034686000e+05,8.589610508676214e-01,2.070435368706214e-07,10,9.999997929564631e-01,9.999994526659456e-01,9.397741737034460e-01,8.933881697743364e-01,7.644193947258885e-01,7.298407760998263e-01,7.224765337756730e-01,3.445524300485590e-02,1.006640054472345e-07,3.770557581148658e-10,8.038428266994101e-14,1.963506850812750e-12,2.597384154061075e-02,2.307791437054495e-02,3.346280783449091e-01,6.240356649354536e-28,6.163201482306324e-01,4.475153646579623e-36,8.984563608669729e-09,8.526695429787090e-09,2.624720902360722e-01,1.312225531548830e+00,5.298012990377316e-02,7.081021959029943e-02,3,9.291897804097006e-01,7.722588885845992e-01,7.241166901019286e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.213864399536202e-02,2.771357982193351e-01,6.807255577853031e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+01,0,7,CONTINUE,1.614378678768366e+07,2.011864510512856e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,3.311362321679016e-11,5.319657557929395e+07,8.909247588086858e-01,,,4.346960490427977e+03,7.909306031099406e+03,7.046596568101322e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,3,0,0,,,,2.072745192819712e-06,NaN,1.932503312230998e-06,NaN,,,3.158172126947599e+02,1.289510528182673e+02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.197659193442362e-02,9.174478917034595e-02,,7.068490213710102e-15,2.072745192819712e-06,5.065367579857402e-15,1.932503312230998e-06,,,2.072745192819712e-06,1.932503312230998e-06,,7.836431328107246e-02,2.097691905121062e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,3.311362321679016e-11,5.319657557929395e+07,9.701827991028226e-01,5.945035574939084e-10,10,9.999999994054964e-01,9.999998572767572e-01,9.801352365222812e-01,9.636323928788133e-01,9.503601706474020e-01,9.111912959075769e-01,8.916767808949433e-01,1.829618365040674e-05,3.183005112911595e-07,1.047052765018586e-09,4.051350511113072e-01,6.707664337725522e-05,8.884723616007340e-02,5.517700192864936e-02,1.275697519102112e-25,3.885798586898814e-02,4.119156120026557e-01,1.388975857624194e-21,2.666296179484428e-08,9.621986308327948e-09,2.549385050771826e-01,1.124646665846744e+01,2.073113453728296e-01,2.804158083915542e-03,3,9.971958419160845e-01,9.234984458253475e-01,8.896387997502623e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.050400475591601e-01,1.239827697446420e-01,3.709771826961981e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.609477102044665e-11,1.910422921134686e+05,8.475034615640968e-01,1.655421313362382e-07,10,9.999998344578687e-01,9.999996994390578e-01,9.801352365222801e-01,9.636323928788140e-01,9.111912959075793e-01,8.971183435870920e-01,8.916767808949422e-01,3.183007164327578e-07,8.877509372133648e-09,1.141316658363919e-09,1.356784660737653e-12,3.423329999081824e-14,1.922634960240589e-02,1.827468852018330e-02,3.235772547391981e-01,8.248508333061882e-27,6.389215879835629e-01,6.113309138238946e-08,4.012297724301997e-10,5.761893698270429e-08,2.718953922490419e-01,6.724734217012578e-01,3.724245996180099e-02,4.491634637093145e-02,2,9.550836536290686e-01,8.958043789213904e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.776167620138896e-02,9.122383237986111e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+02,0,6,CONTINUE,1.614378678768366e+07,2.011898961074331e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,2.118927647345864e-11,5.319624742380289e+07,8.909249573247716e-01,,,4.346872115658924e+03,7.909287656488284e+03,7.046581767826167e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,3,0,0,,,,2.013670149203168e-06,NaN,1.410875030675617e-06,NaN,,,1.037329447551162e+02,4.374428636012098e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.095467634075331e-02,4.527202709076965e-02,,1.627824944981447e-14,2.013670149203168e-06,1.257132135728246e-14,1.410875030675617e-06,,,2.013670149203168e-06,1.410875030675617e-06,,4.863345740488004e-02,1.936470067303317e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,2.118927647345864e-11,5.319624742380289e+07,4.123405862193578e-03,1.879831845741364e-10,10,9.999999998120168e-01,9.999999548709154e-01,9.936322655059573e-01,9.882072997568301e-01,9.701031287502527e-01,9.634207559479876e-01,9.630081601128110e-01,1.006642858205124e-06,4.612374284581978e-09,2.118927642856009e-09,3.754583173399453e-01,6.216302317266962e-05,8.462237275859606e-02,5.377660035584771e-02,4.081867298558047e-02,5.013299517447960e-24,4.452615372079133e-01,2.471412496713031e-07,4.276359585418892e-08,4.642409980651808e-08,2.620596902847319e-01,4.908065103654453e+00,3.288457073573965e-02,2.033319972232439e-03,2,9.979666800277676e-01,9.632433603466423e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.152700024753847e-01,4.847299975246152e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.753774762483482e-11,1.874942198920955e+05,3.659000712975885e-03,5.333497465898063e-08,10,9.999999466650253e-01,9.999992190319095e-01,9.936322655059568e-01,9.882072997568292e-01,9.701031287502534e-01,9.637342606449812e-01,9.630081601128108e-01,1.006642858165014e-06,7.621253214020178e-09,2.753774754900206e-09,1.208447072375812e-12,9.992684648219382e-17,1.716773382635569e-02,1.669845937061203e-02,3.186614577233191e-01,1.405949878102480e-25,6.474713136471232e-01,5.312506072387502e-07,1.061333666871707e-07,3.980474083998111e-07,1.973758983221395e-01,3.077617368920455e-01,1.689431612334687e-01,3.147012002706084e-02,2,9.685298799729392e-01,9.517783885161721e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.617859999926157e-01,1.382140000073841e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+02,0,5,CONTINUE,1.614378678768366e+07,2.011891667914028e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,2.118907161508032e-11,5.319629744741657e+07,8.909250550001760e-01,,,4.346893605603208e+03,7.909712847310455e+03,7.046961353525667e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,2.352591341025284e-06,NaN,1.695642391831942e-06,NaN,,,3.324204054497107e+01,1.416205349625388e+01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.315500851588747e-02,5.176944343264196e-02,,5.843592235308220e-14,2.352591341025284e-06,6.184353327044082e-14,1.695642391831942e-06,,,2.352591341025284e-06,1.695642391831942e-06,,2.839704353652044e-02,1.872424901314346e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,2.118907161508032e-11,5.319629744741657e+07,9.943865906067877e-01,5.945066661183773e-11,10,9.999999999405493e-01,9.999999857275481e-01,9.979773623556615e-01,9.962401771020861e-01,9.903476371372077e-01,9.879975483052381e-01,9.445674239411980e-04,3.182997790280054e-06,1.458425667159328e-08,6.699984399798605e-09,3.656756686682234e-01,6.054164651189367e-05,8.313990808767212e-02,5.323039212767626e-02,4.143169903422415e-02,4.564585153631920e-01,2.214643706758281e-32,2.406586143225567e-06,4.164281099749719e-07,4.520582475189350e-07,2.896396790630935e-02,5.354821912194847e-01,3.034135757125536e-01,5.871319389804119e-03,2,9.941286806101959e-01,9.015593651386679e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.959080444190165e-01,4.091955580983447e-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.753741267154911e-11,1.872830530302712e+05,9.946996174098953e-01,1.688650008713211e-08,10,9.999999831134999e-01,9.989841013400191e-01,9.979773623556613e-01,9.962401771020826e-01,9.903476371372062e-01,9.879975483052374e-01,2.156376895819056e-04,3.182997790154260e-06,2.409807608968004e-08,8.707329810926233e-09,1.153261752468104e-12,6.130255413846595e-23,1.652560436896378e-02,1.619439177571411e-02,3.169091216599748e-01,6.503610037704340e-01,2.280721706190996e-27,5.068075236295480e-06,1.012669039181215e-06,3.797679484271841e-06,2.851539524820441e-01,2.851539524820441e-01,3.635400048768336e-03,1.096904013078148e-02,1,9.890309598692185e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+03,0,4,CONTINUE,1.614378678768366e+07,2.011901652744525e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,8.553942613323054e-12,5.318877110834543e+07,8.909244868166882e-01,,,4.346866209677611e+03,7.911958939475625e+03,7.048957957867031e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.373106441919008e-06,NaN,1.281510686646159e-06,NaN,,,1.055661587883084e+01,4.511946602115553e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.308298201545402e-02,4.459351520127457e-02,,1.990689458883959e-13,2.373106441919008e-06,1.223516514516465e-13,1.281510686646159e-06,,,2.373106441919008e-06,1.281510686646159e-06,,1.617241517954618e-02,1.850237601160703e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,8.553942613323054e-12,5.318877110834543e+07,2.844988106568125e-02,1.880096078821225e-11,10,9.999999999811990e-01,9.999999954776839e-01,9.993595561920815e-01,9.988080796118204e-01,9.969276444382391e-01,9.961734189656545e-01,1.006633738322050e-05,8.928439343189509e-08,3.698157978612974e-08,8.553942540153120e-09,3.625317188001702e-01,5.976778989231888e-05,8.265351769556485e-02,5.304510298201096e-02,4.162309057539165e-02,4.600543276601105e-01,2.386279685661036e-05,1.240555396170219e-07,7.097114618881020e-06,1.390529844473538e-06,4.899298656180490e-01,4.899298656180490e-01,5.969593051418579e-03,2.036950835616946e-03,1,9.979630491643831e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.304601709127083e-12,1.872838980755485e+05,1.488236531028096e-03,5.339487296751599e-09,10,9.999999946605127e-01,9.997233835339403e-01,9.993595561920813e-01,9.988080796118179e-01,9.969276444382393e-01,9.961734189656543e-01,1.006633738319963e-05,9.360560385399736e-08,3.743070861150935e-08,9.304601622551471e-09,1.135993965762209e-12,5.188071921204393e-23,1.632402511260487e-02,1.603413275538089e-02,3.163171618756993e-01,6.512273551621666e-01,4.993352613186464e-05,4.041233420211315e-06,3.587423687765245e-05,7.476096582339209e-06,2.774969453137286e-01,2.774969453137286e-01,9.865671311997662e-03,3.590703656995209e-03,1,9.964092963430048e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+03,0,4,CONTINUE,1.614378678768366e+07,2.011899874189371e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,8.549080187650327e-12,5.152996769871759e+07,8.909245479548096e-01,,,4.346829953086928e+03,7.936442188550621e+03,7.070771169203939e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.933033962303002e-06,NaN,1.251173901159164e-06,NaN,,,3.343664816521470e+00,1.430986617155328e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.019584324877131e-02,4.453083082904463e-02,,5.582495560964662e-13,1.933033962303002e-06,3.517667540230063e-13,1.251173901159164e-06,,,1.933033962303002e-06,1.251173901159164e-06,,9.132329025351533e-03,1.842996780893761e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,8.549080187650327e-12,5.152996769871759e+07,2.375775946421576e-04,6.137312880127865e-12,10,9.999999999938627e-01,9.999999913126527e-01,9.997973673684153e-01,9.996227411263123e-01,9.990263051029010e-01,9.987866479511073e-01,3.182906609637079e-05,2.822654794100566e-07,1.169285292910867e-07,2.703219082261098e-08,3.614896875788132e-01,1.604022629052218e-06,8.247494157632551e-02,5.297045398864409e-02,4.167169157419107e-02,4.610679288673558e-01,2.378517815117144e-04,1.237844782048484e-06,7.074851749926381e-05,1.385424824853419e-05,3.289815353125179e-01,3.289815353125179e-01,1.799430677185459e-02,9.603937325495249e-04,1,9.990396062674505e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.304579794990394e-12,1.872826015225420e+05,9.051305599566392e-01,1.688654105436171e-09,10,9.999999983113459e-01,9.997973673684177e-01,9.996227411263121e-01,9.990263051029008e-01,9.987866479511033e-01,1.796259878388433e-01,3.182906609618764e-05,2.959808994267192e-07,1.183558813337076e-07,2.942108044615962e-08,1.129569757708264e-12,1.624539571649033e-02,1.596907984296741e-02,3.158516124941975e-01,6.509664615729202e-01,6.229012315912324e-36,4.963013947676733e-04,4.017766078933543e-05,3.566470906698450e-04,7.432422606781296e-05,1.521588452283407e-01,1.521588452283407e-01,3.108668146536830e-02,2.074145436793740e-03,1,9.979258545632063e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+04,0,4,CONTINUE,1.614378678768366e+07,2.011899809797506e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,8.549001608851350e-12,5.144031556095649e+07,8.909238817506242e-01,,,4.346729764334731e+03,8.178627298224988e+03,7.286534379926226e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.937189361223253e-06,NaN,1.283951790296411e-06,NaN,,,1.059265939513410e+00,4.547871676931846e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.024740256045192e-02,4.471456234951950e-02,,1.595636836451262e-12,1.937189361223253e-06,1.482034456273915e-12,1.283951790296411e-06,,,1.937189361223253e-06,1.283951790296411e-06,,5.142102629745088e-03,1.840682802214435e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,8.549001608851350e-12,5.144031556095649e+07,9.928944704506782e-01,1.944000516118649e-12,10,9.999999999980560e-01,9.999359186827735e-01,9.998806799631973e-01,9.996919125450411e-01,9.996160194973155e-01,1.415255141390632e-02,1.006542548557187e-04,8.926770133085537e-07,3.697924829696857e-07,8.549000877997129e-08,3.601281132796014e-01,8.218670381540263e-02,5.279794022828009e-02,4.156988529813449e-02,4.600924001044959e-01,2.451783266571164e-35,2.369638399116029e-03,1.233412441515624e-05,7.049415192911387e-04,1.380432312633151e-04,2.909061461129249e-02,2.909061461129249e-02,5.677905354367501e-02,3.425758632752962e-03,1,9.965742413672470e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.936207358308140e-12,1.872772246643127e+05,1.282863254027074e-01,5.339677588978020e-10,10,9.999999994660322e-01,9.999359186827731e-01,9.998806799631969e-01,9.996919125450398e-01,9.996160194973110e-01,1.006542548556231e-04,9.415636409073193e-07,3.978736266989194e-07,2.354369041245443e-07,3.936207203370862e-08,1.118142137550960e-12,1.608508751713364e-02,1.581463607151276e-02,3.130598290427830e-01,6.454652363082448e-01,4.910613402444725e-03,3.820791138275133e-04,2.835235102821518e-03,1.110292488063593e-03,3.369909520502007e-04,9.978685658521173e-03,9.978685658521173e-03,9.783077706527296e-02,9.921928651029366e-03,1,9.900780713489706e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+04,0,4,CONTINUE,1.614378678768366e+07,2.011900198947310e+06,1.000000000000000e-09,1.000000000000000e-01,4.176478570864868e-10,3.579901171504708e-12,-9.999999999993838e-01,8.909215800958012e-01,,,4.346404576485705e+03,1.040162322651941e+04,9.267030600531863e+03,6.924372672919488e-08,6.040559870578689e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,2.090292728661946e-06,NaN,1.400301534574794e-06,NaN,,,3.398683164813153e-01,1.499254565563765e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.109442796989457e-02,4.656898801416177e-02,,5.278780725756030e-12,2.090292728661946e-06,3.027432056092228e-12,1.400301534574794e-06,,,2.090292728661946e-06,1.400301534574794e-06,,2.893149971635946e-03,1.839948754555588e+00,4.196064935573691e-01,1.153587461214601e+00,6.040548710261454e+00,1.000000000000000e+00,3.579901171504708e-12,-9.999999999993838e-01,2.027335406683801e-03,6.161737786669619e-13,10,9.999999999993838e-01,9.999797330407713e-01,9.999622612990958e-01,9.999025451080885e-01,9.998785321501555e-01,3.181995089805326e-04,2.975927821892602e-06,1.257452074227803e-06,7.815634663793385e-07,1.131964622295384e-07,3.498822814259133e-01,7.985544707106855e-02,5.130418231155971e-02,4.040422129160943e-02,4.472373409916470e-01,2.300815193653296e-02,8.301477298183413e-05,5.210365479144172e-03,2.345077704075765e-03,6.699170154681193e-04,9.764882837479559e-04,9.764882837479559e-04,1.769170353145401e-01,3.137101414576016e-02,1,9.686289858542398e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.891286894156074e-12,1.870133820065515e+05,4.169253497867414e-04,1.691085049770891e-10,10,9.999999998308915e-01,9.999797330407646e-01,9.999622612990929e-01,9.999025451080852e-01,9.998785321501573e-01,3.181995089811245e-04,2.977175783778509e-06,1.257402703127807e-06,7.410274012818603e-07,1.230424764537622e-07,1.029265006999382e-12,1.480429902271401e-02,1.455448038586433e-02,2.882103436080566e-01,5.944103896725976e-01,4.509811776660471e-02,3.516541453791555e-03,2.616775162426728e-02,1.016218693406354e-02,3.075889531009963e-03,3.273183772532574e-04,3.273183772532574e-04,2.966151353306051e-01,8.810722439427032e-02,1,9.118927756057297e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
