iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,p10_s2min,p10_s2max,p10_beta,p10_omm,p10_k,p10_t1,p10_t2,p10_t3,p10_t4,p10_t5,p10_t6,p10_t7,p10_t8,p10_t9,p10_t10,p10_w1,p10_w2,p10_w3,p10_w4,p10_w5,p10_w6,p10_w7,p10_w8,p10_w9,p10_w10,pn_s2min,pn_s2max,pn_beta,pn_omm,pn_k,pn_t1,pn_t2,pn_t3,pn_t4,pn_t5,pn_t6,pn_t7,pn_t8,pn_t9,pn_t10,pn_w1,pn_w2,pn_w3,pn_w4,pn_w5,pn_w6,pn_w7,pn_w8,pn_w9,pn_w10,c10_s2min,c10_s2max,c10_beta,c10_omm,c10_k,c10_t1,c10_t2,c10_t3,c10_t4,c10_t5,c10_t6,c10_t7,c10_t8,c10_t9,c10_t10,c10_w1,c10_w2,c10_w3,c10_w4,c10_w5,c10_w6,c10_w7,c10_w8,c10_w9,c10_w10,cn_s2min,cn_s2max,cn_beta,cn_omm,cn_k,cn_t1,cn_t2,cn_t3,cn_t4,cn_t5,cn_t6,cn_t7,cn_t8,cn_t9,cn_t10,cn_w1,cn_w2,cn_w3,cn_w4,cn_w5,cn_w6,cn_w7,cn_w8,cn_w9,cn_w10,chosen
1,1.000000000000000e+00,0,5,CONTINUE,4.772239396859426e+01,2.928495988338787e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704040044890363e+00,1.674327759061762e+02,6.200810160598977e-01,,,1.025093278286496e+02,7.071209142370988e+00,4.384722549773440e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,2,0,0,3,0,0,,,,1.315284659814338e-04,NaN,1.121213433044119e-05,NaN,,,4.188560355612653e+00,6.286779057988478e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,8.634565973578304e-02,8.122765202099562e-03,,8.306453053394001e-15,1.315284659814338e-04,7.280477854399967e-15,1.121213433044119e-05,,,1.315284659814338e-04,1.121213433044119e-05,,5.795438983781924e-01,2.906116249287237e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704040044890363e+00,1.674327759061762e+02,1.358591893487771e-02,5.937086737542341e-03,10,9.940629132624577e-01,9.890256226035924e-01,9.799160734841121e-01,9.692332172973994e-01,9.550502765500551e-01,9.427671367953732e-01,9.230020777895863e-01,9.073544657539618e-01,8.802014349522586e-01,8.701979748063172e-01,6.050518852641263e-02,1.142478969600086e-01,1.244778011096363e-01,4.205676802349658e-01,8.902073089637687e-02,1.253389196512537e-01,5.065666699941200e-02,8.496462384324648e-03,1.385470701171686e-03,5.303182536438526e-03,2.861255293030093e+01,2.861255293030093e+01,2.026357713095411e-02,3.376946264490266e-02,1,9.662305373550973e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034523302325e+00,1.757715985552744e+02,1.428126053984598e-02,5.657017349918414e-03,10,9.943429826500816e-01,9.887023056753945e-01,9.824921187254894e-01,9.711425406879172e-01,9.534138871356157e-01,9.469037276407456e-01,9.229502225785454e-01,9.073031380983252e-01,8.801976066701022e-01,8.701978817754115e-01,1.195804446294110e-01,1.487122907248559e-01,1.373318068343835e-01,5.524846981234247e-02,1.165019444843138e-01,3.061886950841739e-02,2.418902638023053e-02,3.132448914451409e-01,4.119380769514929e-03,5.045287541138860e-02,9.178830889382898e+00,5.413823268459611e+01,3.000423208677424e-02,1.813623598928604e-02,2,9.818637640107140e-01,9.017568902688955e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.853644458090177e-01,4.146355541909825e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+00,0,4,CONTINUE,4.772239396859426e+01,2.927947272369041e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704035595469483e+00,1.660567630167136e+02,6.201352655315665e-01,,,1.025113032035081e+02,7.070022749183374e+00,4.384370434879047e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.462287969380169e-05,NaN,4.419661185976261e-05,NaN,,,1.356369659134503e+00,2.063085864876463e+00,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.417040440358555e-03,2.875248224310869e-02,,2.640899622795218e-14,1.462287969380169e-05,1.915811381198474e-14,4.419661185976261e-05,,,1.462287969380169e-05,4.419661185976261e-05,,3.302207202448273e-01,2.883219570920561e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704035595469483e+00,1.660567630167136e+02,4.205336834751068e-03,1.900882349950006e-03,10,9.980991176500500e-01,9.964244179172788e-01,9.933392573939234e-01,9.899748723842550e-01,9.850270230190123e-01,9.810802178175542e-01,9.742766206152403e-01,9.687077105038266e-01,9.587315858449554e-01,9.549512223042955e-01,6.043332388985262e-02,1.136990700148371e-01,1.278283713002887e-01,4.135889431355959e-01,8.966461632176533e-02,1.243902561761472e-01,5.355981427228779e-02,9.177015191543306e-03,1.567445127076210e-03,6.091144570605901e-03,2.787275472707914e+01,2.787275472707914e+01,6.903771389076710e-03,1.121910743007593e-02,1,9.887808925699241e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034371589385e+00,1.753722807068546e+02,4.328587772993487e-03,1.800092033537370e-03,10,9.981999079664626e-01,9.963427279291003e-01,9.942716850012366e-01,9.904990284174280e-01,9.846443013669696e-01,9.822096771995407e-01,9.742676456974285e-01,9.687002132098572e-01,9.587312119416017e-01,9.549512144507306e-01,1.129572659895763e-01,1.470102035737444e-01,1.260982433438919e-01,5.132822007957751e-02,1.234481148223693e-01,2.144541622007155e-02,2.508165643131913e-02,3.317368250824013e-01,4.580311558611015e-03,5.631374289843844e-02,1.727036710064208e+01,1.727036710064208e+01,1.381076077099001e-02,1.798273273007001e-02,1,9.820172672699300e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+01,0,4,CONTINUE,4.772239396859426e+01,2.927796277557544e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704035082479677e+00,1.656045233968894e+02,6.201673459835283e-01,,,1.025113043416805e+02,7.071121767476700e+00,4.385278819662380e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.514260824547310e-06,NaN,4.569449723025932e-06,NaN,,,4.322144035040664e-01,6.605616627730360e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.697156035111171e-04,2.965366774118069e-03,,4.477789834840305e-14,1.514260824547310e-06,5.707973559018727e-14,4.569449723025932e-06,,,1.514260824547310e-06,4.569449723025932e-06,,1.865597345540742e-01,2.875939836541348e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704035082479677e+00,1.656045233968894e+02,1.320758919662423e-03,6.034838274178167e-04,10,9.993965161725822e-01,9.988584423624768e-01,9.978610176393602e-01,9.967993746314849e-01,9.951882484995007e-01,9.939316160338106e-01,9.917192758839772e-01,9.898883661922088e-01,9.865719461588139e-01,9.853028388613840e-01,6.039571498910174e-02,1.134643392998671e-01,1.291890388495021e-01,4.107281681914275e-01,9.003128600233333e-02,1.241737763934843e-01,5.457453837014994e-02,9.423942558269982e-03,1.634270702124657e-03,6.384924643739369e-03,2.762671584949112e+01,2.762671584949112e+01,2.239548968026206e-03,3.606629813023288e-03,1,9.963933701869767e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034353834915e+00,1.752362782585016e+02,1.350385399658463e-03,5.703326259302033e-04,10,9.994296673740698e-01,9.988348882611631e-01,9.981685179037879e-01,9.969569905545115e-01,9.950823735580349e-01,9.942712521910411e-01,9.917169790649589e-01,9.898865461468799e-01,9.865718672844042e-01,9.853028372874635e-01,1.107916940691820e-01,1.462051849618039e-01,1.225064759343158e-01,5.006350630445348e-02,1.246021288100182e-01,1.944005833454141e-02,2.534330285752295e-02,3.378568605783622e-01,4.735108293180987e-03,5.845567985661897e-02,1.689554540538267e+01,1.689554540538267e+01,4.475933311262280e-03,5.883894727398919e-03,1,9.941161052726011e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+01,0,4,CONTINUE,4.772239396859426e+01,2.927780946842878e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704034965402741e+00,1.654598475505104e+02,6.201706081430908e-01,,,1.025113041195759e+02,7.071234792310679e+00,4.385371981469897e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,1.531704102948297e-07,NaN,4.619320506188883e-07,NaN,,,1.370285943920787e-01,2.097531934856876e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,9.792033674117129e-05,2.995512925055876e-04,,2.144880074666180e-13,1.531704102948297e-07,1.461422749797847e-13,4.619320506188883e-07,,,1.531704102948297e-07,4.619320506188883e-07,,1.050769669504986e-01,2.873634334319918e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704034965402741e+00,1.654598475505104e+02,4.168095844330834e-04,1.911008032862149e-04,10,9.998088991967138e-01,9.996378651755961e-01,9.993201870943073e-01,9.989846759981068e-01,9.984704803937761e-01,9.980721147675561e-01,9.973661417105514e-01,9.967798209100275e-01,9.957139479482381e-01,9.953047584036220e-01,6.038205273108424e-02,1.133834206014778e-01,1.296524052607890e-01,4.097566918299249e-01,9.015864389958371e-02,1.241163003438232e-01,5.490561350341387e-02,9.505331744242481e-03,1.656474262456530e-03,6.483065823204090e-03,2.754757649696377e+01,2.754757649696377e+01,7.141879954653381e-04,1.146717493471283e-03,1,9.988532825065287e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034349759964e+00,1.751921832105051e+02,4.252947239130837e-04,1.804866226243762e-04,10,9.998195133773756e-01,9.996306497020112e-01,9.994187272625999e-01,9.990337036862298e-01,9.984385408757519e-01,9.981778108073562e-01,9.973654639594702e-01,9.967792925567117e-01,9.957139260781971e-01,9.953047579744745e-01,1.100998613742824e-01,1.459235230076323e-01,1.213671934345275e-01,4.966081360404103e-02,1.248819752033518e-01,1.887379058760226e-02,2.542324651765935e-02,3.398182660530889e-01,4.784900433419891e-03,5.916642978439438e-02,1.677764248219263e+01,1.677764248219263e+01,1.426769059725974e-03,1.881435490238559e-03,1,9.981185645097614e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000000000000000e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+02,0,2,CONTINUE,4.772239396859426e+01,2.928071480496396e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704034932016212e+00,1.654139203920489e+02,6.201091795676329e-01,,,1.025078819595069e+02,7.067181107560263e+00,4.382423878465070e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.100018190194856e-05,NaN,1.388351574254468e-04,NaN,,,4.336245867535470e-02,6.640524358339857e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.336245867535470e-02,6.640524358339857e-02,,6.500539400241618e-13,7.100018190194856e-05,6.881728647252478e-13,1.388351574254468e-04,,,7.100018190194856e-05,1.388351574254468e-04,,5.911579333977852e-02,2.872904762136902e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704034932016212e+00,1.654139203920489e+02,1.317067512793983e-04,6.045074966365416e-05,10,9.999395492503363e-01,9.998853813871280e-01,9.997847063527637e-01,9.996786423485569e-01,9.995155866811228e-01,9.993895258965331e-01,9.991656596367440e-01,9.989795270650306e-01,9.986407663326798e-01,9.985105826673146e-01,6.037754561582678e-02,1.133571388144634e-01,1.298023743824919e-01,4.094426670353454e-01,9.019992526610460e-02,1.240992958132629e-01,5.501137028742009e-02,9.531411619264614e-03,1.663609781540307e-03,6.514661384280665e-03,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034348566676e+00,1.751787636260525e+02,1.342940071418405e-04,5.708128645365296e-05,10,9.999429187135463e-01,9.998831237965423e-01,9.998159998728928e-01,9.996940673716169e-01,9.995056451435347e-01,9.994227752090966e-01,9.991654501393589e-01,9.989793644980689e-01,9.986407597035490e-01,9.985105825378843e-01,1.098684919411138e-01,1.458087747324901e-01,1.210217242972809e-01,4.952780206232326e-02,1.249225404728344e-01,1.869085765084711e-02,2.542911378393479e-02,3.404927303045788e-01,4.787541686531094e-03,5.945042306806617e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true
1,3.162000000000000e+02,0,2,CONTINUE,4.772239396859426e+01,2.927871796107508e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704034921797291e+00,1.653993825084974e+02,6.201514094970184e-01,,,1.025102203047759e+02,7.069960565943858e+00,4.384446010058421e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.245956220905083e-05,NaN,4.392752430340923e-05,NaN,,,1.371702454686851e-02,2.101052484470337e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.371702454686851e-02,2.101052484470337e-02,,2.793730466860753e-12,2.245956220905083e-05,2.215031128897397e-12,4.392752430340923e-05,,,2.245956220905083e-05,4.392752430340923e-05,,3.324994190138435e-02,2.872674051594884e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704034921797291e+00,1.653993825084974e+02,4.164415719070275e-05,1.912035478957019e-05,10,9.999808796452104e-01,9.999637400568119e-01,9.999318784516021e-01,9.998983376042380e-01,9.998467236439037e-01,9.998068463805327e-01,9.997359834697286e-01,9.996770439277638e-01,9.995697349198304e-01,9.995284833411426e-01,6.037610170200288e-02,1.133487597384457e-01,1.298501353847344e-01,4.093427017319364e-01,9.021307304371307e-02,1.240940391741770e-01,5.504491287053339e-02,9.539691417437766e-03,1.665877324223923e-03,6.524707612795124e-03,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034348234523e+00,1.751738686955543e+02,4.245581358087166e-05,1.805348179573230e-05,10,9.999819465182043e-01,9.999630283557452e-01,9.999417870885173e-01,9.999032066255954e-01,9.998435945621100e-01,9.998173449717960e-01,9.997359176563051e-01,9.996769929581520e-01,9.995697328506219e-01,9.995284833008211e-01,1.098071120120103e-01,1.457951571657834e-01,1.208972322633634e-01,4.949107216548347e-02,1.249745112302583e-01,1.864364235882876e-02,2.545003940163068e-02,3.406547382011728e-01,4.801563925157083e-03,5.948493127631089e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+03,0,2,CONTINUE,4.772239396859426e+01,2.927808516350401e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704034918570623e+00,1.653947827539247e+02,6.201647847067292e-01,,,1.025109612364737e+02,7.070840460885487e+00,4.385086252120677e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.102250068948776e-06,NaN,1.389189880127946e-05,NaN,,,4.337664066091346e-03,6.644478835198144e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.337664066091346e-03,6.644478835198144e-03,,7.422457037706910e-12,7.102250068948776e-06,6.468221181473306e-12,1.389189880127946e-05,,,7.102250068948776e-06,1.389189880127946e-05,,1.869792686233436e-02,2.872601078325919e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704034918570623e+00,1.653947827539247e+02,1.316699961541404e-05,6.046103373069656e-06,10,9.999939538966269e-01,9.999885334881378e-01,9.999784565900348e-01,9.999678512228695e-01,9.999515262177664e-01,9.999389160400268e-01,9.999165027835886e-01,9.998978586817399e-01,9.998639101384207e-01,9.998508583456843e-01,6.037564311773818e-02,1.133461026227531e-01,1.298652758618954e-01,4.093110166310758e-01,9.021724087399934e-02,1.240923886495249e-01,5.505553228490910e-02,9.542313569412039e-03,1.666595657649031e-03,6.527890731042520e-03,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034348161698e+00,1.751723190105421e+02,1.342298990011542e-05,5.708631917511475e-06,10,9.999942913680825e-01,9.999883086759160e-01,9.999815908901494e-01,9.999693898834103e-01,9.999505383011515e-01,9.999422340269103e-01,9.999164820173689e-01,9.998978426092435e-01,9.998639094868458e-01,9.998508583329966e-01,1.097876877995769e-01,1.457908213270652e-01,1.208578586851671e-01,4.947945053261196e-02,1.249908861873769e-01,1.862876135659949e-02,2.545666272225067e-02,3.407060037322041e-01,4.806008123715421e-03,5.949585953343284e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+03,0,2,CONTINUE,4.772239396859426e+01,2.927788496293235e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704034917683831e+00,1.653933283277548e+02,6.201690155041034e-01,,,1.025111956345382e+02,7.071118740837778e+00,4.385288748017981e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.246179545830778e-06,NaN,4.393591479264923e-06,NaN,,,1.371844360796880e-03,2.101448313678607e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.371844360796880e-03,2.101448313678607e-03,,4.177248157558063e-11,2.246179545830778e-06,1.595548290259414e-11,4.393591479264923e-06,,,2.246179545830778e-06,4.393591479264923e-06,,1.051524429326687e-02,2.872578005666513e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704034917683831e+00,1.653933283277548e+02,4.164048230724418e-06,1.912138373083572e-06,10,9.999980878616269e-01,9.999963735403732e-01,9.999931864396957e-01,9.999898324585301e-01,9.999846691182637e-01,9.999806809809783e-01,9.999735920240176e-01,9.999676949815144e-01,9.999569568225436e-01,9.999528283160740e-01,6.037549787275991e-02,1.133452618900764e-01,1.298700663813131e-01,4.093009917971681e-01,9.021855979396039e-02,1.240918677613457e-01,5.505889093884955e-02,9.543142959149785e-03,1.666822891140030e-03,6.528897714236285e-03,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034348085500e+00,1.751718288898582e+02,4.244941108366577e-06,1.805398536447456e-06,10,9.999981946014636e-01,9.999963024650331e-01,9.999941777983619e-01,9.999903189760105e-01,9.999843568340746e-01,9.999817301459799e-01,9.999735854609793e-01,9.999676899029014e-01,9.999569566167473e-01,9.999528283120663e-01,1.097815452955054e-01,1.457894475842103e-01,1.208454098609966e-01,4.947577559241097e-02,1.249960572953384e-01,1.862406157511481e-02,2.545875736069218e-02,3.407222151006707e-01,4.807414189346638e-03,5.949931614571344e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,1.000000000000000e+04,0,2,CONTINUE,4.772239396859426e+01,2.927782163924029e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704034917115248e+00,1.653928683394589e+02,6.201703537216241e-01,,,1.025112697842529e+02,7.071206765049720e+00,4.385352800719626e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,7.102473384762685e-07,NaN,1.389273789471499e-06,NaN,,,4.337805966645934e-04,6.644874695008177e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,4.337805966645934e-04,6.644874695008177e-04,,7.277654449573504e-11,7.102473384762685e-07,7.480231279585648e-11,1.389273789471499e-06,,,7.102473384762685e-07,1.389273789471499e-06,,5.912926276839341e-03,2.872570708179046e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704034917115248e+00,1.653928683394589e+02,1.316663222857933e-06,6.046206256771214e-07,10,9.999993953793743e-01,9.999988533022862e-01,9.999978455184599e-01,9.999967849921062e-01,9.999951522972037e-01,9.999938912383134e-01,9.999916496460545e-01,9.999897849269866e-01,9.999863893466507e-01,9.999850838324055e-01,6.037545199942220e-02,1.133449958950302e-01,1.298715817898560e-01,4.092978205813781e-01,9.021897696810971e-02,1.240917030689818e-01,5.505995333266959e-02,9.543405312797624e-03,1.666894773574200e-03,6.529216278181530e-03,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034348261615e+00,1.751716737457307e+02,1.342235006771160e-06,5.708682275784582e-07,10,9.999994291317724e-01,9.999988308305405e-01,9.999981589979616e-01,9.999969388196880e-01,9.999950535679368e-01,9.999942229676151e-01,9.999916475712599e-01,9.999897833215693e-01,9.999863892816065e-01,9.999850838311398e-01,1.097796022429822e-01,1.457890129599668e-01,1.208414728688465e-01,4.947461398574796e-02,1.249976911612043e-01,1.862257566947573e-02,2.545941987412288e-02,3.407273426630024e-01,4.807859017458796e-03,5.950040955719314e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
1,3.162000000000000e+04,0,2,CONTINUE,4.772239396859426e+01,2.927780161845375e+01,1.000000000000000e-09,1.000000000000000e-01,2.977112892812659e-12,6.704034917294514e+00,1.653927230371712e+02,6.201707767524808e-01,,,1.025112932305607e+02,7.071234597618487e+00,4.385373053004072e+00,1.938685677398272e-01,1.938685677398272e-01,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.246201881474941e-07,NaN,4.393675411298459e-07,NaN,,,1.371858554039378e-04,2.101487910625767e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.371858554039378e-04,2.101487910625767e-04,,2.001326019428781e-10,2.246201881474941e-07,2.000378965398940e-10,4.393675411298459e-07,,,2.246201881474941e-07,4.393675411298459e-07,,3.325234025732989e-03,2.872568400897051e+00,1.068436605043658e+00,8.436065922632714e-01,1.938685677398272e-01,1.000000000000000e+00,6.704034917294514e+00,1.653927230371712e+02,4.164011486720095e-07,1.912148661631363e-07,10,9.999998087851338e-01,9.999996373493836e-01,9.999993186299131e-01,9.999989832328335e-01,9.999984668793634e-01,9.999980680615211e-01,9.999973591391562e-01,9.999967694040086e-01,9.999956955154888e-01,9.999952826313335e-01,6.037543752057618e-02,1.133449119625010e-01,1.298720609862520e-01,4.092968177164733e-01,9.021910849521458e-02,1.240916512760873e-01,5.506028938183152e-02,9.543488188088631e-03,1.666917533401428e-03,6.529316939574694e-03,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.704034348344106e+00,1.751716253491310e+02,4.244877126014353e-07,1.805403567756159e-07,10,9.999998194596432e-01,9.999996302427985e-01,9.999994177707300e-01,9.999990318807314e-01,9.999984356571848e-01,9.999981729710824e-01,9.999973584830348e-01,9.999967688963308e-01,9.999956954949211e-01,9.999952826309332e-01,1.097789876745592e-01,1.457888757525451e-01,1.208402277717218e-01,4.947424661470067e-02,1.249982078087172e-01,1.862210596539005e-02,2.545962943600905e-02,3.407289639208103e-01,4.807999663190533e-03,5.950075539235669e-02,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
