fp,gp,y0p,fc,gc,y0c,fw,gw,y0w
-0.00047213003421097191,-0,0,0.00015857924809466357,-0,-1.073860573059259e-12,0.034969292845674571,0,-0.030684958188176487
-0.00027350277263699237,7.6327832942979512e-17,0,9.1862018352864214e-05,7.6327832942979512e-17,5.1463354325122829e-11,-0.0091346273260941094,0,-0.10531108157024954
0.00044362619172322163,1.0713652187632761e-14,0,-0.000149025194280742,1.0713652187632761e-14,3.0051687738830658e-12,-0.010048953894745668,0,0.048730437127439512
0.00063694242409258358,5.5511151231257827e-17,0,-0.00021398424147147009,5.5511151231257827e-17,7.5270608464841206e-12,0.040706825886686455,0,0.033175696675207769
7.8187291623142046e-05,-9.783840404509192e-16,0,-2.634079315496372e-05,-9.783840404509192e-16,7.3552734470533984e-11,0.0012247089391261641,0,-0.036798178878608472
0,-7.6815290239728995e-14,0,0,-7.6815290239728995e-14,-4.8848488683594153e-11,0,0,-0.10228120864711272
0,1.2490009027033011e-16,0,0,1.2490009027033011e-16,-1.3592217285187146e-11,0,0,0.00019371063183966364
0,-7.5980888247784151e-16,0,0,-7.5980888247784151e-16,9.1283798216295829e-11,0,0,-0.012139908924654861
0,2.9315222124792761e-13,0,0,2.9315222124792761e-13,4.3511356197101496e-11,0,0,0.026041824580405753
0,-0,0,0,-0,-4.1190928786369855e-11,0,0,-0.020676203516626634
-7.9219495235737701e-05,-3.7539416020138106e-15,0,2.6606972260585825e-05,-3.7539416020138106e-15,-1.1134444773235458e-11,0.013931804701434472,0,-0.083155052359847867
0.00018171983074923871,3.9798025985859908e-14,0,-6.1042767669786357e-05,3.9798025985859908e-14,2.1938245503132367e-10,0.015786099280296173,0,-0.065179665662134428
0.0002609067329202426,1.4613310561628623e-14,0,-8.7650906911178225e-05,1.4613310561628623e-14,3.8694009790370382e-09,-0.0044121224778097511,0,0.0045167771981288601
3.202735195683863e-05,5.5684623578855508e-15,0,-1.0789554178168495e-05,5.5684623578855508e-15,7.2072918855993001e-09,0.0075796006932448068,0,-0.010577604060281933
