group	tag	key	solv	iter	err_type	err
1	worst-ceil	X09	ipm	10	ceil	5.3497
1	worst-ceil	X09	hsd	11	ceil	1.0909
1	worst-ceil	e15	ipm	5	ceil	1.7462
1	worst-ceil	e15	hsd	1	ceil	2.5730
1	worst-floor	e02	ipm	7	floor	1.5374
1	worst-floor	e02	hsd	4	floor	-0.4457
1	worst-floor	X06	ipm	4	floor	-0.0746
1	worst-floor	e09	ipm	5	floor	-0.0842
2	best-ceil	X09	ipm	1	ceil	0.0041
2	best-ceil	X09	hsd	6	ceil	0.0527
2	best-ceil	e15	ipm	7	ceil	-0.1486
2	best-floor	e02	ipm	3	floor	-0.0209
2	best-floor	e02	hsd	2	floor	-0.0041
2	best-floor	X06	ipm	2	floor	0.0016
3	last-W0	e08	ipm	21	-	nan
3	last-W0	e01	hsd	17	-	nan
3	last-W0	SOS_P8_n9_s1	hsd	9	-	nan
3	last-overall	SOS_P8_n9_s1	hsd	17	-	nan
