fp,gp,y0p,fc,gc,y0c,fw,gw,y0w
-1.1710193755996658,8.6996436154118673e-06,0,-1.1710952381618192,8.6996436154118673e-06,0.00030739357292590647,-0.25,0,2.1080185709094597
0,-0,0,2.0543174746197473e-21,-0,-3.9180118470622343e-21,-0,0,0
0,-0,0,2.4606192034385831e-21,-0,-2.4566435924026536e-21,-0,0,0
0,-0,0,-1.7743149888043352e-37,-0,1.4982288396078666e-37,-0,0,0
0,8.7611773769147305e-06,0,2.2411878598364162e-21,8.7611773769147305e-06,0.00021488260680922766,-0,0,2.3593968378038781
0,-8.7021879924265022e-08,0,-2.2278534406648513e-38,-8.7021879924265022e-08,0.00013083026308399168,-0,0,-0.35550255433234346
0,-0,0,1.3270050668078159e-37,-0,4.5036079139433086e-21,-0,0,0
0,8.7611773769147305e-06,0,-7.1682222089418222e-58,8.7611773769147305e-06,0.00021488260662838761,-0,0,2.3593968378020174
-0.78094180565765736,-0,0,-0.78091874616590284,-0,3.043468661029756e-21,-0.25,0,0
-0.55165298960545406,8.6996436154396228e-06,0,-0.55160378526333287,8.6996436154396228e-06,0.00030739357309731883,-0,0,2.1080185709096306
0,6.8681459951813739e-06,0,-2.0042511357107849e-21,6.8681459951813739e-06,0.00024032371782854343,-0,0,1.6145265063694108
-1.8414241222156694e-10,-0,0,-0.00018910143621981827,-0,-6.6637686400469599e-21,-0,0,0
0,-0,0,1.0685430749556495e-22,-0,-8.8707350181914422e-21,-0,0,0
0,-0,0,1.3045894640446788e-21,-0,1.5150440137343983e-37,-0,0,0
0,6.9146700514277626e-06,0,1.1813822802967452e-37,6.9146700514277626e-06,0.00016188525576767696,-0,0,1.863286356733868
-0.39030921594775864,-6.5794951709108318e-08,0,-0.39033453026390175,-6.5794951709108318e-08,0.00011092873663337728,0.25,0,-0.35179955416258596
0,-0,0,-1.0896529133569553e-21,-0,4.9406967667263686e-21,0,0,0
-0.5524379064566981,6.9146700516498072e-06,0,-0.55255859681377661,6.9146700516498072e-06,0.00016188525584952637,-0.70710678118654757,0,1.8632863567427322
0,-0,0,-1.6387235743819717e-23,-0,7.1850549144522918e-21,-0,0,0
0,6.8681459951813739e-06,0,4.0749395396993291e-22,6.8681459951813739e-06,0.00024032371798281456,-0,0,1.6145265063729388
0,4.9354691054048772e-06,0,-2.3940152198097266e-38,4.9354691054048772e-06,1.0534780321714551e-05,-0,0,1.1142061110451646
-0.78038678562914754,-0,0,-0.78024359244335317,-0,-1.2471578445940691e-20,0.25,0,0
0,-0,0,7.2705137851661e-22,-0,-9.074798438163151e-21,-0,0,0
-0.5524379064566981,-0,0,-0.55255859681360053,-0,1.5347994690879892e-37,-0.70710678118654757,0,0
-1.8414241222155365e-10,4.9921275724340575e-06,0,-0.00018910143638202115,4.9921275724340575e-06,6.0030791520589624e-05,-0,0,1.365237185967703
0,-8.012717267469327e-08,0,-1.1656887410114078e-21,-8.012717267469327e-08,-6.9997930569903362e-05,-0,0,-0.35501155073601109
-0.78038678562942287,-0,0,-0.78024359244408281,-0,1.2249255086614772e-20,0.25,0,0
0,4.9921275726561021e-06,0,4.9739456661888362e-22,4.9921275726561021e-06,6.0030791662861872e-05,0,0,1.3652371859694235
0,-0,0,-1.1660638984501109e-22,-0,9.8655388966656483e-21,-0,0,0
0,4.9354691054603883e-06,0,-1.6620868330878179e-37,4.9354691054603883e-06,1.0534780189727032e-05,-0,0,1.1142061110390367
-0.39030921594783102,2.9713310158718809e-06,0,-0.39033453026396087,2.9713310158718809e-06,0.0001562858743538024,0.25,0,0.62080085647873107
-0.55165298960545406,-0,0,-0.55160378526343501,-0,-2.5470927480225621e-20,-0,0,0
0,-0,0,-2.5334486431503494e-21,-0,-2.06829398264391e-20,-0,0,0
-0.7809418056576658,-0,0,-0.78091874616598034,-0,1.5581657361721416e-37,-0.25,0,0
0,3.0277865280536886e-06,0,-3.2405011351033531e-21,3.0277865280536886e-06,8.8186468560552743e-05,-0,0,0.86978983718556946
-1.1710193755994713,-7.9840151157029027e-08,0,-1.17109523816135,-7.9840151157029027e-08,9.6307103237475898e-05,-0.25,0,-0.35212359339422644
-1.1715242316759999,-0,0,-1.1718130910770304,-0,-3.0889202717558604e-21,-0.25,0,0
0,3.0277865281647109e-06,0,-7.4506729496610433e-21,3.0277865281647109e-06,8.8186468581122226e-05,-0,0,0.86978983718560454
0,-0,0,2.1511299104692231e-21,-0,1.8060896050751621e-20,-0,0,0
0,2.9713310158441253e-06,0,-1.6435642837778651e-37,2.9713310158441253e-06,0.00015628587445664982,-0,0,0.6208008564836196
