fp,gp,y0p,fc,gc,y0c
2.3344711352264418e-10,-4.3315869028240152e-17,0,2.3344711352264418e-10,-4.3315869028240152e-17,-7.1509362869132795e-05
2.9993364060836025e-06,-4.1537099250463884e-15,0,2.9993364060836025e-06,-4.1537099250463884e-15,0.0010836381834976802
0,0,0,0,0,0
-4.0642965243656293e-06,7.4005035969218233e-16,0,-4.0642965243656293e-06,7.4005035969218233e-16,-0.001806998555771763
-8.9842297841924434e-05,-4.8613158354551584e-15,0,-8.9842297841924434e-05,-4.8613158354551584e-15,0.0041371235718241457
0,0,0,0,0,0
-7.7815704507371596e-11,-1.8957971490725625e-17,0,-7.7815704507371596e-11,-1.8957971490725625e-17,-4.698383513363928e-05
-9.9977884904407788e-07,-4.1465439564093929e-15,0,-9.9977884904407788e-07,-4.1465439564093929e-15,0.00088293182507758481
0,0,0,0,0,0
1.3547655081241894e-06,7.0425081127668559e-16,0,1.3547655081241894e-06,7.0425081127668559e-16,-0.00124957269869427
2.9947432613974811e-05,3.7818538377679321e-15,0,2.9947432613974811e-05,3.7818538377679321e-15,0.002583948462085798
0,0,0,0,0,0
-0.80014724448769159,-1.0990923619454405e-17,0,-0.85723134960335623,-1.0990923619454405e-17,-2.9830395643589157e-05
-1.4333477342743195,-1.5977928118181025e-15,0,-1.449459041427839,-1.5977928118181025e-15,0.00069785254076918757
-2.5844274616275991e-13,0,0,-2.1786989713558015e-06,0,0
2.5350560191172001e-11,9.691983064452243e-16,0,0.00064747558820185366,9.691983064452243e-16,-0.00090833811266725342
0,4.1553618115781306e-15,0,0,4.1553618115781306e-15,0.0012774010758829198
2.3344711352391473e-10,0,0,2.3344711352391473e-10,0,0
2.9993358731487951e-06,1.292722517519956e-16,0,2.9993358731487951e-06,1.292722517519956e-16,-1.2407597557359285e-05
0,-1.1957587660017143e-16,0,0,-1.1957587660017143e-16,0.00043791721992245602
-4.0642965243795071e-06,0,0,-4.0642965243795071e-06,0,0
-8.9842297841924434e-05,8.286403258670551e-16,0,-8.9842297841924434e-05,8.286403258670551e-16,-0.00073636814781459644
0,2.610501778265865e-15,0,0,2.610501778265865e-15,0.0003404521634381134
-7.7815704507371596e-11,0,0,-7.7815704507371596e-11,0,0
-9.9977850637547605e-07,2.3226087700836117e-16,0,-9.9977850637547605e-07,2.3226087700836117e-16,-7.4736321606698935e-06
0,1.2127589159057021e-16,0,0,1.2127589159057021e-16,0.00026049969123872726
1.3547655081241894e-06,0,0,1.3547655081241894e-06,0,0
2.99474326139193e-05,5.2898149730467912e-16,0,2.99474326139193e-05,5.2898149730467912e-16,-0.0006751374341538507
0,2.0574614624350486e-15,0,0,2.0574614624350486e-15,-0.00040595333317579232
-0.80014724448768071,0,0,-0.85723134298348358,0,0
-1.4333477342743191,2.5470915296901834e-16,0,-1.4494584999205005,2.5470915296901834e-16,-1.0380994786102116e-05
-1.8919297683843125e-13,4.1351157796584682e-16,0,1.2818108962583961e-05,4.1351157796584682e-16,3.68037904113538e-05
-9.2754168470070165e-12,0,0,-0.0010748319745232341,0,0
0,1.3611856919038554e-16,0,0,1.3611856919038554e-16,-0.00068661496961398415
2.334471200325159e-10,8.4282294085527591e-16,0,2.334471200325159e-10,8.4282294085527591e-16,-0.00087174275450294342
2.9993366680060307e-06,0,0,2.9993366680060307e-06,0,0
0,1.8647145200784012e-16,0,0,1.8647145200784012e-16,-3.101471836012552e-05
-4.0642965240880735e-06,3.857985195758748e-16,0,-4.0642965240880735e-06,3.857985195758748e-16,-0.00021972820595031302
-8.9842297867570586e-05,0,0,-8.9842297867570586e-05,0,0
0,-1.1508003534982222e-16,0,0,-1.1508003534982222e-16,-0.00070379179092661928
-7.7815704508642145e-11,5.2539910808237576e-17,0,-7.7815704508642145e-11,5.2539910808237576e-17,-0.0009863526994107908
-9.9977856956624811e-07,0,0,-9.9977856956624811e-07,0,0
0,8.5024083809077205e-17,0,0,8.5024083809077205e-17,-4.9245592234894637e-05
1.3547655081259241e-06,1.4184113185107291e-16,0,1.3547655081259241e-06,1.4184113185107291e-16,-0.00036270203858921533
2.9947432613974811e-05,0,0,2.9947432613974811e-05,0,0
0,-1.4557802108808753e-16,0,0,-1.4557802108808753e-16,-0.00070904161134382896
-7.7815704508536266e-11,2.2064251795013775e-17,0,-7.7815704508536266e-11,2.2064251795013775e-17,-0.00096734367848039129
-9.9977886671570593e-07,0,0,-9.9977886671570593e-07,0,0
